Time,CPU Usage
43481.758831,9.8
43481.758877,8.5
43481.758924,6.5
43481.758970,4.4
43481.759016,7.1
43481.759063,13.8
43481.759109,22.8
43481.759155,19.0
43481.759201,45.8
43481.759248,53.3
43481.759294,33.1
43481.759340,32.0
43481.759387,17.5
43481.759433,12.9
43481.759479,12.4
43481.759526,21.8
43481.759572,14.6
43481.759618,12.9
43481.759664,12.1
43481.759711,13.9
43481.759757,10.8
43481.759803,11.2
43481.759850,10.8
43481.759896,10.3
43481.759942,11.2
43481.759989,10.3
43481.760035,11.9
43481.760081,10.3
43481.760127,11.4
43481.760174,11.3
43481.760220,11.6
43481.760266,12.1
43481.760313,11.8
43481.760359,11.7
43481.760405,11.4
43481.760452,12.2
43481.760498,11.6
43481.760544,11.0
43481.760590,11.6
43481.760637,11.4
43481.760683,11.7
43481.760729,11.4
43481.760776,11.6
43481.760822,11.4
43481.760868,11.7
43481.760914,11.4
43481.760961,11.6
43481.761007,11.4
43481.761053,11.7
43481.761100,11.5
43481.761146,11.8
43481.761192,13.8
43481.761239,11.6
43481.761285,11.0
43481.761331,11.3
43481.761377,11.3
43481.761424,11.6
43481.761470,11.8
43481.761516,11.5
43481.761563,11.3
43481.761609,11.4
43481.761655,10.6
43481.761702,10.9
43481.761748,11.1
43481.761794,12.1
43481.761840,11.4
43481.761887,12.1
43481.761933,10.6
43481.761979,11.2
43481.762026,11.8
43481.762072,11.6
43481.762118,11.6
43481.762165,11.7
43481.762211,11.7
43481.762257,12.1
43481.762303,11.8
43481.762350,11.9
43481.762396,11.9
43481.762442,11.8
43481.762489,11.6
43481.762535,11.9
43481.762581,12.2
43481.762627,11.9
43481.762674,11.6
43481.762720,12.3
43481.762766,11.2
43481.762813,11.4
43481.762859,11.1
43481.762905,11.6
43481.762952,10.9
43481.762998,11.1
43481.763044,10.9
43481.763090,11.2
43481.763137,11.4
43481.763183,12.6
43481.763229,11.4
43481.763276,11.8
43481.763322,11.6
43481.763368,11.9
43481.763415,11.6
43481.763461,11.8
43481.763507,11.6
43481.763553,11.7
43481.763600,11.5
43481.763646,11.7
43481.763692,11.6
43481.763739,11.8
43481.763785,11.6
43481.763831,11.8
43481.763877,11.5
43481.763924,11.7
43481.763970,11.6
43481.764016,11.8
43481.764063,12.0
43481.764109,11.7
43481.764155,11.6
43481.764202,11.9
43481.764248,11.4
43481.764294,11.7
43481.764340,11.6
43481.764387,11.7
43481.764433,11.6
43481.764479,12.2
43481.764526,11.4
43481.764572,11.7
43481.764618,11.3
43481.764665,11.9
43481.764711,11.6
43481.764757,11.8
43481.764803,11.3
43481.764850,10.9
43481.764896,11.1
43481.764942,11.6
43481.764989,12.1
43481.765035,11.7
43481.765081,11.6
43481.765127,11.8
43481.765174,11.9
43481.765220,12.0
43481.765266,12.4
43481.765313,28.6
43481.765359,6.8
43481.765405,6.7
43481.765452,7.0
43481.765498,6.6
43481.765544,6.6
43481.765590,7.0
43481.765637,14.8
43481.765683,6.9
43481.765729,6.4
43481.765776,7.1
43481.765822,7.0
43481.765868,6.7
43481.765915,6.6
43481.765961,6.9
43481.766007,6.6
43481.766053,6.7
43481.766100,6.9
43481.766146,6.6
43481.766192,6.7
43481.766239,6.9
43481.766285,6.7
43481.766331,7.1
43481.766378,6.8
43481.766424,6.5
43481.766470,7.6
43481.766516,6.9
43481.766563,6.9
43481.766609,6.8
43481.766655,6.7
43481.766702,6.9
43481.766748,7.1
43481.766794,7.0
43481.766841,6.6
43481.766887,7.2
43481.766933,6.9
43481.766979,6.5
43481.767026,6.6
43481.767072,6.8
43481.767118,6.9
43481.767165,6.6
43481.767211,7.8
43481.767257,6.6
43481.767304,6.6
43481.767350,7.4
43481.767396,6.5
43481.767442,6.6
43481.767489,6.9
43481.767535,6.6
43481.767581,6.9
43481.767628,6.6
43481.767674,6.6
43481.767720,6.6
43481.767767,6.6
43481.767813,6.9
43481.767859,6.6
43481.767905,6.6
43481.767952,6.8
43481.767998,6.6
43481.768044,6.5
43481.768091,6.6
43481.768137,6.8
43481.768183,6.7
43481.768230,6.4
43481.768276,6.6
43481.768322,6.8
43481.768368,6.8
43481.768415,6.7
43481.768461,6.6
43481.768507,6.6
43481.768554,6.6
43481.768600,6.4
43481.768646,6.4
43481.768692,6.4
43481.768739,6.6
43481.768785,6.4
43481.768831,6.4
43481.768878,6.6
43481.768924,6.5
43481.768970,6.6
43481.769017,6.7
43481.769063,6.5
43481.769109,6.6
43481.769155,6.5
43481.769202,6.6
43481.769248,6.6
43481.769294,6.6
43481.769341,6.5
43481.769387,6.6
43481.769433,6.9
43481.769480,6.5
43481.769526,6.6
43481.769572,6.5
43481.769618,6.6
43481.769665,7.1
43481.769711,6.5
43481.769757,6.5
43481.769804,6.9
43481.769850,6.6
43481.769896,6.5
43481.769943,6.6
43481.769989,6.6
43481.770035,6.7
43481.770081,6.6
43481.770128,6.6
43481.770174,6.5
43481.770220,6.6
43481.770267,6.6
43481.770313,6.6
43481.770359,6.6
43481.770406,6.5
43481.770452,6.6
43481.770498,6.5
43481.770544,6.6
43481.770591,6.5
43481.770637,6.6
43481.770683,6.5
43481.770730,6.5
43481.770776,6.1
43481.770822,6.4
43481.770868,6.4
43481.770915,6.6
43481.770961,6.6
43481.771007,6.6
43481.771054,6.6
43481.771100,6.5
43481.771146,6.5
43481.771193,6.6
43481.771239,6.6
43481.771285,6.6
43481.771331,6.6
43481.771378,6.5
43481.771424,6.1
43481.771470,6.3
43481.771517,6.1
43481.771563,5.9
43481.771609,6.1
43481.771656,6.0
43481.771702,6.1
43481.771748,6.0
43481.771794,6.1
43481.771841,6.1
43481.771887,5.9
