Time,CPU Usage
43482.543597,6.8
43482.543644,5.0
43482.543690,1.2
43482.543736,1.3
43482.543782,1.8
43482.543829,15.0
43482.543875,22.0
43482.543921,13.2
43482.543968,21.6
43482.544014,20.6
43482.544060,13.5
43482.544106,24.2
43482.544153,14.2
43482.544199,6.3
43482.544245,11.1
43482.544292,7.9
43482.544338,5.8
43482.544384,5.8
43482.544431,3.9
43482.544477,5.8
43482.544523,4.1
43482.544569,3.6
43482.544616,4.0
43482.544662,3.5
43482.544708,3.6
43482.544755,3.5
43482.544801,4.5
43482.544847,3.6
43482.544893,3.4
43482.544940,3.6
43482.544986,3.9
43482.545032,4.0
43482.545079,4.3
43482.545125,3.4
43482.545171,3.6
43482.545218,3.4
43482.545264,3.3
43482.545310,3.4
43482.545356,3.8
43482.545403,3.4
43482.545449,3.8
43482.545495,3.3
43482.545542,3.5
43482.545588,3.4
43482.545634,3.5
43482.545681,3.4
43482.545727,3.6
43482.545773,3.4
43482.545819,3.9
43482.545866,3.6
43482.545912,3.4
43482.545958,3.6
43482.546005,3.4
43482.546051,3.3
43482.546097,3.4
43482.546144,3.4
43482.546190,3.4
43482.546236,4.0
43482.546282,5.4
43482.546329,3.4
43482.546375,3.3
43482.546421,3.5
43482.546468,3.6
43482.546514,3.8
43482.546560,4.2
43482.546606,3.6
43482.546653,3.3
43482.546699,3.4
43482.546745,3.7
43482.546792,3.2
43482.546838,3.3
43482.546884,3.3
43482.546931,3.6
43482.546977,3.2
43482.547023,3.6
43482.547069,3.3
43482.547116,3.3
43482.547162,3.7
43482.547208,3.4
43482.547255,3.7
43482.547301,3.3
43482.547347,3.4
43482.547394,3.5
43482.547440,3.3
43482.547486,3.4
43482.547532,4.0
43482.547579,3.2
43482.547625,3.3
43482.547671,3.3
43482.547718,3.4
43482.547764,3.3
43482.547810,3.7
43482.547856,3.2
43482.547903,3.3
43482.547949,3.2
43482.547995,3.3
43482.548042,3.8
43482.548088,3.3
43482.548134,3.5
43482.548181,3.6
