Time,Used
43482.766577,150883848
43482.766622,155078152
43482.766668,156126728
43482.766714,157175304
43482.766760,159272456
43482.766807,225332744
43482.766853,53755904
43482.766899,72630272
43482.766946,90456064
43482.766992,108281856
43482.767038,127156224
43482.767085,143933440
43482.767131,161759232
43482.767177,179585024
43482.767223,197410816
43482.767270,214188032
43482.767316,232013824
43482.767362,41114624
43482.767409,59988992
43482.767455,76766208
43482.767501,93543424
43482.767547,111369216
43482.767594,129195008
43482.767640,145972224
43482.767686,161700864
43482.767733,179526656
43482.767779,196303872
43482.767825,213081088
43482.767872,230906880
43482.767918,247684096
43482.767964,41114624
43482.768010,58940416
43482.768057,75717632
43482.768103,92494848
43482.768149,109272064
43482.768196,126049280
43482.768242,143875072
43482.768288,160652288
43482.768335,177429504
43482.768381,194206720
43482.768427,213081088
43482.768473,228809728
43482.768520,245586944
43482.768566,38484376
43482.768612,55261592
43482.768659,72038808
43482.768705,89864600
43482.768751,106641816
43482.768797,124467608
43482.768844,141244824
43482.768890,156973464
43482.768936,174799256
43482.768983,191576472
43482.769029,209402264
43482.769075,226179480
43482.769122,244005272
43482.769168,36809280
43482.769214,54635072
43482.769260,72460864
43482.769307,89238080
43482.769353,106015296
43482.769399,122792512
43482.769446,140618304
43482.769492,157395520
43482.769538,174172736
43482.769585,191998528
43482.769631,207727168
43482.769677,225552960
43482.769723,242330176
43482.769770,34996224
43482.769816,51773440
43482.769862,69599232
43482.769909,86376448
43482.769955,103153664
43482.770001,119930880
43482.770048,136708096
43482.770094,153485312
43482.770140,171311104
43482.770186,189136896
43482.770233,204865536
43482.770279,222691328
43482.770325,239468544
43482.770372,35566104
43482.770418,52343320
43482.770464,69120536
43482.770510,86946328
43482.770557,103723544
43482.770603,120500760
43482.770649,137277976
43482.770696,155103768
43482.770742,170832408
43482.770788,187609624
43482.770835,205435416
43482.770881,222212632
43482.770927,238989848
43482.770973,256815640
43482.771020,49503232
43482.771066,66280448
43482.771112,83057664
43482.771159,100883456
43482.771205,117660672
43482.771251,134437888
43482.771298,151215104
43482.771344,167992320
43482.771390,184769536
43482.771436,201546752
43482.771483,218323968
43482.771529,236149760
43482.771575,252926976
43482.771622,45878656
43482.771668,62655872
43482.771714,80481664
43482.771760,96210304
43482.771807,112987520
43482.771853,130813312
43482.771899,147590528
43482.771946,164367744
43482.771992,181144960
43482.772038,197922176
43482.772085,215747968
43482.772131,232525184
43482.772177,249302400
43482.772223,43132368
43482.772270,59909584
43482.772316,76686800
43482.772362,94512592
43482.772409,111289808
43482.772455,128067024
43482.772501,145892816
43482.772548,161621456
43482.772594,178398672
43482.772640,195175888
43482.772686,213001680
43482.772733,230827472
43482.772779,246556112
43482.772825,40427504
43482.772872,57204720
43482.772918,75030512
43482.772964,91807728
43482.773011,107536368
43482.773057,125362160
43482.773103,142139376
43482.773149,158916592
43482.773196,176742384
43482.773242,193519600
43482.773288,210296816
43482.773335,227074032
43482.773381,244899824
43482.773427,38769792
43482.773473,55547008
43482.773520,72324224
43482.773566,90150016
43482.773612,106927232
43482.773659,123704448
43482.773705,141530240
43482.773751,158307456
43482.773798,175084672
43482.773844,191861888
43482.773890,209687680
43482.773936,226464896
43482.773983,242193536
43482.774029,37968896
43482.774075,54746112
43482.774122,71523328
43482.774168,88300544
43482.774214,105077760
43482.774261,121854976
43482.774307,138632192
43482.774353,156457984
43482.774399,173235200
43482.774446,190012416
43482.774492,206789632
43482.774538,224615424
43482.774585,240344064
43482.774631,36349376
43482.774677,53126592
43482.774724,69903808
43482.774770,86681024
43482.774816,103458240
43482.774862,120235456
43482.774909,138061248
43482.774955,154838464
43482.775001,171615680
43482.775048,189441472
43482.775094,205170112
43482.775140,222995904
43482.775186,239773120
43482.775233,256550336
43482.775279,51584448
43482.775325,68361664
43482.775372,86187456
43482.775418,102964672
43482.775464,119741888
43482.775511,136519104
43482.775557,154344896
43482.775603,171122112
43482.775649,187899328
43482.775696,204676544
43482.775742,221453760
43482.775788,239279552
43482.775835,255008192
43482.775881,51600384
43482.775927,69426176
43482.775974,86203392
43482.776020,101932032
43482.776066,119757824
43482.776112,135486464
43482.776159,153312256
43482.776205,171138048
43482.776251,186866688
43482.776298,204692480
43482.776344,221469696
43482.776390,238246912
43482.776437,255024128
43482.776483,51035136
43482.776529,67812352
43482.776575,85638144
43482.776622,102415360
43482.776668,119192576
43482.776714,135969792
43482.776761,152747008
43482.776807,169524224
43482.776853,187350016
43482.776899,204127232
43482.776946,220904448
43482.776992,238730240
43482.777038,254458880
43482.777085,51767464
43482.777131,68544680
43482.777177,85321896
43482.777224,103147688
43482.777270,118876328
43482.777316,136702120
43482.777362,153479336
43482.777409,169207976
43482.777455,187033768
43482.777501,203810984
43482.777548,220588200
43482.777594,238413992
43482.777640,255191208
43482.777687,51897856
43482.777733,68675072
43482.777779,85452288
43482.777825,102229504
43482.777872,120055296
43482.777918,136832512
43482.777964,154658304
43482.778011,171435520
43482.778057,188212736
43482.778103,204989952
43482.778149,221767168
43482.778196,238544384
43482.778242,255321600
43482.778288,52613784
43482.778335,69391000
43482.778381,86168216
43482.778427,102945432
43482.778474,119722648
43482.778520,136499864
43482.778566,154325656
43482.778612,171102872
43482.778659,186831512
43482.778705,204657304
43482.778751,221434520
43482.778798,238211736
43482.778844,254988952
43482.778890,52741120
43482.778937,69518336
43482.778983,85246976
43482.779029,102024192
43482.779075,119849984
43482.779122,136627200
43482.779168,153404416
43482.779214,170181632
43482.779261,186958848
43482.779307,203736064
43482.779353,220513280
43482.779400,237290496
43482.779446,254067712
43482.779492,50023936
43482.779538,66801152
43482.779585,83578368
43482.779631,100355584
43482.779677,117132800
43482.779724,133910016
43482.779770,151735808
43482.779816,167464448
43482.779862,184241664
43482.779909,201018880
43482.779955,218844672
43482.780001,234573312
43482.780048,252399104
43482.780094,49401856
43482.780140,65130496
43482.780187,81907712
43482.780233,98684928
43482.780279,115462144
43482.780325,133287936
43482.780372,149016576
43482.780418,165793792
43482.780464,183619584
43482.780511,200396800
43482.780557,217174016
43482.780603,233951232
43482.780650,250728448
43482.780696,46688768
43482.780742,64514560
43482.780788,80243200
43482.780835,98068992
43482.780881,113797632
43482.780927,130574848
43482.780974,148400640
43482.781020,164129280
43482.781066,181955072
43482.781113,198732288
43482.781159,214460928
43482.781205,231238144
43482.781251,249063936
43482.781298,43973632
43482.781344,60750848
43482.781390,77528064
43482.781437,94305280
