Time,CPU Usage
43482.608115,6.0
43482.608161,4.7
43482.608207,1.5
43482.608253,1.3
43482.608300,1.8
43482.608346,1.4
43482.608392,1.7
43482.608439,1.8
43482.608485,1.1
43482.608531,2.7
43482.608577,0.9
43482.608624,1.6
43482.608670,2.8
43482.608716,0.9
43482.608763,1.9
43482.608809,1.1
43482.608855,0.9
43482.608901,0.7
43482.608948,0.6
43482.608994,2.9
43482.609040,0.8
43482.609087,0.8
43482.609133,0.8
43482.609179,14.0
43482.609226,12.9
43482.609272,13.9
43482.609318,7.2
43482.609365,11.0
43482.609411,9.1
43482.609457,12.1
43482.609503,8.9
43482.609550,6.1
43482.609596,9.8
43482.609642,11.6
43482.609688,8.2
43482.609735,13.9
43482.609781,15.3
43482.609827,16.5
43482.609874,5.8
43482.609920,5.2
43482.609966,9.1
43482.610013,6.8
43482.610059,4.0
43482.610105,4.1
43482.610151,4.2
43482.610198,4.2
43482.610244,4.3
43482.610290,3.6
43482.610337,4.4
43482.610383,3.6
43482.610429,5.2
43482.610476,4.2
43482.610522,3.5
43482.610568,3.4
43482.610614,5.6
43482.610661,3.8
43482.610707,4.5
43482.610753,4.2
43482.610800,3.3
43482.610846,3.4
43482.610892,3.4
43482.610939,4.3
43482.610985,4.3
43482.611031,3.7
43482.611077,3.2
43482.611124,3.2
43482.611170,3.2
43482.611216,3.5
43482.611263,4.1
43482.611309,3.9
43482.611355,3.2
43482.611402,3.3
43482.611448,3.3
43482.611494,3.1
43482.611540,3.2
43482.611587,3.2
43482.611633,3.0
43482.611679,3.1
43482.611726,3.4
43482.611772,3.2
43482.611818,3.2
43482.611864,3.3
43482.611911,3.4
43482.611957,3.1
43482.612003,3.2
43482.612050,3.3
43482.612096,3.1
43482.612142,3.2
43482.612189,3.1
43482.612235,3.3
43482.612281,3.2
43482.612327,3.1
43482.612374,3.1
43482.612420,3.1
43482.612466,3.1
43482.612513,3.5
43482.612559,2.9
43482.612605,3.2
43482.612652,3.2
43482.612698,3.2
43482.612744,3.3
43482.612790,3.2
43482.612837,3.5
43482.612883,3.2
43482.612929,3.2
43482.612976,2.9
43482.613022,3.4
43482.613068,3.7
43482.613114,3.1
43482.613161,3.2
43482.613207,3.1
43482.613253,3.2
43482.613300,3.1
43482.613346,3.1
43482.613392,3.3
43482.613439,3.2
43482.613485,3.2
43482.613531,3.1
43482.613577,3.2
43482.613624,3.2
43482.613670,3.2
43482.613716,3.2
43482.613763,3.1
43482.613809,3.2
43482.613855,3.2
43482.613902,3.2
43482.613948,3.2
43482.613994,3.4
43482.614040,3.2
43482.614087,3.1
43482.614133,3.1
43482.614179,3.3
43482.614226,3.3
43482.614272,3.1
43482.614318,3.2
43482.614365,3.2
43482.614411,3.8
43482.614457,3.2
43482.614503,3.2
43482.614550,3.1
43482.614596,3.2
43482.614642,3.4
43482.614689,3.7
43482.614735,3.2
43482.614781,3.4
43482.614827,3.1
43482.614874,3.3
43482.614920,3.1
43482.614966,3.2
43482.615013,3.1
43482.615059,3.3
43482.615105,3.2
43482.615152,3.2
43482.615198,3.2
43482.615244,4.6
43482.615290,3.2
43482.615337,3.2
43482.615383,3.2
43482.615429,3.0
43482.615476,3.1
43482.615522,3.2
43482.615568,3.1
43482.615615,3.3
43482.615661,3.3
43482.615707,3.1
43482.615753,3.1
43482.615800,3.2
43482.615846,3.2
43482.615892,3.1
43482.615939,3.1
43482.615985,3.1
43482.616031,3.2
43482.616077,2.6
43482.616124,2.8
43482.616170,3.0
43482.616216,3.1
43482.616263,3.1
43482.616309,3.5
43482.616355,3.1
43482.616402,3.2
43482.616448,3.9
43482.616494,3.1
43482.616540,3.3
43482.616587,3.2
43482.616633,3.6
43482.616679,3.1
43482.616726,3.6
43482.616772,3.2
43482.616818,3.2
43482.616865,4.1
43482.616911,3.2
43482.616957,3.1
43482.617003,3.1
43482.617050,3.1
43482.617096,3.1
43482.617142,3.1
43482.617189,3.2
43482.617235,3.1
43482.617281,3.2
43482.617327,3.2
43482.617374,3.2
43482.617420,3.2
43482.617466,3.3
43482.617513,3.1
43482.617559,3.2
43482.617605,3.4
43482.617652,3.4
43482.617698,3.2
43482.617744,3.1
43482.617790,3.2
43482.617837,3.1
43482.617883,3.1
43482.617929,3.2
43482.617976,3.1
43482.618022,3.2
43482.618068,3.4
43482.618115,3.1
43482.618161,3.2
43482.618207,3.4
43482.618253,3.2
43482.618300,3.1
43482.618346,3.2
43482.618392,3.1
43482.618439,3.1
43482.618485,3.4
43482.618531,3.1
43482.618578,3.2
43482.618624,3.1
43482.618670,3.1
43482.618716,3.1
43482.618763,3.2
43482.618809,3.1
43482.618855,3.6
43482.618902,3.1
43482.618948,3.5
43482.618994,3.1
43482.619040,3.1
43482.619087,3.2
43482.619133,3.2
43482.619179,3.2
43482.619226,3.5
43482.619272,3.2
43482.619318,3.2
43482.619365,3.1
43482.619411,3.1
43482.619457,3.2
43482.619503,3.1
43482.619550,3.2
43482.619596,3.2
43482.619642,3.1
43482.619689,4.1
43482.619735,3.1
43482.619781,3.2
43482.619828,3.3
43482.619874,3.2
43482.619920,3.1
43482.619966,3.2
43482.620013,3.2
43482.620059,3.3
43482.620105,3.2
43482.620152,3.1
43482.620198,3.5
43482.620244,3.1
43482.620290,3.1
43482.620337,3.2
43482.620383,3.3
43482.620429,3.1
43482.620476,3.2
43482.620522,3.2
43482.620568,3.2
43482.620615,3.2
43482.620661,3.1
43482.620707,3.1
43482.620753,3.2
43482.620800,3.1
43482.620846,3.1
43482.620892,3.2
43482.620939,3.1
43482.620985,3.1
43482.621031,3.1
43482.621078,3.2
43482.621124,3.1
43482.621170,3.1
43482.621216,3.2
43482.621263,3.2
43482.621309,3.1
43482.621355,3.1
43482.621402,3.2
43482.621448,3.2
43482.621494,3.1
43482.621541,3.1
43482.621587,3.1
43482.621633,3.1
43482.621679,3.1
43482.621726,3.1
43482.621772,3.1
43482.621818,3.2
43482.621865,3.2
43482.621911,3.2
43482.621957,3.1
43482.622003,3.2
43482.622050,3.6
43482.622096,3.2
43482.622142,3.8
43482.622189,3.2
43482.622235,3.1
43482.622281,3.2
43482.622328,3.1
43482.622374,3.1
43482.622420,5.1
43482.622466,3.3
43482.622513,3.2
43482.622559,3.2
43482.622605,3.1
43482.622652,3.7
43482.622698,3.1
43482.622744,3.2
43482.622791,3.2
43482.622837,3.1
43482.622883,3.1
43482.622929,3.1
43482.622976,3.2
43482.623022,3.1
43482.623068,3.1
43482.623115,3.4
43482.623161,3.2
43482.623207,3.2
43482.623254,3.4
43482.623300,3.2
43482.623346,3.2
43482.623392,3.1
43482.623439,3.1
43482.623485,3.2
43482.623531,3.0
43482.623578,3.4
43482.623624,3.3
43482.623670,3.2
43482.623717,3.1
43482.623763,3.2
43482.623809,3.1
43482.623855,3.1
43482.623902,3.1
43482.623948,3.1
43482.623994,2.8
43482.624041,3.1
43482.624087,3.1
43482.624133,2.9
43482.624179,2.9
43482.624226,2.9
43482.624272,3.0
43482.624318,2.8
43482.624365,2.9
43482.624411,2.9
43482.624457,2.9
43482.624504,3.0
43482.624550,2.9
43482.624596,2.8
43482.624642,2.9
43482.624689,2.9
43482.624735,2.9
43482.624781,3.1
43482.624828,2.9
43482.624874,2.9
43482.624920,3.0
43482.624967,3.0
43482.625013,2.9
43482.625059,3.0
43482.625105,3.0
43482.625152,3.0
43482.625198,2.9
43482.625244,3.0
43482.625291,3.1
43482.625337,2.9
43482.625383,3.1
43482.625430,2.9
43482.625476,3.0
43482.625522,2.9
43482.625568,3.1
43482.625615,3.0
43482.625661,3.1
43482.625707,2.9
43482.625754,2.9
43482.625800,3.0
43482.625846,2.9
43482.625892,2.9
43482.625939,2.9
43482.625985,3.0
43482.626031,2.9
43482.626078,3.1
43482.626124,2.9
43482.626170,3.0
43482.626217,2.9
43482.626263,2.9
43482.626309,2.9
43482.626355,3.0
43482.626402,3.0
43482.626448,2.9
43482.626494,2.9
43482.626541,3.0
43482.626587,2.9
43482.626633,3.0
43482.626680,2.9
43482.626726,3.0
43482.626772,3.4
43482.626818,2.9
43482.626865,3.0
43482.626911,3.0
43482.626957,3.2
43482.627004,3.0
43482.627050,2.9
43482.627096,2.9
43482.627143,3.0
43482.627189,2.9
43482.627235,2.9
43482.627281,3.0
43482.627328,3.0
43482.627374,3.0
43482.627420,2.9
43482.627467,2.9
43482.627513,2.9
43482.627559,2.9
43482.627605,3.0
43482.627652,3.0
43482.627698,2.9
43482.627744,2.9
43482.627791,2.9
43482.627837,3.0
43482.627883,2.9
43482.627930,2.9
43482.627976,2.9
43482.628022,3.1
43482.628068,2.9
43482.628115,3.3
43482.628161,2.9
43482.628207,2.5
43482.628254,2.7
43482.628300,2.9
43482.628346,2.9
43482.628393,3.0
43482.628439,2.9
43482.628485,2.9
43482.628531,3.2
