Time,Used,Committed,Max,Threshold
43514.602397,74628584,82059264,-1,0
43514.602441,74855880,82059264,-1,0
43514.602487,74916664,82321408,-1,0
43514.602533,75116320,82714624,-1,0
43514.602580,75176112,82714624,-1,0
43514.602626,75254472,82714624,-1,0
43514.602672,75260416,82714624,-1,0
43514.602719,75297440,82714624,-1,0
43514.602765,75329080,82714624,-1,0
43514.602811,75349576,82714624,-1,0
43514.602858,76944056,84811776,-1,0
43514.602904,84224536,92545024,-1,0
43514.602950,84355264,92807168,-1,0
43514.602996,84375920,92807168,-1,0
43514.603043,84409128,92807168,-1,0
43514.603089,84436680,92807168,-1,0
43514.603135,84477032,92807168,-1,0
43514.603182,84938272,93462528,-1,0
43514.603228,85109736,93724672,-1,0
43514.603274,85185808,93724672,-1,0
43514.603321,85195712,93724672,-1,0
43514.603367,85211600,93724672,-1,0
43514.603413,85231840,93724672,-1,0
43514.603459,85251288,93724672,-1,0
43514.603506,85270888,93724672,-1,0
43514.603552,85274736,93724672,-1,0
43514.603598,85278632,93724672,-1,0
43514.603645,85281944,93724672,-1,0
43514.603691,85288152,93724672,-1,0
43514.603737,85288936,93724672,-1,0
43514.603783,85290384,93724672,-1,0
43514.603830,85294784,93724672,-1,0
43514.603876,85296504,93724672,-1,0
43514.603922,85310728,93724672,-1,0
43514.603969,85312104,93724672,-1,0
43514.604015,85316912,93724672,-1,0
43514.604061,85320304,93724672,-1,0
43514.604108,85326352,93724672,-1,0
43514.604154,85326784,93724672,-1,0
43514.604200,85328296,93724672,-1,0
43514.604246,85371384,93986816,-1,0
43514.604293,85371384,93986816,-1,0
43514.604339,85372992,93986816,-1,0
43514.604385,85375664,93986816,-1,0
43514.604432,85375664,93986816,-1,0
43514.604478,85376112,93986816,-1,0
43514.604524,85382320,93986816,-1,0
43514.604571,85388288,93986816,-1,0
43514.604617,85395936,93986816,-1,0
43514.604663,85404984,93986816,-1,0
43514.604709,85409056,93986816,-1,0
43514.604756,85413984,93986816,-1,0
43514.604802,85419696,93986816,-1,0
43514.604848,85424192,93986816,-1,0
43514.604895,85425056,93986816,-1,0
43514.604941,85426712,93986816,-1,0
43514.604987,85457816,93986816,-1,0
43514.605034,85465280,93986816,-1,0
43514.605080,85467168,93986816,-1,0
43514.605126,85467168,93986816,-1,0
43514.605172,85467672,93986816,-1,0
43514.605219,85473088,93986816,-1,0
43514.605265,85474392,93986816,-1,0
43514.605311,85474760,93986816,-1,0
43514.605358,85474760,93986816,-1,0
43514.605404,85474760,93986816,-1,0
43514.605450,85474760,93986816,-1,0
43514.605497,85475168,93986816,-1,0
43514.605543,85475600,93986816,-1,0
43514.605589,85475600,93986816,-1,0
43514.605635,85475600,93986816,-1,0
43514.605682,85475600,93986816,-1,0
43514.605728,85475600,93986816,-1,0
43514.605774,85480752,93986816,-1,0
43514.605821,85481960,93986816,-1,0
43514.605867,85482280,93986816,-1,0
43514.605913,85482280,93986816,-1,0
43514.605959,85482280,93986816,-1,0
43514.606006,85482280,93986816,-1,0
43514.606052,85483736,93986816,-1,0
43514.606098,85484224,93986816,-1,0
43514.606145,85488944,93986816,-1,0
43514.606191,85493784,93986816,-1,0
43514.606237,85495648,93986816,-1,0
43514.606284,85496048,93986816,-1,0
43514.606330,85504832,93986816,-1,0
43514.606376,85504832,93986816,-1,0
43514.606422,85505400,93986816,-1,0
43514.606469,85512056,93986816,-1,0
43514.606515,85521776,93986816,-1,0
43514.606561,85528504,93986816,-1,0
43514.606608,85528992,93986816,-1,0
43514.606654,85529352,93986816,-1,0
43514.606700,85529880,93986816,-1,0
43514.606747,85529880,93986816,-1,0
43514.606793,85533968,93986816,-1,0
43514.606839,85533968,93986816,-1,0
43514.606885,85533968,93986816,-1,0
43514.606932,85533968,93986816,-1,0
43514.606978,85533968,93986816,-1,0
43514.607024,85533968,93986816,-1,0
43514.607071,85534488,93986816,-1,0
43514.607117,85535384,93986816,-1,0
43514.607163,85535384,93986816,-1,0
43514.607210,85535384,93986816,-1,0
43514.607256,85538544,93986816,-1,0
43514.607302,85538544,93986816,-1,0
43514.607348,85539408,93986816,-1,0
43514.607395,85539408,93986816,-1,0
43514.607441,85539408,93986816,-1,0
43514.607487,85539408,93986816,-1,0
43514.607534,85539408,93986816,-1,0
43514.607580,85539408,93986816,-1,0
43514.607626,85539408,93986816,-1,0
43514.607672,85542856,93986816,-1,0
43514.607719,85542856,93986816,-1,0
43514.607765,85542856,93986816,-1,0
43514.607811,85544976,93986816,-1,0
43514.607858,85544976,93986816,-1,0
43514.607904,85544976,93986816,-1,0
43514.607950,85545592,93986816,-1,0
43514.607997,85554768,93986816,-1,0
43514.608043,85554768,93986816,-1,0
43514.608089,85555264,93986816,-1,0
43514.608135,85717968,94248960,-1,0
43514.608182,85717968,94248960,-1,0
43514.608228,85717968,94248960,-1,0
43514.608274,85721072,94248960,-1,0
43514.608321,85721072,94248960,-1,0
43514.608367,85721072,94248960,-1,0
43514.608413,85721072,94248960,-1,0
43514.608460,85721488,94248960,-1,0
43514.608506,85725008,94248960,-1,0
43514.608552,85725008,94248960,-1,0
43514.608598,85725688,94248960,-1,0
43514.608645,85726384,94248960,-1,0
43514.608691,85728176,94248960,-1,0
43514.608737,85729136,94248960,-1,0
43514.608784,85729136,94248960,-1,0
43514.608830,85729136,94248960,-1,0
43514.608876,85729136,94248960,-1,0
43514.608923,85729136,94248960,-1,0
43514.608969,85729136,94248960,-1,0
43514.609015,85729136,94248960,-1,0
43514.609061,85729136,94248960,-1,0
43514.609108,85729136,94248960,-1,0
43514.609154,85744408,94248960,-1,0
43514.609200,85745328,94248960,-1,0
43514.609247,85745328,94248960,-1,0
43514.609293,85745328,94248960,-1,0
