Time,Used,Committed,Max
43514.602397,101736320,110813184,-1
43514.602441,103058632,112058368,-1
43514.602487,103443576,112648192,-1
43514.602533,103860504,113369088,-1
43514.602580,104194376,113631232,-1
43514.602626,104542592,113893376,-1
43514.602672,104610024,114024448,-1
43514.602719,104720120,114089984,-1
43514.602765,104890280,114221056,-1
43514.602811,105076792,114352128,-1
43514.602858,107308096,117170176,-1
43514.602904,120954920,131194880,-1
43514.602950,121985984,132374528,-1
43514.602996,122393936,132767744,-1
43514.603043,122746368,133095424,-1
43514.603089,123145432,133423104,-1
43514.603135,123351528,133619712,-1
43514.603182,125460832,135979008,-1
43514.603228,127198304,137814016,-1
43514.603274,125655384,138010624,-1
43514.603321,126281992,138469376,-1
43514.603367,126458544,138600448,-1
43514.603413,126695512,138731520,-1
43514.603459,126872656,138797056,-1
43514.603506,127109600,138928128,-1
43514.603552,127197800,138993664,-1
43514.603598,127309984,139059200,-1
43514.603645,127356432,139124736,-1
43514.603691,127387344,139124736,-1
43514.603737,127466720,139190272,-1
43514.603783,127499912,139190272,-1
43514.603830,127608528,139321344,-1
43514.603876,127815136,139452416,-1
43514.603922,127889136,139452416,-1
43514.603969,127988688,139517952,-1
43514.604015,128147352,139649024,-1
43514.604061,128177880,139649024,-1
43514.604108,128238200,139649024,-1
43514.604154,127726888,139714560,-1
43514.604200,124727440,139714560,-1
43514.604246,124933216,139976704,-1
43514.604293,121935072,139976704,-1
43514.604339,119061800,139976704,-1
43514.604385,119086744,139976704,-1
43514.604432,119111064,139976704,-1
43514.604478,119117784,139976704,-1
43514.604524,119138456,139976704,-1
43514.604571,119174760,139976704,-1
43514.604617,119192648,139976704,-1
43514.604663,119307168,140042240,-1
43514.604709,119347848,140042240,-1
43514.604756,119396424,140042240,-1
43514.604802,119430424,140042240,-1
43514.604848,119476520,140042240,-1
43514.604895,119477416,140042240,-1
43514.604941,119501952,140042240,-1
43514.604987,119610752,140042240,-1
43514.605034,119636264,140042240,-1
43514.605080,119673096,140042240,-1
43514.605126,119729800,140042240,-1
43514.605172,119748096,140042240,-1
43514.605219,119792936,140042240,-1
43514.605265,119823896,140042240,-1
43514.605311,119854912,140042240,-1
43514.605358,119905072,140042240,-1
43514.605404,119918384,140042240,-1
43514.605450,119924272,140042240,-1
43514.605497,119929160,140042240,-1
43514.605543,119930744,140042240,-1
43514.605589,119930744,140042240,-1
