Time,CPU Usage
43514.602441,6.8
43514.602487,5.4
43514.602534,3.3
43514.602580,3.3
43514.602626,3.7
43514.602672,3.0
43514.602719,2.5
43514.602765,3.3
43514.602811,4.7
43514.602858,4.5
43514.602904,26.0
43514.602950,14.6
43514.602997,9.6
43514.603043,10.4
43514.603089,11.6
43514.603135,5.7
43514.603182,23.6
43514.603228,28.3
43514.603274,29.0
43514.603321,16.6
43514.603367,7.8
43514.603413,8.4
43514.603459,7.6
43514.603506,7.9
43514.603552,6.9
43514.603598,7.2
43514.603645,6.0
43514.603691,5.9
43514.603737,7.4
43514.603784,6.0
43514.603830,7.3
43514.603876,7.4
43514.603922,5.7
43514.603969,7.2
43514.604015,7.4
43514.604061,5.6
43514.604108,5.9
43514.604154,6.1
43514.604200,5.7
43514.604247,5.7
43514.604293,5.6
43514.604339,5.9
43514.604385,5.5
43514.604432,5.7
43514.604478,5.5
43514.604524,5.6
43514.604571,5.6
43514.604617,5.6
43514.604663,7.9
43514.604709,5.6
43514.604756,5.7
43514.604802,5.6
43514.604848,5.6
43514.604895,5.5
43514.604941,5.7
43514.604987,5.7
43514.605034,5.4
43514.605080,5.8
43514.605126,6.2
43514.605172,5.8
43514.605219,5.6
43514.605265,5.5
43514.605311,5.6
43514.605358,5.8
43514.605404,5.5
43514.605450,5.4
43514.605497,5.6
43514.605543,5.5
43514.605589,5.5
43514.605635,5.5
43514.605682,5.5
43514.605728,5.6
43514.605774,5.4
43514.605821,5.4
43514.605867,5.5
43514.605913,5.6
43514.605960,5.8
43514.606006,5.4
43514.606052,5.5
43514.606098,5.9
43514.606145,5.6
43514.606191,5.4
43514.606237,5.6
43514.606284,5.5
43514.606330,5.6
43514.606376,5.4
43514.606423,5.7
43514.606469,5.9
43514.606515,5.4
43514.606561,5.5
43514.606608,6.0
43514.606654,5.6
43514.606700,5.5
43514.606747,5.4
43514.606793,5.5
43514.606839,5.4
43514.606885,5.6
43514.606932,5.4
43514.606978,5.5
43514.607024,5.5
43514.607071,5.4
43514.607117,5.4
43514.607163,5.5
43514.607210,5.6
43514.607256,5.5
43514.607302,5.3
43514.607348,5.5
43514.607395,5.8
43514.607441,5.8
43514.607487,5.3
43514.607534,5.5
43514.607580,5.5
43514.607626,5.6
43514.607673,5.4
43514.607719,5.4
43514.607765,5.5
43514.607811,5.4
43514.607858,5.4
43514.607904,6.0
43514.607950,5.8
43514.607997,6.0
43514.608043,5.9
43514.608089,5.8
43514.608135,5.8
43514.608182,5.5
43514.608228,5.4
43514.608274,5.4
43514.608321,5.4
