Time,Used,Committed,Max,Threshold
43514.618709,265289728,290455552,-1,-1
43514.618754,36700160,277872640,-1,-1
43514.618801,70254592,277872640,-1,-1
43514.618847,104857600,277872640,-1,-1
43514.618893,138412032,277872640,-1,-1
43514.618939,173015040,277872640,-1,-1
43514.618986,207618048,277872640,-1,-1
43514.619032,48234496,282066944,-1,-1
43514.619078,106954752,282066944,-1,-1
43514.619125,168820736,282066944,-1,-1
43514.619171,248512512,282066944,-1,-1
43514.619217,62914560,278921216,-1,-1
43514.619264,136314880,278921216,-1,-1
43514.619310,208666624,278921216,-1,-1
43514.619356,20971520,283115520,-1,-1
43514.619402,91226112,283115520,-1,-1
43514.619449,161480704,283115520,-1,-1
43514.619495,232783872,283115520,-1,-1
43514.619541,36700160,283115520,-1,-1
43514.619588,109051904,283115520,-1,-1
43514.619634,179306496,283115520,-1,-1
43514.619680,249561088,283115520,-1,-1
43514.619726,53477376,283115520,-1,-1
43514.619773,123731968,283115520,-1,-1
43514.619819,192937984,283115520,-1,-1
43514.619865,262144000,283115520,-1,-1
43514.619912,66060288,283115520,-1,-1
43514.619958,136314880,283115520,-1,-1
43514.620004,205520896,283115520,-1,-1
43514.620051,8388608,283115520,-1,-1
43514.620097,76546048,283115520,-1,-1
43514.620143,146800640,283115520,-1,-1
43514.620189,216006656,283115520,-1,-1
43514.620236,18874368,283115520,-1,-1
43514.620282,89128960,283115520,-1,-1
43514.620328,158334976,283115520,-1,-1
43514.620375,228589568,283115520,-1,-1
43514.620421,30408704,283115520,-1,-1
43514.620467,100663296,283115520,-1,-1
43514.620514,169869312,283115520,-1,-1
43514.620560,239075328,283115520,-1,-1
43514.620606,41943040,283115520,-1,-1
43514.620652,113246208,283115520,-1,-1
43514.620699,182452224,283115520,-1,-1
43514.620745,251658240,283115520,-1,-1
43514.620791,56623104,283115520,-1,-1
43514.620838,125829120,283115520,-1,-1
43514.620884,196083712,283115520,-1,-1
43514.620930,266338304,283115520,-1,-1
43514.620977,69206016,282066944,-1,-1
43514.621023,138412032,282066944,-1,-1
43514.621069,208666624,282066944,-1,-1
43514.621115,12582912,283115520,-1,-1
43514.621162,81788928,283115520,-1,-1
43514.621208,152043520,283115520,-1,-1
43514.621254,222298112,283115520,-1,-1
43514.621301,25165824,283115520,-1,-1
