Time,Used,Committed,Max,Threshold
43514.618709,3145728,3145728,-1,-1
43514.618754,15728640,15728640,-1,-1
43514.618801,15728640,15728640,-1,-1
43514.618847,15728640,15728640,-1,-1
43514.618893,15728640,15728640,-1,-1
43514.618939,15728640,15728640,-1,-1
43514.618986,15728640,15728640,-1,-1
43514.619032,11534336,11534336,-1,-1
43514.619078,11534336,11534336,-1,-1
43514.619125,11534336,11534336,-1,-1
43514.619171,11534336,11534336,-1,-1
43514.619217,14680064,14680064,-1,-1
43514.619264,14680064,14680064,-1,-1
43514.619310,14680064,14680064,-1,-1
43514.619356,10485760,10485760,-1,-1
43514.619402,10485760,10485760,-1,-1
43514.619449,10485760,10485760,-1,-1
43514.619495,10485760,10485760,-1,-1
43514.619541,10485760,10485760,-1,-1
43514.619588,10485760,10485760,-1,-1
43514.619634,10485760,10485760,-1,-1
43514.619680,10485760,10485760,-1,-1
43514.619726,10485760,10485760,-1,-1
43514.619773,10485760,10485760,-1,-1
43514.619819,10485760,10485760,-1,-1
43514.619865,10485760,10485760,-1,-1
43514.619912,10485760,10485760,-1,-1
43514.619958,10485760,10485760,-1,-1
43514.620004,10485760,10485760,-1,-1
43514.620051,10485760,10485760,-1,-1
43514.620097,10485760,10485760,-1,-1
43514.620143,10485760,10485760,-1,-1
43514.620189,10485760,10485760,-1,-1
43514.620236,10485760,10485760,-1,-1
43514.620282,10485760,10485760,-1,-1
43514.620328,10485760,10485760,-1,-1
43514.620375,10485760,10485760,-1,-1
43514.620421,10485760,10485760,-1,-1
43514.620467,10485760,10485760,-1,-1
43514.620514,10485760,10485760,-1,-1
43514.620560,10485760,10485760,-1,-1
43514.620606,10485760,10485760,-1,-1
43514.620652,10485760,10485760,-1,-1
43514.620699,10485760,10485760,-1,-1
43514.620745,10485760,10485760,-1,-1
43514.620791,10485760,10485760,-1,-1
43514.620838,10485760,10485760,-1,-1
43514.620884,10485760,10485760,-1,-1
43514.620930,10485760,10485760,-1,-1
43514.620977,11534336,11534336,-1,-1
43514.621023,11534336,11534336,-1,-1
43514.621069,11534336,11534336,-1,-1
43514.621115,10485760,10485760,-1,-1
43514.621162,10485760,10485760,-1,-1
43514.621208,10485760,10485760,-1,-1
43514.621254,10485760,10485760,-1,-1
43514.621301,10485760,10485760,-1,-1
43514.621347,10485760,10485760,-1,-1
43514.621393,10485760,10485760,-1,-1
43514.621440,10485760,10485760,-1,-1
43514.621486,4194304,4194304,-1,-1
43514.621532,4194304,4194304,-1,-1
43514.621578,4194304,4194304,-1,-1
43514.621625,4194304,4194304,-1,-1
43514.621671,3145728,3145728,-1,-1
43514.621717,3145728,3145728,-1,-1
43514.621764,3145728,3145728,-1,-1
43514.621810,3145728,3145728,-1,-1
43514.621856,1048576,1048576,-1,-1
43514.621903,1048576,1048576,-1,-1
43514.621949,1048576,1048576,-1,-1
43514.621995,1048576,1048576,-1,-1
43514.622041,1048576,1048576,-1,-1
43514.622088,1048576,1048576,-1,-1
43514.622134,1048576,1048576,-1,-1
43514.622180,1048576,1048576,-1,-1
43514.622227,1048576,1048576,-1,-1
43514.622273,1048576,1048576,-1,-1
43514.622319,1048576,1048576,-1,-1
43514.622365,1048576,1048576,-1,-1
43514.622412,1048576,1048576,-1,-1
43514.622458,1048576,1048576,-1,-1
43514.622504,1048576,1048576,-1,-1
43514.622551,1048576,1048576,-1,-1
43514.622597,1048576,1048576,-1,-1
43514.622643,1048576,1048576,-1,-1
43514.622690,1048576,1048576,-1,-1
43514.622736,1048576,1048576,-1,-1
43514.622782,1048576,1048576,-1,-1
43514.622828,1048576,1048576,-1,-1
43514.622875,1048576,1048576,-1,-1
43514.622921,1048576,1048576,-1,-1
43514.622967,1048576,1048576,-1,-1
43514.623014,1048576,1048576,-1,-1
43514.623060,1048576,1048576,-1,-1
43514.623106,1048576,1048576,-1,-1
43514.623153,1048576,1048576,-1,-1
43514.623199,1048576,1048576,-1,-1
43514.623245,1048576,1048576,-1,-1
43514.623291,1048576,1048576,-1,-1
43514.623338,1048576,1048576,-1,-1
43514.623384,1048576,1048576,-1,-1
43514.623430,1048576,1048576,-1,-1
43514.623477,1048576,1048576,-1,-1
43514.623523,1048576,1048576,-1,-1
43514.623569,1048576,1048576,-1,-1
43514.623616,1048576,1048576,-1,-1
43514.623662,1048576,1048576,-1,-1
43514.623708,1048576,1048576,-1,-1
43514.623754,1048576,1048576,-1,-1
43514.623801,1048576,1048576,-1,-1
43514.623847,1048576,1048576,-1,-1
43514.623893,1048576,1048576,-1,-1
43514.623940,1048576,1048576,-1,-1
43514.623986,1048576,1048576,-1,-1
43514.624032,1048576,1048576,-1,-1
43514.624078,1048576,1048576,-1,-1
43514.624125,1048576,1048576,-1,-1
43514.624171,1048576,1048576,-1,-1
43514.624217,1048576,1048576,-1,-1
43514.624264,1048576,1048576,-1,-1
43514.624310,1048576,1048576,-1,-1
43514.624356,1048576,1048576,-1,-1
43514.624403,1048576,1048576,-1,-1
43514.624449,1048576,1048576,-1,-1
43514.624495,1048576,1048576,-1,-1
43514.624541,1048576,1048576,-1,-1
43514.624588,1048576,1048576,-1,-1
43514.624634,1048576,1048576,-1,-1
43514.624680,1048576,1048576,-1,-1
43514.624727,1048576,1048576,-1,-1
43514.624773,1048576,1048576,-1,-1
43514.624819,1048576,1048576,-1,-1
43514.624866,1048576,1048576,-1,-1
43514.624912,1048576,1048576,-1,-1
43514.624958,1048576,1048576,-1,-1
43514.625004,1048576,1048576,-1,-1
43514.625051,1048576,1048576,-1,-1
43514.625097,1048576,1048576,-1,-1
43514.625143,1048576,1048576,-1,-1
43514.625190,1048576,1048576,-1,-1
43514.625236,1048576,1048576,-1,-1
43514.625282,1048576,1048576,-1,-1
43514.625329,1048576,1048576,-1,-1
43514.625375,1048576,1048576,-1,-1
43514.625421,1048576,1048576,-1,-1
43514.625467,1048576,1048576,-1,-1
43514.625514,1048576,1048576,-1,-1
43514.625560,1048576,1048576,-1,-1
43514.625606,1048576,1048576,-1,-1
43514.625653,1048576,1048576,-1,-1
43514.625699,1048576,1048576,-1,-1
43514.625745,1048576,1048576,-1,-1
43514.625792,1048576,1048576,-1,-1
43514.625838,1048576,1048576,-1,-1
43514.625884,1048576,1048576,-1,-1
43514.625930,1048576,1048576,-1,-1
43514.625977,1048576,1048576,-1,-1
43514.626023,1048576,1048576,-1,-1
43514.626069,1048576,1048576,-1,-1
43514.626116,1048576,1048576,-1,-1
43514.626162,1048576,1048576,-1,-1
43514.626208,1048576,1048576,-1,-1
43514.626254,1048576,1048576,-1,-1
43514.626301,1048576,1048576,-1,-1
43514.626347,1048576,1048576,-1,-1
43514.626393,1048576,1048576,-1,-1
43514.626440,1048576,1048576,-1,-1
43514.626486,1048576,1048576,-1,-1
43514.626532,1048576,1048576,-1,-1
43514.626579,1048576,1048576,-1,-1
43514.626625,1048576,1048576,-1,-1
43514.626671,1048576,1048576,-1,-1
43514.626717,1048576,1048576,-1,-1
43514.626764,1048576,1048576,-1,-1
43514.626810,1048576,1048576,-1,-1
43514.626856,1048576,1048576,-1,-1
43514.626903,1048576,1048576,-1,-1
43514.626949,1048576,1048576,-1,-1
43514.626995,1048576,1048576,-1,-1
43514.627042,1048576,1048576,-1,-1
43514.627088,1048576,1048576,-1,-1
43514.627134,1048576,1048576,-1,-1
43514.627180,1048576,1048576,-1,-1
43514.627227,1048576,1048576,-1,-1
43514.627273,1048576,1048576,-1,-1
43514.627319,1048576,1048576,-1,-1
43514.627366,1048576,1048576,-1,-1
43514.627412,1048576,1048576,-1,-1
43514.627458,1048576,1048576,-1,-1
43514.627505,1048576,1048576,-1,-1
43514.627551,1048576,1048576,-1,-1
43514.627597,1048576,1048576,-1,-1
43514.627643,1048576,1048576,-1,-1
43514.627690,1048576,1048576,-1,-1
43514.627736,1048576,1048576,-1,-1
43514.627782,1048576,1048576,-1,-1
43514.627829,1048576,1048576,-1,-1
43514.627875,1048576,1048576,-1,-1
43514.627921,1048576,1048576,-1,-1
43514.627967,1048576,1048576,-1,-1
43514.628014,1048576,1048576,-1,-1
43514.628060,1048576,1048576,-1,-1
43514.628106,1048576,1048576,-1,-1
43514.628153,1048576,1048576,-1,-1
43514.628199,1048576,1048576,-1,-1
43514.628245,1048576,1048576,-1,-1
43514.628292,1048576,1048576,-1,-1
43514.628338,1048576,1048576,-1,-1
43514.628384,1048576,1048576,-1,-1
43514.628430,1048576,1048576,-1,-1
43514.628477,1048576,1048576,-1,-1
43514.628523,1048576,1048576,-1,-1
43514.628569,1048576,1048576,-1,-1
43514.628616,1048576,1048576,-1,-1
43514.628662,1048576,1048576,-1,-1
43514.628708,1048576,1048576,-1,-1
43514.628755,1048576,1048576,-1,-1
43514.628801,1048576,1048576,-1,-1
43514.628847,1048576,1048576,-1,-1
43514.628893,1048576,1048576,-1,-1
43514.628940,1048576,1048576,-1,-1
43514.628986,1048576,1048576,-1,-1
43514.629032,1048576,1048576,-1,-1
43514.629079,1048576,1048576,-1,-1
43514.629125,1048576,1048576,-1,-1
43514.629171,1048576,1048576,-1,-1
43514.629218,1048576,1048576,-1,-1
43514.629264,1048576,1048576,-1,-1
43514.629310,1048576,1048576,-1,-1
43514.629356,1048576,1048576,-1,-1
43514.629403,1048576,1048576,-1,-1
43514.629449,1048576,1048576,-1,-1
43514.629495,1048576,1048576,-1,-1
43514.629542,1048576,1048576,-1,-1
43514.629588,1048576,1048576,-1,-1
43514.629634,1048576,1048576,-1,-1
43514.629680,1048576,1048576,-1,-1
43514.629727,1048576,1048576,-1,-1
43514.629773,1048576,1048576,-1,-1
43514.629819,1048576,1048576,-1,-1
43514.629866,1048576,1048576,-1,-1
43514.629912,1048576,1048576,-1,-1
43514.629958,1048576,1048576,-1,-1
43514.630005,1048576,1048576,-1,-1
43514.630051,1048576,1048576,-1,-1
43514.630097,1048576,1048576,-1,-1
43514.630143,1048576,1048576,-1,-1
43514.630190,1048576,1048576,-1,-1
43514.630236,1048576,1048576,-1,-1
43514.630282,1048576,1048576,-1,-1
43514.630329,1048576,1048576,-1,-1
43514.630375,1048576,1048576,-1,-1
43514.630421,1048576,1048576,-1,-1
43514.630468,1048576,1048576,-1,-1
43514.630514,1048576,1048576,-1,-1
43514.630560,1048576,1048576,-1,-1
43514.630606,1048576,1048576,-1,-1
43514.630653,1048576,1048576,-1,-1
43514.630699,1048576,1048576,-1,-1
43514.630745,1048576,1048576,-1,-1
43514.630792,1048576,1048576,-1,-1
43514.630838,1048576,1048576,-1,-1
43514.630884,1048576,1048576,-1,-1
43514.630931,1048576,1048576,-1,-1
43514.630977,1048576,1048576,-1,-1
43514.631023,1048576,1048576,-1,-1
43514.631069,1048576,1048576,-1,-1
43514.631116,1048576,1048576,-1,-1
43514.631162,1048576,1048576,-1,-1
43514.631208,1048576,1048576,-1,-1
43514.631255,1048576,1048576,-1,-1
43514.631301,1048576,1048576,-1,-1
43514.631347,1048576,1048576,-1,-1
43514.631393,1048576,1048576,-1,-1
43514.631440,1048576,1048576,-1,-1
43514.631486,1048576,1048576,-1,-1
43514.631532,1048576,1048576,-1,-1
43514.631579,1048576,1048576,-1,-1
43514.631625,1048576,1048576,-1,-1
43514.631671,1048576,1048576,-1,-1
43514.631718,1048576,1048576,-1,-1
43514.631764,1048576,1048576,-1,-1
43514.631810,1048576,1048576,-1,-1
43514.631856,1048576,1048576,-1,-1
43514.631903,1048576,1048576,-1,-1
43514.631949,1048576,1048576,-1,-1
43514.631995,1048576,1048576,-1,-1
43514.632042,1048576,1048576,-1,-1
43514.632088,1048576,1048576,-1,-1
43514.632134,1048576,1048576,-1,-1
43514.632181,1048576,1048576,-1,-1
