Time,Used,Committed,Max,Threshold
43514.618709,73586064,80748544,-1,0
43514.618754,74065688,81272832,-1,0
43514.618801,74143136,81272832,-1,0
43514.618847,74285408,81534976,-1,0
43514.618893,74352304,81534976,-1,0
43514.618939,74451688,81534976,-1,0
43514.618986,74812832,82190336,-1,0
43514.619032,83874128,92020736,-1,0
43514.619078,84562824,92807168,-1,0
43514.619125,85022840,93462528,-1,0
43514.619171,85316120,93724672,-1,0
43514.619217,85455528,93724672,-1,0
43514.619264,85531352,93986816,-1,0
43514.619310,85574400,93986816,-1,0
43514.619356,85629584,93986816,-1,0
43514.619402,85663376,93986816,-1,0
43514.619449,85698640,93986816,-1,0
43514.619495,85728472,93986816,-1,0
43514.619541,85735640,93986816,-1,0
43514.619588,85740920,93986816,-1,0
43514.619634,85743960,93986816,-1,0
43514.619680,85749776,93986816,-1,0
43514.619726,85758952,93986816,-1,0
43514.619773,85771032,93986816,-1,0
43514.619819,85791128,93986816,-1,0
43514.619865,85804520,93986816,-1,0
43514.619912,85811696,94248960,-1,0
43514.619958,85819336,94248960,-1,0
43514.620004,85822296,94248960,-1,0
43514.620051,85832168,94248960,-1,0
43514.620097,85838968,94248960,-1,0
43514.620143,85860040,94248960,-1,0
43514.620189,85860960,94248960,-1,0
43514.620236,85862712,94248960,-1,0
43514.620282,85864088,94248960,-1,0
43514.620328,85864872,94248960,-1,0
43514.620375,85864872,94248960,-1,0
43514.620421,85871512,94248960,-1,0
43514.620467,85872048,94248960,-1,0
43514.620514,85872048,94248960,-1,0
43514.620560,85873440,94248960,-1,0
43514.620606,85873928,94248960,-1,0
43514.620652,85877400,94248960,-1,0
43514.620699,85883880,94248960,-1,0
43514.620745,85883880,94248960,-1,0
43514.620791,85884312,94248960,-1,0
43514.620838,85889544,94248960,-1,0
43514.620884,85926360,94248960,-1,0
43514.620930,85926704,94248960,-1,0
43514.620977,85933256,94248960,-1,0
43514.621023,85933256,94248960,-1,0
43514.621069,85933256,94248960,-1,0
43514.621115,85935752,94248960,-1,0
43514.621162,85945312,94248960,-1,0
43514.621208,85949656,94248960,-1,0
43514.621254,85959104,94248960,-1,0
43514.621301,85963496,94248960,-1,0
43514.621347,85967456,94248960,-1,0
43514.621393,85968880,94248960,-1,0
43514.621440,85978048,94248960,-1,0
43514.621486,85980944,94248960,-1,0
43514.621532,85981488,94248960,-1,0
43514.621578,85990256,94248960,-1,0
43514.621625,86020864,94248960,-1,0
43514.621671,86024984,94248960,-1,0
43514.621717,86026328,94248960,-1,0
43514.621764,86026328,94248960,-1,0
43514.621810,86026832,94248960,-1,0
43514.621856,86027200,94248960,-1,0
43514.621903,86027200,94248960,-1,0
43514.621949,86027200,94248960,-1,0
43514.621995,86027200,94248960,-1,0
43514.622041,86027200,94248960,-1,0
43514.622088,86027608,94248960,-1,0
43514.622134,86027608,94248960,-1,0
43514.622180,86029320,94248960,-1,0
43514.622227,86045032,94511104,-1,0
43514.622273,86045952,94511104,-1,0
43514.622319,86045952,94511104,-1,0
43514.622365,86049760,94511104,-1,0
43514.622412,86051104,94511104,-1,0
43514.622458,86059424,94511104,-1,0
43514.622504,86059424,94511104,-1,0
43514.622551,86059424,94511104,-1,0
43514.622597,86059424,94511104,-1,0
43514.622643,86060544,94511104,-1,0
43514.622690,86061600,94511104,-1,0
43514.622736,86066328,94511104,-1,0
43514.622782,86070432,94511104,-1,0
43514.622828,86073232,94511104,-1,0
43514.622875,86073744,94511104,-1,0
43514.622921,86079008,94511104,-1,0
43514.622967,86087512,94511104,-1,0
43514.623014,86087512,94511104,-1,0
43514.623060,86089672,94511104,-1,0
43514.623106,86098480,94511104,-1,0
43514.623153,86099720,94511104,-1,0
43514.623199,86107344,94511104,-1,0
43514.623245,86107344,94511104,-1,0
43514.623291,86107344,94511104,-1,0
43514.623338,86107344,94511104,-1,0
43514.623384,86107344,94511104,-1,0
43514.623430,86107344,94511104,-1,0
43514.623477,86107344,94511104,-1,0
43514.623523,86107344,94511104,-1,0
43514.623569,86107344,94511104,-1,0
43514.623616,86107344,94511104,-1,0
43514.623662,86107864,94511104,-1,0
43514.623708,86107864,94511104,-1,0
43514.623754,86108224,94511104,-1,0
43514.623801,86108224,94511104,-1,0
43514.623847,86112512,94511104,-1,0
43514.623893,86112512,94511104,-1,0
43514.623940,86112512,94511104,-1,0
43514.623986,86112512,94511104,-1,0
43514.624032,86115000,94511104,-1,0
43514.624078,86115000,94511104,-1,0
43514.624125,86115000,94511104,-1,0
43514.624171,86118520,94511104,-1,0
43514.624217,86118520,94511104,-1,0
43514.624264,86118520,94511104,-1,0
43514.624310,86120880,94511104,-1,0
43514.624356,86124016,94511104,-1,0
43514.624403,86124016,94511104,-1,0
43514.624449,86125360,94511104,-1,0
43514.624495,86125360,94511104,-1,0
43514.624541,86125360,94511104,-1,0
43514.624588,86126136,94511104,-1,0
43514.624634,86136432,94511104,-1,0
43514.624680,86136432,94511104,-1,0
43514.624727,86136432,94511104,-1,0
43514.624773,86136432,94511104,-1,0
43514.624819,86136432,94511104,-1,0
43514.624866,86136432,94511104,-1,0
43514.624912,86137112,94511104,-1,0
43514.624958,86138560,94511104,-1,0
43514.625004,86139256,94511104,-1,0
43514.625051,86139256,94511104,-1,0
43514.625097,86139256,94511104,-1,0
43514.625143,86139256,94511104,-1,0
43514.625190,86140392,94511104,-1,0
43514.625236,86140392,94511104,-1,0
43514.625282,86140392,94511104,-1,0
43514.625329,86140392,94511104,-1,0
43514.625375,86140392,94511104,-1,0
43514.625421,86140392,94511104,-1,0
43514.625467,86140392,94511104,-1,0
43514.625514,86140392,94511104,-1,0
43514.625560,86140392,94511104,-1,0
43514.625606,86140392,94511104,-1,0
43514.625653,86140392,94511104,-1,0
43514.625699,86140392,94511104,-1,0
43514.625745,86140392,94511104,-1,0
43514.625792,86140392,94511104,-1,0
43514.625838,86140392,94511104,-1,0
43514.625884,86140392,94511104,-1,0
43514.625930,86140392,94511104,-1,0
43514.625977,86140392,94511104,-1,0
43514.626023,86141128,94511104,-1,0
43514.626069,86141128,94511104,-1,0
43514.626116,86144608,94511104,-1,0
43514.626162,86147032,94511104,-1,0
43514.626208,86147032,94511104,-1,0
43514.626254,86147520,94511104,-1,0
43514.626301,86147520,94511104,-1,0
43514.626347,86147520,94511104,-1,0
43514.626393,86147520,94511104,-1,0
43514.626440,86147520,94511104,-1,0
43514.626486,86147520,94511104,-1,0
43514.626532,86147520,94511104,-1,0
43514.626579,86147520,94511104,-1,0
43514.626625,86147520,94511104,-1,0
43514.626671,86147520,94511104,-1,0
43514.626717,86147520,94511104,-1,0
43514.626764,86147520,94511104,-1,0
43514.626810,86147520,94511104,-1,0
43514.626856,86147520,94511104,-1,0
43514.626903,86147520,94511104,-1,0
43514.626949,86147520,94511104,-1,0
43514.626995,86147520,94511104,-1,0
43514.627042,86147520,94511104,-1,0
43514.627088,86148480,94511104,-1,0
43514.627134,86148480,94511104,-1,0
43514.627180,86148480,94511104,-1,0
43514.627227,86148480,94511104,-1,0
43514.627273,86148480,94511104,-1,0
43514.627319,86148480,94511104,-1,0
43514.627366,86148480,94511104,-1,0
43514.627412,86148480,94511104,-1,0
43514.627458,86148480,94511104,-1,0
43514.627505,86148480,94511104,-1,0
43514.627551,86148480,94511104,-1,0
43514.627597,86148480,94511104,-1,0
43514.627643,86148480,94511104,-1,0
43514.627690,86148480,94511104,-1,0
43514.627736,86148480,94511104,-1,0
43514.627782,86148480,94511104,-1,0
43514.627829,86148480,94511104,-1,0
43514.627875,86148480,94511104,-1,0
43514.627921,86148480,94511104,-1,0
43514.627967,86148480,94511104,-1,0
43514.628014,86148480,94511104,-1,0
43514.628060,86148480,94511104,-1,0
43514.628106,86148480,94511104,-1,0
43514.628153,86148480,94511104,-1,0
43514.628199,86148480,94511104,-1,0
43514.628245,86148480,94511104,-1,0
43514.628292,86148480,94511104,-1,0
43514.628338,86148480,94511104,-1,0
43514.628384,86148480,94511104,-1,0
43514.628430,86148480,94511104,-1,0
43514.628477,86152664,94511104,-1,0
43514.628523,86152664,94511104,-1,0
43514.628569,86152664,94511104,-1,0
43514.628616,86154040,94511104,-1,0
43514.628662,86154040,94511104,-1,0
43514.628708,86154040,94511104,-1,0
43514.628755,86154040,94511104,-1,0
43514.628801,86154040,94511104,-1,0
43514.628847,86154040,94511104,-1,0
43514.628893,86154040,94511104,-1,0
43514.628940,86154040,94511104,-1,0
43514.628986,86154040,94511104,-1,0
43514.629032,86154040,94511104,-1,0
43514.629079,86154040,94511104,-1,0
43514.629125,86154040,94511104,-1,0
43514.629171,86154120,94511104,-1,0
43514.629218,86154120,94511104,-1,0
43514.629264,86154120,94511104,-1,0
43514.629310,86154120,94511104,-1,0
43514.629356,86154120,94511104,-1,0
43514.629403,86155056,94511104,-1,0
43514.629449,86155056,94511104,-1,0
43514.629495,86155056,94511104,-1,0
43514.629542,86155056,94511104,-1,0
43514.629588,86155056,94511104,-1,0
43514.629634,86155056,94511104,-1,0
43514.629680,86155056,94511104,-1,0
43514.629727,86155400,94511104,-1,0
43514.629773,86155400,94511104,-1,0
43514.629819,86156704,94511104,-1,0
43514.629866,86156704,94511104,-1,0
43514.629912,86156704,94511104,-1,0
43514.629958,86156704,94511104,-1,0
43514.630005,86156704,94511104,-1,0
43514.630051,86156704,94511104,-1,0
43514.630097,86157064,94511104,-1,0
43514.630143,86159048,94511104,-1,0
43514.630190,86166192,94511104,-1,0
43514.630236,86171288,94511104,-1,0
43514.630282,86172792,94511104,-1,0
43514.630329,86179152,94511104,-1,0
43514.630375,86181832,94511104,-1,0
43514.630421,86184600,94511104,-1,0
43514.630468,86187376,94511104,-1,0
43514.630514,86189768,94511104,-1,0
43514.630560,86189768,94511104,-1,0
43514.630606,86189768,94511104,-1,0
43514.630653,86189768,94511104,-1,0
43514.630699,86189768,94511104,-1,0
43514.630745,86189768,94511104,-1,0
43514.630792,86189768,94511104,-1,0
43514.630838,86189768,94511104,-1,0
43514.630884,86191824,94511104,-1,0
43514.630931,86193184,94511104,-1,0
43514.630977,86193864,94511104,-1,0
43514.631023,86197568,94511104,-1,0
43514.631069,86200016,94511104,-1,0
43514.631116,86202784,94511104,-1,0
43514.631162,86206912,94511104,-1,0
43514.631208,86211072,94511104,-1,0
43514.631255,86215552,94511104,-1,0
43514.631301,86215552,94511104,-1,0
43514.631347,86215552,94511104,-1,0
43514.631393,86215552,94511104,-1,0
43514.631440,86215552,94511104,-1,0
43514.631486,86215552,94511104,-1,0
43514.631532,86215552,94511104,-1,0
43514.631579,86215552,94511104,-1,0
43514.631625,86215552,94511104,-1,0
43514.631671,86215552,94511104,-1,0
43514.631718,86215552,94511104,-1,0
43514.631764,86215552,94511104,-1,0
43514.631810,86215552,94511104,-1,0
43514.631856,86215552,94511104,-1,0
43514.631903,86215552,94511104,-1,0
43514.631949,86215552,94511104,-1,0
43514.631995,86215552,94511104,-1,0
43514.632042,86215552,94511104,-1,0
43514.632088,86215552,94511104,-1,0
43514.632134,86215552,94511104,-1,0
43514.632181,86215552,94511104,-1,0
43514.632227,86215552,94511104,-1,0
43514.632273,86215552,94511104,-1,0
43514.632319,86215552,94511104,-1,0
