Time,Used,Committed,Max
43514.618709,97422320,106487808,-1
43514.618754,98878440,107995136,-1
43514.618801,99327456,108257280,-1
43514.618847,99960248,109043712,-1
43514.618893,100341568,109371392,-1
43514.618939,100792256,109699072,-1
43514.618986,101642144,110944256,-1
43514.619032,113855752,123985920,-1
43514.619078,117698824,127918080,-1
43514.619125,119491888,129949696,-1
43514.619171,121241192,132177920,-1
43514.619217,122610488,133029888,-1
43514.619264,123295688,133554176,-1
43514.619310,123646840,134078464,-1
43514.619356,124500760,134864896,-1
43514.619402,125030864,135389184,-1
43514.619449,125238552,135585792,-1
43514.619495,125579504,135847936,-1
43514.619541,125683184,135913472,-1
43514.619588,125733264,135979008,-1
43514.619634,125753712,135979008,-1
43514.619680,125908488,136175616,-1
43514.619726,125991392,136241152,-1
43514.619773,126097424,136306688,-1
43514.619819,126362640,136568832,-1
43514.619865,126410208,136634368,-1
43514.619912,126501096,136962048,-1
43514.619958,126685120,137093120,-1
43514.620004,126708304,137093120,-1
43514.620051,126728336,137093120,-1
43514.620097,126798240,137224192,-1
43514.620143,126924272,137289728,-1
43514.620189,126933176,137289728,-1
43514.620236,126947296,137289728,-1
43514.620282,126966080,137355264,-1
43514.620328,126978640,137355264,-1
43514.620375,126985040,137420800,-1
43514.620421,127105600,137486336,-1
43514.620467,127111000,137486336,-1
43514.620514,127149016,137551872,-1
43514.620560,127169608,137551872,-1
43514.620606,127189552,137551872,-1
43514.620652,127221952,137551872,-1
43514.620699,127274384,137617408,-1
43514.620745,127278992,137617408,-1
43514.620791,127300288,137682944,-1
43514.620838,127332656,137748480,-1
43514.620884,127484416,137814016,-1
43514.620930,127485784,137814016,-1
43514.620977,127519856,137879552,-1
43514.621023,127526896,137879552,-1
43514.621069,127528816,137879552,-1
43514.621115,127536304,137879552,-1
43514.621162,127660712,137945088,-1
43514.621208,127694464,138010624,-1
43514.621254,127711976,138010624,-1
43514.621301,127745040,138010624,-1
43514.621347,127766152,138010624,-1
43514.621393,127774744,138010624,-1
43514.621440,127819368,138141696,-1
43514.621486,127831608,138141696,-1
43514.621532,127839320,138141696,-1
43514.621578,127879664,138141696,-1
43514.621625,127984440,138207232,-1
43514.621671,128012736,138207232,-1
43514.621717,128022784,138272768,-1
43514.621764,128026240,138272768,-1
43514.621810,128028536,138272768,-1
43514.621856,128030312,138272768,-1
43514.621903,128030312,138272768,-1
43514.621949,128031080,138272768,-1
43514.621995,128041192,138272768,-1
43514.622041,128044392,138272768,-1
43514.622088,128045952,138272768,-1
43514.622134,128045952,138272768,-1
43514.622180,128053424,138272768,-1
43514.622227,128080224,138534912,-1
43514.622273,128091384,138534912,-1
43514.622319,128098680,138600448,-1
43514.622365,128146136,138665984,-1
43514.622412,128150296,138665984,-1
43514.622458,128170176,138665984,-1
43514.622504,128171456,138665984,-1
43514.622551,128207936,138665984,-1
43514.622597,128213696,138665984,-1
43514.622643,128224416,138665984,-1
43514.622690,128247488,138731520,-1
43514.622736,128293816,138731520,-1
43514.622782,128319936,138797056,-1
43514.622828,128337072,138797056,-1
43514.622875,128341552,138797056,-1
43514.622921,128376640,138797056,-1
43514.622967,128417912,138862592,-1
43514.623014,128419448,138862592,-1
43514.623060,128428520,138862592,-1
43514.623106,128529616,138928128,-1
43514.623153,128535080,138928128,-1
43514.623199,128606320,138993664,-1
43514.623245,128606320,138993664,-1
43514.623291,128606320,138993664,-1
43514.623338,128606320,138993664,-1
43514.623384,128606960,138993664,-1
43514.623430,128634480,139059200,-1
43514.623477,128640368,139059200,-1
43514.623523,128776560,139190272,-1
43514.623569,128811760,139255808,-1
43514.623616,128841200,139255808,-1
43514.623662,128848632,139255808,-1
43514.623708,128849400,139255808,-1
43514.623754,128850656,139255808,-1
43514.623801,128858208,139255808,-1
43514.623847,128879008,139255808,-1
43514.623893,128879008,139255808,-1
43514.623940,128879008,139255808,-1
43514.623986,128880416,139255808,-1
43514.624032,128905784,139255808,-1
43514.624078,128910520,139255808,-1
43514.624125,128920376,139321344,-1
43514.624171,128925184,139321344,-1
43514.624217,128930816,139321344,-1
43514.624264,128931584,139321344,-1
43514.624310,128952504,139321344,-1
43514.624356,128984312,139386880,-1
43514.624403,128984312,139386880,-1
43514.624449,129007672,139386880,-1
43514.624495,129009720,139386880,-1
43514.624541,129013944,139386880,-1
43514.624588,129027128,139386880,-1
43514.624634,129065208,139452416,-1
43514.624680,129068024,139452416,-1
43514.624727,129068920,139452416,-1
43514.624773,129073784,139452416,-1
43514.624819,129073784,139452416,-1
43514.624866,129076216,139452416,-1
43514.624912,129092512,139452416,-1
43514.624958,129096536,139452416,-1
43514.625004,129105408,139517952,-1
43514.625051,129106432,139517952,-1
43514.625097,129137920,139517952,-1
43514.625143,129139840,139517952,-1
43514.625190,129175640,139583488,-1
43514.625236,129175640,139583488,-1
43514.625282,129175640,139583488,-1
43514.625329,129175640,139583488,-1
43514.625375,129177048,139583488,-1
43514.625421,129177048,139583488,-1
43514.625467,129178200,139583488,-1
43514.625514,129183576,139583488,-1
43514.625560,129201496,139583488,-1
43514.625606,129201496,139583488,-1
43514.625653,129201496,139583488,-1
43514.625699,129209944,139583488,-1
43514.625745,129209944,139583488,-1
43514.625792,129209944,139583488,-1
43514.625838,129210584,139583488,-1
43514.625884,129223384,139583488,-1
43514.625930,129223384,139583488,-1
43514.625977,129224408,139583488,-1
43514.626023,129231416,139583488,-1
43514.626069,129233720,139583488,-1
43514.626116,129299664,139649024,-1
43514.626162,129302088,139649024,-1
43514.626208,129335112,139649024,-1
43514.626254,129337672,139649024,-1
43514.626301,129343408,139649024,-1
43514.626347,129345456,139649024,-1
43514.626393,129358384,139714560,-1
43514.626440,129358384,139714560,-1
43514.626486,129360304,139714560,-1
43514.626532,129360304,139714560,-1
43514.626579,129363376,139780096,-1
43514.626625,129367600,139780096,-1
43514.626671,129380656,139780096,-1
43514.626717,129380656,139780096,-1
43514.626764,129391024,139780096,-1
43514.626810,129392560,139780096,-1
43514.626856,129413808,139780096,-1
43514.626903,129419952,139780096,-1
43514.626949,129447728,139845632,-1
43514.626995,129449776,139845632,-1
43514.627042,129450928,139845632,-1
43514.627088,129454384,139845632,-1
43514.627134,129492336,139845632,-1
43514.627180,129498608,139911168,-1
43514.627227,129498608,139911168,-1
43514.627273,129498608,139911168,-1
43514.627319,129499504,139911168,-1
43514.627366,129548144,139911168,-1
43514.627412,129548144,139911168,-1
43514.627458,129548144,139911168,-1
43514.627505,129572336,139911168,-1
43514.627551,129572336,139911168,-1
43514.627597,129582448,139911168,-1
43514.627643,129583216,139911168,-1
43514.627690,129583216,139911168,-1
43514.627736,129583216,139911168,-1
43514.627782,129585392,139911168,-1
43514.627829,129585392,139911168,-1
43514.627875,129585392,139911168,-1
43514.627921,129586416,139911168,-1
43514.627967,129586416,139911168,-1
43514.628014,129597168,139911168,-1
43514.628060,129597168,139911168,-1
43514.628106,129597168,139911168,-1
43514.628153,129597168,139911168,-1
43514.628199,129601520,139911168,-1
43514.628245,129601520,139911168,-1
43514.628292,129609840,139911168,-1
43514.628338,129609840,139911168,-1
43514.628384,129609840,139911168,-1
43514.628430,129609840,139911168,-1
43514.628477,129614584,139911168,-1
43514.628523,129614584,139911168,-1
43514.628569,129616248,139976704,-1
43514.628616,129616248,139976704,-1
43514.628662,129621976,139976704,-1
43514.628708,129623384,139976704,-1
43514.628755,129623384,139976704,-1
43514.628801,129646168,140042240,-1
43514.628847,129646168,140042240,-1
43514.628893,129657688,140042240,-1
43514.628940,129672664,140042240,-1
43514.628986,129672664,140042240,-1
43514.629032,129674328,140042240,-1
43514.629079,129680344,140042240,-1
43514.629125,129692888,140042240,-1
43514.629171,129697960,140042240,-1
43514.629218,129697960,140042240,-1
43514.629264,129697960,140042240,-1
43514.629310,129697960,140042240,-1
43514.629356,129714344,140107776,-1
43514.629403,129717200,140107776,-1
43514.629449,129719760,140107776,-1
43514.629495,129720528,140107776,-1
43514.629542,129721680,140107776,-1
43514.629588,129721680,140107776,-1
43514.629634,129737808,140107776,-1
43514.629680,129755856,140107776,-1
43514.629727,129758376,140107776,-1
43514.629773,129775016,140107776,-1
43514.629819,129783232,140107776,-1
43514.629866,129785024,140107776,-1
43514.629912,129790272,140107776,-1
43514.629958,129790272,140107776,-1
43514.630005,129803840,140173312,-1
43514.630051,129803840,140173312,-1
43514.630097,129803840,140173312,-1
43514.630143,129808680,140173312,-1
43514.630190,129822824,140173312,-1
43514.630236,129849936,140173312,-1
43514.630282,129898728,140238848,-1
43514.630329,129909008,140238848,-1
43514.630375,129925968,140238848,-1
43514.630421,129939024,140304384,-1
43514.630468,129956408,140304384,-1
43514.630514,129981520,140304384,-1
43514.630560,129994344,140304384,-1
43514.630606,129994344,140304384,-1
43514.630653,129994344,140304384,-1
43514.630699,129994344,140304384,-1
43514.630745,129995880,140304384,-1
43514.630792,129995880,140304384,-1
43514.630838,129995880,140304384,-1
43514.630884,130008904,140304384,-1
43514.630931,130022512,140304384,-1
43514.630977,130036800,140369920,-1
43514.631023,130072232,140369920,-1
43514.631069,130085072,140369920,-1
43514.631116,130102480,140369920,-1
43514.631162,130121376,140435456,-1
43514.631208,130151616,140435456,-1
43514.631255,130176544,140435456,-1
43514.631301,130202272,140500992,-1
43514.631347,130205984,140500992,-1
43514.631393,130205984,140500992,-1
43514.631440,130205984,140500992,-1
43514.631486,130212384,140500992,-1
43514.631532,130212384,140500992,-1
43514.631579,130212384,140500992,-1
43514.631625,130212384,140500992,-1
43514.631671,130212384,140500992,-1
43514.631718,130212384,140500992,-1
43514.631764,130212384,140500992,-1
43514.631810,130214560,140500992,-1
43514.631856,130215712,140500992,-1
43514.631903,130215712,140500992,-1
