Time,Used,Committed,Max,Threshold
43514.665713,40894464,76546048,-1,-1
43514.665759,45088768,76546048,-1,-1
43514.665805,46137344,76546048,-1,-1
43514.665851,47185920,76546048,-1,-1
43514.665897,48234496,76546048,-1,-1
43514.665944,49283072,76546048,-1,-1
43514.665990,50331648,76546048,-1,-1
43514.666036,52428800,76546048,-1,-1
43514.666083,76546048,310378496,-1,-1
43514.666129,12582912,338690048,-1,-1
43514.666175,42991616,338690048,-1,-1
43514.666221,77594624,338690048,-1,-1
43514.666268,112197632,338690048,-1,-1
43514.666314,145752064,338690048,-1,-1
43514.666360,180355072,338690048,-1,-1
43514.666407,213909504,338690048,-1,-1
43514.666453,247463936,338690048,-1,-1
43514.666499,281018368,338690048,-1,-1
43514.666546,314572800,338690048,-1,-1
43514.666592,31457280,341835776,-1,-1
43514.666638,66060288,341835776,-1,-1
43514.666684,98566144,341835776,-1,-1
43514.666731,131072000,341835776,-1,-1
43514.666777,163577856,341835776,-1,-1
43514.666823,197132288,341835776,-1,-1
43514.666870,230686720,341835776,-1,-1
43514.666916,263192576,341835776,-1,-1
43514.666962,296747008,341835776,-1,-1
43514.667009,8388608,341835776,-1,-1
43514.667055,42991616,341835776,-1,-1
43514.667101,75497472,341835776,-1,-1
43514.667147,109051904,341835776,-1,-1
43514.667194,140509184,341835776,-1,-1
43514.667240,175112192,341835776,-1,-1
43514.667286,206569472,341835776,-1,-1
43514.667333,241172480,341835776,-1,-1
43514.667379,273678336,341835776,-1,-1
43514.667425,306184192,341835776,-1,-1
43514.667472,18874368,340787200,-1,-1
43514.667518,51380224,340787200,-1,-1
43514.667564,84934656,340787200,-1,-1
43514.667610,117440512,340787200,-1,-1
43514.667657,149946368,340787200,-1,-1
43514.667703,184549376,340787200,-1,-1
43514.667749,216006656,340787200,-1,-1
43514.667796,248512512,340787200,-1,-1
43514.667842,282066944,340787200,-1,-1
43514.667888,315621376,340787200,-1,-1
43514.667935,28311552,340787200,-1,-1
43514.667981,60817408,340787200,-1,-1
43514.668027,94371840,340787200,-1,-1
43514.668073,126877696,340787200,-1,-1
43514.668120,160432128,340787200,-1,-1
43514.668166,191889408,340787200,-1,-1
43514.668212,226492416,340787200,-1,-1
43514.668259,258998272,340787200,-1,-1
43514.668305,292552704,340787200,-1,-1
43514.668351,5242880,339738624,-1,-1
43514.668397,37748736,339738624,-1,-1
43514.668444,71303168,339738624,-1,-1
43514.668490,103809024,339738624,-1,-1
43514.668536,137363456,339738624,-1,-1
43514.668583,170917888,339738624,-1,-1
43514.668629,203423744,339738624,-1,-1
43514.668675,236978176,339738624,-1,-1
43514.668722,269484032,339738624,-1,-1
43514.668768,303038464,339738624,-1,-1
43514.668814,15728640,338690048,-1,-1
43514.668860,48234496,338690048,-1,-1
43514.668907,80740352,338690048,-1,-1
43514.668953,114294784,338690048,-1,-1
43514.668999,146800640,338690048,-1,-1
43514.669046,180355072,338690048,-1,-1
43514.669092,212860928,338690048,-1,-1
43514.669138,246415360,338690048,-1,-1
43514.669185,278921216,338690048,-1,-1
43514.669231,312475648,338690048,-1,-1
43514.669277,25165824,338690048,-1,-1
43514.669323,58720256,338690048,-1,-1
43514.669370,92274688,338690048,-1,-1
43514.669416,124780544,338690048,-1,-1
43514.669462,157286400,338690048,-1,-1
43514.669509,190840832,338690048,-1,-1
43514.669555,223346688,338690048,-1,-1
43514.669601,257949696,338690048,-1,-1
43514.669648,290455552,338690048,-1,-1
43514.669694,4194304,337641472,-1,-1
43514.669740,36700160,337641472,-1,-1
43514.669786,71303168,337641472,-1,-1
43514.669833,104857600,337641472,-1,-1
43514.669879,137363456,337641472,-1,-1
43514.669925,169869312,337641472,-1,-1
43514.669972,203423744,337641472,-1,-1
43514.670018,235929600,337641472,-1,-1
43514.670064,269484032,337641472,-1,-1
43514.670110,300941312,337641472,-1,-1
43514.670157,16777216,336592896,-1,-1
43514.670203,50331648,336592896,-1,-1
43514.670249,81788928,336592896,-1,-1
43514.670296,114294784,336592896,-1,-1
43514.670342,148897792,336592896,-1,-1
43514.670388,181403648,336592896,-1,-1
43514.670435,213909504,336592896,-1,-1
43514.670481,246415360,336592896,-1,-1
43514.670527,279969792,336592896,-1,-1
43514.670573,312475648,336592896,-1,-1
43514.670620,28311552,336592896,-1,-1
43514.670666,60817408,336592896,-1,-1
43514.670712,93323264,336592896,-1,-1
43514.670759,126877696,336592896,-1,-1
43514.670805,159383552,336592896,-1,-1
43514.670851,191889408,336592896,-1,-1
43514.670898,224395264,336592896,-1,-1
43514.670944,257949696,336592896,-1,-1
43514.670990,290455552,336592896,-1,-1
43514.671036,5242880,336592896,-1,-1
43514.671083,37748736,336592896,-1,-1
43514.671129,71303168,336592896,-1,-1
43514.671175,103809024,336592896,-1,-1
43514.671222,136314880,336592896,-1,-1
43514.671268,168820736,336592896,-1,-1
43514.671314,202375168,336592896,-1,-1
