Time,Used,Committed,Max,Threshold
43514.665713,9437184,9437184,-1,-1
43514.665759,9437184,9437184,-1,-1
43514.665805,9437184,9437184,-1,-1
43514.665851,9437184,9437184,-1,-1
43514.665897,9437184,9437184,-1,-1
43514.665944,9437184,9437184,-1,-1
43514.665990,9437184,9437184,-1,-1
43514.666036,9437184,9437184,-1,-1
43514.666083,7340032,7340032,-1,-1
43514.666129,9437184,9437184,-1,-1
43514.666175,9437184,9437184,-1,-1
43514.666221,9437184,9437184,-1,-1
43514.666268,9437184,9437184,-1,-1
43514.666314,9437184,9437184,-1,-1
43514.666360,9437184,9437184,-1,-1
43514.666407,9437184,9437184,-1,-1
43514.666453,9437184,9437184,-1,-1
43514.666499,9437184,9437184,-1,-1
43514.666546,9437184,9437184,-1,-1
43514.666592,6291456,6291456,-1,-1
43514.666638,6291456,6291456,-1,-1
43514.666684,6291456,6291456,-1,-1
43514.666731,6291456,6291456,-1,-1
43514.666777,6291456,6291456,-1,-1
43514.666823,6291456,6291456,-1,-1
43514.666870,6291456,6291456,-1,-1
43514.666916,6291456,6291456,-1,-1
43514.666962,6291456,6291456,-1,-1
43514.667009,6291456,6291456,-1,-1
43514.667055,6291456,6291456,-1,-1
43514.667101,6291456,6291456,-1,-1
43514.667147,6291456,6291456,-1,-1
43514.667194,6291456,6291456,-1,-1
43514.667240,6291456,6291456,-1,-1
43514.667286,6291456,6291456,-1,-1
43514.667333,6291456,6291456,-1,-1
43514.667379,6291456,6291456,-1,-1
43514.667425,6291456,6291456,-1,-1
43514.667472,7340032,7340032,-1,-1
43514.667518,7340032,7340032,-1,-1
43514.667564,7340032,7340032,-1,-1
43514.667610,7340032,7340032,-1,-1
43514.667657,7340032,7340032,-1,-1
43514.667703,7340032,7340032,-1,-1
43514.667749,7340032,7340032,-1,-1
43514.667796,7340032,7340032,-1,-1
43514.667842,7340032,7340032,-1,-1
43514.667888,7340032,7340032,-1,-1
43514.667935,7340032,7340032,-1,-1
43514.667981,7340032,7340032,-1,-1
43514.668027,7340032,7340032,-1,-1
43514.668073,7340032,7340032,-1,-1
43514.668120,7340032,7340032,-1,-1
43514.668166,7340032,7340032,-1,-1
43514.668212,7340032,7340032,-1,-1
43514.668259,7340032,7340032,-1,-1
43514.668305,7340032,7340032,-1,-1
43514.668351,8388608,8388608,-1,-1
43514.668397,8388608,8388608,-1,-1
43514.668444,8388608,8388608,-1,-1
43514.668490,8388608,8388608,-1,-1
43514.668536,8388608,8388608,-1,-1
43514.668583,8388608,8388608,-1,-1
43514.668629,8388608,8388608,-1,-1
43514.668675,8388608,8388608,-1,-1
43514.668722,8388608,8388608,-1,-1
43514.668768,8388608,8388608,-1,-1
43514.668814,9437184,9437184,-1,-1
43514.668860,9437184,9437184,-1,-1
43514.668907,9437184,9437184,-1,-1
43514.668953,9437184,9437184,-1,-1
43514.668999,9437184,9437184,-1,-1
43514.669046,9437184,9437184,-1,-1
43514.669092,9437184,9437184,-1,-1
43514.669138,9437184,9437184,-1,-1
43514.669185,9437184,9437184,-1,-1
43514.669231,9437184,9437184,-1,-1
43514.669277,9437184,9437184,-1,-1
43514.669323,9437184,9437184,-1,-1
43514.669370,9437184,9437184,-1,-1
43514.669416,9437184,9437184,-1,-1
43514.669462,9437184,9437184,-1,-1
43514.669509,9437184,9437184,-1,-1
43514.669555,9437184,9437184,-1,-1
43514.669601,9437184,9437184,-1,-1
43514.669648,9437184,9437184,-1,-1
43514.669694,10485760,10485760,-1,-1
43514.669740,10485760,10485760,-1,-1
43514.669786,10485760,10485760,-1,-1
43514.669833,10485760,10485760,-1,-1
43514.669879,10485760,10485760,-1,-1
43514.669925,10485760,10485760,-1,-1
43514.669972,10485760,10485760,-1,-1
43514.670018,10485760,10485760,-1,-1
43514.670064,10485760,10485760,-1,-1
43514.670110,10485760,10485760,-1,-1
43514.670157,11534336,11534336,-1,-1
43514.670203,11534336,11534336,-1,-1
43514.670249,11534336,11534336,-1,-1
43514.670296,11534336,11534336,-1,-1
43514.670342,11534336,11534336,-1,-1
43514.670388,11534336,11534336,-1,-1
43514.670435,11534336,11534336,-1,-1
43514.670481,11534336,11534336,-1,-1
43514.670527,11534336,11534336,-1,-1
43514.670573,11534336,11534336,-1,-1
43514.670620,11534336,11534336,-1,-1
43514.670666,11534336,11534336,-1,-1
43514.670712,11534336,11534336,-1,-1
43514.670759,11534336,11534336,-1,-1
43514.670805,11534336,11534336,-1,-1
43514.670851,11534336,11534336,-1,-1
43514.670898,11534336,11534336,-1,-1
43514.670944,11534336,11534336,-1,-1
43514.670990,11534336,11534336,-1,-1
43514.671036,11534336,11534336,-1,-1
43514.671083,11534336,11534336,-1,-1
43514.671129,11534336,11534336,-1,-1
43514.671175,11534336,11534336,-1,-1
43514.671222,11534336,11534336,-1,-1
43514.671268,11534336,11534336,-1,-1
43514.671314,11534336,11534336,-1,-1
43514.671361,11534336,11534336,-1,-1
43514.671407,11534336,11534336,-1,-1
43514.671453,11534336,11534336,-1,-1
43514.671499,12582912,12582912,-1,-1
43514.671546,12582912,12582912,-1,-1
43514.671592,12582912,12582912,-1,-1
43514.671638,12582912,12582912,-1,-1
43514.671685,12582912,12582912,-1,-1
43514.671731,12582912,12582912,-1,-1
43514.671777,12582912,12582912,-1,-1
43514.671823,12582912,12582912,-1,-1
43514.671870,12582912,12582912,-1,-1
43514.671916,12582912,12582912,-1,-1
43514.671962,13631488,13631488,-1,-1
43514.672009,13631488,13631488,-1,-1
43514.672055,13631488,13631488,-1,-1
43514.672101,13631488,13631488,-1,-1
43514.672148,13631488,13631488,-1,-1
43514.672194,13631488,13631488,-1,-1
43514.672240,13631488,13631488,-1,-1
43514.672286,13631488,13631488,-1,-1
43514.672333,13631488,13631488,-1,-1
43514.672379,10485760,10485760,-1,-1
43514.672425,10485760,10485760,-1,-1
43514.672472,10485760,10485760,-1,-1
43514.672518,10485760,10485760,-1,-1
43514.672564,10485760,10485760,-1,-1
43514.672611,10485760,10485760,-1,-1
43514.672657,10485760,10485760,-1,-1
43514.672703,10485760,10485760,-1,-1
43514.672749,9437184,9437184,-1,-1
43514.672796,9437184,9437184,-1,-1
43514.672842,9437184,9437184,-1,-1
43514.672888,7340032,7340032,-1,-1
43514.672935,7340032,7340032,-1,-1
43514.672981,7340032,7340032,-1,-1
43514.673027,7340032,7340032,-1,-1
43514.673073,7340032,7340032,-1,-1
43514.673120,7340032,7340032,-1,-1
43514.673166,7340032,7340032,-1,-1
43514.673212,7340032,7340032,-1,-1
43514.673259,7340032,7340032,-1,-1
43514.673305,7340032,7340032,-1,-1
43514.673351,7340032,7340032,-1,-1
43514.673398,7340032,7340032,-1,-1
43514.673444,7340032,7340032,-1,-1
43514.673490,7340032,7340032,-1,-1
43514.673536,7340032,7340032,-1,-1
43514.673583,7340032,7340032,-1,-1
43514.673629,7340032,7340032,-1,-1
43514.673675,7340032,7340032,-1,-1
43514.673722,6291456,6291456,-1,-1
43514.673768,6291456,6291456,-1,-1
43514.673814,6291456,6291456,-1,-1
43514.673861,6291456,6291456,-1,-1
43514.673907,6291456,6291456,-1,-1
43514.673953,6291456,6291456,-1,-1
43514.673999,6291456,6291456,-1,-1
43514.674046,6291456,6291456,-1,-1
43514.674092,6291456,6291456,-1,-1
43514.674138,5242880,5242880,-1,-1
43514.674185,5242880,5242880,-1,-1
43514.674231,5242880,5242880,-1,-1
43514.674277,5242880,5242880,-1,-1
43514.674324,5242880,5242880,-1,-1
43514.674370,5242880,5242880,-1,-1
43514.674416,5242880,5242880,-1,-1
43514.674462,5242880,5242880,-1,-1
43514.674509,5242880,5242880,-1,-1
43514.674555,5242880,5242880,-1,-1
43514.674601,4194304,4194304,-1,-1
43514.674648,4194304,4194304,-1,-1
43514.674694,4194304,4194304,-1,-1
43514.674740,4194304,4194304,-1,-1
43514.674786,4194304,4194304,-1,-1
43514.674833,4194304,4194304,-1,-1
43514.674879,4194304,4194304,-1,-1
43514.674925,4194304,4194304,-1,-1
43514.674972,4194304,4194304,-1,-1
43514.675018,4194304,4194304,-1,-1
43514.675064,4194304,4194304,-1,-1
43514.675111,4194304,4194304,-1,-1
43514.675157,4194304,4194304,-1,-1
43514.675203,4194304,4194304,-1,-1
43514.675249,4194304,4194304,-1,-1
43514.675296,4194304,4194304,-1,-1
43514.675342,4194304,4194304,-1,-1
43514.675388,4194304,4194304,-1,-1
43514.675435,4194304,4194304,-1,-1
43514.675481,4194304,4194304,-1,-1
43514.675527,4194304,4194304,-1,-1
43514.675574,4194304,4194304,-1,-1
43514.675620,4194304,4194304,-1,-1
43514.675666,4194304,4194304,-1,-1
43514.675712,4194304,4194304,-1,-1
43514.675759,4194304,4194304,-1,-1
43514.675805,4194304,4194304,-1,-1
