Time,Used,Committed,Max,Threshold
43514.665713,72824128,80003072,-1,0
43514.665759,73160328,80265216,-1,0
43514.665805,73305664,80527360,-1,0
43514.665851,73384456,80527360,-1,0
43514.665897,73522200,80789504,-1,0
43514.665944,73576208,80789504,-1,0
43514.665990,73675200,80789504,-1,0
43514.666036,73954256,81313792,-1,0
43514.666083,83274576,91406336,-1,0
43514.666129,83460368,91668480,-1,0
43514.666175,83593336,91799552,-1,0
43514.666221,83764672,92061696,-1,0
43514.666268,83793264,92061696,-1,0
43514.666314,83919008,92323840,-1,0
43514.666360,83953272,92323840,-1,0
43514.666407,84015600,92323840,-1,0
43514.666453,84024344,92323840,-1,0
43514.666499,84041544,92323840,-1,0
43514.666546,84064664,92323840,-1,0
43514.666592,84082232,92323840,-1,0
43514.666638,84083768,92323840,-1,0
43514.666684,84092504,92323840,-1,0
43514.666731,84097360,92323840,-1,0
43514.666777,84110936,92323840,-1,0
43514.666823,84116744,92585984,-1,0
43514.666870,84124976,92585984,-1,0
43514.666916,84131352,92585984,-1,0
43514.666962,84153320,92585984,-1,0
43514.667009,84156800,92585984,-1,0
43514.667055,84168696,92585984,-1,0
43514.667101,84179784,92585984,-1,0
43514.667147,84208200,92585984,-1,0
43514.667194,84214888,92585984,-1,0
43514.667240,84216128,92585984,-1,0
43514.667286,84221744,92585984,-1,0
43514.667333,84222464,92585984,-1,0
43514.667379,84229248,92585984,-1,0
43514.667425,84229680,92585984,-1,0
43514.667472,84230400,92585984,-1,0
43514.667518,84231280,92585984,-1,0
43514.667564,84248728,92585984,-1,0
43514.667610,84262816,92585984,-1,0
43514.667657,84262816,92585984,-1,0
43514.667703,84265488,92585984,-1,0
43514.667749,84271920,92585984,-1,0
43514.667796,84276488,92585984,-1,0
43514.667842,84277544,92585984,-1,0
43514.667888,84311896,92585984,-1,0
43514.667935,84312536,92585984,-1,0
43514.667981,84314504,92585984,-1,0
43514.668027,84314504,92585984,-1,0
43514.668073,84314992,92585984,-1,0
43514.668120,84314992,92585984,-1,0
43514.668166,84317160,92585984,-1,0
43514.668212,84318456,92585984,-1,0
43514.668259,84323256,92585984,-1,0
43514.668305,84330832,92585984,-1,0
43514.668351,84336440,92585984,-1,0
43514.668397,84343400,92585984,-1,0
43514.668444,84348248,92585984,-1,0
43514.668490,84355456,92585984,-1,0
43514.668536,84357696,92585984,-1,0
43514.668583,84361008,92585984,-1,0
43514.668629,84393992,92585984,-1,0
43514.668675,84401440,92585984,-1,0
43514.668722,84402784,92585984,-1,0
43514.668768,84403648,92585984,-1,0
43514.668814,84405016,92585984,-1,0
43514.668860,84410432,92585984,-1,0
43514.668907,84410432,92585984,-1,0
43514.668953,84410432,92585984,-1,0
43514.668999,84410840,92585984,-1,0
43514.669046,84410840,92585984,-1,0
43514.669092,84410840,92585984,-1,0
43514.669138,84411288,92585984,-1,0
43514.669185,84411608,92585984,-1,0
43514.669231,84411608,92585984,-1,0
43514.669277,84414096,92848128,-1,0
43514.669323,84414528,92848128,-1,0
43514.669370,84419272,92848128,-1,0
43514.669416,84419896,92848128,-1,0
43514.669462,84421104,92848128,-1,0
43514.669509,84421104,92848128,-1,0
43514.669555,84421104,92848128,-1,0
43514.669601,84421672,92848128,-1,0
43514.669648,84421672,92848128,-1,0
43514.669694,84421672,92848128,-1,0
43514.669740,84425560,92848128,-1,0
43514.669786,84587528,92848128,-1,0
43514.669833,84593784,92848128,-1,0
43514.669879,84599544,92848128,-1,0
43514.669925,84599952,92848128,-1,0
43514.669972,84600888,92848128,-1,0
43514.670018,84606256,92848128,-1,0
43514.670064,84606624,92848128,-1,0
43514.670110,84613056,92848128,-1,0
43514.670157,84617624,92848128,-1,0
43514.670203,84623448,92848128,-1,0
43514.670249,84623968,92848128,-1,0
43514.670296,84623968,92848128,-1,0
43514.670342,84623968,92848128,-1,0
43514.670388,84624376,92848128,-1,0
43514.670435,84624376,92848128,-1,0
43514.670481,84624376,92848128,-1,0
43514.670527,84624376,92848128,-1,0
43514.670573,84624376,92848128,-1,0
43514.670620,84624376,92848128,-1,0
43514.670666,84625720,92848128,-1,0
43514.670712,84625720,92848128,-1,0
43514.670759,84625720,92848128,-1,0
43514.670805,84625720,92848128,-1,0
43514.670851,84627888,92848128,-1,0
43514.670898,84627888,92848128,-1,0
43514.670944,84627888,92848128,-1,0
43514.670990,84627888,92848128,-1,0
43514.671036,84628248,92848128,-1,0
43514.671083,84628608,92848128,-1,0
43514.671129,84629040,92848128,-1,0
43514.671175,84629472,92848128,-1,0
43514.671222,84629472,92848128,-1,0
43514.671268,84629472,92848128,-1,0
43514.671314,84629472,92848128,-1,0
43514.671361,84632920,92848128,-1,0
43514.671407,84632920,92848128,-1,0
43514.671453,84632920,92848128,-1,0
43514.671499,84633520,92848128,-1,0
43514.671546,84633520,92848128,-1,0
43514.671592,84637512,92848128,-1,0
43514.671638,84651816,92848128,-1,0
43514.671685,84651816,92848128,-1,0
43514.671731,84651816,92848128,-1,0
43514.671777,84651816,92848128,-1,0
43514.671823,84651816,92848128,-1,0
43514.671870,84651816,92848128,-1,0
43514.671916,84652496,92848128,-1,0
43514.671962,84653192,92848128,-1,0
43514.672009,84653888,92848128,-1,0
43514.672055,84653888,92848128,-1,0
43514.672101,84653888,92848128,-1,0
43514.672148,84653888,92848128,-1,0
43514.672194,84653888,92848128,-1,0
43514.672240,84653888,92848128,-1,0
43514.672286,84653888,92848128,-1,0
43514.672333,84653888,92848128,-1,0
43514.672379,84658432,92848128,-1,0
43514.672425,84658432,92848128,-1,0
43514.672472,84658432,92848128,-1,0
43514.672518,84658432,92848128,-1,0
43514.672564,84658432,92848128,-1,0
43514.672611,84658432,92848128,-1,0
43514.672657,84658432,92848128,-1,0
43514.672703,84658432,92848128,-1,0
43514.672749,84658432,92848128,-1,0
43514.672796,84658432,92848128,-1,0
43514.672842,84658432,92848128,-1,0
43514.672888,84658432,92848128,-1,0
43514.672935,84658432,92848128,-1,0
43514.672981,84658432,92848128,-1,0
43514.673027,84658432,92848128,-1,0
43514.673073,84658432,92848128,-1,0
43514.673120,84661360,92848128,-1,0
43514.673166,84664880,92848128,-1,0
43514.673212,84664880,92848128,-1,0
43514.673259,84664880,92848128,-1,0
43514.673305,84667304,92848128,-1,0
43514.673351,84667304,92848128,-1,0
43514.673398,84667792,92848128,-1,0
43514.673444,84667792,92848128,-1,0
43514.673490,84667792,92848128,-1,0
43514.673536,84667792,92848128,-1,0
43514.673583,84668512,92848128,-1,0
43514.673629,84668512,92848128,-1,0
43514.673675,84668512,92848128,-1,0
43514.673722,84671152,92848128,-1,0
43514.673768,84671152,92848128,-1,0
43514.673814,84671152,92848128,-1,0
43514.673861,84671152,92848128,-1,0
43514.673907,84671152,92848128,-1,0
43514.673953,84671152,92848128,-1,0
43514.673999,84671152,92848128,-1,0
43514.674046,84671152,92848128,-1,0
43514.674092,84671152,92848128,-1,0
43514.674138,84671152,92848128,-1,0
43514.674185,84671152,92848128,-1,0
43514.674231,84671152,92848128,-1,0
43514.674277,84671152,92848128,-1,0
43514.674324,84671152,92848128,-1,0
43514.674370,84671152,92848128,-1,0
43514.674416,84671152,92848128,-1,0
43514.674462,84671152,92848128,-1,0
43514.674509,84671152,92848128,-1,0
43514.674555,84671152,92848128,-1,0
43514.674601,84671152,92848128,-1,0
43514.674648,84671152,92848128,-1,0
43514.674694,84672112,92848128,-1,0
43514.674740,84672112,92848128,-1,0
43514.674786,84672112,92848128,-1,0
43514.674833,84672112,92848128,-1,0
43514.674879,84672112,92848128,-1,0
43514.674925,84673680,92848128,-1,0
43514.674972,84673680,92848128,-1,0
43514.675018,84673680,92848128,-1,0
43514.675064,84673680,92848128,-1,0
43514.675111,84673680,92848128,-1,0
43514.675157,84673680,92848128,-1,0
43514.675203,84673680,92848128,-1,0
43514.675249,84673680,92848128,-1,0
43514.675296,84673680,92848128,-1,0
43514.675342,84673680,92848128,-1,0
43514.675388,84673680,92848128,-1,0
43514.675435,84673680,92848128,-1,0
43514.675481,84677864,92848128,-1,0
43514.675527,84678624,92848128,-1,0
43514.675574,84678624,92848128,-1,0
43514.675620,84679704,92848128,-1,0
43514.675666,84679704,92848128,-1,0
43514.675712,84679704,92848128,-1,0
43514.675759,84679704,92848128,-1,0
43514.675805,84679704,92848128,-1,0
43514.675851,84679704,92848128,-1,0
43514.675898,84679704,92848128,-1,0
43514.675944,84679704,92848128,-1,0
43514.675990,84679704,92848128,-1,0
43514.676037,84679704,92848128,-1,0
43514.676083,84679704,92848128,-1,0
43514.676129,84681928,92848128,-1,0
43514.676175,84682008,92848128,-1,0
43514.676222,84682008,92848128,-1,0
43514.676268,84682008,92848128,-1,0
43514.676314,84682008,92848128,-1,0
43514.676361,84682944,92848128,-1,0
43514.676407,84682944,92848128,-1,0
43514.676453,84682944,92848128,-1,0
43514.676500,84682944,92848128,-1,0
43514.676546,84682944,92848128,-1,0
43514.676592,84682944,92848128,-1,0
43514.676638,84682944,92848128,-1,0
43514.676685,84682944,92848128,-1,0
43514.676731,84682944,92848128,-1,0
43514.676777,84682944,92848128,-1,0
43514.676824,84684248,92848128,-1,0
43514.676870,84684248,92848128,-1,0
43514.676916,84684248,92848128,-1,0
43514.676962,84684248,92848128,-1,0
43514.677009,84684248,92848128,-1,0
43514.677055,84684248,92848128,-1,0
43514.677101,84684608,92848128,-1,0
43514.677148,84685432,92848128,-1,0
43514.677194,84687904,92848128,-1,0
43514.677240,84693616,92848128,-1,0
43514.677287,84696280,92848128,-1,0
43514.677333,84698912,92848128,-1,0
43514.677379,84701592,92848128,-1,0
43514.677425,84703928,92848128,-1,0
43514.677472,84706344,92848128,-1,0
43514.677518,84709528,92848128,-1,0
43514.677564,84709528,92848128,-1,0
43514.677611,84709952,92848128,-1,0
43514.677657,84709952,92848128,-1,0
43514.677703,84717064,92848128,-1,0
43514.677750,84717064,92848128,-1,0
43514.677796,84717064,92848128,-1,0
43514.677842,84717064,92848128,-1,0
43514.677888,84719120,92848128,-1,0
43514.677935,84720480,92848128,-1,0
43514.677981,84721160,92848128,-1,0
43514.678027,84724024,93110272,-1,0
43514.678074,84725416,93110272,-1,0
43514.678120,84728880,93110272,-1,0
43514.678166,84731616,93110272,-1,0
43514.678213,84737152,93110272,-1,0
43514.678259,84740952,93110272,-1,0
43514.678305,84741648,93110272,-1,0
