Time,Used,Committed,Max
43514.665713,95730032,104890368,-1
43514.665759,97215840,106266624,-1
43514.665805,97949480,107118592,-1
43514.665851,98412728,107511808,-1
43514.665897,98962960,108167168,-1
43514.665944,99229600,108363776,-1
43514.665990,99653240,108691456,-1
43514.666036,100267784,109543424,-1
43514.666083,117176064,127238144,-1
43514.666129,118774032,128876544,-1
43514.666175,119888912,130121728,-1
43514.666221,120964504,131366912,-1
43514.666268,121673944,131956736,-1
43514.666314,122366528,132546560,-1
43514.666360,122618624,133005312,-1
43514.666407,123398840,133726208,-1
43514.666453,123870272,134184960,-1
43514.666499,124083088,134381568,-1
43514.666546,124287936,134578176,-1
43514.666592,124445760,134643712,-1
43514.666638,124551360,134774784,-1
43514.666684,124678136,134971392,-1
43514.666731,124918632,135168000,-1
43514.666777,122999520,135168000,-1
43514.666823,123136400,135430144,-1
43514.666870,123235560,135430144,-1
43514.666916,123302944,135430144,-1
43514.666962,123479408,135430144,-1
43514.667009,123545840,135430144,-1
43514.667055,123577496,135430144,-1
43514.667101,123683560,135430144,-1
43514.667147,123832808,135495680,-1
43514.667194,123940616,135495680,-1
43514.667240,123994336,135561216,-1
43514.667286,124055120,135561216,-1
43514.667333,124087968,135626752,-1
43514.667379,124128288,135626752,-1
43514.667425,124132048,135626752,-1
43514.667472,124165640,135626752,-1
43514.667518,124212344,135626752,-1
43514.667564,124248176,135692288,-1
43514.667610,124316024,135692288,-1
43514.667657,124316920,135692288,-1
43514.667703,124337640,135692288,-1
43514.667749,124372104,135692288,-1
43514.667796,124407648,135692288,-1
43514.667842,124435120,135692288,-1
43514.667888,124576176,135757824,-1
43514.667935,124587312,135757824,-1
43514.667981,124597088,135757824,-1
43514.668027,124597088,135757824,-1
43514.668073,124598856,135757824,-1
43514.668120,124613832,135757824,-1
43514.668166,124654400,135757824,-1
43514.668212,124665936,135823360,-1
43514.668259,124696720,135823360,-1
43514.668305,124712360,135823360,-1
43514.668351,124731152,135823360,-1
43514.668397,124760896,135823360,-1
43514.668444,124858928,135888896,-1
43514.668490,124881368,135888896,-1
43514.668536,124897944,135888896,-1
43514.668583,124921824,135888896,-1
43514.668629,125034736,135888896,-1
43514.668675,125068024,135888896,-1
43514.668722,125104440,135954432,-1
43514.668768,125177656,136019968,-1
43514.668814,125191664,136019968,-1
43514.668860,125264280,136019968,-1
43514.668907,125289240,136019968,-1
43514.668953,125317016,136019968,-1
43514.668999,125320368,136019968,-1
43514.669046,125330736,136019968,-1
43514.669092,125333296,136019968,-1
43514.669138,125334896,136019968,-1
43514.669185,125336368,136019968,-1
43514.669231,125357616,136085504,-1
43514.669277,125403112,136413184,-1
43514.669323,125415704,136413184,-1
43514.669370,125483808,136413184,-1
43514.669416,125520656,136478720,-1
43514.669462,125540424,136478720,-1
43514.669509,125542984,136478720,-1
43514.669555,125588936,136478720,-1
43514.669601,125588936,136478720,-1
43514.669648,125592320,136478720,-1
43514.669694,125613440,136544256,-1
43514.669740,125633072,136544256,-1
43514.669786,125886336,136609792,-1
43514.669833,125952496,136609792,-1
43514.669879,125985520,136609792,-1
43514.669925,126022152,136609792,-1
43514.669972,126027568,136609792,-1
43514.670018,126060840,136609792,-1
43514.670064,126063512,136609792,-1
43514.670110,126132152,136675328,-1
43514.670157,126153104,136675328,-1
43514.670203,126199504,136675328,-1
43514.670249,126211024,136675328,-1
43514.670296,126220248,136675328,-1
43514.670342,126222936,136675328,-1
43514.670388,126224496,136675328,-1
43514.670435,126237296,136740864,-1
43514.670481,126257264,136740864,-1
43514.670527,126259056,136740864,-1
43514.670573,126259056,136740864,-1
43514.670620,126308208,136806400,-1
43514.670666,126312368,136806400,-1
43514.670712,126334384,136806400,-1
43514.670759,126343600,136806400,-1
43514.670805,126344752,136806400,-1
43514.670851,126357160,136806400,-1
43514.670898,126357160,136806400,-1
43514.670944,126361000,136806400,-1
43514.670990,126363944,136806400,-1
43514.671036,126416016,136871936,-1
43514.671083,126428048,136871936,-1
43514.671129,126431016,136871936,-1
43514.671175,126435544,136871936,-1
43514.671222,126466904,136871936,-1
43514.671268,126467672,136871936,-1
43514.671314,126467672,136871936,-1
43514.671361,126489936,136871936,-1
43514.671407,126489936,136871936,-1
43514.671453,126492368,136871936,-1
43514.671499,126541224,136937472,-1
43514.671546,126544680,136937472,-1
43514.671592,126558904,136937472,-1
43514.671638,126624928,137003008,-1
43514.671685,126656032,137003008,-1
43514.671731,126657440,137003008,-1
43514.671777,126683680,137068544,-1
43514.671823,126687776,137068544,-1
43514.671870,126687776,137068544,-1
43514.671916,126694216,137068544,-1
43514.671962,126704256,137068544,-1
43514.672009,126710968,137068544,-1
43514.672055,126712888,137068544,-1
43514.672101,126717368,137068544,-1
43514.672148,126719288,137068544,-1
43514.672194,126719288,137068544,-1
43514.672240,126719288,137068544,-1
43514.672286,126720184,137068544,-1
43514.672333,126720184,137068544,-1
43514.672379,126765560,137068544,-1
43514.672425,126800120,137134080,-1
43514.672472,126801272,137134080,-1
43514.672518,126804088,137134080,-1
43514.672564,126804088,137134080,-1
43514.672611,126818936,137134080,-1
43514.672657,126820600,137134080,-1
43514.672703,126834424,137134080,-1
