Time,Used,Committed,Max,Threshold
43515.517773,114294784,227540992,-1,-1
43515.517818,118489088,227540992,-1,-1
43515.517865,118489088,227540992,-1,-1
43515.517911,119537664,227540992,-1,-1
43515.517957,120586240,227540992,-1,-1
43515.518004,122683392,227540992,-1,-1
43515.518050,123731968,227540992,-1,-1
43515.518096,182452224,227540992,-1,-1
43515.518142,208666624,227540992,-1,-1
43515.518189,23068672,296747008,-1,-1
43515.518235,53477376,296747008,-1,-1
43515.518281,87031808,296747008,-1,-1
43515.518328,120586240,296747008,-1,-1
43515.518374,155189248,296747008,-1,-1
43515.518420,188743680,296747008,-1,-1
43515.518466,222298112,296747008,-1,-1
43515.518513,254803968,296747008,-1,-1
43515.518559,12582912,343932928,-1,-1
43515.518605,47185920,343932928,-1,-1
43515.518652,79691776,343932928,-1,-1
43515.518698,112197632,343932928,-1,-1
43515.518744,144703488,343932928,-1,-1
43515.518791,177209344,343932928,-1,-1
43515.518837,210763776,343932928,-1,-1
43515.518883,242221056,343932928,-1,-1
43515.518929,274726912,343932928,-1,-1
43515.518976,308281344,343932928,-1,-1
43515.519022,18874368,352321536,-1,-1
43515.519068,51380224,352321536,-1,-1
43515.519115,84934656,352321536,-1,-1
43515.519161,118489088,352321536,-1,-1
43515.519207,148897792,352321536,-1,-1
43515.519254,182452224,352321536,-1,-1
43515.519300,214958080,352321536,-1,-1
43515.519346,247463936,352321536,-1,-1
43515.519392,279969792,352321536,-1,-1
43515.519439,311427072,352321536,-1,-1
43515.519485,15728640,360710144,-1,-1
43515.519531,48234496,360710144,-1,-1
43515.519578,80740352,360710144,-1,-1
43515.519624,113246208,360710144,-1,-1
43515.519670,145752064,360710144,-1,-1
43515.519717,179306496,360710144,-1,-1
43515.519763,211812352,360710144,-1,-1
43515.519809,244318208,360710144,-1,-1
43515.519855,275775488,360710144,-1,-1
43515.519902,309329920,360710144,-1,-1
43515.519948,341835776,360710144,-1,-1
43515.519994,35651584,370147328,-1,-1
43515.520041,68157440,370147328,-1,-1
43515.520087,100663296,370147328,-1,-1
43515.520133,133169152,370147328,-1,-1
