Time,Used,Committed,Max
43515.517773,151326336,383778816,4294967296
43515.517818,156569216,383778816,4294967296
43515.517865,156569216,383778816,4294967296
43515.517911,157617792,383778816,4294967296
43515.517957,158666368,383778816,4294967296
43515.518004,160763520,383778816,4294967296
43515.518050,161812096,383778816,4294967296
43515.518096,220532352,383778816,4294967296
43515.518142,246746752,383778816,4294967296
43515.518189,66227200,475004928,4294967296
43515.518235,96635904,475004928,4294967296
43515.518281,130190336,475004928,4294967296
43515.518328,163744768,475004928,4294967296
43515.518374,198347776,475004928,4294967296
43515.518420,231902208,475004928,4294967296
43515.518466,265456640,475004928,4294967296
43515.518513,297962496,475004928,4294967296
43515.518559,45589504,475004928,4294967296
43515.518605,80192512,475004928,4294967296
43515.518652,112698368,475004928,4294967296
43515.518698,145204224,475004928,4294967296
43515.518744,177710080,475004928,4294967296
43515.518791,210215936,475004928,4294967296
43515.518837,243770368,475004928,4294967296
43515.518883,275227648,475004928,4294967296
43515.518929,307733504,475004928,4294967296
43515.518976,341287936,475004928,4294967296
43515.519022,51880960,475004928,4294967296
43515.519068,84386816,475004928,4294967296
43515.519115,117941248,475004928,4294967296
43515.519161,151495680,475004928,4294967296
43515.519207,181904384,475004928,4294967296
43515.519254,215458816,475004928,4294967296
43515.519300,247964672,475004928,4294967296
43515.519346,280470528,475004928,4294967296
43515.519392,312976384,475004928,4294967296
43515.519439,344433664,475004928,4294967296
43515.519485,47805208,475004928,4294967296
43515.519531,81359640,475004928,4294967296
43515.519578,113865496,475004928,4294967296
43515.519624,146371352,475004928,4294967296
43515.519670,178877208,475004928,4294967296
43515.519717,212431640,475004928,4294967296
43515.519763,244937496,475004928,4294967296
43515.519809,277443352,475004928,4294967296
43515.519855,308900632,475004928,4294967296
43515.519902,342455064,475004928,4294967296
43515.519948,374960920,475004928,4294967296
43515.519994,69373688,475004928,4294967296
43515.520041,100830968,475004928,4294967296
43515.520087,134385400,475004928,4294967296
43515.520133,166891256,475004928,4294967296
43515.520179,199397112,475004928,4294967296
43515.520226,230854392,475004928,4294967296
43515.520272,264408824,475004928,4294967296
43515.520318,295866104,475004928,4294967296
43515.520365,328371960,475004928,4294967296
43515.520411,361926392,475004928,4294967296
43515.520457,46880352,475004928,4294967296
43515.520504,79386208,475004928,4294967296
43515.520550,111892064,475004928,4294967296
43515.520596,144397920,475004928,4294967296
43515.520642,175855200,475004928,4294967296
43515.520689,209409632,475004928,4294967296
43515.520735,241915488,475004928,4294967296
43515.520781,274421344,475004928,4294967296
43515.520828,306927200,475004928,4294967296
43515.520874,339433056,475004928,4294967296
43515.520920,371938912,475004928,4294967296
43515.520967,58020336,475004928,4294967296
43515.521013,89477616,475004928,4294967296
43515.521059,123032048,475004928,4294967296
43515.521105,154489328,475004928,4294967296
43515.521152,186995184,475004928,4294967296
43515.521198,219501040,475004928,4294967296
43515.521244,252006896,475004928,4294967296
43515.521291,284512752,475004928,4294967296
43515.521337,315970032,475004928,4294967296
43515.521383,349524464,475004928,4294967296
43515.521429,382030320,475004928,4294967296
43515.521476,67280544,475004928,4294967296
43515.521522,100834976,475004928,4294967296
43515.521568,133340832,475004928,4294967296
43515.521615,164798112,475004928,4294967296
43515.521661,198352544,475004928,4294967296
43515.521707,229809824,475004928,4294967296
43515.521754,262315680,475004928,4294967296
43515.521800,295870112,475004928,4294967296
43515.521846,327327392,475004928,4294967296
43515.521892,359833248,475004928,4294967296
43515.521939,46638080,475004928,4294967296
43515.521985,78095360,475004928,4294967296
43515.522031,110601216,475004928,4294967296
43515.522078,144155648,475004928,4294967296
43515.522124,176661504,475004928,4294967296
43515.522170,209167360,475004928,4294967296
43515.522217,241673216,475004928,4294967296
43515.522263,273130496,475004928,4294967296
43515.522309,307733504,475004928,4294967296
43515.522355,339190784,475004928,4294967296
43515.522402,370648064,475004928,4294967296
43515.522448,56801336,475004928,4294967296
43515.522494,89307192,475004928,4294967296
43515.522541,122861624,475004928,4294967296
43515.522587,155367480,475004928,4294967296
43515.522633,186824760,475004928,4294967296
43515.522680,219330616,475004928,4294967296
43515.522726,251836472,475004928,4294967296
43515.522772,284342328,475004928,4294967296
43515.522818,316848184,475004928,4294967296
43515.522865,350402616,475004928,4294967296
43515.522911,382908472,475004928,4294967296
43515.522957,69204624,475004928,4294967296
43515.523004,101710480,475004928,4294967296
43515.523050,134216336,475004928,4294967296
43515.523096,166722192,475004928,4294967296
43515.523143,199228048,475004928,4294967296
43515.523189,231733904,475004928,4294967296
43515.523235,264239760,475004928,4294967296
43515.523281,296745616,475004928,4294967296
43515.523328,329251472,475004928,4294967296
43515.523374,361757328,475004928,4294967296
43515.523420,49651864,475004928,4294967296
43515.523467,82157720,475004928,4294967296
43515.523513,114663576,475004928,4294967296
43515.523559,146120856,475004928,4294967296
43515.523605,178626712,475004928,4294967296
43515.523652,211132568,475004928,4294967296
43515.523698,244687000,475004928,4294967296
43515.523744,277192856,475004928,4294967296
43515.523791,309698712,475004928,4294967296
43515.523837,342204568,475004928,4294967296
43515.523883,374710424,475004928,4294967296
43515.523930,60943440,475004928,4294967296
43515.523976,93449296,475004928,4294967296
43515.524022,127003728,475004928,4294967296
43515.524068,159509584,475004928,4294967296
43515.524115,192015440,475004928,4294967296
43515.524161,224521296,475004928,4294967296
43515.524207,255978576,475004928,4294967296
43515.524254,290581584,475004928,4294967296
43515.524300,322038864,475004928,4294967296
43515.524346,354544720,475004928,4294967296
43515.524393,44228464,475004928,4294967296
43515.524439,75685744,475004928,4294967296
43515.524485,108191600,475004928,4294967296
43515.524531,139648880,475004928,4294967296
43515.524578,174251888,475004928,4294967296
43515.524624,205709168,475004928,4294967296
