Time,Used,Committed,Max
43515.517773,97103328,106004480,-1
43515.517818,98207552,107053056,-1
43515.517865,98728008,108036096,-1
43515.517911,99153904,108298240,-1
43515.517957,99662016,108953600,-1
43515.518004,100505336,109740032,-1
43515.518050,100882416,110002176,-1
43515.518096,113483096,123633664,-1
43515.518142,117966352,128155648,-1
43515.518189,119213448,129269760,-1
43515.518235,120264848,130449408,-1
43515.518281,121552624,131563520,-1
43515.518328,122412000,132612096,-1
43515.518374,122740672,132874240,-1
43515.518420,123216336,133332992,-1
43515.518466,123882784,134119424,-1
43515.518513,124282568,134512640,-1
43515.518559,124511976,134774784,-1
43515.518605,124766160,135299072,-1
43515.518652,124824384,135299072,-1
43515.518698,122995360,135299072,-1
43515.518744,123229848,135299072,-1
43515.518791,123316280,135299072,-1
43515.518837,123423696,135299072,-1
43515.518883,123568272,135364608,-1
43515.518929,123738864,135364608,-1
43515.518976,123804176,135430144,-1
43515.519022,123907928,135495680,-1
43515.519068,123944864,135495680,-1
43515.519115,124091880,135561216,-1
43515.519161,124200256,135561216,-1
43515.519207,124304640,135626752,-1
43515.519254,124382608,135692288,-1
43515.519300,124471352,135692288,-1
43515.519346,124489288,135692288,-1
43515.519392,124497864,135757824,-1
43515.519439,124515016,135757824,-1
43515.519485,124611864,135757824,-1
43515.519531,124709576,135823360,-1
43515.519578,124738512,135888896,-1
43515.519624,124754440,135888896,-1
43515.519670,124771544,135888896,-1
43515.519717,124774872,135888896,-1
43515.519763,124852712,135954432,-1
43515.519809,124879464,135954432,-1
43515.519855,124974992,136216576,-1
43515.519902,125033104,136216576,-1
43515.519948,125038272,136216576,-1
43515.519994,125056016,136216576,-1
43515.520041,125067280,136216576,-1
43515.520087,125073144,136216576,-1
43515.520133,125079544,136216576,-1
43515.520179,125088064,136216576,-1
43515.520226,125112960,136282112,-1
43515.520272,125134656,136282112,-1
43515.520318,125156216,136282112,-1
43515.520365,125176808,136282112,-1
43515.520411,125191464,136282112,-1
43515.520457,125339112,136347648,-1
43515.520504,125388368,136413184,-1
43515.520550,125391696,136413184,-1
43515.520596,125505776,136413184,-1
43515.520642,125564520,136413184,-1
43515.520689,125601488,136413184,-1
43515.520735,125647424,136478720,-1
43515.520781,125703320,136544256,-1
43515.520828,125723608,136544256,-1
43515.520874,125785984,136609792,-1
43515.520920,125809152,136609792,-1
43515.520967,125831680,136675328,-1
43515.521013,125835416,136675328,-1
43515.521059,125835416,136675328,-1
43515.521105,125841304,136675328,-1
43515.521152,125858456,136675328,-1
43515.521198,125861400,136675328,-1
43515.521244,125862872,136675328,-1
43515.521291,125890312,136675328,-1
43515.521337,125945656,136675328,-1
43515.521383,125954088,136675328,-1
43515.521429,125979232,136675328,-1
43515.521476,125986576,136675328,-1
43515.521522,125988112,136675328,-1
43515.521568,125993232,136740864,-1
43515.521615,126011024,136740864,-1
43515.521661,126016272,136740864,-1
43515.521707,126030616,136740864,-1
43515.521754,126036320,136740864,-1
43515.521800,126090960,136740864,-1
43515.521846,126134384,136740864,-1
43515.521892,126148920,136740864,-1
43515.521939,126159392,136740864,-1
43515.521985,126180968,136740864,-1
43515.522031,126187240,136740864,-1
43515.522078,126231656,136806400,-1
43515.522124,126279704,136806400,-1
43515.522170,126325720,136871936,-1
43515.522217,126325720,136871936,-1
43515.522263,126325720,136871936,-1
43515.522309,126347872,136871936,-1
43515.522355,126352096,136871936,-1
43515.522402,126355320,136871936,-1
43515.522448,126356088,136871936,-1
43515.522494,126356088,136871936,-1
43515.522541,126357112,136871936,-1
43515.522587,126364280,136871936,-1
43515.522633,126365816,136871936,-1
43515.522680,126369976,136871936,-1
43515.522726,126373400,136871936,-1
43515.522772,126373400,136871936,-1
43515.522818,126386840,136871936,-1
43515.522865,126390424,136871936,-1
43515.522911,126391320,136871936,-1
43515.522957,126449176,136937472,-1
43515.523004,126469656,137003008,-1
43515.523050,126499096,137003008,-1
43515.523096,126554776,137068544,-1
43515.523143,126569752,137068544,-1
43515.523189,126569752,137068544,-1
43515.523235,126571008,137068544,-1
43515.523281,126571008,137068544,-1
43515.523328,126596600,137068544,-1
43515.523374,126596600,137068544,-1
43515.523420,126608376,137134080,-1
43515.523467,126644392,137134080,-1
43515.523513,126651688,137134080,-1
43515.523559,126653736,137134080,-1
43515.523605,126721792,137134080,-1
43515.523652,126736080,137134080,-1
43515.523698,126740952,137134080,-1
43515.523744,126747096,137134080,-1
43515.523791,126747096,137134080,-1
43515.523837,126750296,137134080,-1
43515.523883,126750296,137134080,-1
43515.523930,126752448,137134080,-1
43515.523976,126759400,137134080,-1
43515.524022,126773664,137134080,-1
43515.524068,126778456,137134080,-1
43515.524115,126796888,137199616,-1
43515.524161,126796888,137199616,-1
43515.524207,126796888,137199616,-1
43515.524254,126802648,137199616,-1
43515.524300,126810584,137199616,-1
43515.524346,126814424,137199616,-1
43515.524393,126839768,137199616,-1
43515.524439,126846168,137199616,-1
43515.524485,126897368,137265152,-1
