Time,CPU Usage
43516.538618,9.3
43516.538664,3.1
43516.538710,2.0
43516.538756,1.4
43516.538803,1.3
43516.538849,1.4
43516.538895,2.1
43516.538942,2.4
43516.538988,12.0
43516.539034,19.6
43516.539081,17.4
43516.539127,14.5
43516.539173,16.8
43516.539219,12.5
43516.539266,10.8
43516.539312,21.4
43516.539358,12.2
43516.539405,9.3
43516.539451,6.8
43516.539497,5.9
43516.539543,5.0
43516.539590,5.1
43516.539636,9.5
43516.539682,5.4
43516.539729,4.9
43516.539775,6.2
43516.539821,6.2
43516.539867,5.8
43516.539914,5.2
43516.539960,4.8
43516.540006,4.8
43516.540053,5.1
43516.540099,4.7
43516.540145,4.7
43516.540192,5.9
43516.540238,4.5
43516.540284,4.8
43516.540330,4.9
43516.540377,4.6
43516.540423,4.6
43516.540469,4.7
43516.540516,4.6
43516.540562,4.6
43516.540608,4.5
43516.540655,5.1
43516.540701,4.8
43516.540747,4.6
43516.540793,4.6
43516.540840,4.6
43516.540886,4.6
43516.540932,4.8
43516.540979,4.4
43516.541025,4.6
43516.541071,6.8
43516.541117,4.5
43516.541164,4.5
43516.541210,4.5
43516.541256,4.4
43516.541303,4.4
43516.541349,4.4
43516.541395,4.4
43516.541442,4.4
43516.541488,4.6
43516.541534,5.9
43516.541580,4.4
43516.541627,4.4
43516.541673,4.4
43516.541719,4.6
43516.541766,4.3
43516.541812,4.5
43516.541858,4.4
43516.541905,4.5
43516.541951,4.4
43516.541997,4.4
43516.542043,4.4
43516.542090,4.5
43516.542136,4.4
43516.542182,4.3
43516.542229,4.4
43516.542275,4.3
43516.542321,4.6
43516.542368,4.4
43516.542414,5.4
43516.542460,4.3
43516.542506,4.4
43516.542553,4.4
43516.542599,4.4
43516.542645,4.5
43516.542692,4.4
43516.542738,4.4
43516.542784,4.4
43516.542830,4.4
43516.542877,4.4
43516.542923,4.3
43516.542969,4.5
43516.543016,4.5
43516.543062,4.7
43516.543108,4.5
43516.543155,4.4
43516.543201,4.4
43516.543247,4.3
43516.543293,4.4
43516.543340,4.6
43516.543386,4.4
43516.543432,4.4
43516.543479,4.4
43516.543525,4.3
43516.543571,4.3
43516.543618,4.8
43516.543664,4.1
43516.543710,4.4
43516.543756,4.4
43516.543803,4.4
43516.543849,4.4
43516.543895,4.3
43516.543942,4.2
43516.543988,4.3
43516.544034,4.3
43516.544081,4.5
43516.544127,4.3
43516.544173,4.4
43516.544219,4.3
43516.544266,4.4
43516.544312,4.3
43516.544358,4.3
43516.544405,4.4
43516.544451,4.3
43516.544497,4.3
43516.544543,4.4
43516.544590,4.3
43516.544636,4.2
43516.544682,4.4
43516.544729,4.4
43516.544775,4.4
43516.544821,4.2
43516.544868,4.4
43516.544914,4.3
43516.544960,4.4
43516.545006,4.3
43516.545053,4.8
43516.545099,5.1
43516.545145,4.4
43516.545192,4.4
43516.545238,4.4
43516.545284,4.3
43516.545331,4.3
43516.545377,4.3
43516.545423,4.4
43516.545469,4.4
43516.545516,4.3
43516.545562,4.3
43516.545608,4.5
43516.545655,4.2
43516.545701,5.8
43516.545747,4.4
43516.545793,4.3
43516.545840,4.3
43516.545886,4.3
43516.545932,4.2
43516.545979,4.3
43516.546025,4.3
43516.546071,4.4
43516.546118,4.5
43516.546164,4.4
43516.546210,4.4
43516.546256,4.3
43516.546303,4.4
43516.546349,4.2
43516.546395,4.3
43516.546442,4.2
43516.546488,4.3
43516.546534,4.3
43516.546581,4.3
43516.546627,4.3
43516.546673,4.2
43516.546719,4.4
43516.546766,4.3
43516.546812,4.2
43516.546858,5.2
43516.546905,4.3
43516.546951,4.3
43516.546997,4.3
43516.547044,4.3
43516.547090,4.8
43516.547136,4.3
43516.547182,4.9
43516.547229,4.4
43516.547275,4.4
43516.547321,4.3
43516.547368,4.4
43516.547414,4.3
43516.547460,4.3
43516.547506,4.2
43516.547553,4.3
43516.547599,4.3
43516.547645,4.3
43516.547692,4.3
43516.547738,4.3
43516.547784,4.4
43516.547831,4.3
43516.547877,4.3
43516.547923,4.3
43516.547969,4.3
43516.548016,4.4
43516.548062,4.3
43516.548108,4.3
43516.548155,4.6
43516.548201,4.3
43516.548247,4.3
43516.548294,4.3
43516.548340,4.3
43516.548386,4.2
43516.548432,4.4
43516.548479,4.3
43516.548525,4.4
43516.548571,4.3
43516.548618,4.3
43516.548664,4.2
43516.548710,4.3
43516.548756,4.3
43516.548803,4.5
43516.548849,4.6
43516.548895,4.2
43516.548942,4.3
43516.548988,4.3
43516.549034,4.2
43516.549081,4.4
43516.549127,4.4
43516.549173,4.2
43516.549219,4.3
43516.549266,4.5
43516.549312,4.8
43516.549358,4.3
43516.549405,4.3
43516.549451,4.4
43516.549497,4.3
43516.549544,4.3
43516.549590,4.3
43516.549636,4.3
43516.549682,4.6
43516.549729,4.3
43516.549775,4.3
43516.549821,4.3
43516.549868,4.3
43516.549914,4.3
43516.549960,4.3
43516.550006,4.2
43516.550053,4.3
43516.550099,4.4
43516.550145,4.3
43516.550192,4.4
43516.550238,4.3
43516.550284,4.3
43516.550331,4.3
43516.550377,4.3
43516.550423,4.4
43516.550469,4.1
43516.550516,4.3
43516.550562,4.4
43516.550608,4.3
43516.550655,4.4
43516.550701,4.0
43516.550747,4.4
43516.550794,4.3
43516.550840,4.4
43516.550886,4.3
43516.550932,4.4
43516.550979,4.2
43516.551025,4.5
43516.551071,4.4
43516.551118,4.2
43516.551164,4.4
43516.551210,4.3
43516.551257,4.3
43516.551303,4.2
43516.551349,4.3
43516.551395,22.9
43516.551442,4.3
43516.551488,3.9
43516.551534,4.9
43516.551581,3.9
43516.551627,3.8
43516.551673,3.9
43516.551720,3.9
43516.551766,4.1
43516.551812,3.9
43516.551858,3.8
43516.551905,3.8
43516.551951,3.9
43516.551997,3.8
43516.552044,3.9
43516.552090,3.8
43516.552136,3.8
43516.552182,3.8
43516.552229,3.8
43516.552275,3.8
43516.552321,3.9
43516.552368,3.8
43516.552414,3.7
43516.552460,4.0
43516.552507,3.8
43516.552553,4.3
43516.552599,3.9
43516.552645,3.8
43516.552692,3.8
43516.552738,3.8
43516.552784,3.8
43516.552831,3.8
43516.552877,3.9
43516.552923,4.0
43516.552970,3.7
43516.553016,3.9
43516.553062,4.0
43516.553108,4.4
43516.553155,3.7
43516.553201,3.8
43516.553247,3.7
43516.553294,3.9
43516.553340,3.7
43516.553386,3.8
43516.553432,3.9
43516.553479,3.8
43516.553525,3.9
43516.553571,3.9
43516.553618,3.9
43516.553664,3.8
43516.553710,3.8
43516.553757,3.8
43516.553803,3.9
43516.553849,3.8
43516.553895,3.7
43516.553942,3.8
43516.553988,3.8
43516.554034,3.8
43516.554081,3.7
43516.554127,3.8
43516.554173,3.9
43516.554220,3.9
43516.554266,3.7
43516.554312,3.8
43516.554358,3.8
43516.554405,4.0
43516.554451,3.9
43516.554497,3.7
43516.554544,3.9
43516.554590,3.9
43516.554636,3.8
43516.554683,3.7
43516.554729,3.8
43516.554775,3.7
43516.554821,3.9
43516.554868,3.8
43516.554914,3.8
43516.554960,3.8
43516.555007,3.7
43516.555053,3.8
43516.555099,3.8
43516.555145,4.2
43516.555192,3.8
43516.555238,3.7
43516.555284,3.8
43516.555331,3.8
43516.555377,3.7
43516.555423,4.1
43516.555470,3.7
43516.555516,3.7
43516.555562,3.9
43516.555608,3.7
43516.555655,4.4
43516.555701,3.8
43516.555747,3.7
43516.555794,3.8
43516.555840,3.7
43516.555886,3.8
43516.555933,3.7
43516.555979,4.4
43516.556025,3.8
43516.556071,3.9
43516.556118,3.8
43516.556164,3.7
43516.556210,3.7
43516.556257,3.8
43516.556303,3.7
43516.556349,3.7
43516.556395,3.8
43516.556442,3.7
43516.556488,3.7
43516.556534,3.8
43516.556581,3.7
43516.556627,3.8
43516.556673,3.7
43516.556720,3.8
43516.556766,3.8
43516.556812,3.7
43516.556858,3.7
43516.556905,3.8
43516.556951,3.7
43516.556997,3.8
43516.557044,3.8
43516.557090,3.7
43516.557136,3.7
43516.557183,3.8
43516.557229,3.7
43516.557275,3.8
43516.557321,3.7
43516.557368,3.7
43516.557414,3.8
43516.557460,3.7
43516.557507,3.8
43516.557553,3.8
43516.557599,3.7
43516.557646,3.7
43516.557692,3.7
43516.557738,3.7
43516.557784,3.7
43516.557831,3.8
43516.557877,3.6
43516.557923,3.7
43516.557970,3.8
43516.558016,3.6
43516.558062,3.8
43516.558109,3.7
43516.558155,3.6
43516.558201,3.8
43516.558247,3.7
43516.558294,3.7
43516.558340,3.7
43516.558386,3.8
43516.558433,3.8
43516.558479,3.7
43516.558525,3.7
43516.558571,3.7
43516.558618,3.7
43516.558664,3.7
43516.558710,3.8
43516.558757,3.7
43516.558803,3.6
43516.558849,3.8
43516.558896,3.8
43516.558942,3.7
43516.558988,3.7
43516.559034,3.8
43516.559081,3.8
43516.559127,3.7
43516.559173,4.1
43516.559220,4.4
43516.559266,3.8
43516.559312,3.9
43516.559359,3.7
43516.559405,3.7
43516.559451,3.7
43516.559497,3.7
43516.559544,3.6
43516.559590,3.8
43516.559636,3.6
43516.559683,3.8
43516.559729,3.7
43516.559775,3.6
43516.559822,3.5
43516.559868,3.7
43516.559914,3.7
43516.559960,3.7
43516.560007,3.7
43516.560053,3.7
43516.560099,3.8
43516.560146,3.6
43516.560192,4.1
43516.560238,3.7
43516.560285,3.6
43516.560331,3.8
43516.560377,3.7
43516.560423,3.7
43516.560470,3.7
43516.560516,3.8
43516.560562,3.7
43516.560609,3.8
43516.560655,3.6
43516.560701,3.7
43516.560747,3.7
43516.560794,3.7
43516.560840,3.7
43516.560886,3.8
43516.560933,3.6
43516.560979,3.7
43516.561025,3.7
43516.561072,3.6
43516.561118,3.6
43516.561164,3.7
43516.561210,3.7
43516.561257,3.7
43516.561303,3.7
43516.561349,3.6
43516.561396,3.7
43516.561442,3.8
43516.561488,3.6
43516.561534,3.7
43516.561581,3.7
43516.561627,3.6
43516.561673,3.8
43516.561720,3.7
43516.561766,3.6
43516.561812,3.8
43516.561859,3.7
43516.561905,3.7
43516.561951,3.7
43516.561997,3.7
43516.562044,3.7
43516.562090,3.7
43516.562136,3.7
43516.562183,3.7
43516.562229,3.7
43516.562275,3.7
43516.562322,3.7
43516.562368,3.7
43516.562414,3.6
43516.562460,3.6
43516.562507,3.8
43516.562553,3.6
43516.562599,3.7
43516.562646,3.8
43516.562692,3.6
43516.562738,3.7
43516.562785,3.6
43516.562831,3.7
43516.562877,3.7
43516.562923,3.7
43516.562970,3.7
43516.563016,3.7
43516.563062,3.7
43516.563109,3.7
43516.563155,3.8
43516.563201,3.6
43516.563248,4.0
43516.563294,3.7
43516.563340,3.7
43516.563386,3.6
43516.563433,3.7
43516.563479,3.6
43516.563525,3.8
43516.563572,3.7
43516.563618,3.6
43516.563664,3.8
43516.563710,3.7
43516.563757,3.7
43516.563803,3.6
43516.563849,3.7
43516.563896,3.6
43516.563942,3.8
43516.563988,3.6
43516.564035,3.7
43516.564081,3.6
43516.564127,3.7
43516.564173,3.7
43516.564220,3.6
43516.564266,3.7
43516.564312,3.7
43516.564359,3.8
43516.564405,3.7
43516.564451,3.7
43516.564498,3.7
43516.564544,3.6
43516.564590,3.7
43516.564636,3.6
43516.564683,3.6
43516.564729,3.7
43516.564775,3.6
43516.564822,3.6
43516.564868,3.6
43516.564914,3.7
43516.564961,3.6
43516.565007,3.7
43516.565053,3.7
43516.565099,3.6
43516.565146,3.6
43516.565192,3.6
43516.565238,3.6
43516.565285,3.7
43516.565331,3.6
43516.565377,3.6
43516.565423,3.7
43516.565470,3.6
43516.565516,3.6
43516.565562,3.7
43516.565609,3.6
43516.565655,3.7
43516.565701,3.6
43516.565748,3.6
43516.565794,3.7
43516.565840,3.6
43516.565886,3.6
43516.565933,3.6
43516.565979,3.8
43516.566025,3.6
43516.566072,3.6
43516.566118,3.6
43516.566164,3.6
43516.566211,3.6
43516.566257,3.6
43516.566303,3.6
43516.566349,3.7
43516.566396,3.6
43516.566442,3.7
43516.566488,3.7
43516.566535,3.6
43516.566581,3.6
43516.566627,3.7
43516.566674,3.6
43516.566720,3.7
43516.566766,3.7
