Time,Used,Committed,Max,Threshold
43516.538573,73441168,80629760,-1,0
43516.538617,74130344,81547264,-1,0
43516.538664,74277480,81547264,-1,0
43516.538710,74422008,81809408,-1,0
43516.538756,74469568,81809408,-1,0
43516.538803,74484960,81809408,-1,0
43516.538849,74539880,81809408,-1,0
43516.538895,74618656,82071552,-1,0
43516.538941,74646952,82071552,-1,0
43516.538988,82480384,90853376,-1,0
43516.539034,83639032,91901952,-1,0
43516.539080,83754104,91901952,-1,0
43516.539127,83942856,92164096,-1,0
43516.539173,84040832,92164096,-1,0
43516.539219,84088064,92426240,-1,0
43516.539265,84124744,92426240,-1,0
43516.539312,84141344,92426240,-1,0
43516.539358,84176768,92426240,-1,0
43516.539404,84202752,92426240,-1,0
43516.539451,84204704,92426240,-1,0
43516.539497,84229040,92688384,-1,0
43516.539543,84238424,92688384,-1,0
43516.539590,84240984,92688384,-1,0
43516.539636,84258728,92819456,-1,0
43516.539682,84260208,92819456,-1,0
43516.539728,84282464,92819456,-1,0
43516.539775,84294752,92819456,-1,0
43516.539821,84461032,92819456,-1,0
43516.539867,84464832,92819456,-1,0
43516.539914,84466424,92819456,-1,0
43516.539960,84476200,92819456,-1,0
43516.540006,84476592,92819456,-1,0
43516.540053,84483168,92819456,-1,0
43516.540099,84488168,92819456,-1,0
43516.540145,84490328,92819456,-1,0
43516.540191,84505152,92819456,-1,0
43516.540238,84505152,92819456,-1,0
43516.540284,84505600,92819456,-1,0
43516.540330,84517632,92819456,-1,0
43516.540377,84523352,92819456,-1,0
43516.540423,84526256,92819456,-1,0
43516.540469,84562600,92819456,-1,0
43516.540515,84562600,92819456,-1,0
43516.540562,84567208,93081600,-1,0
43516.540608,84567208,93081600,-1,0
43516.540654,84567208,93081600,-1,0
43516.540701,84567776,93081600,-1,0
43516.540747,84567936,93081600,-1,0
43516.540793,84567936,93081600,-1,0
43516.540840,84572200,93081600,-1,0
43516.540886,84576824,93081600,-1,0
43516.540932,84586896,93081600,-1,0
43516.540978,84592352,93081600,-1,0
43516.541025,84598880,93081600,-1,0
43516.541071,84606264,93081600,-1,0
43516.541117,84608024,93081600,-1,0
43516.541164,84608344,93081600,-1,0
43516.541210,84638624,93081600,-1,0
43516.541256,84645304,93081600,-1,0
43516.541303,84646648,93081600,-1,0
43516.541349,84649368,93081600,-1,0
43516.541395,84649872,93081600,-1,0
43516.541441,84650808,93081600,-1,0
43516.541488,84651176,93081600,-1,0
43516.541534,84651176,93081600,-1,0
43516.541580,84652040,93081600,-1,0
43516.541627,84652448,93081600,-1,0
43516.541673,84652448,93081600,-1,0
43516.541719,84652448,93081600,-1,0
43516.541766,84652448,93081600,-1,0
43516.541812,84652976,93081600,-1,0
43516.541858,84652976,93081600,-1,0
43516.541904,84653840,93081600,-1,0
43516.541951,84658080,93081600,-1,0
43516.541997,84658704,93081600,-1,0
43516.542043,84666216,93081600,-1,0
43516.542090,84666216,93081600,-1,0
43516.542136,84666216,93081600,-1,0
43516.542182,84666216,93081600,-1,0
43516.542229,84666216,93081600,-1,0
43516.542275,84666216,93081600,-1,0
43516.542321,84669768,93081600,-1,0
43516.542367,84670256,93081600,-1,0
43516.542414,84675968,93081600,-1,0
43516.542460,84681168,93081600,-1,0
43516.542506,84683520,93081600,-1,0
43516.542553,84685608,93081600,-1,0
43516.542599,84692072,93081600,-1,0
43516.542645,84692440,93081600,-1,0
43516.542691,84700808,93081600,-1,0
43516.542738,84705568,93081600,-1,0
43516.542784,84709944,93081600,-1,0
43516.542830,84710920,93081600,-1,0
43516.542877,84710920,93081600,-1,0
43516.542923,84711336,93081600,-1,0
43516.542969,84711336,93081600,-1,0
43516.543016,84711744,93081600,-1,0
43516.543062,84711744,93081600,-1,0
43516.543108,84711744,93081600,-1,0
43516.543154,84711744,93081600,-1,0
43516.543201,84712696,93081600,-1,0
43516.543247,84713128,93081600,-1,0
43516.543293,84715568,93081600,-1,0
43516.543340,84716528,93081600,-1,0
43516.543386,84716528,93081600,-1,0
43516.543432,84716528,93081600,-1,0
43516.543479,84716944,93081600,-1,0
43516.543525,84716944,93081600,-1,0
43516.543571,84716944,93081600,-1,0
43516.543617,84716944,93081600,-1,0
43516.543664,84716944,93081600,-1,0
43516.543710,84716944,93081600,-1,0
43516.543756,84716944,93081600,-1,0
43516.543803,84716944,93081600,-1,0
43516.543849,84716944,93081600,-1,0
43516.543895,84716944,93081600,-1,0
43516.543942,84720928,93081600,-1,0
43516.543988,84720928,93081600,-1,0
43516.544034,84720928,93081600,-1,0
43516.544080,84724912,93081600,-1,0
43516.544127,84724912,93081600,-1,0
43516.544173,84724912,93081600,-1,0
43516.544219,84745072,93081600,-1,0
43516.544266,84745504,93081600,-1,0
43516.544312,84745504,93081600,-1,0
43516.544358,84745504,93081600,-1,0
43516.544405,84745504,93081600,-1,0
43516.544451,84746280,93081600,-1,0
43516.544497,84746280,93081600,-1,0
43516.544543,84746280,93081600,-1,0
43516.544590,84746280,93081600,-1,0
43516.544636,84746664,93081600,-1,0
43516.544682,84748336,93081600,-1,0
43516.544729,84748336,93081600,-1,0
43516.544775,84749400,93081600,-1,0
43516.544821,84750096,93081600,-1,0
43516.544867,84750792,93081600,-1,0
43516.544914,84750792,93081600,-1,0
43516.544960,84750792,93081600,-1,0
43516.545006,84750792,93081600,-1,0
43516.545053,84750792,93081600,-1,0
43516.545099,84750792,93081600,-1,0
43516.545145,84750792,93081600,-1,0
43516.545192,84750792,93081600,-1,0
43516.545238,84750792,93081600,-1,0
43516.545284,84750792,93081600,-1,0
43516.545330,84751512,93081600,-1,0
43516.545377,84751512,93081600,-1,0
43516.545423,84751512,93081600,-1,0
43516.545469,84751512,93081600,-1,0
43516.545516,84751512,93081600,-1,0
43516.545562,84751512,93081600,-1,0
43516.545608,84751512,93081600,-1,0
43516.545655,84751512,93081600,-1,0
43516.545701,84751512,93081600,-1,0
43516.545747,84755960,93081600,-1,0
43516.545793,84755960,93081600,-1,0
43516.545840,84755960,93081600,-1,0
43516.545886,84755960,93081600,-1,0
43516.545932,84755960,93081600,-1,0
43516.545979,84758944,93081600,-1,0
43516.546025,84758944,93081600,-1,0
43516.546071,84761544,93081600,-1,0
43516.546117,84763968,93081600,-1,0
43516.546164,84763968,93081600,-1,0
43516.546210,84764456,93081600,-1,0
43516.546256,84764456,93081600,-1,0
43516.546303,84764456,93081600,-1,0
43516.546349,84764456,93081600,-1,0
43516.546395,84764456,93081600,-1,0
43516.546442,84764456,93081600,-1,0
43516.546488,84764456,93081600,-1,0
43516.546534,84764456,93081600,-1,0
43516.546580,84764456,93081600,-1,0
43516.546627,84764456,93081600,-1,0
43516.546673,84764456,93081600,-1,0
43516.546719,84764456,93081600,-1,0
43516.546766,84764456,93081600,-1,0
43516.546812,84764456,93081600,-1,0
43516.546858,84764456,93081600,-1,0
43516.546905,84764456,93081600,-1,0
43516.546951,84764456,93081600,-1,0
43516.546997,84764456,93081600,-1,0
43516.547043,84764456,93081600,-1,0
43516.547090,84764456,93081600,-1,0
43516.547136,84765416,93081600,-1,0
43516.547182,84765416,93081600,-1,0
43516.547229,84765416,93081600,-1,0
43516.547275,84765416,93081600,-1,0
43516.547321,84765416,93081600,-1,0
43516.547368,84765416,93081600,-1,0
43516.547414,84765416,93081600,-1,0
43516.547460,84765416,93081600,-1,0
43516.547506,84765416,93081600,-1,0
43516.547553,84766240,93081600,-1,0
43516.547599,84766240,93081600,-1,0
43516.547645,84766240,93081600,-1,0
43516.547692,84770344,93081600,-1,0
43516.547738,84770344,93081600,-1,0
43516.547784,84770344,93081600,-1,0
43516.547830,84770344,93081600,-1,0
43516.547877,84771672,93081600,-1,0
43516.547923,84771672,93081600,-1,0
43516.547969,84771672,93081600,-1,0
