Time,Used,Committed,Max
43516.538573,98144688,107192320,-1
43516.538617,100036024,109420544,-1
43516.538664,100708552,109879296,-1
43516.538710,101176304,110469120,-1
43516.538756,101430824,110665728,-1
43516.538803,101562328,110731264,-1
43516.538849,101801376,110993408,-1
43516.538895,102231096,111583232,-1
43516.538941,102388952,111714304,-1
43516.538988,112584832,122855424,-1
43516.539034,118453016,128622592,-1
43516.539080,119471104,129540096,-1
43516.539127,120965208,131047424,-1
43516.539173,121850096,131899392,-1
43516.539219,122402792,132685824,-1
43516.539265,122765128,133013504,-1
43516.539312,123299944,133472256,-1
43516.539358,123806344,133931008,-1
43516.539404,124229552,134324224,-1
43516.539451,124402896,134520832,-1
43516.539497,124555880,134914048,-1
43516.539543,124586600,134979584,-1
43516.539590,124693904,135045120,-1
43516.539636,124836112,135503872,-1
43516.539682,124892376,135503872,-1
43516.539728,125033416,135634944,-1
43516.539775,125199304,135700480,-1
43516.539821,125515168,135897088,-1
43516.539867,125604856,135962624,-1
43516.539914,125672216,136028160,-1
43516.539960,125734216,136093696,-1
43516.540006,125754064,136093696,-1
43516.540053,125836544,136224768,-1
43516.540099,125918600,136290304,-1
43516.540145,125944440,136290304,-1
43516.540191,126064096,136421376,-1
43516.540238,126067552,136421376,-1
43516.540284,126089376,136421376,-1
43516.540330,126161800,136486912,-1
43516.540377,126208096,136486912,-1
43516.540423,126248504,136552448,-1
43516.540469,126407344,136617984,-1
43516.540515,126413488,136617984,-1
43516.540562,126432432,136945664,-1
43516.540608,126438576,137011200,-1
43516.540654,126492720,137011200,-1
43516.540701,126528664,137011200,-1
43516.540747,126543240,137076736,-1
43516.540793,126553736,137076736,-1
43516.540840,126575024,137076736,-1
43516.540886,126591424,137076736,-1
43516.540932,126628376,137142272,-1
43516.540978,126649064,137142272,-1
43516.541025,126669672,137142272,-1
43516.541071,126789440,137273344,-1
43516.541117,126800160,137273344,-1
43516.541164,126807904,137338880,-1
43516.541210,126904104,137404416,-1
43516.541256,126932416,137404416,-1
43516.541303,126953728,137404416,-1
43516.541349,126984352,137469952,-1
43516.541395,126987800,137469952,-1
43516.541441,126987800,137469952,-1
43516.541488,127001664,137469952,-1
43516.541534,127097904,137535488,-1
43516.541580,127106320,137535488,-1
43516.541627,127110184,137535488,-1
43516.541673,127114664,137535488,-1
43516.541719,127126312,137535488,-1
43516.541766,127126312,137535488,-1
43516.541812,127133752,137535488,-1
43516.541858,127135160,137535488,-1
43516.541904,127147032,137535488,-1
43516.541951,127191464,137601024,-1
43516.541997,127195800,137601024,-1
43516.542043,127218544,137601024,-1
43516.542090,127248496,137666560,-1
43516.542136,127259760,137666560,-1
43516.542182,127265008,137666560,-1
43516.542229,127265008,137666560,-1
43516.542275,127266672,137666560,-1
43516.542321,127296080,137732096,-1
43516.542367,127310520,137732096,-1
43516.542414,127407752,137797632,-1
43516.542460,127434456,137863168,-1
43516.542506,127449864,137863168,-1
43516.542553,127460144,137863168,-1
43516.542599,127494640,137863168,-1
43516.542645,127509984,137863168,-1
43516.542691,127582224,137928704,-1
43516.542738,127601832,137994240,-1
43516.542784,127638336,137994240,-1
43516.542830,127648016,137994240,-1
43516.542877,127648016,137994240,-1
43516.542923,127650608,137994240,-1
43516.542969,127657520,137994240,-1
43516.543016,127666888,138059776,-1
43516.543062,127682504,138059776,-1
43516.543108,127692232,138059776,-1
43516.543154,127692232,138059776,-1
43516.543201,127702776,138059776,-1
43516.543247,127711280,138059776,-1
43516.543293,127719480,138059776,-1
43516.543340,127733752,138059776,-1
43516.543386,127744632,138059776,-1
43516.543432,127744632,138059776,-1
43516.543479,127764760,138190848,-1
43516.543525,127764760,138190848,-1
43516.543571,127767320,138190848,-1
43516.543617,127787544,138190848,-1
43516.543664,127787544,138190848,-1
43516.543710,127792024,138190848,-1
43516.543756,127806360,138190848,-1
43516.543803,127807768,138190848,-1
43516.543849,127811608,138190848,-1
43516.543895,127811608,138190848,-1
43516.543942,127833896,138190848,-1
43516.543988,127837224,138190848,-1
43516.544034,127846056,138190848,-1
43516.544080,127878968,138190848,-1
43516.544127,127879736,138190848,-1
43516.544173,127889080,138256384,-1
43516.544219,127953528,138321920,-1
43516.544266,127955112,138321920,-1
43516.544312,127956264,138321920,-1
43516.544358,127956264,138321920,-1
43516.544405,127962920,138321920,-1
43516.544451,127985064,138321920,-1
43516.544497,127989808,138321920,-1
43516.544543,127993264,138321920,-1
43516.544590,127995696,138321920,-1
43516.544636,127998896,138321920,-1
43516.544682,128004664,138387456,-1
43516.544729,128012088,138387456,-1
43516.544775,128026080,138387456,-1
43516.544821,128030872,138387456,-1
43516.544867,128037200,138387456,-1
43516.544914,128037200,138387456,-1
43516.544960,128045904,138387456,-1
43516.545006,128045904,138387456,-1
43516.545053,128068560,138387456,-1
43516.545099,128100304,138452992,-1
43516.545145,128104272,138452992,-1
43516.545192,128111312,138452992,-1
43516.545238,128112464,138452992,-1
43516.545284,128112464,138452992,-1
43516.545330,128114312,138452992,-1
43516.545377,128116872,138452992,-1
43516.545423,128116872,138452992,-1
43516.545469,128125960,138452992,-1
43516.545516,128153864,138452992,-1
43516.545562,128154760,138452992,-1
43516.545608,128164744,138518528,-1
43516.545655,128166792,138518528,-1
43516.545701,128226824,138518528,-1
43516.545747,128282992,138649600,-1
43516.545793,128284528,138649600,-1
43516.545840,128284528,138649600,-1
43516.545886,128286448,138649600,-1
43516.545932,128286448,138649600,-1
43516.545979,128290576,138649600,-1
43516.546025,128304664,138649600,-1
43516.546071,128322368,138649600,-1
43516.546117,128334264,138649600,-1
43516.546164,128359736,138715136,-1
43516.546210,128363808,138715136,-1
43516.546256,128372000,138715136,-1
43516.546303,128381472,138715136,-1
43516.546349,128382240,138715136,-1
