Time,Used,Committed,Max,Threshold
43516.538573,32100752,34078720,279183360,-1
43516.538617,5211752,34078720,279183360,-1
43516.538664,6420104,34078720,279183360,-1
43516.538710,7359328,34078720,279183360,-1
43516.538756,8526392,34078720,279183360,-1
43516.538803,9394848,34078720,279183360,-1
43516.538849,10654936,34078720,279183360,-1
43516.538895,11617272,34078720,279183360,-1
43516.538941,13429904,34078720,279183360,-1
43516.538988,4486656,34078720,279183360,-1
43516.539034,33168344,34078720,279183360,-1
43516.539080,23706976,34078720,279183360,-1
43516.539127,24707384,34078720,279183360,-1
43516.539173,26083264,34078720,279183360,-1
43516.539219,27400760,34078720,279183360,-1
43516.539265,28555336,34078720,279183360,-1
43516.539312,29954568,34078720,279183360,-1
43516.539358,30537824,34078720,279183360,-1
43516.539404,31007400,34078720,279183360,-1
43516.539451,31354608,34078720,279183360,-1
43516.539497,31987040,34078720,279183360,-1
43516.539543,32608144,34078720,279183360,-1
43516.539590,33143376,34078720,279183360,-1
43516.539636,33749056,34078720,279183360,-1
43516.539682,259832,34078720,279183360,-1
43516.539728,758608,34078720,279183360,-1
43516.539775,1129952,34078720,279183360,-1
43516.539821,4247600,34078720,279183360,-1
43516.539867,4657048,34078720,279183360,-1
43516.539914,5149976,34078720,279183360,-1
43516.539960,5359952,34078720,279183360,-1
43516.540006,5639488,34078720,279183360,-1
43516.540053,5884216,34078720,279183360,-1
43516.540099,6264992,34078720,279183360,-1
43516.540145,6584768,34078720,279183360,-1
43516.540191,6942136,34078720,279183360,-1
43516.540238,7305680,34078720,279183360,-1
43516.540284,7685304,34078720,279183360,-1
43516.540330,7954648,34078720,279183360,-1
43516.540377,8192792,34078720,279183360,-1
43516.540423,8617360,34078720,279183360,-1
43516.540469,8752480,34078720,279183360,-1
43516.540515,9223624,34078720,279183360,-1
43516.540562,9582000,34078720,279183360,-1
43516.540608,9874624,34078720,279183360,-1
43516.540654,10110624,34078720,279183360,-1
43516.540701,10324696,34078720,279183360,-1
43516.540747,10764912,34078720,279183360,-1
43516.540793,11139224,34078720,279183360,-1
43516.540840,11522080,34078720,279183360,-1
43516.540886,11828464,34078720,279183360,-1
43516.540932,12002088,34078720,279183360,-1
43516.540978,12333504,34078720,279183360,-1
43516.541025,12611256,34078720,279183360,-1
43516.541071,13413216,34078720,279183360,-1
43516.541117,13887112,34078720,279183360,-1
43516.541164,14018008,34078720,279183360,-1
43516.541210,14055216,34078720,279183360,-1
43516.541256,14158944,34078720,279183360,-1
43516.541303,14238872,34078720,279183360,-1
43516.541349,14565632,34078720,279183360,-1
43516.541395,14935120,34078720,279183360,-1
43516.541441,15161704,34078720,279183360,-1
43516.541488,15285864,34078720,279183360,-1
43516.541534,15434144,34078720,279183360,-1
43516.541580,15761944,34078720,279183360,-1
43516.541627,16119864,34078720,279183360,-1
43516.541673,16358312,34078720,279183360,-1
43516.541719,16657712,34078720,279183360,-1
43516.541766,16793320,34078720,279183360,-1
43516.541812,17078904,34078720,279183360,-1
43516.541858,17344792,34078720,279183360,-1
43516.541904,17540056,34078720,279183360,-1
43516.541951,17803512,34078720,279183360,-1
43516.541997,18151384,34078720,279183360,-1
43516.542043,18505856,34078720,279183360,-1
43516.542090,18663664,34078720,279183360,-1
43516.542136,18820408,34078720,279183360,-1
43516.542182,19131248,34078720,279183360,-1
43516.542229,19149304,34078720,279183360,-1
43516.542275,19426496,34078720,279183360,-1
43516.542321,19401440,34078720,279183360,-1
43516.542367,19567768,34078720,279183360,-1
43516.542414,20000480,34078720,279183360,-1
43516.542460,20203920,34078720,279183360,-1
43516.542506,20344936,34078720,279183360,-1
43516.542553,20550960,34078720,279183360,-1
43516.542599,20820096,34078720,279183360,-1
43516.542645,21250792,34078720,279183360,-1
43516.542691,21387216,34078720,279183360,-1
43516.542738,21482112,34078720,279183360,-1
43516.542784,21766288,34078720,279183360,-1
43516.542830,21883776,34078720,279183360,-1
43516.542877,22022416,34078720,279183360,-1
43516.542923,22209472,34078720,279183360,-1
43516.542969,22505264,34078720,279183360,-1
43516.543016,22510632,34078720,279183360,-1
43516.543062,22617272,34078720,279183360,-1
43516.543108,22565200,34078720,279183360,-1
43516.543154,22703792,34078720,279183360,-1
43516.543201,22994056,34078720,279183360,-1
43516.543247,23151784,34078720,279183360,-1
43516.543293,23329344,34078720,279183360,-1
43516.543340,23455296,34078720,279183360,-1
43516.543386,23824000,34078720,279183360,-1
43516.543432,23795760,34078720,279183360,-1
43516.543479,23932704,34078720,279183360,-1
43516.543525,24277504,34078720,279183360,-1
43516.543571,24502192,34078720,279183360,-1
43516.543617,24586600,34078720,279183360,-1
43516.543664,24849736,34078720,279183360,-1
43516.543710,24997120,34078720,279183360,-1
43516.543756,25190504,34078720,279183360,-1
43516.543803,25441432,34078720,279183360,-1
43516.543849,25703856,34078720,279183360,-1
43516.543895,25670536,34078720,279183360,-1
43516.543942,25958896,34078720,279183360,-1
43516.543988,26143408,34078720,279183360,-1
43516.544034,26367896,34078720,279183360,-1
43516.544080,26610576,34078720,279183360,-1
43516.544127,26751168,34078720,279183360,-1
43516.544173,27028328,34078720,279183360,-1
43516.544219,27087928,34078720,279183360,-1
43516.544266,27206176,34078720,279183360,-1
43516.544312,27398816,34078720,279183360,-1
43516.544358,27681832,34078720,279183360,-1
43516.544405,27871920,34078720,279183360,-1
43516.544451,27819232,34078720,279183360,-1
43516.544497,28077408,34078720,279183360,-1
43516.544543,28289312,34078720,279183360,-1
43516.544590,28258128,34078720,279183360,-1
43516.544636,28627616,34078720,279183360,-1
43516.544682,28756656,34078720,279183360,-1
43516.544729,29090280,34078720,279183360,-1
43516.544775,29436368,34078720,279183360,-1
43516.544821,29708584,34078720,279183360,-1
43516.544867,29801824,34078720,279183360,-1
43516.544914,29796088,34078720,279183360,-1
43516.544960,29931376,34078720,279183360,-1
43516.545006,30009448,34078720,279183360,-1
43516.545053,30270696,34078720,279183360,-1
43516.545099,30426768,34078720,279183360,-1
43516.545145,30721728,34078720,279183360,-1
43516.545192,30886024,34078720,279183360,-1
43516.545238,31348504,34078720,279183360,-1
43516.545284,31149376,34078720,279183360,-1
43516.545330,31386568,34078720,279183360,-1
43516.545377,31536072,34078720,279183360,-1
43516.545423,31739520,34078720,279183360,-1
43516.545469,31947960,34078720,279183360,-1
43516.545516,32368320,34078720,279183360,-1
43516.545562,32521080,34078720,279183360,-1
43516.545608,32703960,34078720,279183360,-1
43516.545655,32848800,34078720,279183360,-1
43516.545701,33127368,34078720,279183360,-1
43516.545747,33281400,34078720,279183360,-1
43516.545793,33698672,34078720,279183360,-1
43516.545840,33920016,34078720,279183360,-1
43516.545886,34038512,34078720,279183360,-1
43516.545932,34048072,34078720,279183360,-1
43516.545979,217416,34078720,279183360,-1
43516.546025,632336,34078720,279183360,-1
43516.546071,768272,34078720,279183360,-1
43516.546117,888712,34078720,279183360,-1
43516.546164,1342312,34078720,279183360,-1
43516.546210,1453720,34078720,279183360,-1
43516.546256,1625088,34078720,279183360,-1
43516.546303,2047560,34078720,279183360,-1
43516.546349,2190128,34078720,279183360,-1
43516.546395,2314240,34078720,279183360,-1
43516.546442,2533840,34078720,279183360,-1
43516.546488,2745232,34078720,279183360,-1
43516.546534,2828120,34078720,279183360,-1
43516.546580,3191088,34078720,279183360,-1
43516.546627,3309744,34078720,279183360,-1
43516.546673,3394856,34078720,279183360,-1
43516.546719,3548680,34078720,279183360,-1
43516.546766,3688672,34078720,279183360,-1
43516.546812,3928576,34078720,279183360,-1
43516.546858,4055656,34078720,279183360,-1
43516.546905,4240416,34078720,279183360,-1
43516.546951,4615728,34078720,279183360,-1
43516.546997,4743752,34078720,279183360,-1
43516.547043,4855120,34078720,279183360,-1
43516.547090,5124648,34078720,279183360,-1
43516.547136,5209056,34078720,279183360,-1
43516.547182,5436840,34078720,279183360,-1
43516.547229,5721200,34078720,279183360,-1
43516.547275,5891104,34078720,279183360,-1
43516.547321,5904296,34078720,279183360,-1
43516.547368,6030448,34078720,279183360,-1
43516.547414,6219168,34078720,279183360,-1
43516.547460,6601544,34078720,279183360,-1
43516.547506,6507040,34078720,279183360,-1
43516.547553,6741824,34078720,279183360,-1
43516.547599,6821608,34078720,279183360,-1
43516.547645,7091264,34078720,279183360,-1
43516.547692,7303352,34078720,279183360,-1
43516.547738,7441136,34078720,279183360,-1
43516.547784,7669904,34078720,279183360,-1
43516.547830,7885976,34078720,279183360,-1
43516.547877,8090536,34078720,279183360,-1
43516.547923,8091888,34078720,279183360,-1
43516.547969,8359848,34078720,279183360,-1
43516.548016,8542232,34078720,279183360,-1
43516.548062,8738952,34078720,279183360,-1
43516.548108,8941672,34078720,279183360,-1
43516.548155,9302104,34078720,279183360,-1
43516.548201,9342016,34078720,279183360,-1
43516.548247,9606784,34078720,279183360,-1
43516.548293,9896320,34078720,279183360,-1
43516.548340,10156848,34078720,279183360,-1
43516.548386,10550056,34078720,279183360,-1
43516.548432,10681480,34078720,279183360,-1
43516.548479,11067320,34078720,279183360,-1
43516.548525,11138976,34078720,279183360,-1
43516.548571,11274128,34078720,279183360,-1
43516.548618,11457840,34078720,279183360,-1
43516.548664,11572424,34078720,279183360,-1
43516.548710,11823768,34078720,279183360,-1
43516.548756,12040760,34078720,279183360,-1
43516.548803,12286544,34078720,279183360,-1
43516.548849,12472688,34078720,279183360,-1
43516.548895,12554816,34078720,279183360,-1
43516.548942,12537072,34078720,279183360,-1
43516.548988,12611752,34078720,279183360,-1
43516.549034,12847848,34078720,279183360,-1
43516.549080,13064112,34078720,279183360,-1
43516.549127,13269160,34078720,279183360,-1
43516.549173,13467584,34078720,279183360,-1
43516.549219,13534936,34078720,279183360,-1
43516.549266,13920776,34078720,279183360,-1
43516.549312,13925320,34078720,279183360,-1
43516.549358,14153024,34078720,279183360,-1
43516.549405,14129952,34078720,279183360,-1
43516.549451,14256568,34078720,279183360,-1
43516.549497,14621680,34078720,279183360,-1
43516.549543,14836944,34078720,279183360,-1
43516.549590,14926728,34078720,279183360,-1
43516.549636,15103016,34078720,279183360,-1
43516.549682,15356400,34078720,279183360,-1
43516.549729,15466040,34078720,279183360,-1
43516.549775,15668736,34078720,279183360,-1
43516.549821,15826176,34078720,279183360,-1
43516.549868,16213280,34078720,279183360,-1
43516.549914,16348784,34078720,279183360,-1
43516.549960,16532168,34078720,279183360,-1
43516.550006,16635528,34078720,279183360,-1
43516.550053,16765504,34078720,279183360,-1
43516.550099,17156952,34078720,279183360,-1
