Time,Used,Committed,Max,Threshold
43516.538573,4259824,4259840,34865152,-1
43516.538617,4259840,4259840,34865152,-1
43516.538664,4259840,4259840,34865152,-1
43516.538710,4259840,4259840,34865152,-1
43516.538756,4259840,4259840,34865152,-1
43516.538803,4259840,4259840,34865152,-1
43516.538849,4259840,4259840,34865152,-1
43516.538895,4259840,4259840,34865152,-1
43516.538941,4259840,4259840,34865152,-1
43516.538988,4258280,4259840,34865152,-1
43516.539034,4258280,4259840,34865152,-1
43516.539080,1099304,4259840,34865152,-1
43516.539127,432488,4259840,34865152,-1
43516.539173,551320,4259840,34865152,-1
43516.539219,723600,4259840,34865152,-1
43516.539265,788872,4259840,34865152,-1
43516.539312,819600,4259840,34865152,-1
43516.539358,952680,4259840,34865152,-1
43516.539404,726488,4259840,34865152,-1
43516.539451,767376,4259840,34865152,-1
43516.539497,674560,4259840,34865152,-1
43516.539543,811768,4259840,34865152,-1
43516.539590,795696,4259840,34865152,-1
43516.539636,780000,4259840,34865152,-1
43516.539682,893480,4259840,34865152,-1
43516.539728,638272,4259840,34865152,-1
43516.539775,810096,4259840,34865152,-1
43516.539821,848224,4259840,34865152,-1
43516.539867,782784,4259840,34865152,-1
43516.539914,788352,4259840,34865152,-1
43516.539960,651840,4259840,34865152,-1
43516.540006,778848,4259840,34865152,-1
43516.540053,775920,4259840,34865152,-1
43516.540099,774912,4259840,34865152,-1
43516.540145,760464,4259840,34865152,-1
43516.540191,629240,4259840,34865152,-1
43516.540238,629920,4259840,34865152,-1
43516.540284,756192,4259840,34865152,-1
43516.540330,757584,4259840,34865152,-1
43516.540377,757488,4259840,34865152,-1
43516.540423,759648,4259840,34865152,-1
43516.540469,633360,4259840,34865152,-1
43516.540515,632560,4259840,34865152,-1
43516.540562,634840,4259840,34865152,-1
43516.540608,759552,4259840,34865152,-1
43516.540654,633120,4259840,34865152,-1
43516.540701,760896,4259840,34865152,-1
43516.540747,636160,4259840,34865152,-1
43516.540793,759120,4259840,34865152,-1
43516.540840,758544,4259840,34865152,-1
43516.540886,755952,4259840,34865152,-1
43516.540932,754080,4259840,34865152,-1
43516.540978,626800,4259840,34865152,-1
43516.541025,751152,4259840,34865152,-1
43516.541071,625760,4259840,34865152,-1
43516.541117,749664,4259840,34865152,-1
43516.541164,624880,4259840,34865152,-1
43516.541210,758112,4259840,34865152,-1
43516.541256,754608,4259840,34865152,-1
43516.541303,627440,4259840,34865152,-1
43516.541349,625920,4259840,34865152,-1
43516.541395,752016,4259840,34865152,-1
43516.541441,625840,4259840,34865152,-1
43516.541488,625640,4259840,34865152,-1
43516.541534,751680,4259840,34865152,-1
43516.541580,626080,4259840,34865152,-1
43516.541627,749760,4259840,34865152,-1
43516.541673,749424,4259840,34865152,-1
43516.541719,749472,4259840,34865152,-1
43516.541766,749568,4259840,34865152,-1
43516.541812,623480,4259840,34865152,-1
43516.541858,871528,4259840,34865152,-1
43516.541904,700416,4259840,34865152,-1
43516.541951,714528,4259840,34865152,-1
43516.541997,646680,4259840,34865152,-1
43516.542043,795264,4259840,34865152,-1
43516.542090,799584,4259840,34865152,-1
43516.542136,797952,4259840,34865152,-1
43516.542182,665120,4259840,34865152,-1
43516.542229,762720,4259840,34865152,-1
43516.542275,627760,4259840,34865152,-1
43516.542321,625120,4259840,34865152,-1
43516.542367,626440,4259840,34865152,-1
43516.542414,752592,4259840,34865152,-1
43516.542460,627320,4259840,34865152,-1
43516.542506,751968,4259840,34865152,-1
43516.542553,631080,4259840,34865152,-1
43516.542599,756336,4259840,34865152,-1
43516.542645,629800,4259840,34865152,-1
43516.542691,753648,4259840,34865152,-1
43516.542738,625360,4259840,34865152,-1
43516.542784,624880,4259840,34865152,-1
43516.542830,627640,4259840,34865152,-1
43516.542877,753408,4259840,34865152,-1
43516.542923,878696,4259840,34865152,-1
43516.542969,627712,4259840,34865152,-1
43516.543016,684048,4259840,34865152,-1
43516.543062,858760,4259840,34865152,-1
43516.543108,623872,4259840,34865152,-1
43516.543154,683424,4259840,34865152,-1
43516.543201,738240,4259840,34865152,-1
43516.543247,750816,4259840,34865152,-1
43516.543293,625520,4259840,34865152,-1
43516.543340,626200,4259840,34865152,-1
43516.543386,626320,4259840,34865152,-1
43516.543432,748896,4259840,34865152,-1
43516.543479,748560,4259840,34865152,-1
43516.543525,749520,4259840,34865152,-1
43516.543571,625680,4259840,34865152,-1
43516.543617,750240,4259840,34865152,-1
43516.543664,626600,4259840,34865152,-1
43516.543710,751632,4259840,34865152,-1
43516.543756,752544,4259840,34865152,-1
43516.543803,754368,4259840,34865152,-1
43516.543849,625560,4259840,34865152,-1
43516.543895,751824,4259840,34865152,-1
