Time,Used
43516.538573,61333512
43516.538617,38401896
43516.538664,39626784
43516.538710,40616320
43516.538756,41798800
43516.538803,42636488
43516.538849,43894480
43516.538895,44812656
43516.538941,46702312
43516.538988,40702264
43516.539034,69325096
43516.539080,57386416
43516.539127,57746936
43516.539173,59276344
43516.539219,60673360
43516.539265,61909304
43516.539312,63215200
43516.539358,64294424
43516.539404,64619688
43516.539451,65064576
43516.539497,65697616
43516.539543,66513800
43516.539590,67147808
43516.539636,67722896
43516.539682,68159856
43516.539728,34824896
43516.539775,35452336
43516.539821,38721248
43516.539867,39105976
43516.539914,39661504
43516.539960,39866864
43516.540006,40328736
43516.540053,40642728
43516.540099,41087200
43516.540145,41450216
43516.540191,41760144
43516.540238,42219360
43516.540284,42745136
43516.540330,43124112
43516.540377,43418304
43516.540423,43926960
43516.540469,43978224
43516.540515,44560872
43516.540562,44916136
43516.540608,45436584
43516.540654,45627304
43516.540701,46068392
43516.540747,46412304
43516.540793,47008416
43516.540840,47461648
43516.540886,47710208
43516.540932,48017056
43516.540978,48352232
43516.541025,48820464
43516.541071,49564784
43516.541117,50216720
43516.541164,50276720
43516.541210,50545904
43516.541256,50700848
43516.541303,50750960
43516.541349,51104856
43516.541395,51686096
43516.541441,51849608
43516.541488,52054016
43516.541534,52374784
43516.541580,52673576
43516.541627,53237536
43516.541673,53542144
43516.541719,53765336
43516.541766,54115240
43516.541812,54332056
43516.541858,54927912
43516.541904,54981664
43516.541951,55367008
43516.541997,55675312
43516.542043,56272072
43516.542090,56517920
43516.542136,56726208
43516.542182,57006264
43516.542229,57205552
43516.542275,57373672
43516.542321,57444944
43516.542367,57693840
43516.542414,58310280
43516.542460,58457976
43516.542506,58788856
43516.542553,58912392
43516.542599,59422016
43516.542645,59752256
43516.542691,60096744
43516.542738,60161040
43516.542784,60472640
43516.542830,60662160
43516.542877,61012688
43516.542923,61404208
43516.542969,61337264
43516.543016,61664232
43516.543062,61909688
43516.543108,61754688
43516.543154,62049800
43516.543201,62420640
43516.543247,62687568
43516.543293,62813968
43516.543340,63005128
43516.543386,63338544
43516.543432,63623536
43516.543479,63812248
43516.543525,64231232
43516.543571,64384848
43516.543617,64700016
43516.543664,64898664
43516.543710,65207232
43516.543756,65477640
43516.543803,65836960
43516.543849,66027232
43516.543895,66174968
43516.543942,66398384
43516.543988,66800472
43516.544034,66981088
43516.544080,67194168
43516.544127,67485528
43516.544173,67898120
43516.544219,67961464
43516.544266,68145792
43516.544312,68532920
43516.544358,68761168
43516.544405,69018528
43516.544451,69134232
43516.544497,69227224
43516.544543,69646984
43516.544590,69693152
43516.544636,70107192
43516.544682,70288752
43516.544729,70534824
43516.544775,71139648
43516.544821,71490992
43516.544867,71611088
43516.544914,71716392
43516.544960,71888664
