Time,Used,Committed,Max,Threshold
43515.580976,118489088,231735296,-1,-1
43515.581021,122683392,231735296,-1,-1
43515.581067,123731968,231735296,-1,-1
43515.581114,125829120,231735296,-1,-1
43515.581160,125829120,231735296,-1,-1
43515.581206,127926272,231735296,-1,-1
43515.581253,128974848,231735296,-1,-1
43515.581299,203423744,231735296,-1,-1
43515.581345,15728640,286261248,-1,-1
43515.581391,39845888,286261248,-1,-1
43515.581438,62914560,286261248,-1,-1
43515.581484,100663296,286261248,-1,-1
43515.581530,134217728,286261248,-1,-1
43515.581577,167772160,286261248,-1,-1
43515.581623,201326592,286261248,-1,-1
43515.581669,234881024,286261248,-1,-1
43515.581716,268435456,286261248,-1,-1
43515.581762,36700160,334495744,-1,-1
43515.581808,71303168,334495744,-1,-1
43515.581854,103809024,334495744,-1,-1
43515.581901,137363456,334495744,-1,-1
43515.581947,169869312,334495744,-1,-1
43515.581993,202375168,334495744,-1,-1
43515.582040,235929600,334495744,-1,-1
43515.582086,268435456,334495744,-1,-1
43515.582132,300941312,334495744,-1,-1
43515.582179,22020096,347078656,-1,-1
43515.582225,55574528,347078656,-1,-1
43515.582271,88080384,347078656,-1,-1
43515.582317,121634816,347078656,-1,-1
43515.582364,155189248,347078656,-1,-1
43515.582410,187695104,347078656,-1,-1
43515.582456,220200960,347078656,-1,-1
43515.582503,252706816,347078656,-1,-1
43515.582549,286261248,347078656,-1,-1
43515.582595,317718528,347078656,-1,-1
43515.582642,25165824,355467264,-1,-1
43515.582688,59768832,355467264,-1,-1
43515.582734,92274688,355467264,-1,-1
43515.582780,125829120,355467264,-1,-1
43515.582827,157286400,355467264,-1,-1
43515.582873,190840832,355467264,-1,-1
43515.582919,223346688,355467264,-1,-1
43515.582966,256901120,355467264,-1,-1
43515.583012,289406976,355467264,-1,-1
43515.583058,322961408,355467264,-1,-1
43515.583104,22020096,360710144,-1,-1
43515.583151,55574528,360710144,-1,-1
43515.583197,89128960,360710144,-1,-1
43515.583243,122683392,360710144,-1,-1
43515.583290,154140672,360710144,-1,-1
43515.583336,187695104,360710144,-1,-1
43515.583382,220200960,360710144,-1,-1
43515.583429,252706816,360710144,-1,-1
43515.583475,286261248,360710144,-1,-1
43515.583521,318767104,360710144,-1,-1
43515.583567,13631488,359661568,-1,-1
43515.583614,47185920,359661568,-1,-1
43515.583660,79691776,359661568,-1,-1
43515.583706,112197632,359661568,-1,-1
43515.583753,144703488,359661568,-1,-1
43515.583799,178257920,359661568,-1,-1
43515.583845,210763776,359661568,-1,-1
43515.583892,243269632,359661568,-1,-1
43515.583938,276824064,359661568,-1,-1
43515.583984,310378496,359661568,-1,-1
43515.584030,5242880,359661568,-1,-1
43515.584077,37748736,359661568,-1,-1
43515.584123,69206016,359661568,-1,-1
43515.584169,103809024,359661568,-1,-1
43515.584216,135266304,359661568,-1,-1
43515.584262,168820736,359661568,-1,-1
43515.584308,202375168,359661568,-1,-1
43515.584355,234881024,359661568,-1,-1
43515.584401,267386880,359661568,-1,-1
43515.584447,300941312,359661568,-1,-1
43515.584493,334495744,359661568,-1,-1
43515.584540,26214400,358612992,-1,-1
43515.584586,59768832,358612992,-1,-1
43515.584632,92274688,358612992,-1,-1
43515.584679,125829120,358612992,-1,-1
43515.584725,158334976,358612992,-1,-1
43515.584771,191889408,358612992,-1,-1
43515.584817,224395264,358612992,-1,-1
43515.584864,256901120,358612992,-1,-1
43515.584910,290455552,358612992,-1,-1
43515.584956,322961408,358612992,-1,-1
43515.585003,16777216,358612992,-1,-1
43515.585049,49283072,358612992,-1,-1
43515.585095,82837504,358612992,-1,-1
43515.585142,115343360,358612992,-1,-1
43515.585188,148897792,358612992,-1,-1
43515.585234,181403648,358612992,-1,-1
43515.585280,214958080,358612992,-1,-1
43515.585327,247463936,358612992,-1,-1
43515.585373,279969792,358612992,-1,-1
43515.585419,313524224,358612992,-1,-1
43515.585466,7340032,357564416,-1,-1
43515.585512,40894464,357564416,-1,-1
43515.585558,73400320,357564416,-1,-1
43515.585605,105906176,357564416,-1,-1
43515.585651,139460608,357564416,-1,-1
43515.585697,171966464,357564416,-1,-1
43515.585743,204472320,357564416,-1,-1
43515.585790,238026752,357564416,-1,-1
43515.585836,270532608,357564416,-1,-1
43515.585882,304087040,357564416,-1,-1
