Time,Used,Committed,Max,Threshold
43515.580976,73303328,80474112,-1,0
43515.581021,73785424,80998400,-1,0
43515.581067,73934360,80998400,-1,0
43515.581114,74098776,81260544,-1,0
43515.581160,74145496,81260544,-1,0
43515.581206,74150880,81260544,-1,0
43515.581253,74197360,81260544,-1,0
43515.581299,83085368,91090944,-1,0
43515.581345,83464840,91746304,-1,0
43515.581391,83482656,91746304,-1,0
43515.581438,83499784,91746304,-1,0
43515.581484,83679848,92008448,-1,0
43515.581530,83737424,92008448,-1,0
43515.581577,83775640,92008448,-1,0
43515.581623,83817000,92008448,-1,0
43515.581669,83855088,92008448,-1,0
43515.581716,83893496,92270592,-1,0
43515.581762,83921096,92270592,-1,0
43515.581808,83942480,92270592,-1,0
43515.581854,83944224,92270592,-1,0
43515.581901,83946120,92270592,-1,0
43515.581947,83965784,92270592,-1,0
43515.581993,83981688,92270592,-1,0
43515.582040,83983736,92270592,-1,0
43515.582086,83993144,92270592,-1,0
43515.582132,84008784,92270592,-1,0
43515.582179,84023296,92270592,-1,0
43515.582225,84034592,92270592,-1,0
43515.582271,84035656,92270592,-1,0
43515.582317,84044888,92270592,-1,0
43515.582364,84051096,92270592,-1,0
43515.582410,84057280,92270592,-1,0
43515.582456,84058840,92270592,-1,0
43515.582503,84059520,92270592,-1,0
43515.582549,84062992,92270592,-1,0
43515.582595,84062992,92270592,-1,0
43515.582642,84078696,92270592,-1,0
43515.582688,84079184,92270592,-1,0
43515.582734,84082488,92270592,-1,0
43515.582780,84088968,92270592,-1,0
43515.582827,84090584,92270592,-1,0
43515.582873,84095920,92270592,-1,0
43515.582919,84126112,92270592,-1,0
43515.582966,84126112,92270592,-1,0
43515.583012,84128240,92270592,-1,0
43515.583058,84128320,92270592,-1,0
43515.583104,84128808,92270592,-1,0
43515.583151,84128808,92270592,-1,0
43515.583197,84130104,92270592,-1,0
43515.583243,84134936,92270592,-1,0
43515.583290,84139992,92270592,-1,0
43515.583336,84150064,92270592,-1,0
43515.583382,84155152,92270592,-1,0
43515.583429,84158568,92270592,-1,0
43515.583475,84162504,92270592,-1,0
43515.583521,84171128,92270592,-1,0
43515.583567,84172800,92270592,-1,0
43515.583614,84176368,92270592,-1,0
43515.583660,84210856,92532736,-1,0
43515.583706,84210856,92532736,-1,0
43515.583753,84212200,92532736,-1,0
43515.583799,84215424,92532736,-1,0
43515.583845,84222640,92532736,-1,0
43515.583892,84223008,92532736,-1,0
43515.583938,84223008,92532736,-1,0
43515.583984,84223008,92532736,-1,0
43515.584030,84223008,92532736,-1,0
43515.584077,84223456,92532736,-1,0
43515.584123,84223456,92532736,-1,0
43515.584169,84223456,92532736,-1,0
43515.584216,84223456,92532736,-1,0
43515.584262,84224184,92532736,-1,0
43515.584308,84224184,92532736,-1,0
43515.584355,84224616,92532736,-1,0
43515.584401,84229016,92532736,-1,0
43515.584447,84231592,92532736,-1,0
43515.584493,84231592,92532736,-1,0
43515.584540,84232024,92532736,-1,0
43515.584586,84232024,92532736,-1,0
43515.584632,84232024,92532736,-1,0
43515.584679,84232024,92532736,-1,0
43515.584725,84234696,92532736,-1,0
43515.584771,84239072,92532736,-1,0
43515.584817,84244872,92532736,-1,0
43515.584864,84250688,92532736,-1,0
43515.584910,84253608,92532736,-1,0
43515.584956,84253608,92532736,-1,0
43515.585003,84260408,92532736,-1,0
43515.585049,84261304,92532736,-1,0
43515.585095,84266944,92532736,-1,0
43515.585142,84271648,92532736,-1,0
43515.585188,84277216,92532736,-1,0
43515.585234,84277216,92532736,-1,0
43515.585280,84277216,92532736,-1,0
43515.585327,84277216,92532736,-1,0
43515.585373,84277216,92532736,-1,0
43515.585419,84277624,92532736,-1,0
43515.585466,84277624,92532736,-1,0
43515.585512,84277624,92532736,-1,0
43515.585558,84278040,92532736,-1,0
43515.585605,84278040,92532736,-1,0
