Time,Used,Committed,Max
43515.580976,96449768,107143168,-1
43515.581021,98034128,107732992,-1
43515.581067,98595600,107864064,-1
43515.581114,99226016,108322816,-1
43515.581160,99593456,108650496,-1
43515.581206,99685288,108716032,-1
43515.581253,99888816,108847104,-1
43515.581299,115657632,125624320,-1
43515.581345,116390152,126803968,-1
43515.581391,116951312,127262720,-1
43515.581438,117202416,127524864,-1
43515.581484,118860864,129228800,-1
43515.581530,119255512,129556480,-1
43515.581577,119891512,130146304,-1
43515.581623,120438504,130670592,-1
43515.581669,121063952,131260416,-1
43515.581716,121388296,131784704,-1
43515.581762,121527576,131915776,-1
43515.581808,121804024,132112384,-1
43515.581854,121866824,132177920,-1
43515.581901,121989808,132308992,-1
43515.581947,122128920,132440064,-1
43515.581993,122287568,132571136,-1
43515.582040,122376480,132702208,-1
43515.582086,122472720,132702208,-1
43515.582132,122735272,132964352,-1
43515.582179,122820824,133095424,-1
43515.582225,122960760,133160960,-1
43515.582271,123038600,133226496,-1
43515.582317,123114136,133357568,-1
43515.582364,123170392,133423104,-1
43515.582410,123244800,133423104,-1
43515.582456,123277952,133488640,-1
43515.582503,123286184,133554176,-1
43515.582549,123369016,133619712,-1
43515.582595,123409080,133619712,-1
43515.582642,123481872,133685248,-1
43515.582688,123484280,133685248,-1
43515.582734,123497568,133685248,-1
43515.582780,123539248,133750784,-1
43515.582827,123575296,133750784,-1
43515.582873,123606488,133816320,-1
43515.582919,123744072,133881856,-1
43515.582966,123745352,133881856,-1
43515.583012,123763096,133881856,-1
43515.583058,123767576,133881856,-1
43515.583104,123806928,133947392,-1
43515.583151,123809104,133947392,-1
43515.583197,123828448,134012928,-1
43515.583243,123842368,134012928,-1
43515.583290,123865088,134012928,-1
43515.583336,123884760,134012928,-1
43515.583382,123926200,134078464,-1
43515.583429,123951376,134078464,-1
43515.583475,123971952,134078464,-1
43515.583521,124013216,134144000,-1
43515.583567,124100008,134209536,-1
43515.583614,124126488,134209536,-1
43515.583660,124234320,134537216,-1
43515.583706,124253136,134602752,-1
43515.583753,124327440,134668288,-1
43515.583799,124350632,134668288,-1
43515.583845,124431824,134733824,-1
43515.583892,124466776,134733824,-1
43515.583938,124492360,134799360,-1
43515.583984,124494536,134799360,-1
43515.584030,124501064,134799360,-1
43515.584077,124519048,134799360,-1
43515.584123,124521608,134799360,-1
43515.584169,124522376,134799360,-1
43515.584216,124526216,134864896,-1
43515.584262,124530528,134864896,-1
43515.584308,124530528,134864896,-1
43515.584355,124554512,134864896,-1
43515.584401,124602560,134930432,-1
43515.584447,124618448,134930432,-1
43515.584493,124640208,134930432,-1
43515.584540,124641792,134930432,-1
43515.584586,124648064,134930432,-1
43515.584632,124648960,134930432,-1
43515.584679,124654720,134930432,-1
43515.584725,124670704,134930432,-1
43515.584771,124692104,134995968,-1
43515.584817,124748208,134995968,-1
43515.584864,124800360,135127040,-1
43515.584910,124820304,135127040,-1
43515.584956,124828496,135127040,-1
43515.585003,124852192,135127040,-1
43515.585049,124874976,135127040,-1
43515.585095,124904040,135127040,-1
43515.585142,124961992,135192576,-1
43515.585188,125004168,135258112,-1
43515.585234,125004168,135258112,-1
43515.585280,125005704,135258112,-1
43515.585327,125008008,135258112,-1
43515.585373,125012872,135258112,-1
43515.585419,125020576,135258112,-1
43515.585466,125047584,135323648,-1
43515.585512,125050272,135323648,-1
43515.585558,125052864,135323648,-1
43515.585605,125052864,135323648,-1
43515.585651,125068352,135323648,-1
43515.585697,125073152,135323648,-1
43515.585743,125073152,135323648,-1
43515.585790,125073152,135323648,-1
43515.585836,125073152,135323648,-1
43515.585882,125089336,135323648,-1
43515.585929,125099712,135323648,-1
43515.585975,125105344,135323648,-1
43515.586021,125149248,135389184,-1
43515.586068,125149248,135389184,-1
43515.586114,125153088,135389184,-1
43515.586160,125153088,135389184,-1
43515.586206,125153088,135389184,-1
43515.586253,125153088,135389184,-1
43515.586299,125160896,135389184,-1
43515.586345,125160896,135389184,-1
43515.586392,125182336,135389184,-1
43515.586438,125183592,135389184,-1
43515.586484,125202280,135389184,-1
43515.586531,125213896,135454720,-1
43515.586577,125214792,135454720,-1
43515.586623,125220912,135454720,-1
43515.586669,125269744,135454720,-1
43515.586716,125269744,135454720,-1
43515.586762,125282032,135520256,-1
43515.586808,125286128,135520256,-1
43515.586855,125287920,135520256,-1
43515.586901,125250144,135585792,-1
43515.586947,125252320,135585792,-1
43515.586993,125275232,135585792,-1
43515.587040,125308896,135585792,-1
43515.587086,125310816,135585792,-1
43515.587132,125315624,135585792,-1
43515.587179,125320016,135585792,-1
43515.587225,125324040,135585792,-1
43515.587271,125335360,135585792,-1
43515.587318,125335360,135585792,-1
43515.587364,125337152,135585792,-1
43515.587410,125573896,135651328,-1
43515.587456,125585288,135651328,-1
43515.587503,125635592,135651328,-1
43515.587549,125682464,135716864,-1
43515.587595,125687256,135716864,-1
43515.587642,125722712,135782400,-1
43515.587688,125731544,135782400,-1
43515.587734,125746008,135782400,-1
43515.587781,125746008,135782400,-1
43515.587827,125761496,135782400,-1
43515.587873,125780696,135847936,-1
43515.587919,125780696,135847936,-1
43515.587966,125780696,135847936,-1
43515.588012,125793496,135847936,-1
43515.588058,125793496,135847936,-1
43515.588105,125797592,135847936,-1
43515.588151,125848952,135913472,-1
43515.588197,125850104,135913472,-1
43515.588243,125851384,135913472,-1
43515.588290,125857824,135913472,-1
43515.588336,125881672,135913472,-1
43515.588382,125882312,135913472,-1
43515.588429,125882312,135913472,-1
43515.588475,125900480,135913472,-1
43515.588521,125918912,135913472,-1
43515.588568,125940288,135979008,-1
43515.588614,125946024,135979008,-1
43515.588660,125951016,135979008,-1
43515.588706,125953448,135979008,-1
43515.588753,125958824,135979008,-1
43515.588799,125958824,135979008,-1
43515.588845,125958824,135979008,-1
43515.588892,125958824,135979008,-1
43515.588938,125958824,135979008,-1
43515.588984,125958824,135979008,-1
43515.589031,125958824,135979008,-1
43515.589077,125958824,135979008,-1
43515.589123,125969832,135979008,-1
43515.589169,125999144,136044544,-1
43515.589216,126011048,136044544,-1
43515.589262,126007208,136044544,-1
43515.589308,126007848,136044544,-1
43515.589355,126017064,136044544,-1
43515.589401,126017064,136044544,-1
43515.589447,126028840,136044544,-1
43515.589493,126059176,136044544,-1
43515.589540,126106280,136110080,-1
43515.589586,126110248,136110080,-1
43515.589632,126134568,136175616,-1
43515.589679,126134568,136175616,-1
43515.589725,126142632,136175616,-1
43515.589771,126151592,136175616,-1
43515.589818,126151592,136175616,-1
43515.589864,126154024,136175616,-1
43515.589910,126207336,136241152,-1
43515.589956,126207336,136241152,-1
43515.590003,126207336,136241152,-1
43515.590049,126207336,136241152,-1
43515.590095,126207336,136241152,-1
43515.590142,126207336,136241152,-1
43515.590188,126207336,136241152,-1
43515.590234,126218344,136241152,-1
43515.590281,126219112,136241152,-1
43515.590327,126219112,136241152,-1
43515.590373,126242152,136241152,-1
43515.590419,126244712,136241152,-1
43515.590466,126244712,136241152,-1
43515.590512,126247784,136241152,-1
43515.590558,126255976,136241152,-1
43515.590605,126260512,136241152,-1
43515.590651,126274848,136306688,-1
43515.590697,126274848,136306688,-1
43515.590744,126285352,136568832,-1
43515.590790,126286248,136568832,-1
43515.590836,126289440,136568832,-1
43515.590882,126292104,136568832,-1
43515.590929,126292104,136568832,-1
43515.590975,126298248,136634368,-1
43515.591021,126298248,136634368,-1
43515.591068,126298248,136634368,-1
43515.591114,126309000,136634368,-1
43515.591160,126309000,136634368,-1
43515.591206,126309000,136634368,-1
43515.591253,126309000,136634368,-1
43515.591299,126309000,136634368,-1
43515.591345,126309768,136634368,-1
43515.591392,126331192,136634368,-1
43515.591438,126332168,136634368,-1
43515.591484,126333704,136634368,-1
43515.591531,126343944,136634368,-1
43515.591577,126343944,136634368,-1
43515.591623,126343944,136634368,-1
43515.591669,126346800,136634368,-1
43515.591716,126346800,136634368,-1
43515.591762,126346800,136634368,-1
43515.591808,126364080,136634368,-1
43515.591855,126364080,136634368,-1
43515.591901,126381488,136634368,-1
43515.591947,126381488,136634368,-1
43515.591994,126381488,136634368,-1
43515.592040,126381488,136634368,-1
43515.592086,126430680,136699904,-1
43515.592132,126430680,136699904,-1
43515.592179,126450008,136699904,-1
43515.592225,126450008,136699904,-1
43515.592271,126450008,136699904,-1
43515.592318,126450008,136699904,-1
43515.592364,126450008,136699904,-1
43515.592410,126455672,136699904,-1
43515.592457,126471344,136765440,-1
43515.592503,126489072,136765440,-1
43515.592549,126542312,136830976,-1
43515.592595,126554776,136830976,-1
43515.592642,126582648,136830976,-1
43515.592688,126592024,136830976,-1
43515.592734,126600240,136830976,-1
43515.592781,126621896,136830976,-1
43515.592827,126634384,136830976,-1
43515.592873,126634384,136830976,-1
43515.592920,126634384,136830976,-1
43515.592966,126634384,136830976,-1
43515.593012,126635536,136830976,-1
43515.593058,126635536,136830976,-1
43515.593105,126635536,136830976,-1
43515.593151,126678600,136962048,-1
43515.593197,126695872,136962048,-1
43515.593244,126712592,136962048,-1
43515.593290,126748568,136962048,-1
43515.593336,126758920,137027584,-1
43515.593382,126796168,137027584,-1
43515.593429,126834376,137093120,-1
43515.593475,126894448,137158656,-1
43515.593521,126925488,137158656,-1
43515.593568,126955072,137158656,-1
43515.593614,126991296,137158656,-1
43515.593660,126991296,137158656,-1
43515.593707,126991296,137158656,-1
43515.593753,128255128,138403840,-1
43515.593799,128258328,138403840,-1
43515.593845,128262424,138403840,-1
43515.593892,128262424,138403840,-1
43515.593938,128262424,138403840,-1
43515.593984,128262424,138403840,-1
