Time,Used,Committed,Max
43515.580976,153346048,383778816,4294967296
43515.581021,158588928,383778816,4294967296
43515.581067,159637504,383778816,4294967296
43515.581114,161734656,383778816,4294967296
43515.581160,161734656,383778816,4294967296
43515.581206,163831808,383778816,4294967296
43515.581253,164880384,383778816,4294967296
43515.581299,239329280,383778816,4294967296
43515.581345,56508416,461373440,4294967296
43515.581391,80625664,461373440,4294967296
43515.581438,103694336,461373440,4294967296
43515.581484,141443072,461373440,4294967296
43515.581530,174997504,461373440,4294967296
43515.581577,208551936,461373440,4294967296
43515.581623,242106368,461373440,4294967296
43515.581669,275660800,461373440,4294967296
43515.581716,309215232,461373440,4294967296
43515.581762,67836928,461373440,4294967296
43515.581808,102439936,461373440,4294967296
43515.581854,134945792,461373440,4294967296
43515.581901,168500224,461373440,4294967296
43515.581947,201006080,461373440,4294967296
43515.581993,233511936,461373440,4294967296
43515.582040,267066368,461373440,4294967296
43515.582086,299572224,461373440,4294967296
43515.582132,332078080,461373440,4294967296
43515.582179,53156864,461373440,4294967296
43515.582225,86711296,461373440,4294967296
43515.582271,119217152,461373440,4294967296
43515.582317,152771584,461373440,4294967296
43515.582364,185277440,461373440,4294967296
43515.582410,217783296,461373440,4294967296
43515.582456,251337728,461373440,4294967296
43515.582503,283843584,461373440,4294967296
43515.582549,317398016,461373440,4294967296
43515.582595,348855296,461373440,4294967296
43515.582642,56419024,461373440,4294967296
43515.582688,91022032,461373440,4294967296
43515.582734,123527888,461373440,4294967296
43515.582780,157082320,461373440,4294967296
43515.582827,188539600,461373440,4294967296
43515.582873,222094032,461373440,4294967296
43515.582919,254599888,461373440,4294967296
43515.582966,288154320,461373440,4294967296
43515.583012,320660176,461373440,4294967296
43515.583058,354214608,461373440,4294967296
43515.583104,53744672,461373440,4294967296
43515.583151,87299104,461373440,4294967296
43515.583197,120853536,461373440,4294967296
43515.583243,153359392,461373440,4294967296
43515.583290,185865248,461373440,4294967296
43515.583336,219419680,461373440,4294967296
43515.583382,251925536,461373440,4294967296
43515.583429,284431392,461373440,4294967296
