Time,CPU Usage
43515.693437,10.4
43515.693484,2.1
43515.693530,1.8
43515.693576,2.3
43515.693623,2.6
43515.693669,5.3
43515.693715,1.7
43515.693761,1.2
43515.693808,2.9
43515.693854,1.2
43515.693900,1.8
43515.693947,1.6
43515.693993,1.2
43515.694039,1.1
43515.694085,1.1
43515.694132,1.2
43515.694178,1.8
43515.694224,2.7
43515.694271,1.4
43515.694317,1.1
43515.694363,2.1
43515.694410,1.2
43515.694456,0.9
43515.694502,1.0
43515.694548,1.1
43515.694595,0.8
43515.694641,0.9
43515.694687,0.9
43515.694734,0.9
43515.694780,0.8
43515.694826,1.1
43515.694872,0.9
43515.694919,0.9
43515.694965,1.0
43515.695011,0.8
43515.695058,0.7
43515.695104,1.3
43515.695150,1.4
43515.695197,21.2
43515.695243,22.2
43515.695289,18.4
43515.695335,15.7
43515.695382,10.2
43515.695428,20.2
43515.695474,24.6
43515.695521,27.6
43515.695567,11.7
43515.695613,15.0
43515.695660,5.8
43515.695706,5.6
43515.695752,5.3
43515.695798,5.0
43515.695845,7.0
43515.695891,4.6
43515.695937,6.1
43515.695984,5.8
43515.696030,4.7
43515.696076,5.8
43515.696123,5.1
43515.696169,6.8
43515.696215,4.9
43515.696261,5.3
43515.696308,4.4
43515.696354,4.4
43515.696400,4.6
43515.696447,4.9
43515.696493,4.4
43515.696539,4.6
43515.696585,4.3
43515.696632,4.4
43515.696678,4.5
43515.696724,4.4
43515.696771,4.5
43515.696817,4.3
43515.696863,4.4
43515.696910,4.6
43515.696956,4.4
43515.697002,4.6
43515.697048,5.3
43515.697095,4.6
43515.697141,4.4
43515.697187,4.4
43515.697234,4.9
43515.697280,4.4
43515.697326,4.4
43515.697373,4.4
43515.697419,4.4
43515.697465,4.8
43515.697511,5.5
43515.697558,4.6
43515.697604,4.3
43515.697650,4.3
43515.697697,4.4
43515.697743,4.4
43515.697789,4.3
43515.697835,4.4
43515.697882,4.3
43515.697928,4.4
43515.697974,4.4
43515.698021,4.4
43515.698067,4.3
43515.698113,4.6
43515.698160,4.8
43515.698206,4.6
43515.698252,4.4
43515.698298,4.3
43515.698345,4.4
43515.698391,4.5
43515.698437,4.8
43515.698484,4.4
43515.698530,4.4
43515.698576,4.3
43515.698623,4.8
43515.698669,4.3
43515.698715,4.2
43515.698761,4.3
43515.698808,4.6
43515.698854,4.4
43515.698900,4.3
43515.698947,4.8
43515.698993,4.3
43515.699039,4.4
43515.699086,4.3
43515.699132,4.3
43515.699178,4.3
43515.699224,4.4
43515.699271,4.3
43515.699317,4.4
43515.699363,3.8
43515.699410,4.6
43515.699456,4.3
43515.699502,4.3
43515.699548,4.4
43515.699595,4.3
43515.699641,4.4
43515.699687,4.3
43515.699734,4.4
43515.699780,4.3
43515.699826,4.4
43515.699873,4.2
43515.699919,4.7
43515.699965,4.3
43515.700011,4.3
43515.700058,4.3
43515.700104,4.7
43515.700150,5.3
43515.700197,4.3
43515.700243,4.4
43515.700289,4.4
43515.700336,4.5
43515.700382,4.9
43515.700428,4.3
43515.700474,4.3
43515.700521,4.3
43515.700567,4.4
43515.700613,4.3
43515.700660,4.3
43515.700706,4.3
43515.700752,4.3
43515.700799,4.3
43515.700845,4.2
43515.700891,5.0
43515.700937,4.4
43515.700984,4.8
43515.701030,5.3
43515.701076,4.7
43515.701123,4.2
43515.701169,4.3
43515.701215,4.4
43515.701261,4.3
43515.701308,4.2
43515.701354,4.9
43515.701400,4.4
43515.701447,5.6
43515.701493,4.4
43515.701539,4.2
43515.701586,4.3
43515.701632,4.4
43515.701678,4.4
43515.701724,4.3
43515.701771,4.3
43515.701817,4.3
43515.701863,4.9
43515.701910,4.2
43515.701956,4.2
43515.702002,4.3
43515.702049,4.3
43515.702095,5.0
43515.702141,4.3
43515.702187,4.3
43515.702234,4.2
43515.702280,4.3
43515.702326,4.8
43515.702373,4.3
43515.702419,4.5
43515.702465,4.8
43515.702511,4.3
43515.702558,4.2
43515.702604,4.3
43515.702650,4.4
43515.702697,4.3
43515.702743,4.4
43515.702789,4.3
43515.702836,4.8
43515.702882,4.3
43515.702928,4.3
43515.702974,4.4
43515.703021,4.2
43515.703067,4.2
43515.703113,4.3
43515.703160,4.3
43515.703206,4.4
43515.703252,4.3
43515.703299,4.7
43515.703345,4.4
43515.703391,4.4
43515.703437,4.3
43515.703484,4.4
43515.703530,4.3
43515.703576,4.3
43515.703623,4.3
43515.703669,4.3
43515.703715,4.3
43515.703762,5.1
43515.703808,4.4
43515.703854,4.4
43515.703900,4.4
43515.703947,5.4
43515.703993,4.3
43515.704039,4.2
43515.704086,4.3
43515.704132,4.3
43515.704178,4.3
43515.704224,4.2
43515.704271,5.2
43515.704317,4.4
43515.704363,5.2
43515.704410,4.4
43515.704456,4.3
43515.704502,4.5
43515.704549,4.3
43515.704595,4.3
43515.704641,4.3
43515.704687,4.4
43515.704734,5.1
43515.704780,4.1
43515.704826,4.9
43515.704873,4.3
43515.704919,4.3
43515.704965,4.3
43515.705012,4.3
43515.705058,4.3
43515.705104,4.6
43515.705150,4.3
43515.705197,4.3
43515.705243,4.9
43515.705289,4.4
43515.705336,4.4
43515.705382,4.3
43515.705428,4.3
43515.705474,4.3
43515.705521,4.3
43515.705567,4.3
43515.705613,4.3
43515.705660,4.3
43515.705706,4.8
43515.705752,4.3
43515.705799,4.3
43515.705845,4.4
43515.705891,4.3
43515.705937,4.3
43515.705984,4.3
43515.706030,4.6
43515.706076,4.3
43515.706123,4.2
43515.706169,4.9
43515.706215,4.3
43515.706262,4.3
43515.706308,4.4
43515.706354,4.3
43515.706400,4.3
43515.706447,4.3
43515.706493,4.3
43515.706539,4.3
43515.706586,4.2
43515.706632,4.3
43515.706678,4.7
43515.706725,4.3
43515.706771,4.3
43515.706817,4.2
43515.706863,4.3
43515.706910,4.1
43515.706956,4.3
43515.707002,4.3
43515.707049,4.3
43515.707095,4.3
43515.707141,5.0
43515.707187,4.2
43515.707234,4.3
43515.707280,4.3
43515.707326,4.3
43515.707373,4.4
43515.707419,4.2
43515.707465,4.4
43515.707512,4.3
43515.707558,21.6
43515.707604,4.8
43515.707650,3.7
43515.707697,3.8
43515.707743,4.1
43515.707789,3.7
43515.707836,3.6
43515.707882,3.8
43515.707928,4.1
43515.707975,4.2
43515.708021,3.8
43515.708067,4.7
43515.708113,3.7
43515.708160,3.7
43515.708206,3.8
43515.708252,3.7
43515.708299,3.8
43515.708345,3.7
43515.708391,3.7
43515.708438,3.8
43515.708484,4.6
43515.708530,3.7
43515.708576,3.7
43515.708623,3.6
43515.708669,3.8
43515.708715,3.7
43515.708762,3.6
43515.708808,3.8
43515.708854,3.8
43515.708901,3.7
43515.708947,3.7
43515.708993,3.7
43515.709039,3.7
43515.709086,3.7
43515.709132,3.7
43515.709178,3.9
43515.709225,4.3
43515.709271,3.8
43515.709317,3.7
43515.709363,3.6
43515.709410,3.7
43515.709456,3.6
43515.709502,3.7
43515.709549,3.8
43515.709595,3.7
43515.709641,3.8
43515.709688,3.7
43515.709734,3.7
43515.709780,3.7
43515.709826,3.7
43515.709873,3.7
43515.709919,3.7
43515.709965,4.0
43515.710012,3.6
43515.710058,3.7
43515.710104,3.8
43515.710151,3.8
43515.710197,3.7
43515.710243,3.9
43515.710289,3.7
43515.710336,3.6
43515.710382,3.7
43515.710428,3.7
43515.710475,3.7
43515.710521,3.7
43515.710567,3.6
43515.710614,3.8
43515.710660,3.7
43515.710706,4.1
43515.710752,3.7
43515.710799,3.8
43515.710845,3.7
43515.710891,3.7
43515.710938,3.8
43515.710984,3.8
43515.711030,3.7
43515.711076,3.7
43515.711123,3.8
43515.711169,3.6
43515.711215,3.7
43515.711262,3.7
43515.711308,3.7
43515.711354,3.7
43515.711401,3.6
43515.711447,4.1
43515.711493,3.6
43515.711539,3.7
43515.711586,3.6
43515.711632,3.8
43515.711678,3.6
43515.711725,3.8
43515.711771,3.7
43515.711817,3.7
43515.711864,3.6
43515.711910,3.7
43515.711956,3.8
43515.712002,3.7
43515.712049,3.7
43515.712095,3.7
43515.712141,3.7
43515.712188,4.0
43515.712234,3.7
43515.712280,3.7
43515.712327,3.6
43515.712373,3.8
43515.712419,3.6
43515.712465,3.6
43515.712512,3.8
43515.712558,3.7
43515.712604,3.8
43515.712651,3.6
43515.712697,3.7
43515.712743,3.6
43515.712790,3.7
43515.712836,3.8
43515.712882,3.7
43515.712928,4.1
43515.712975,3.7
43515.713021,3.6
43515.713067,3.7
43515.713114,3.8
43515.713160,3.7
43515.713206,3.6
43515.713253,3.6
43515.713299,3.8
43515.713345,3.7
43515.713391,3.7
43515.713438,3.7
43515.713484,3.7
43515.713530,3.6
43515.713577,3.8
43515.713623,3.6
43515.713669,3.8
43515.713715,3.7
43515.713762,3.7
43515.713808,3.7
43515.713854,3.6
43515.713901,3.7
43515.713947,3.7
43515.713993,3.7
43515.714040,3.7
43515.714086,3.6
43515.714132,4.2
43515.714178,3.7
43515.714225,3.8
43515.714271,3.7
43515.714317,3.6
43515.714364,3.7
43515.714410,3.6
43515.714456,4.0
43515.714503,3.8
43515.714549,3.8
43515.714595,3.7
43515.714641,3.6
43515.714688,3.7
43515.714734,3.7
43515.714780,3.7
43515.714827,3.6
43515.714873,3.8
43515.714919,3.6
43515.714966,3.7
43515.715012,3.8
43515.715058,3.7
43515.715104,3.7
43515.715151,3.6
43515.715197,3.9
43515.715243,3.7
43515.715290,3.7
43515.715336,3.6
43515.715382,3.7
43515.715428,3.6
43515.715475,3.7
43515.715521,3.6
43515.715567,3.8
43515.715614,3.6
43515.715660,3.7
43515.715706,3.8
43515.715753,3.7
43515.715799,3.7
43515.715845,3.7
43515.715891,3.7
43515.715938,3.9
43515.715984,3.6
43515.716030,3.7
43515.716077,3.6
43515.716123,3.7
43515.716169,3.6
43515.716216,3.7
43515.716262,3.7
43515.716308,3.7
43515.716354,3.7
43515.716401,3.7
43515.716447,3.7
43515.716493,3.6
43515.716540,3.7
43515.716586,3.7
43515.716632,3.7
43515.716679,3.8
43515.716725,3.7
43515.716771,3.7
43515.716817,3.7
43515.716864,3.6
43515.716910,3.6
43515.716956,3.7
43515.717003,3.7
43515.717049,3.7
43515.717095,3.7
43515.717141,3.7
43515.717188,3.7
43515.717234,3.6
43515.717280,3.7
43515.717327,3.7
43515.717373,3.7
43515.717419,3.9
43515.717466,3.6
43515.717512,3.7
43515.717558,3.6
43515.717604,3.6
43515.717651,3.4
43515.717697,3.7
43515.717743,3.8
43515.717790,3.6
43515.717836,3.7
43515.717882,3.7
43515.717928,3.7
43515.717975,3.6
43515.718021,3.6
43515.718067,4.0
43515.718114,3.7
43515.718160,3.6
43515.718206,3.9
43515.718253,3.7
43515.718299,3.7
43515.718345,3.6
43515.718391,3.7
43515.718438,3.7
43515.718484,3.6
43515.718530,3.7
43515.718577,3.7
43515.718623,3.7
43515.718669,3.7
43515.718716,3.7
43515.718762,3.6
43515.718808,3.7
43515.718854,3.8
43515.718901,3.7
43515.718947,4.1
43515.718993,3.7
43515.719040,3.7
43515.719086,3.6
43515.719132,3.7
43515.719179,3.8
43515.719225,3.6
43515.719271,3.6
43515.719317,3.8
43515.719364,3.6
43515.719410,3.7
43515.719456,3.6
43515.719503,3.7
43515.719549,3.6
43515.719595,3.8
43515.719642,3.8
43515.719688,3.7
43515.719734,3.7
43515.719780,3.7
43515.719827,3.7
43515.719873,3.7
43515.719919,3.7
43515.719966,3.7
43515.720012,3.6
43515.720058,3.7
43515.720105,3.7
43515.720151,3.6
43515.720197,3.7
43515.720243,3.6
43515.720290,3.7
43515.720336,3.6
43515.720382,3.7
43515.720429,3.6
43515.720475,3.7
43515.720521,3.7
43515.720567,3.6
43515.720614,3.6
43515.720660,3.7
43515.720706,3.7
43515.720753,3.7
43515.720799,3.6
43515.720845,3.7
43515.720892,3.6
43515.720938,3.8
43515.720984,3.6
43515.721030,3.7
43515.721077,3.7
43515.721123,3.7
43515.721169,3.7
43515.721216,3.8
43515.721262,3.6
43515.721308,3.6
43515.721355,3.8
43515.721401,3.6
43515.721447,3.7
43515.721493,3.7
43515.721540,3.7
43515.721586,3.6
43515.721632,3.7
43515.721679,3.7
43515.721725,3.7
43515.721771,3.6
43515.721818,3.8
43515.721864,3.7
43515.721910,3.7
43515.721956,3.7
43515.722003,3.7
43515.722049,3.7
43515.722095,3.6
43515.722142,3.7
43515.722188,3.7
43515.722234,3.6
43515.722280,3.6
43515.722327,3.7
43515.722373,3.7
43515.722419,3.7
43515.722466,3.6
43515.722512,3.7
43515.722558,3.7
43515.722605,3.7
43515.722651,3.7
43515.722697,3.6
43515.722743,3.8
43515.722790,3.6
43515.722836,3.8
43515.722882,3.6
43515.722929,3.7
43515.722975,3.7
43515.723021,3.6
43515.723068,3.8
43515.723114,3.6
43515.723160,3.8
43515.723206,3.9
43515.723253,3.6
43515.723299,3.7
43515.723345,3.7
43515.723392,3.8
43515.723438,3.6
43515.723484,3.8
43515.723531,3.8
43515.723577,3.7
43515.723623,3.7
43515.723669,3.7
43515.723716,3.7
43515.723762,3.7
43515.723808,3.8
43515.723855,3.8
43515.723901,3.6
43515.723947,3.8
43515.723993,3.7
43515.724040,3.8
43515.724086,3.7
43515.724132,3.7
43515.724179,3.7
43515.724225,3.7
43515.724271,3.7
43515.724318,3.8
43515.724364,4.2
43515.724410,3.6
43515.724456,3.7
43515.724503,3.8
43515.724549,3.8
43515.724595,3.7
43515.724642,3.7
43515.724688,4.0
43515.724734,3.7
43515.724781,3.7
43515.724827,3.6
