Time,Used,Committed,Max,Threshold
43515.693392,114294784,240123904,-1,-1
43515.693437,118489088,240123904,-1,-1
43515.693484,119537664,240123904,-1,-1
43515.693530,120586240,240123904,-1,-1
43515.693576,121634816,240123904,-1,-1
43515.693622,122683392,240123904,-1,-1
43515.693669,123731968,240123904,-1,-1
43515.693715,125829120,240123904,-1,-1
43515.693761,126877696,240123904,-1,-1
43515.693808,126877696,240123904,-1,-1
43515.693854,127926272,240123904,-1,-1
43515.693900,128974848,240123904,-1,-1
43515.693946,130023424,240123904,-1,-1
43515.693993,131072000,240123904,-1,-1
43515.694039,132120576,240123904,-1,-1
43515.694085,133169152,240123904,-1,-1
43515.694132,134217728,240123904,-1,-1
43515.694178,136314880,240123904,-1,-1
43515.694224,137363456,240123904,-1,-1
43515.694271,138412032,240123904,-1,-1
43515.694317,138412032,240123904,-1,-1
43515.694363,142606336,240123904,-1,-1
43515.694409,143654912,240123904,-1,-1
43515.694456,143654912,240123904,-1,-1
43515.694502,144703488,240123904,-1,-1
43515.694548,144703488,240123904,-1,-1
43515.694595,145752064,240123904,-1,-1
43515.694641,147849216,240123904,-1,-1
43515.694687,147849216,240123904,-1,-1
43515.694734,149946368,240123904,-1,-1
43515.694780,150994944,240123904,-1,-1
43515.694826,152043520,240123904,-1,-1
43515.694872,153092096,240123904,-1,-1
43515.694919,153092096,240123904,-1,-1
43515.694965,153092096,240123904,-1,-1
43515.695011,154140672,240123904,-1,-1
43515.695058,155189248,240123904,-1,-1
43515.695104,156237824,240123904,-1,-1
43515.695150,157286400,240123904,-1,-1
43515.695197,224395264,240123904,-1,-1
43515.695243,30408704,296747008,-1,-1
43515.695289,62914560,296747008,-1,-1
43515.695335,98566144,296747008,-1,-1
43515.695382,131072000,296747008,-1,-1
43515.695428,164626432,296747008,-1,-1
43515.695474,197132288,296747008,-1,-1
43515.695521,230686720,296747008,-1,-1
43515.695567,263192576,296747008,-1,-1
43515.695613,23068672,342884352,-1,-1
43515.695659,56623104,342884352,-1,-1
43515.695706,89128960,342884352,-1,-1
43515.695752,122683392,342884352,-1,-1
43515.695798,155189248,342884352,-1,-1
43515.695845,187695104,342884352,-1,-1
43515.695891,221249536,342884352,-1,-1
43515.695937,253755392,342884352,-1,-1
43515.695984,287309824,342884352,-1,-1
43515.696030,318767104,342884352,-1,-1
43515.696076,33554432,348127232,-1,-1
43515.696122,67108864,348127232,-1,-1
43515.696169,99614720,348127232,-1,-1
43515.696215,132120576,348127232,-1,-1
43515.696261,165675008,348127232,-1,-1
43515.696308,198180864,348127232,-1,-1
43515.696354,230686720,348127232,-1,-1
43515.696400,263192576,348127232,-1,-1
43515.696447,296747008,348127232,-1,-1
43515.696493,329252864,348127232,-1,-1
43515.696539,35651584,359661568,-1,-1
43515.696585,69206016,359661568,-1,-1
43515.696632,101711872,359661568,-1,-1
43515.696678,134217728,359661568,-1,-1
43515.696724,167772160,359661568,-1,-1
