Time,Used,Committed,Max,Threshold
43515.693392,24117248,24117248,-1,-1
43515.693437,24117248,24117248,-1,-1
43515.693484,24117248,24117248,-1,-1
43515.693530,24117248,24117248,-1,-1
43515.693576,24117248,24117248,-1,-1
43515.693622,24117248,24117248,-1,-1
43515.693669,24117248,24117248,-1,-1
43515.693715,24117248,24117248,-1,-1
43515.693761,24117248,24117248,-1,-1
43515.693808,24117248,24117248,-1,-1
43515.693854,24117248,24117248,-1,-1
43515.693900,24117248,24117248,-1,-1
43515.693946,24117248,24117248,-1,-1
43515.693993,24117248,24117248,-1,-1
43515.694039,24117248,24117248,-1,-1
43515.694085,24117248,24117248,-1,-1
43515.694132,24117248,24117248,-1,-1
43515.694178,24117248,24117248,-1,-1
43515.694224,24117248,24117248,-1,-1
43515.694271,24117248,24117248,-1,-1
43515.694317,24117248,24117248,-1,-1
43515.694363,24117248,24117248,-1,-1
43515.694409,24117248,24117248,-1,-1
43515.694456,24117248,24117248,-1,-1
43515.694502,24117248,24117248,-1,-1
43515.694548,24117248,24117248,-1,-1
43515.694595,24117248,24117248,-1,-1
43515.694641,24117248,24117248,-1,-1
43515.694687,24117248,24117248,-1,-1
43515.694734,24117248,24117248,-1,-1
43515.694780,24117248,24117248,-1,-1
43515.694826,24117248,24117248,-1,-1
43515.694872,24117248,24117248,-1,-1
43515.694919,24117248,24117248,-1,-1
43515.694965,24117248,24117248,-1,-1
43515.695011,24117248,24117248,-1,-1
43515.695058,24117248,24117248,-1,-1
43515.695104,24117248,24117248,-1,-1
43515.695150,24117248,24117248,-1,-1
43515.695197,24117248,24117248,-1,-1
43515.695243,20971520,20971520,-1,-1
43515.695289,20971520,20971520,-1,-1
43515.695335,20971520,20971520,-1,-1
43515.695382,20971520,20971520,-1,-1
43515.695428,20971520,20971520,-1,-1
43515.695474,20971520,20971520,-1,-1
43515.695521,20971520,20971520,-1,-1
43515.695567,20971520,20971520,-1,-1
43515.695613,2097152,2097152,-1,-1
43515.695659,2097152,2097152,-1,-1
43515.695706,2097152,2097152,-1,-1
43515.695752,2097152,2097152,-1,-1
43515.695798,2097152,2097152,-1,-1
43515.695845,2097152,2097152,-1,-1
43515.695891,2097152,2097152,-1,-1
43515.695937,2097152,2097152,-1,-1
43515.695984,2097152,2097152,-1,-1
43515.696030,2097152,2097152,-1,-1
43515.696076,2097152,2097152,-1,-1
43515.696122,2097152,2097152,-1,-1
43515.696169,2097152,2097152,-1,-1
43515.696215,2097152,2097152,-1,-1
43515.696261,2097152,2097152,-1,-1
43515.696308,2097152,2097152,-1,-1
43515.696354,2097152,2097152,-1,-1
43515.696400,2097152,2097152,-1,-1
43515.696447,2097152,2097152,-1,-1
43515.696493,2097152,2097152,-1,-1
43515.696539,2097152,2097152,-1,-1
43515.696585,2097152,2097152,-1,-1
43515.696632,2097152,2097152,-1,-1
43515.696678,2097152,2097152,-1,-1
43515.696724,2097152,2097152,-1,-1
43515.696771,2097152,2097152,-1,-1
43515.696817,2097152,2097152,-1,-1
43515.696863,2097152,2097152,-1,-1
43515.696910,2097152,2097152,-1,-1
43515.696956,2097152,2097152,-1,-1
43515.697002,3145728,3145728,-1,-1
43515.697048,3145728,3145728,-1,-1
43515.697095,3145728,3145728,-1,-1
43515.697141,3145728,3145728,-1,-1
43515.697187,3145728,3145728,-1,-1
43515.697234,3145728,3145728,-1,-1
43515.697280,3145728,3145728,-1,-1
43515.697326,3145728,3145728,-1,-1
43515.697372,3145728,3145728,-1,-1
43515.697419,3145728,3145728,-1,-1
43515.697465,4194304,4194304,-1,-1
43515.697511,4194304,4194304,-1,-1
43515.697558,4194304,4194304,-1,-1
43515.697604,4194304,4194304,-1,-1
43515.697650,4194304,4194304,-1,-1
43515.697697,4194304,4194304,-1,-1
43515.697743,4194304,4194304,-1,-1
43515.697789,4194304,4194304,-1,-1
43515.697835,4194304,4194304,-1,-1
43515.697882,4194304,4194304,-1,-1
43515.697928,4194304,4194304,-1,-1
43515.697974,4194304,4194304,-1,-1
43515.698021,4194304,4194304,-1,-1
43515.698067,4194304,4194304,-1,-1
43515.698113,4194304,4194304,-1,-1
43515.698160,4194304,4194304,-1,-1
43515.698206,4194304,4194304,-1,-1
43515.698252,4194304,4194304,-1,-1
43515.698298,4194304,4194304,-1,-1
43515.698345,4194304,4194304,-1,-1
43515.698391,4194304,4194304,-1,-1
43515.698437,5242880,5242880,-1,-1
43515.698484,5242880,5242880,-1,-1
43515.698530,5242880,5242880,-1,-1
43515.698576,5242880,5242880,-1,-1
43515.698622,5242880,5242880,-1,-1
43515.698669,5242880,5242880,-1,-1
43515.698715,5242880,5242880,-1,-1
43515.698761,5242880,5242880,-1,-1
43515.698808,5242880,5242880,-1,-1
43515.698854,5242880,5242880,-1,-1
43515.698900,5242880,5242880,-1,-1
43515.698947,6291456,6291456,-1,-1
43515.698993,6291456,6291456,-1,-1
43515.699039,6291456,6291456,-1,-1
43515.699085,6291456,6291456,-1,-1
43515.699132,6291456,6291456,-1,-1
43515.699178,6291456,6291456,-1,-1
43515.699224,6291456,6291456,-1,-1
43515.699271,6291456,6291456,-1,-1
43515.699317,6291456,6291456,-1,-1
43515.699363,6291456,6291456,-1,-1
43515.699410,6291456,6291456,-1,-1
43515.699456,6291456,6291456,-1,-1
43515.699502,6291456,6291456,-1,-1
43515.699548,6291456,6291456,-1,-1
43515.699595,6291456,6291456,-1,-1
43515.699641,6291456,6291456,-1,-1
43515.699687,6291456,6291456,-1,-1
43515.699734,6291456,6291456,-1,-1
43515.699780,6291456,6291456,-1,-1
43515.699826,6291456,6291456,-1,-1
43515.699873,6291456,6291456,-1,-1
43515.699919,7340032,7340032,-1,-1
43515.699965,7340032,7340032,-1,-1
43515.700011,7340032,7340032,-1,-1
43515.700058,7340032,7340032,-1,-1
43515.700104,7340032,7340032,-1,-1
43515.700150,7340032,7340032,-1,-1
43515.700197,7340032,7340032,-1,-1
43515.700243,7340032,7340032,-1,-1
43515.700289,7340032,7340032,-1,-1
43515.700335,7340032,7340032,-1,-1
43515.700382,7340032,7340032,-1,-1
43515.700428,7340032,7340032,-1,-1
43515.700474,7340032,7340032,-1,-1
43515.700521,7340032,7340032,-1,-1
43515.700567,7340032,7340032,-1,-1
43515.700613,7340032,7340032,-1,-1
43515.700660,7340032,7340032,-1,-1
43515.700706,7340032,7340032,-1,-1
43515.700752,7340032,7340032,-1,-1
43515.700798,7340032,7340032,-1,-1
43515.700845,7340032,7340032,-1,-1
43515.700891,8388608,8388608,-1,-1
43515.700937,8388608,8388608,-1,-1
43515.700984,8388608,8388608,-1,-1
43515.701030,8388608,8388608,-1,-1
43515.701076,8388608,8388608,-1,-1
43515.701123,8388608,8388608,-1,-1
43515.701169,8388608,8388608,-1,-1
43515.701215,8388608,8388608,-1,-1
43515.701261,8388608,8388608,-1,-1
43515.701308,8388608,8388608,-1,-1
43515.701354,9437184,9437184,-1,-1
43515.701400,9437184,9437184,-1,-1
43515.701447,9437184,9437184,-1,-1
43515.701493,9437184,9437184,-1,-1
43515.701539,9437184,9437184,-1,-1
43515.701585,9437184,9437184,-1,-1
43515.701632,9437184,9437184,-1,-1
43515.701678,9437184,9437184,-1,-1
43515.701724,9437184,9437184,-1,-1
43515.701771,9437184,9437184,-1,-1
43515.701817,9437184,9437184,-1,-1
43515.701863,9437184,9437184,-1,-1
43515.701910,9437184,9437184,-1,-1
43515.701956,9437184,9437184,-1,-1
43515.702002,9437184,9437184,-1,-1
43515.702048,9437184,9437184,-1,-1
43515.702095,9437184,9437184,-1,-1
43515.702141,9437184,9437184,-1,-1
43515.702187,9437184,9437184,-1,-1
43515.702234,9437184,9437184,-1,-1
43515.702280,9437184,9437184,-1,-1
43515.702326,10485760,10485760,-1,-1
43515.702373,10485760,10485760,-1,-1
43515.702419,10485760,10485760,-1,-1
43515.702465,10485760,10485760,-1,-1
43515.702511,10485760,10485760,-1,-1
43515.702558,10485760,10485760,-1,-1
43515.702604,10485760,10485760,-1,-1
43515.702650,10485760,10485760,-1,-1
43515.702697,10485760,10485760,-1,-1
43515.702743,10485760,10485760,-1,-1
43515.702789,10485760,10485760,-1,-1
43515.702836,10485760,10485760,-1,-1
43515.702882,10485760,10485760,-1,-1
43515.702928,10485760,10485760,-1,-1
43515.702974,10485760,10485760,-1,-1
43515.703021,10485760,10485760,-1,-1
43515.703067,10485760,10485760,-1,-1
43515.703113,10485760,10485760,-1,-1
43515.703160,10485760,10485760,-1,-1
43515.703206,10485760,10485760,-1,-1
43515.703252,10485760,10485760,-1,-1
43515.703298,10485760,10485760,-1,-1
43515.703345,10485760,10485760,-1,-1
43515.703391,10485760,10485760,-1,-1
43515.703437,10485760,10485760,-1,-1
43515.703484,10485760,10485760,-1,-1
43515.703530,10485760,10485760,-1,-1
43515.703576,10485760,10485760,-1,-1
43515.703623,10485760,10485760,-1,-1
43515.703669,10485760,10485760,-1,-1
43515.703715,10485760,10485760,-1,-1
43515.703761,10485760,10485760,-1,-1
43515.703808,10485760,10485760,-1,-1
43515.703854,10485760,10485760,-1,-1
43515.703900,10485760,10485760,-1,-1
43515.703947,10485760,10485760,-1,-1
43515.703993,10485760,10485760,-1,-1
43515.704039,10485760,10485760,-1,-1
43515.704086,10485760,10485760,-1,-1
43515.704132,10485760,10485760,-1,-1
43515.704178,10485760,10485760,-1,-1
43515.704224,10485760,10485760,-1,-1
43515.704271,10485760,10485760,-1,-1
43515.704317,10485760,10485760,-1,-1
43515.704363,10485760,10485760,-1,-1
43515.704410,10485760,10485760,-1,-1
43515.704456,10485760,10485760,-1,-1
43515.704502,10485760,10485760,-1,-1
43515.704548,10485760,10485760,-1,-1
43515.704595,10485760,10485760,-1,-1
43515.704641,10485760,10485760,-1,-1
43515.704687,10485760,10485760,-1,-1
43515.704734,10485760,10485760,-1,-1
43515.704780,10485760,10485760,-1,-1
43515.704826,10485760,10485760,-1,-1
43515.704873,10485760,10485760,-1,-1
43515.704919,10485760,10485760,-1,-1
43515.704965,10485760,10485760,-1,-1
43515.705011,10485760,10485760,-1,-1
43515.705058,10485760,10485760,-1,-1
43515.705104,10485760,10485760,-1,-1
43515.705150,10485760,10485760,-1,-1
43515.705197,10485760,10485760,-1,-1
43515.705243,10485760,10485760,-1,-1
43515.705289,10485760,10485760,-1,-1
43515.705336,10485760,10485760,-1,-1
43515.705382,10485760,10485760,-1,-1
43515.705428,10485760,10485760,-1,-1
43515.705474,10485760,10485760,-1,-1
43515.705521,10485760,10485760,-1,-1
43515.705567,10485760,10485760,-1,-1
43515.705613,10485760,10485760,-1,-1
43515.705660,10485760,10485760,-1,-1
43515.705706,10485760,10485760,-1,-1
43515.705752,10485760,10485760,-1,-1
43515.705799,10485760,10485760,-1,-1
43515.705845,10485760,10485760,-1,-1
43515.705891,10485760,10485760,-1,-1
43515.705937,10485760,10485760,-1,-1
43515.705984,10485760,10485760,-1,-1
43515.706030,10485760,10485760,-1,-1
43515.706076,10485760,10485760,-1,-1
43515.706123,10485760,10485760,-1,-1
43515.706169,10485760,10485760,-1,-1
43515.706215,10485760,10485760,-1,-1
43515.706261,10485760,10485760,-1,-1
43515.706308,10485760,10485760,-1,-1
43515.706354,10485760,10485760,-1,-1
43515.706400,10485760,10485760,-1,-1
43515.706447,10485760,10485760,-1,-1
43515.706493,10485760,10485760,-1,-1
43515.706539,10485760,10485760,-1,-1
43515.706586,10485760,10485760,-1,-1
43515.706632,10485760,10485760,-1,-1
43515.706678,10485760,10485760,-1,-1
43515.706724,10485760,10485760,-1,-1
43515.706771,10485760,10485760,-1,-1
43515.706817,10485760,10485760,-1,-1
43515.706863,10485760,10485760,-1,-1
43515.706910,10485760,10485760,-1,-1
43515.706956,10485760,10485760,-1,-1
43515.707002,10485760,10485760,-1,-1
43515.707049,10485760,10485760,-1,-1
43515.707095,10485760,10485760,-1,-1
43515.707141,10485760,10485760,-1,-1
43515.707187,10485760,10485760,-1,-1
43515.707234,10485760,10485760,-1,-1
43515.707280,10485760,10485760,-1,-1
43515.707326,10485760,10485760,-1,-1
43515.707373,10485760,10485760,-1,-1
43515.707419,10485760,10485760,-1,-1
43515.707465,10485760,10485760,-1,-1
43515.707511,10485760,10485760,-1,-1
43515.707558,9437184,9437184,-1,-1
43515.707604,9437184,9437184,-1,-1
43515.707650,9437184,9437184,-1,-1
43515.707697,9437184,9437184,-1,-1
43515.707743,11534336,11534336,-1,-1
43515.707789,11534336,11534336,-1,-1
43515.707836,11534336,11534336,-1,-1
43515.707882,11534336,11534336,-1,-1
43515.707928,11534336,11534336,-1,-1
43515.707974,11534336,11534336,-1,-1
43515.708021,11534336,11534336,-1,-1
43515.708067,11534336,11534336,-1,-1
43515.708113,11534336,11534336,-1,-1
43515.708160,11534336,11534336,-1,-1
43515.708206,11534336,11534336,-1,-1
43515.708252,11534336,11534336,-1,-1
43515.708299,11534336,11534336,-1,-1
43515.708345,11534336,11534336,-1,-1
43515.708391,11534336,11534336,-1,-1
43515.708437,11534336,11534336,-1,-1
43515.708484,10485760,10485760,-1,-1
43515.708530,10485760,10485760,-1,-1
43515.708576,10485760,10485760,-1,-1
43515.708623,10485760,10485760,-1,-1
43515.708669,10485760,10485760,-1,-1
43515.708715,10485760,10485760,-1,-1
43515.708762,10485760,10485760,-1,-1
43515.708808,10485760,10485760,-1,-1
43515.708854,10485760,10485760,-1,-1
43515.708900,10485760,10485760,-1,-1
43515.708947,10485760,10485760,-1,-1
43515.708993,10485760,10485760,-1,-1
43515.709039,10485760,10485760,-1,-1
43515.709086,10485760,10485760,-1,-1
43515.709132,10485760,10485760,-1,-1
43515.709178,10485760,10485760,-1,-1
43515.709225,10485760,10485760,-1,-1
43515.709271,10485760,10485760,-1,-1
43515.709317,10485760,10485760,-1,-1
43515.709363,10485760,10485760,-1,-1
43515.709410,10485760,10485760,-1,-1
43515.709456,10485760,10485760,-1,-1
43515.709502,10485760,10485760,-1,-1
43515.709549,10485760,10485760,-1,-1
43515.709595,10485760,10485760,-1,-1
43515.709641,10485760,10485760,-1,-1
43515.709688,10485760,10485760,-1,-1
43515.709734,10485760,10485760,-1,-1
43515.709780,10485760,10485760,-1,-1
43515.709826,10485760,10485760,-1,-1
43515.709873,10485760,10485760,-1,-1
43515.709919,10485760,10485760,-1,-1
43515.709965,10485760,10485760,-1,-1
43515.710012,10485760,10485760,-1,-1
43515.710058,10485760,10485760,-1,-1
43515.710104,10485760,10485760,-1,-1
43515.710150,10485760,10485760,-1,-1
43515.710197,10485760,10485760,-1,-1
43515.710243,10485760,10485760,-1,-1
43515.710289,10485760,10485760,-1,-1
43515.710336,10485760,10485760,-1,-1
43515.710382,10485760,10485760,-1,-1
43515.710428,10485760,10485760,-1,-1
43515.710475,10485760,10485760,-1,-1
43515.710521,10485760,10485760,-1,-1
43515.710567,10485760,10485760,-1,-1
43515.710613,10485760,10485760,-1,-1
43515.710660,10485760,10485760,-1,-1
43515.710706,9437184,9437184,-1,-1
43515.710752,9437184,9437184,-1,-1
43515.710799,9437184,9437184,-1,-1
43515.710845,9437184,9437184,-1,-1
43515.710891,9437184,9437184,-1,-1
43515.710938,9437184,9437184,-1,-1
43515.710984,9437184,9437184,-1,-1
43515.711030,9437184,9437184,-1,-1
43515.711076,9437184,9437184,-1,-1
43515.711123,9437184,9437184,-1,-1
43515.711169,9437184,9437184,-1,-1
43515.711215,9437184,9437184,-1,-1
43515.711262,9437184,9437184,-1,-1
43515.711308,9437184,9437184,-1,-1
43515.711354,9437184,9437184,-1,-1
43515.711401,9437184,9437184,-1,-1
43515.711447,8388608,8388608,-1,-1
43515.711493,8388608,8388608,-1,-1
43515.711539,8388608,8388608,-1,-1
43515.711586,8388608,8388608,-1,-1
43515.711632,8388608,8388608,-1,-1
43515.711678,8388608,8388608,-1,-1
43515.711725,8388608,8388608,-1,-1
43515.711771,8388608,8388608,-1,-1
43515.711817,8388608,8388608,-1,-1
43515.711864,8388608,8388608,-1,-1
43515.711910,8388608,8388608,-1,-1
43515.711956,8388608,8388608,-1,-1
43515.712002,8388608,8388608,-1,-1
43515.712049,8388608,8388608,-1,-1
43515.712095,8388608,8388608,-1,-1
43515.712141,8388608,8388608,-1,-1
43515.712188,8388608,8388608,-1,-1
43515.712234,8388608,8388608,-1,-1
43515.712280,8388608,8388608,-1,-1
43515.712327,8388608,8388608,-1,-1
43515.712373,8388608,8388608,-1,-1
43515.712419,8388608,8388608,-1,-1
43515.712465,8388608,8388608,-1,-1
43515.712512,8388608,8388608,-1,-1
43515.712558,8388608,8388608,-1,-1
43515.712604,8388608,8388608,-1,-1
43515.712651,8388608,8388608,-1,-1
