Time,Used,Committed,Max,Threshold
43515.693392,72961864,79851520,-1,0
43515.693437,73212944,80375808,-1,0
43515.693484,73367624,80375808,-1,0
43515.693530,73466184,80637952,-1,0
43515.693576,73572640,80637952,-1,0
43515.693622,73951352,81293312,-1,0
43515.693669,74034480,81293312,-1,0
43515.693715,74117168,81293312,-1,0
43515.693761,74151888,81555456,-1,0
43515.693808,74170880,81555456,-1,0
43515.693854,74212456,81555456,-1,0
43515.693900,74339360,81555456,-1,0
43515.693946,74377368,81555456,-1,0
43515.693993,74400400,81817600,-1,0
43515.694039,74449584,81817600,-1,0
43515.694085,74494496,81817600,-1,0
43515.694132,74502152,81817600,-1,0
43515.694178,74512136,81817600,-1,0
43515.694224,74553424,81817600,-1,0
43515.694271,74553832,81817600,-1,0
43515.694317,74560464,81817600,-1,0
43515.694363,74749792,82079744,-1,0
43515.694409,74763424,82079744,-1,0
43515.694456,74765672,82079744,-1,0
43515.694502,74785816,82079744,-1,0
43515.694548,74798656,82079744,-1,0
43515.694595,74801976,82079744,-1,0
43515.694641,74817800,82079744,-1,0
43515.694687,74821576,82079744,-1,0
43515.694734,74841352,82079744,-1,0
43515.694780,74843328,82079744,-1,0
43515.694826,74843720,82079744,-1,0
43515.694872,74848840,82079744,-1,0
43515.694919,74852976,82079744,-1,0
43515.694965,74855240,82079744,-1,0
43515.695011,74855672,82079744,-1,0
43515.695058,74862344,82079744,-1,0
43515.695104,74863096,82079744,-1,0
43515.695150,74863832,82079744,-1,0
43515.695197,83357464,91779072,-1,0
43515.695243,83865968,92041216,-1,0
43515.695289,84009008,92303360,-1,0
43515.695335,84138008,92565504,-1,0
43515.695382,84143176,92565504,-1,0
43515.695428,84168112,92565504,-1,0
43515.695474,84204760,92565504,-1,0
43515.695521,84212320,92565504,-1,0
43515.695567,84223336,92565504,-1,0
43515.695613,84226136,92565504,-1,0
43515.695659,84229000,92565504,-1,0
43515.695706,84231064,92565504,-1,0
43515.695752,84231512,92565504,-1,0
43515.695798,84232136,92565504,-1,0
43515.695845,84239048,92565504,-1,0
43515.695891,84246120,92565504,-1,0
43515.695937,84257688,92565504,-1,0
43515.695984,84263576,92565504,-1,0
43515.696030,84270392,92565504,-1,0
43515.696076,84283704,92565504,-1,0
43515.696122,84300512,92565504,-1,0
43515.696169,84305744,92565504,-1,0
43515.696215,84344968,92565504,-1,0
43515.696261,84351784,92565504,-1,0
43515.696308,84353712,92565504,-1,0
43515.696354,84353712,92565504,-1,0
43515.696400,84354216,92565504,-1,0
43515.696447,84355528,92565504,-1,0
43515.696493,84358248,92565504,-1,0
43515.696539,84360408,92565504,-1,0
43515.696585,84360408,92565504,-1,0
43515.696632,84360408,92565504,-1,0
43515.696678,84360408,92565504,-1,0
43515.696724,84360408,92565504,-1,0
43515.696771,84360408,92565504,-1,0
43515.696817,84360816,92565504,-1,0
43515.696863,84361136,92565504,-1,0
43515.696910,84361136,92565504,-1,0
43515.696956,84363888,92565504,-1,0
43515.697002,84367696,92565504,-1,0
43515.697048,84369648,92565504,-1,0
43515.697095,84369648,92565504,-1,0
43515.697141,84370096,92565504,-1,0
43515.697187,84370096,92565504,-1,0
43515.697234,84370096,92565504,-1,0
43515.697280,84370096,92565504,-1,0
43515.697326,84371832,92565504,-1,0
43515.697372,84375864,92565504,-1,0
43515.697419,84384376,92565504,-1,0
43515.697465,84389856,92565504,-1,0
43515.697511,84392208,92565504,-1,0
43515.697558,84393552,92565504,-1,0
43515.697604,84399048,92565504,-1,0
43515.697650,84399416,92565504,-1,0
43515.697697,84401336,92565504,-1,0
43515.697743,84405416,92565504,-1,0
43515.697789,84410896,92565504,-1,0
43515.697835,84410896,92565504,-1,0
43515.697882,84410896,92565504,-1,0
43515.697928,84411344,92565504,-1,0
43515.697974,84411752,92565504,-1,0
43515.698021,84411752,92565504,-1,0
43515.698067,84411752,92565504,-1,0
43515.698113,84412272,92565504,-1,0
43515.698160,84412272,92565504,-1,0
43515.698206,84412272,92565504,-1,0
43515.698252,84413616,92565504,-1,0
43515.698298,84413616,92565504,-1,0
43515.698345,84413616,92565504,-1,0
43515.698391,84413616,92565504,-1,0
43515.698437,84414480,92565504,-1,0
43515.698484,84418624,92565504,-1,0
43515.698530,84419056,92565504,-1,0
43515.698576,84419056,92565504,-1,0
43515.698622,84419056,92565504,-1,0
43515.698669,84419056,92565504,-1,0
43515.698715,84419056,92565504,-1,0
43515.698761,84419056,92565504,-1,0
43515.698808,84419056,92565504,-1,0
43515.698854,84419056,92565504,-1,0
43515.698900,84419416,92565504,-1,0
43515.698947,84420384,92565504,-1,0
43515.698993,84423832,92565504,-1,0
43515.699039,84424312,92565504,-1,0
