Time,Used,Committed,Max
43515.693392,96893968,105656320,-1
43515.693437,98444976,107425792,-1
43515.693484,99072088,107884544,-1
43515.693530,99470152,108212224,-1
43515.693576,99936840,108802048,-1
43515.693622,100957912,110178304,-1
43515.693669,101371856,110571520,-1
43515.693715,101750832,110833664,-1
43515.693761,101880480,110899200,-1
43515.693808,102016464,111292416,-1
43515.693854,102203096,111489024,-1
43515.693900,102696496,111816704,-1
43515.693946,102877448,112013312,-1
43515.693993,103033408,112340992,-1
43515.694039,103127040,112406528,-1
43515.694085,103256088,112472064,-1
43515.694132,103379960,112603136,-1
43515.694178,103474472,112668672,-1
43515.694224,103625992,112799744,-1
43515.694271,103738344,112865280,-1
43515.694317,103764432,112865280,-1
43515.694363,104148176,113324032,-1
43515.694409,104261032,113389568,-1
43515.694456,104270024,113455104,-1
43515.694502,104354296,113520640,-1
43515.694548,104404560,113520640,-1
43515.694595,104448536,113586176,-1
43515.694641,104514200,113586176,-1
43515.694687,104545752,113651712,-1
43515.694734,104639896,113717248,-1
43515.694780,104660304,113782784,-1
43515.694826,104674136,113782784,-1
43515.694872,104704344,113782784,-1
43515.694919,104737024,113782784,-1
43515.694965,104763224,113782784,-1
43515.695011,104768648,113782784,-1
43515.695058,104796568,113848320,-1
43515.695104,104861320,113913856,-1
43515.695150,104937320,113979392,-1
43515.695197,118857016,129314816,-1
43515.695243,121387576,131543040,-1
43515.695289,122897448,133181440,-1
43515.695335,123891472,134361088,-1
43515.695382,124264256,134623232,-1
43515.695428,124925840,135278592,-1
43515.695474,125655352,136065024,-1
43515.695521,126223728,136654848,-1
43515.695567,126457288,136785920,-1
43515.695613,126609464,136916992,-1
43515.695659,126724968,137048064,-1
43515.695706,126789224,137113600,-1
43515.695752,126828584,137179136,-1
43515.695798,126859544,137179136,-1
43515.695845,127012248,137310208,-1
43515.695891,127037880,137310208,-1
43515.695937,127156328,137441280,-1
43515.695984,127269736,137572352,-1
43515.696030,127303048,137572352,-1
43515.696076,127433992,137703424,-1
43515.696122,127518952,137768960,-1
43515.696169,127635928,137900032,-1
43515.696215,127812496,138031104,-1
43515.696261,127902728,138096640,-1
43515.696308,127921352,138096640,-1
43515.696354,127923640,138096640,-1
43515.696400,127948720,138162176,-1
43515.696447,127980624,138227712,-1
43515.696493,127996912,138227712,-1
43515.696539,128013440,138227712,-1
43515.696585,128048608,138227712,-1
43515.696632,128053728,138227712,-1
43515.696678,128067808,138227712,-1
43515.696724,128073696,138227712,-1
43515.696771,128080224,138227712,-1
43515.696817,128083320,138293248,-1
43515.696863,128086712,138293248,-1
43515.696910,128137912,138358784,-1
43515.696956,128198008,138424320,-1
43515.697002,128217176,138424320,-1
43515.697048,128259960,138424320,-1
43515.697095,128271096,138424320,-1
43515.697141,128274872,138489856,-1
43515.697187,128279608,138489856,-1
43515.697234,128317496,138489856,-1
43515.697280,128318776,138489856,-1
43515.697326,128341120,138489856,-1
43515.697372,128355080,138489856,-1
43515.697419,128407680,138555392,-1
43515.697465,128444648,138620928,-1
43515.697511,128520472,138620928,-1
43515.697558,128550104,138752000,-1
43515.697604,128566352,138752000,-1
43515.697650,128571584,138752000,-1
43515.697697,128612416,138752000,-1
43515.697743,128636592,138817536,-1
43515.697789,128680088,138817536,-1
43515.697835,128688408,138817536,-1
43515.697882,128688408,138817536,-1
43515.697928,128692184,138817536,-1
43515.697974,128693744,138817536,-1
43515.698021,128711408,138883072,-1
43515.698067,128712432,138883072,-1
43515.698113,128720880,138883072,-1
43515.698160,128745336,138883072,-1
43515.698206,128763256,138883072,-1
43515.698252,128770360,138948608,-1
43515.698298,128773048,138948608,-1
43515.698345,128774456,138948608,-1
43515.698391,128783544,138948608,-1
43515.698437,128794392,138948608,-1
43515.698484,128819272,138948608,-1
43515.698530,128821880,138948608,-1
43515.698576,128821880,138948608,-1
43515.698622,128844152,138948608,-1
43515.698669,128845048,138948608,-1
43515.698715,128845048,138948608,-1
43515.698761,128845048,138948608,-1
43515.698808,128858360,139014144,-1
43515.698854,128858360,139014144,-1
43515.698900,128859616,139014144,-1
43515.698947,128875560,139014144,-1
43515.698993,128900896,139079680,-1
43515.699039,128905088,139079680,-1
43515.699085,128932232,139079680,-1
43515.699132,128932232,139079680,-1
43515.699178,128934280,139079680,-1
43515.699224,128985832,139341824,-1
43515.699271,129000312,139407360,-1
43515.699317,129010048,139407360,-1
43515.699363,129010944,139407360,-1
43515.699410,129010944,139407360,-1
43515.699456,129012608,139407360,-1
43515.699502,129012608,139407360,-1
43515.699548,129019136,139407360,-1
43515.699595,129023912,139407360,-1
43515.699641,129032528,139407360,-1
43515.699687,129038344,139407360,-1
43515.699734,129041800,139407360,-1
43515.699780,129041800,139407360,-1
43515.699826,129041800,139407360,-1
43515.699873,129041800,139407360,-1
43515.699919,129045512,139407360,-1
43515.699965,129046920,139407360,-1
43515.700011,129047816,139407360,-1
43515.700058,129047816,139407360,-1
43515.700104,129067528,139407360,-1
43515.700150,129108488,139472896,-1
43515.700197,129108488,139472896,-1
43515.700243,129118216,139472896,-1
43515.700289,129122184,139472896,-1
43515.700335,129135112,139472896,-1
43515.700382,129144072,139538432,-1
43515.700428,129149960,139538432,-1
43515.700474,129154696,139538432,-1
43515.700521,129154696,139538432,-1
43515.700567,129159688,139538432,-1
43515.700613,129160968,139538432,-1
43515.700660,129160968,139538432,-1
43515.700706,129199400,139538432,-1
43515.700752,129205928,139603968,-1
43515.700798,129207208,139603968,-1
43515.700845,129207208,139603968,-1
43515.700891,129265808,139603968,-1
43515.700937,129268624,139603968,-1
43515.700984,129309960,139603968,-1
43515.701030,129343496,139669504,-1
43515.701076,129368816,139735040,-1
43515.701123,129371504,139735040,-1
43515.701169,129371504,139735040,-1
43515.701215,129372528,139735040,-1
43515.701261,129377520,139735040,-1
43515.701308,129377520,139735040,-1
43515.701354,129385456,139735040,-1
43515.701400,129389168,139735040,-1
43515.701447,129436784,139800576,-1
43515.701493,129441392,139800576,-1
43515.701539,129441392,139800576,-1
43515.701585,129441392,139800576,-1
43515.701632,129452400,139800576,-1
43515.701678,129455216,139800576,-1
43515.701724,129456240,139800576,-1
43515.701771,129456240,139800576,-1
43515.701817,129456240,139800576,-1
43515.701863,129459312,139866112,-1
43515.701910,129461872,139866112,-1
43515.701956,129465776,139866112,-1
43515.702002,129465776,139866112,-1
43515.702048,129465776,139866112,-1
43515.702095,129496752,139866112,-1
43515.702141,129498288,139866112,-1
43515.702187,129500720,139866112,-1
43515.702234,129500720,139866112,-1
43515.702280,129517912,139866112,-1
43515.702326,129523640,139866112,-1
43515.702373,129537080,139866112,-1
43515.702419,129543352,139866112,-1
43515.702465,129581112,139931648,-1
43515.702511,129581880,139931648,-1
43515.702558,129582776,139931648,-1
43515.702604,129589048,139931648,-1
43515.702650,129646648,139997184,-1
43515.702697,129647672,139997184,-1
43515.702743,129667560,139997184,-1
43515.702789,129667560,139997184,-1
43515.702836,129667560,139997184,-1
43515.702882,129667560,139997184,-1
43515.702928,129667560,139997184,-1
43515.702974,129672552,139997184,-1
43515.703021,129672552,139997184,-1
43515.703067,129672552,139997184,-1
43515.703113,129672552,139997184,-1
43515.703160,129677296,139997184,-1
43515.703206,129685032,139997184,-1
43515.703252,129685032,139997184,-1
43515.703298,129689384,139997184,-1
43515.703345,129714184,139997184,-1
43515.703391,129724168,140062720,-1
43515.703437,129724168,140062720,-1
43515.703484,129724168,140062720,-1
43515.703530,129730312,140128256,-1
43515.703576,129730312,140128256,-1
43515.703623,129730312,140128256,-1
43515.703669,129730312,140128256,-1
43515.703715,129730312,140128256,-1
43515.703761,126754056,140128256,-1
43515.703808,126769288,140128256,-1
43515.703854,126769368,140128256,-1
43515.703900,126769368,140128256,-1
43515.703947,126805976,140128256,-1
43515.703993,126805976,140128256,-1
43515.704039,126805976,140128256,-1
43515.704086,126805976,140128256,-1
43515.704132,126808960,140128256,-1
43515.704178,126808960,140128256,-1
43515.704224,126808960,140128256,-1
43515.704271,126850176,140128256,-1
43515.704317,126857728,140128256,-1
43515.704363,126886912,140128256,-1
43515.704410,126910208,140128256,-1
43515.704456,126910208,140128256,-1
43515.704502,126928920,140128256,-1
43515.704548,126928920,140128256,-1
43515.704595,126928920,140128256,-1
43515.704641,126933400,140128256,-1
43515.704687,126946840,140128256,-1
43515.704734,126963992,140128256,-1
43515.704780,126963992,140128256,-1
43515.704826,126992128,140128256,-1
43515.704873,127010288,140128256,-1
43515.704919,127026784,140128256,-1
43515.704965,127067816,140128256,-1
43515.705011,127070376,140128256,-1
43515.705058,127083736,140128256,-1
43515.705104,127115456,140128256,-1
43515.705150,127124416,140128256,-1
43515.705197,127145432,140128256,-1
43515.705243,127158304,140128256,-1
43515.705289,127158304,140128256,-1
43515.705336,127174984,140128256,-1
43515.705382,127174984,140128256,-1
43515.705428,127174984,140128256,-1
43515.705474,127174984,140128256,-1
43515.705521,127174984,140128256,-1
43515.705567,127181056,140128256,-1
43515.705613,127195344,140128256,-1
43515.705660,127212704,140128256,-1
43515.705706,127242024,140128256,-1
43515.705752,127257832,140128256,-1
43515.705799,127261856,140128256,-1
43515.705845,127292736,140128256,-1
43515.705891,127317888,140128256,-1
43515.705937,127349696,140128256,-1
43515.705984,127375952,140128256,-1
43515.706030,127389776,140128256,-1
43515.706076,127389776,140128256,-1
43515.706123,127392464,140128256,-1
43515.706169,127428960,140128256,-1
43515.706215,127428960,140128256,-1
43515.706261,127428960,140128256,-1
43515.706308,127437408,140128256,-1
43515.706354,127437408,140128256,-1
43515.706400,127437408,140128256,-1
43515.706447,127437408,140128256,-1
43515.706493,127437408,140128256,-1
43515.706539,127437408,140128256,-1
43515.706586,127437408,140128256,-1
43515.706632,127438432,140128256,-1
43515.706678,127438432,140128256,-1
43515.706724,127438432,140128256,-1
43515.706771,127438432,140128256,-1
43515.706817,127438432,140128256,-1
43515.706863,127439456,140128256,-1
43515.706910,127440352,140128256,-1
43515.706956,127442656,140128256,-1
43515.707002,127442656,140128256,-1
43515.707049,127450848,140128256,-1
43515.707095,127450848,140128256,-1
43515.707141,127459424,140128256,-1
43515.707187,127459424,140128256,-1
43515.707234,127459424,140128256,-1
43515.707280,127466720,140128256,-1
43515.707326,127474400,140128256,-1
43515.707373,127485536,140128256,-1
43515.707419,127486432,140128256,-1
43515.707465,127491424,140128256,-1
43515.707511,127491424,140128256,-1
43515.707558,128693544,140587008,-1
43515.707604,128739416,140587008,-1
43515.707650,128739416,140587008,-1
43515.707697,128744920,140587008,-1
43515.707743,128751272,140587008,-1
43515.707789,128752168,140587008,-1
43515.707836,128752168,140587008,-1
43515.707882,128754600,140587008,-1
43515.707928,128774824,140587008,-1
43515.707974,128805032,140652544,-1
43515.708021,128807336,140652544,-1
43515.708067,128851368,140718080,-1
43515.708113,128851368,140718080,-1
43515.708160,128854952,140718080,-1
43515.708206,128859944,140718080,-1
43515.708252,128862120,140718080,-1
43515.708299,128863400,140718080,-1
43515.708345,128863400,140718080,-1
43515.708391,128866216,140718080,-1
43515.708437,128873128,140718080,-1
43515.708484,128889768,140718080,-1
43515.708530,128889768,140718080,-1
43515.708576,128889768,140718080,-1
43515.708623,128889768,140718080,-1
43515.708669,128889768,140718080,-1
43515.708715,128891048,140718080,-1
43515.708762,128892200,140718080,-1
43515.708808,128897192,140718080,-1
43515.708854,128907944,140718080,-1
43515.708900,128913960,140783616,-1
43515.708947,128913960,140783616,-1
43515.708993,128913960,140783616,-1
43515.709039,128913960,140783616,-1
43515.709086,128914984,140783616,-1
43515.709132,128914984,140783616,-1
43515.709178,128922920,140783616,-1
43515.709225,128923560,140783616,-1
43515.709271,128929448,140783616,-1
43515.709317,128930216,140783616,-1
43515.709363,128930216,140783616,-1
43515.709410,128931880,140783616,-1
43515.709456,128931880,140783616,-1
43515.709502,128931880,140783616,-1
43515.709549,128938408,140783616,-1
43515.709595,128938408,140783616,-1
43515.709641,128942248,140783616,-1
43515.709688,128942248,140783616,-1
43515.709734,128942248,140783616,-1
43515.709780,128942248,140783616,-1
43515.709826,128942248,140783616,-1
43515.709873,128942248,140783616,-1
43515.709919,128942248,140783616,-1
43515.709965,128966560,140783616,-1
43515.710012,128968736,140783616,-1
43515.710058,128968736,140783616,-1
43515.710104,128968736,140783616,-1
43515.710150,128979616,140783616,-1
43515.710197,128979616,140783616,-1
43515.710243,128997024,140783616,-1
43515.710289,128997024,140783616,-1
43515.710336,128997024,140783616,-1
43515.710382,128997024,140783616,-1
43515.710428,128997024,140783616,-1
43515.710475,128997024,140783616,-1
43515.710521,129002576,140783616,-1
43515.710567,129002576,140783616,-1
43515.710613,129002576,140783616,-1
43515.710660,129002576,140783616,-1
43515.710706,129005264,140783616,-1
43515.710752,129005264,140783616,-1
43515.710799,129021904,140849152,-1
43515.710845,129025104,140849152,-1
43515.710891,129033352,140849152,-1
43515.710938,129039368,140849152,-1
43515.710984,129044664,140849152,-1
43515.711030,129046200,140849152,-1
43515.711076,129047224,140849152,-1
43515.711123,129047224,140849152,-1
43515.711169,129047224,140849152,-1
43515.711215,129047224,140849152,-1
43515.711262,129047224,140849152,-1
43515.711308,129047224,140849152,-1
43515.711354,129047224,140849152,-1
43515.711401,129047224,140849152,-1
43515.711447,129049144,140849152,-1
43515.711493,129049144,140849152,-1
43515.711539,129050424,140849152,-1
43515.711586,129050424,140849152,-1
43515.711632,129060448,140849152,-1
43515.711678,129060448,140849152,-1
43515.711725,129061600,140849152,-1
43515.711771,129061600,140849152,-1
43515.711817,129061600,140849152,-1
43515.711864,129061600,140849152,-1
43515.711910,129062496,140849152,-1
43515.711956,129070432,140849152,-1
43515.712002,129072096,140849152,-1
43515.712049,129072096,140849152,-1
43515.712095,129072096,140849152,-1
43515.712141,129072096,140849152,-1
43515.712188,129073248,140849152,-1
43515.712234,129073248,140849152,-1
43515.712280,129073248,140849152,-1
43515.712327,129073248,140849152,-1
43515.712373,129073248,140849152,-1
43515.712419,129073248,140849152,-1
43515.712465,129073248,140849152,-1
43515.712512,129081184,140849152,-1
43515.712558,129081184,140849152,-1
43515.712604,129089016,140849152,-1
43515.712651,129089016,140849152,-1
43515.712697,129089016,140849152,-1
43515.712743,129089016,140849152,-1
43515.712789,129089016,140849152,-1
43515.712836,129089016,140849152,-1
43515.712882,129090296,140849152,-1
43515.712928,129090296,140849152,-1
43515.712975,129090296,140849152,-1
43515.713021,129091320,140849152,-1
43515.713067,129091320,140849152,-1
43515.713114,129094264,140849152,-1
43515.713160,129094264,140849152,-1
43515.713206,129094264,140849152,-1
43515.713252,129094264,140849152,-1
43515.713299,129094264,140849152,-1
43515.713345,129094264,140849152,-1
43515.713391,129094264,140849152,-1
43515.713438,129094264,140849152,-1
43515.713484,129094264,140849152,-1
43515.713530,129094264,140849152,-1
43515.713577,129094264,140849152,-1
43515.713623,129094264,140849152,-1
43515.713669,129095160,140849152,-1
43515.713715,129095160,140849152,-1
43515.713762,129095160,140849152,-1
43515.713808,129097464,140849152,-1
43515.713854,129097464,140849152,-1
43515.713901,129097464,140849152,-1
43515.713947,129097464,140849152,-1
43515.713993,129098744,140849152,-1
43515.714040,129100408,140849152,-1
43515.714086,129100408,140849152,-1
43515.714132,129117560,140914688,-1
43515.714178,129117560,140914688,-1
43515.714225,129121400,140914688,-1
43515.714271,129121400,140914688,-1
43515.714317,129121400,140914688,-1
43515.714364,129121400,140914688,-1
43515.714410,129121400,140914688,-1
43515.714456,129127976,140914688,-1
43515.714502,129130920,140914688,-1
43515.714549,129130920,140914688,-1
43515.714595,129130920,140914688,-1
43515.714641,129130920,140914688,-1
43515.714688,129130920,140914688,-1
43515.714734,129149480,140914688,-1
43515.714780,129149480,140914688,-1
43515.714827,129149480,140914688,-1
43515.714873,129154728,140914688,-1
43515.714919,129154728,140914688,-1
43515.714965,129154728,140914688,-1
43515.715012,129154728,140914688,-1
43515.715058,129154728,140914688,-1
43515.715104,129154728,140914688,-1
43515.715151,129154728,140914688,-1
43515.715197,129157544,140914688,-1
43515.715243,129157544,140914688,-1
43515.715290,129157544,140914688,-1
43515.715336,129157544,140914688,-1
43515.715382,129158824,140914688,-1
43515.715428,129158824,140914688,-1
43515.715475,129158824,140914688,-1
43515.715521,129158824,140914688,-1
43515.715567,129158824,140914688,-1
43515.715614,129158824,140914688,-1
43515.715660,129158824,140914688,-1
43515.715706,129158824,140914688,-1
43515.715753,129158824,140914688,-1
43515.715799,129158824,140914688,-1
43515.715845,129158824,140914688,-1
43515.715891,129158824,140914688,-1
43515.715938,129163432,140914688,-1
43515.715984,129163432,140914688,-1
43515.716030,129163432,140914688,-1
43515.716077,129163432,140914688,-1
43515.716123,129163432,140914688,-1
43515.716169,129163432,140914688,-1
43515.716215,129163432,140914688,-1
43515.716262,129164712,140914688,-1
43515.716308,129168080,140914688,-1
43515.716354,129171408,140914688,-1
43515.716401,129176400,140914688,-1
43515.716447,129176400,140914688,-1
43515.716493,129176400,140914688,-1
43515.716540,129181024,140914688,-1
43515.716586,129189848,140914688,-1
