Time,Used,Committed,Max,Threshold
43515.599288,116391936,226492416,-1,-1
43515.599333,121634816,226492416,-1,-1
43515.599379,121634816,226492416,-1,-1
43515.599426,123731968,226492416,-1,-1
43515.599472,123731968,226492416,-1,-1
43515.599518,125829120,226492416,-1,-1
43515.599565,126877696,226492416,-1,-1
43515.599611,127926272,226492416,-1,-1
43515.599657,128974848,226492416,-1,-1
43515.599704,130023424,226492416,-1,-1
43515.599750,131072000,226492416,-1,-1
43515.599796,132120576,226492416,-1,-1
43515.599842,133169152,226492416,-1,-1
43515.599889,134217728,226492416,-1,-1
43515.599935,190840832,226492416,-1,-1
43515.599981,13631488,324009984,-1,-1
43515.600028,37748736,324009984,-1,-1
43515.600074,71303168,324009984,-1,-1
43515.600120,104857600,324009984,-1,-1
43515.600166,137363456,324009984,-1,-1
43515.600213,173015040,324009984,-1,-1
43515.600259,206569472,324009984,-1,-1
43515.600305,240123904,324009984,-1,-1
43515.600352,273678336,324009984,-1,-1
43515.600398,4194304,372244480,-1,-1
43515.600444,39845888,372244480,-1,-1
43515.600491,74448896,372244480,-1,-1
43515.600537,108003328,372244480,-1,-1
43515.600583,140509184,372244480,-1,-1
43515.600629,174063616,372244480,-1,-1
43515.600676,206569472,372244480,-1,-1
43515.600722,240123904,372244480,-1,-1
43515.600768,273678336,372244480,-1,-1
43515.600815,307232768,372244480,-1,-1
43515.600861,338690048,372244480,-1,-1
43515.600907,27262976,384827392,-1,-1
43515.600954,58720256,384827392,-1,-1
43515.601000,91226112,384827392,-1,-1
43515.601046,123731968,384827392,-1,-1
43515.601092,158334976,384827392,-1,-1
43515.601139,190840832,384827392,-1,-1
43515.601185,224395264,384827392,-1,-1
43515.601231,256901120,384827392,-1,-1
43515.601278,289406976,384827392,-1,-1
43515.601324,322961408,384827392,-1,-1
43515.601370,355467264,384827392,-1,-1
43515.601417,29360128,385875968,-1,-1
43515.601463,60817408,385875968,-1,-1
43515.601509,94371840,385875968,-1,-1
43515.601555,127926272,385875968,-1,-1
43515.601602,160432128,385875968,-1,-1
43515.601648,193986560,385875968,-1,-1
43515.601694,227540992,385875968,-1,-1
43515.601741,260046848,385875968,-1,-1
43515.601787,293601280,385875968,-1,-1
43515.601833,326107136,385875968,-1,-1
43515.601879,359661568,385875968,-1,-1
43515.601926,29360128,384827392,-1,-1
43515.601972,62914560,384827392,-1,-1
43515.602018,96468992,384827392,-1,-1
43515.602065,128974848,384827392,-1,-1
43515.602111,162529280,384827392,-1,-1
43515.602157,193986560,384827392,-1,-1
43515.602204,227540992,384827392,-1,-1
43515.602250,261095424,384827392,-1,-1
43515.602296,294649856,384827392,-1,-1
43515.602342,328204288,384827392,-1,-1
43515.602389,360710144,384827392,-1,-1
43515.602435,30408704,384827392,-1,-1
43515.602481,63963136,384827392,-1,-1
43515.602528,97517568,384827392,-1,-1
43515.602574,131072000,384827392,-1,-1
43515.602620,163577856,384827392,-1,-1
43515.602667,199229440,384827392,-1,-1
43515.602713,231735296,384827392,-1,-1
43515.602759,264241152,384827392,-1,-1
43515.602805,297795584,384827392,-1,-1
43515.602852,330301440,384827392,-1,-1
43515.602898,362807296,384827392,-1,-1
43515.602944,34603008,382730240,-1,-1
43515.602991,68157440,382730240,-1,-1
43515.603037,101711872,382730240,-1,-1
43515.603083,133169152,382730240,-1,-1
43515.603130,166723584,382730240,-1,-1
43515.603176,200278016,382730240,-1,-1
43515.603222,232783872,382730240,-1,-1
43515.603268,265289728,382730240,-1,-1
43515.603315,298844160,382730240,-1,-1
43515.603361,331350016,382730240,-1,-1
43515.603407,4194304,383778816,-1,-1
43515.603454,36700160,383778816,-1,-1
43515.603500,69206016,383778816,-1,-1
43515.603546,102760448,383778816,-1,-1
43515.603592,135266304,383778816,-1,-1
43515.603639,168820736,383778816,-1,-1
43515.603685,200278016,383778816,-1,-1
43515.603731,233832448,383778816,-1,-1
43515.603778,267386880,383778816,-1,-1
43515.603824,299892736,383778816,-1,-1
43515.603870,333447168,383778816,-1,-1
43515.603917,3145728,382730240,-1,-1
43515.603963,34603008,382730240,-1,-1
43515.604009,69206016,382730240,-1,-1
43515.604055,100663296,382730240,-1,-1
43515.604102,134217728,382730240,-1,-1
43515.604148,166723584,382730240,-1,-1
43515.604194,199229440,382730240,-1,-1
43515.604241,231735296,382730240,-1,-1
43515.604287,265289728,382730240,-1,-1
43515.604333,298844160,382730240,-1,-1
43515.604380,331350016,382730240,-1,-1
43515.604426,4194304,381681664,-1,-1
43515.604472,35651584,381681664,-1,-1
43515.604518,68157440,381681664,-1,-1
43515.604565,101711872,381681664,-1,-1
43515.604611,134217728,381681664,-1,-1
43515.604657,165675008,381681664,-1,-1
43515.604704,199229440,381681664,-1,-1
43515.604750,232783872,381681664,-1,-1
43515.604796,265289728,381681664,-1,-1
43515.604842,298844160,381681664,-1,-1
43515.604889,331350016,381681664,-1,-1
43515.604935,4194304,381681664,-1,-1
43515.604981,35651584,381681664,-1,-1
43515.605028,68157440,381681664,-1,-1
43515.605074,101711872,381681664,-1,-1
43515.605120,134217728,381681664,-1,-1
43515.605167,167772160,381681664,-1,-1
43515.605213,200278016,381681664,-1,-1
43515.605259,232783872,381681664,-1,-1
43515.605305,265289728,381681664,-1,-1
43515.605352,298844160,381681664,-1,-1
43515.605398,331350016,381681664,-1,-1
43515.605444,4194304,380633088,-1,-1
43515.605491,36700160,380633088,-1,-1
43515.605537,69206016,380633088,-1,-1
43515.605583,101711872,380633088,-1,-1
43515.605630,135266304,380633088,-1,-1
43515.605676,168820736,380633088,-1,-1
43515.605722,201326592,380633088,-1,-1
43515.605768,233832448,380633088,-1,-1
43515.605815,267386880,380633088,-1,-1
43515.605861,299892736,380633088,-1,-1
43515.605907,332398592,380633088,-1,-1
43515.605954,5242880,379584512,-1,-1
43515.606000,38797312,379584512,-1,-1
43515.606046,71303168,379584512,-1,-1
43515.606093,104857600,379584512,-1,-1
43515.606139,137363456,379584512,-1,-1
43515.606185,170917888,379584512,-1,-1
43515.606231,203423744,379584512,-1,-1
43515.606278,235929600,379584512,-1,-1
43515.606324,268435456,379584512,-1,-1
43515.606370,300941312,379584512,-1,-1
43515.606417,334495744,379584512,-1,-1
43515.606463,9437184,379584512,-1,-1
43515.606509,41943040,379584512,-1,-1
43515.606555,75497472,379584512,-1,-1
43515.606602,108003328,379584512,-1,-1
43515.606648,140509184,379584512,-1,-1
43515.606694,174063616,379584512,-1,-1
43515.606741,206569472,379584512,-1,-1
43515.606787,240123904,379584512,-1,-1
43515.606833,271581184,379584512,-1,-1
43515.606880,305135616,379584512,-1,-1
43515.606926,338690048,379584512,-1,-1
43515.606972,12582912,378535936,-1,-1
43515.607018,45088768,378535936,-1,-1
43515.607065,78643200,378535936,-1,-1
43515.607111,111149056,378535936,-1,-1
43515.607157,144703488,378535936,-1,-1
43515.607204,177209344,378535936,-1,-1
43515.607250,209715200,378535936,-1,-1
43515.607296,243269632,378535936,-1,-1
43515.607343,275775488,378535936,-1,-1
43515.607389,308281344,378535936,-1,-1
43515.607435,342884352,378535936,-1,-1
43515.607481,17825792,385875968,-1,-1
43515.607528,50331648,385875968,-1,-1
43515.607574,83886080,385875968,-1,-1
43515.607620,116391936,385875968,-1,-1
43515.607667,148897792,385875968,-1,-1
43515.607713,182452224,385875968,-1,-1
43515.607759,214958080,385875968,-1,-1
43515.607805,248512512,385875968,-1,-1
43515.607852,279969792,385875968,-1,-1
43515.607898,313524224,385875968,-1,-1
43515.607944,347078656,385875968,-1,-1
43515.607991,14680064,385875968,-1,-1
43515.608037,47185920,385875968,-1,-1
43515.608083,80740352,385875968,-1,-1
43515.608130,113246208,385875968,-1,-1
43515.608176,145752064,385875968,-1,-1
43515.608222,178257920,385875968,-1,-1
43515.608268,210763776,385875968,-1,-1
43515.608315,245366784,385875968,-1,-1
43515.608361,277872640,385875968,-1,-1
43515.608407,310378496,385875968,-1,-1
43515.608454,342884352,385875968,-1,-1
43515.608500,10485760,385875968,-1,-1
43515.608546,44040192,385875968,-1,-1
43515.608593,76546048,385875968,-1,-1
43515.608639,109051904,385875968,-1,-1
43515.608685,142606336,385875968,-1,-1
43515.608731,176160768,385875968,-1,-1
43515.608778,208666624,385875968,-1,-1
43515.608824,241172480,385875968,-1,-1
43515.608870,273678336,385875968,-1,-1
43515.608917,306184192,385875968,-1,-1
43515.608963,339738624,385875968,-1,-1
43515.609009,7340032,384827392,-1,-1
43515.609056,40894464,384827392,-1,-1
43515.609102,74448896,384827392,-1,-1
43515.609148,106954752,384827392,-1,-1
43515.609194,140509184,384827392,-1,-1
43515.609241,171966464,384827392,-1,-1
43515.609287,205520896,384827392,-1,-1
43515.609333,238026752,384827392,-1,-1
43515.609380,270532608,384827392,-1,-1
43515.609426,304087040,384827392,-1,-1
43515.609472,336592896,384827392,-1,-1
43515.609518,5242880,384827392,-1,-1
43515.609565,38797312,384827392,-1,-1
43515.609611,71303168,384827392,-1,-1
43515.609657,104857600,384827392,-1,-1
43515.609704,137363456,384827392,-1,-1
43515.609750,169869312,384827392,-1,-1
43515.609796,202375168,384827392,-1,-1
43515.609843,235929600,384827392,-1,-1
43515.609889,268435456,384827392,-1,-1
43515.609935,300941312,384827392,-1,-1
43515.609981,334495744,384827392,-1,-1
43515.610028,4194304,384827392,-1,-1
43515.610074,35651584,384827392,-1,-1
43515.610120,68157440,384827392,-1,-1
43515.610167,101711872,384827392,-1,-1
43515.610213,134217728,384827392,-1,-1
43515.610259,167772160,384827392,-1,-1
43515.610306,200278016,384827392,-1,-1
43515.610352,232783872,384827392,-1,-1
43515.610398,265289728,384827392,-1,-1
43515.610444,299892736,384827392,-1,-1
43515.610491,332398592,384827392,-1,-1
43515.610537,3145728,385875968,-1,-1
43515.610583,35651584,385875968,-1,-1
43515.610630,68157440,385875968,-1,-1
43515.610676,100663296,385875968,-1,-1
43515.610722,134217728,385875968,-1,-1
43515.610769,165675008,385875968,-1,-1
43515.610815,199229440,385875968,-1,-1
43515.610861,232783872,385875968,-1,-1
43515.610907,265289728,385875968,-1,-1
43515.610954,297795584,385875968,-1,-1
43515.611000,330301440,385875968,-1,-1
43515.611046,363855872,385875968,-1,-1
43515.611093,32505856,385875968,-1,-1
43515.611139,65011712,385875968,-1,-1
43515.611185,98566144,385875968,-1,-1
43515.611231,131072000,385875968,-1,-1
43515.611278,163577856,385875968,-1,-1
43515.611324,197132288,385875968,-1,-1
43515.611370,229638144,385875968,-1,-1
43515.611417,262144000,385875968,-1,-1
43515.611463,295698432,385875968,-1,-1
43515.611509,328204288,385875968,-1,-1
43515.611556,360710144,385875968,-1,-1
43515.611602,29360128,384827392,-1,-1
43515.611648,61865984,384827392,-1,-1
43515.611694,94371840,384827392,-1,-1
43515.611741,127926272,384827392,-1,-1
43515.611787,161480704,384827392,-1,-1
43515.611833,193986560,384827392,-1,-1
43515.611880,226492416,384827392,-1,-1
43515.611926,260046848,384827392,-1,-1
43515.611972,292552704,384827392,-1,-1
43515.612019,325058560,384827392,-1,-1
43515.612065,357564416,384827392,-1,-1
43515.612111,27262976,385875968,-1,-1
43515.612157,59768832,385875968,-1,-1
43515.612204,93323264,385875968,-1,-1
43515.612250,125829120,385875968,-1,-1
43515.612296,159383552,385875968,-1,-1
43515.612343,93323264,386924544,-1,-1
43515.612389,114294784,386924544,-1,-1
43515.612435,137363456,386924544,-1,-1
43515.612482,158334976,386924544,-1,-1
43515.612528,179306496,386924544,-1,-1
43515.612574,200278016,386924544,-1,-1
43515.612620,222298112,386924544,-1,-1
43515.612667,242221056,386924544,-1,-1
43515.612713,265289728,386924544,-1,-1
43515.612759,286261248,386924544,-1,-1
43515.612806,307232768,386924544,-1,-1
43515.612852,330301440,386924544,-1,-1
43515.612898,351272960,386924544,-1,-1
43515.612944,6291456,384827392,-1,-1
43515.612991,27262976,384827392,-1,-1
43515.613037,49283072,384827392,-1,-1
43515.613083,70254592,384827392,-1,-1
43515.613130,91226112,384827392,-1,-1
43515.613176,113246208,384827392,-1,-1
43515.613222,135266304,384827392,-1,-1
43515.613269,156237824,384827392,-1,-1
43515.613315,177209344,384827392,-1,-1
43515.613361,199229440,384827392,-1,-1
43515.613407,220200960,384827392,-1,-1
43515.613454,242221056,384827392,-1,-1
43515.613500,264241152,384827392,-1,-1
43515.613546,285212672,384827392,-1,-1
43515.613593,306184192,384827392,-1,-1
43515.613639,328204288,384827392,-1,-1
43515.613685,349175808,384827392,-1,-1
43515.613732,7340032,384827392,-1,-1
43515.613778,28311552,384827392,-1,-1
43515.613824,49283072,384827392,-1,-1
43515.613870,70254592,384827392,-1,-1
43515.613917,92274688,384827392,-1,-1
43515.613963,113246208,384827392,-1,-1
43515.614009,135266304,384827392,-1,-1
43515.614056,156237824,384827392,-1,-1
43515.614102,178257920,384827392,-1,-1
43515.614148,200278016,384827392,-1,-1
43515.614194,220200960,384827392,-1,-1
43515.614241,243269632,384827392,-1,-1
43515.614287,264241152,384827392,-1,-1
43515.614333,285212672,384827392,-1,-1
43515.614380,306184192,384827392,-1,-1
43515.614426,328204288,384827392,-1,-1
43515.614472,350224384,384827392,-1,-1
43515.614519,7340032,385875968,-1,-1
43515.614565,28311552,385875968,-1,-1
43515.614611,50331648,385875968,-1,-1
43515.614657,71303168,385875968,-1,-1
43515.614704,92274688,385875968,-1,-1
43515.614750,114294784,385875968,-1,-1
43515.614796,136314880,385875968,-1,-1
43515.614843,157286400,385875968,-1,-1
43515.614889,179306496,385875968,-1,-1
43515.614935,200278016,385875968,-1,-1
43515.614982,222298112,385875968,-1,-1
