Time,Used,Committed,Max,Threshold
43515.599288,25165824,25165824,-1,-1
43515.599333,25165824,25165824,-1,-1
43515.599379,25165824,25165824,-1,-1
43515.599426,25165824,25165824,-1,-1
43515.599472,25165824,25165824,-1,-1
43515.599518,25165824,25165824,-1,-1
43515.599565,25165824,25165824,-1,-1
43515.599611,25165824,25165824,-1,-1
43515.599657,25165824,25165824,-1,-1
43515.599704,25165824,25165824,-1,-1
43515.599750,25165824,25165824,-1,-1
43515.599796,25165824,25165824,-1,-1
43515.599842,25165824,25165824,-1,-1
43515.599889,25165824,25165824,-1,-1
43515.599935,25165824,25165824,-1,-1
43515.599981,20971520,20971520,-1,-1
43515.600028,20971520,20971520,-1,-1
43515.600074,20971520,20971520,-1,-1
43515.600120,20971520,20971520,-1,-1
43515.600166,20971520,20971520,-1,-1
43515.600213,20971520,20971520,-1,-1
43515.600259,20971520,20971520,-1,-1
43515.600305,20971520,20971520,-1,-1
43515.600352,20971520,20971520,-1,-1
43515.600398,9437184,9437184,-1,-1
43515.600444,9437184,9437184,-1,-1
43515.600491,9437184,9437184,-1,-1
43515.600537,9437184,9437184,-1,-1
43515.600583,9437184,9437184,-1,-1
43515.600629,9437184,9437184,-1,-1
43515.600676,9437184,9437184,-1,-1
43515.600722,9437184,9437184,-1,-1
43515.600768,9437184,9437184,-1,-1
43515.600815,9437184,9437184,-1,-1
43515.600861,9437184,9437184,-1,-1
43515.600907,10485760,10485760,-1,-1
43515.600954,10485760,10485760,-1,-1
43515.601000,10485760,10485760,-1,-1
43515.601046,10485760,10485760,-1,-1
43515.601092,10485760,10485760,-1,-1
43515.601139,10485760,10485760,-1,-1
43515.601185,10485760,10485760,-1,-1
43515.601231,10485760,10485760,-1,-1
43515.601278,10485760,10485760,-1,-1
43515.601324,10485760,10485760,-1,-1
43515.601370,10485760,10485760,-1,-1
43515.601417,10485760,10485760,-1,-1
43515.601463,10485760,10485760,-1,-1
43515.601509,10485760,10485760,-1,-1
43515.601555,10485760,10485760,-1,-1
43515.601602,10485760,10485760,-1,-1
43515.601648,10485760,10485760,-1,-1
43515.601694,10485760,10485760,-1,-1
43515.601741,10485760,10485760,-1,-1
43515.601787,10485760,10485760,-1,-1
43515.601833,10485760,10485760,-1,-1
43515.601879,10485760,10485760,-1,-1
43515.601926,11534336,11534336,-1,-1
43515.601972,11534336,11534336,-1,-1
43515.602018,11534336,11534336,-1,-1
43515.602065,11534336,11534336,-1,-1
43515.602111,11534336,11534336,-1,-1
43515.602157,11534336,11534336,-1,-1
43515.602204,11534336,11534336,-1,-1
43515.602250,11534336,11534336,-1,-1
43515.602296,11534336,11534336,-1,-1
43515.602342,11534336,11534336,-1,-1
43515.602389,11534336,11534336,-1,-1
43515.602435,11534336,11534336,-1,-1
43515.602481,11534336,11534336,-1,-1
43515.602528,11534336,11534336,-1,-1
43515.602574,11534336,11534336,-1,-1
43515.602620,11534336,11534336,-1,-1
43515.602667,11534336,11534336,-1,-1
43515.602713,11534336,11534336,-1,-1
43515.602759,11534336,11534336,-1,-1
43515.602805,11534336,11534336,-1,-1
43515.602852,11534336,11534336,-1,-1
43515.602898,11534336,11534336,-1,-1
43515.602944,13631488,13631488,-1,-1
43515.602991,13631488,13631488,-1,-1
43515.603037,13631488,13631488,-1,-1
43515.603083,13631488,13631488,-1,-1
43515.603130,13631488,13631488,-1,-1
43515.603176,13631488,13631488,-1,-1
43515.603222,13631488,13631488,-1,-1
43515.603268,13631488,13631488,-1,-1
43515.603315,13631488,13631488,-1,-1
43515.603361,13631488,13631488,-1,-1
43515.603407,12582912,12582912,-1,-1
43515.603454,12582912,12582912,-1,-1
43515.603500,12582912,12582912,-1,-1
43515.603546,12582912,12582912,-1,-1
43515.603592,12582912,12582912,-1,-1
43515.603639,12582912,12582912,-1,-1
43515.603685,12582912,12582912,-1,-1
43515.603731,12582912,12582912,-1,-1
43515.603778,12582912,12582912,-1,-1
43515.603824,12582912,12582912,-1,-1
43515.603870,12582912,12582912,-1,-1
43515.603917,13631488,13631488,-1,-1
43515.603963,13631488,13631488,-1,-1
43515.604009,13631488,13631488,-1,-1
43515.604055,13631488,13631488,-1,-1
43515.604102,13631488,13631488,-1,-1
43515.604148,13631488,13631488,-1,-1
43515.604194,13631488,13631488,-1,-1
43515.604241,13631488,13631488,-1,-1
43515.604287,13631488,13631488,-1,-1
43515.604333,13631488,13631488,-1,-1
43515.604380,13631488,13631488,-1,-1
43515.604426,14680064,14680064,-1,-1
43515.604472,14680064,14680064,-1,-1
43515.604518,14680064,14680064,-1,-1
43515.604565,14680064,14680064,-1,-1
43515.604611,14680064,14680064,-1,-1
43515.604657,14680064,14680064,-1,-1
43515.604704,14680064,14680064,-1,-1
43515.604750,14680064,14680064,-1,-1
43515.604796,14680064,14680064,-1,-1
43515.604842,14680064,14680064,-1,-1
43515.604889,14680064,14680064,-1,-1
43515.604935,14680064,14680064,-1,-1
43515.604981,14680064,14680064,-1,-1
43515.605028,14680064,14680064,-1,-1
43515.605074,14680064,14680064,-1,-1
43515.605120,14680064,14680064,-1,-1
43515.605167,14680064,14680064,-1,-1
43515.605213,14680064,14680064,-1,-1
43515.605259,14680064,14680064,-1,-1
43515.605305,14680064,14680064,-1,-1
43515.605352,14680064,14680064,-1,-1
43515.605398,14680064,14680064,-1,-1
43515.605444,15728640,15728640,-1,-1
43515.605491,15728640,15728640,-1,-1
43515.605537,15728640,15728640,-1,-1
43515.605583,15728640,15728640,-1,-1
43515.605630,15728640,15728640,-1,-1
43515.605676,15728640,15728640,-1,-1
43515.605722,15728640,15728640,-1,-1
43515.605768,15728640,15728640,-1,-1
43515.605815,15728640,15728640,-1,-1
43515.605861,15728640,15728640,-1,-1
43515.605907,15728640,15728640,-1,-1
43515.605954,16777216,16777216,-1,-1
43515.606000,16777216,16777216,-1,-1
43515.606046,16777216,16777216,-1,-1
43515.606093,16777216,16777216,-1,-1
43515.606139,16777216,16777216,-1,-1
43515.606185,16777216,16777216,-1,-1
43515.606231,16777216,16777216,-1,-1
43515.606278,16777216,16777216,-1,-1
43515.606324,16777216,16777216,-1,-1
43515.606370,16777216,16777216,-1,-1
43515.606417,16777216,16777216,-1,-1
43515.606463,16777216,16777216,-1,-1
43515.606509,16777216,16777216,-1,-1
43515.606555,16777216,16777216,-1,-1
