Time,Used,Committed,Max
43515.599288,98843392,107757568,-1
43515.599333,100333168,109264896,-1
43515.599379,101022616,110051328,-1
43515.599426,101322224,110247936,-1
43515.599472,101542968,110444544,-1
43515.599518,101686264,110837760,-1
43515.599565,102130992,111230976,-1
43515.599611,102401152,111427584,-1
43515.599657,102615008,111820800,-1
43515.599704,102820048,112017408,-1
43515.599750,102869232,112017408,-1
43515.599796,103061584,112148480,-1
43515.599842,103211304,112345088,-1
43515.599889,103280360,112345088,-1
43515.599935,113893784,124403712,-1
43515.599981,119368952,129712128,-1
43515.600028,120424064,130629632,-1
43515.600074,121840120,132136960,-1
43515.600120,122779744,132988928,-1
43515.600166,123385592,133513216,-1
43515.600213,123699480,133840896,-1
43515.600259,124417960,134758400,-1
43515.600305,124858712,135217152,-1
43515.600352,125117088,135479296,-1
43515.600398,122149776,135544832,-1
43515.600444,122360216,135544832,-1
43515.600491,122421288,135544832,-1
43515.600537,122542744,135544832,-1
43515.600583,122717392,135544832,-1
43515.600629,122764192,135544832,-1
43515.600676,122805392,135544832,-1
43515.600722,122982576,135610368,-1
43515.600768,123046160,135610368,-1
43515.600815,123098680,135675904,-1
43515.600861,123261384,135741440,-1
43515.600907,123281568,135741440,-1
43515.600954,123339040,135806976,-1
43515.601000,123399792,135806976,-1
43515.601046,123477136,135872512,-1
43515.601092,123497912,135872512,-1
43515.601139,123539080,135872512,-1
43515.601185,123706808,135872512,-1
43515.601231,123721432,135872512,-1
43515.601278,123746808,135872512,-1
43515.601324,123749240,135872512,-1
43515.601370,123760864,135872512,-1
43515.601417,123794112,135872512,-1
43515.601463,123800384,135938048,-1
43515.601509,123813600,135938048,-1
43515.601555,123837848,135938048,-1
43515.601602,123862576,135938048,-1
43515.601648,123882864,135938048,-1
43515.601694,123943488,135938048,-1
43515.601741,123958968,135938048,-1
43515.601787,124003312,135938048,-1
43515.601833,124007152,135938048,-1
43515.601879,124032992,135938048,-1
43515.601926,124144144,135938048,-1
43515.601972,124210088,136003584,-1
43515.602018,124223336,136003584,-1
43515.602065,124305288,136069120,-1
43515.602111,124315688,136331264,-1
43515.602157,124378576,136396800,-1
43515.602204,124408440,136396800,-1
43515.602250,124460776,136396800,-1
43515.602296,124493672,136396800,-1
43515.602342,124493672,136396800,-1
43515.602389,124497736,136396800,-1
43515.602435,124501064,136396800,-1
43515.602481,124501960,136396800,-1
43515.602528,124508384,136396800,-1
43515.602574,124508384,136396800,-1
43515.602620,124525648,136396800,-1
43515.602667,124792640,136462336,-1
