Time,CPU Usage
43515.599333,6.1
43515.599380,5.9
43515.599426,1.6
43515.599472,1.3
43515.599518,1.4
43515.599565,2.1
43515.599611,1.4
43515.599657,2.4
43515.599704,2.8
43515.599750,1.1
43515.599796,1.1
43515.599843,2.1
43515.599889,1.0
43515.599935,11.1
43515.599981,22.1
43515.600028,15.7
43515.600074,15.3
43515.600120,19.0
43515.600167,15.0
43515.600213,9.9
43515.600259,19.1
43515.600305,15.9
43515.600352,8.9
43515.600398,6.6
43515.600444,6.6
43515.600491,5.7
43515.600537,6.6
43515.600583,7.7
43515.600630,5.3
43515.600676,4.9
43515.600722,6.8
43515.600768,5.1
43515.600815,4.8
43515.600861,6.3
43515.600907,4.9
43515.600954,5.7
43515.601000,4.7
43515.601046,4.8
43515.601093,4.5
43515.601139,5.0
43515.601185,4.6
43515.601231,4.6
43515.601278,4.5
43515.601324,4.6
43515.601370,4.7
43515.601417,4.8
43515.601463,4.6
43515.601509,4.5
43515.601555,4.6
43515.601602,4.5
43515.601648,4.5
43515.601694,4.6
43515.601741,4.7
43515.601787,4.6
43515.601833,4.5
43515.601880,4.6
43515.601926,4.8
43515.601972,5.9
43515.602018,4.5
43515.602065,5.4
43515.602111,4.6
43515.602157,4.8
43515.602204,4.4
43515.602250,4.4
43515.602296,4.6
43515.602343,4.4
43515.602389,4.5
43515.602435,4.7
43515.602481,4.4
43515.602528,4.3
43515.602574,4.3
43515.602620,4.4
43515.602667,5.0
43515.602713,4.3
43515.602759,4.4
43515.602806,4.6
43515.602852,4.4
43515.602898,4.4
43515.602944,4.6
43515.602991,4.3
43515.603037,4.3
43515.603083,4.8
43515.603130,4.6
43515.603176,4.6
43515.603222,4.3
43515.603268,4.4
43515.603315,4.4
43515.603361,4.6
43515.603407,4.8
43515.603454,5.3
43515.603500,4.5
43515.603546,5.8
43515.603593,4.3
43515.603639,4.6
43515.603685,4.2
43515.603731,5.1
43515.603778,4.2
43515.603824,4.4
43515.603870,4.3
43515.603917,4.9
43515.603963,4.8
43515.604009,4.8
43515.604056,4.4
43515.604102,4.3
43515.604148,4.3
43515.604194,4.3
43515.604241,4.2
43515.604287,4.4
43515.604333,4.3
43515.604380,4.8
43515.604426,4.7
43515.604472,4.3
43515.604518,4.2
43515.604565,4.2
43515.604611,4.4
43515.604657,4.4
43515.604704,4.2
43515.604750,4.2
43515.604796,4.3
43515.604843,4.3
43515.604889,4.3
43515.604935,4.6
43515.604981,4.4
43515.605028,4.2
43515.605074,4.3
43515.605120,4.2
43515.605167,4.2
43515.605213,4.3
43515.605259,4.3
43515.605306,4.2
43515.605352,4.4
43515.605398,4.3
43515.605444,4.6
43515.605491,4.2
43515.605537,4.3
43515.605583,4.3
43515.605630,4.3
43515.605676,4.2
43515.605722,4.3
43515.605768,4.3
43515.605815,4.2
43515.605861,4.7
43515.605907,4.3
43515.605954,5.2
43515.606000,4.3
