Time,Used,Committed,Max,Threshold
43515.668257,112197632,228589568,-1,-1
43515.668302,115343360,228589568,-1,-1
43515.668349,116391936,228589568,-1,-1
43515.668395,117440512,228589568,-1,-1
43515.668441,118489088,228589568,-1,-1
43515.668488,119537664,228589568,-1,-1
43515.668534,121634816,228589568,-1,-1
43515.668580,123731968,228589568,-1,-1
43515.668626,125829120,228589568,-1,-1
43515.668673,201326592,228589568,-1,-1
43515.668719,18874368,295698432,-1,-1
43515.668765,41943040,295698432,-1,-1
43515.668812,72351744,295698432,-1,-1
43515.668858,106954752,295698432,-1,-1
43515.668904,140509184,295698432,-1,-1
43515.668950,174063616,295698432,-1,-1
43515.668997,207618048,295698432,-1,-1
43515.669043,241172480,295698432,-1,-1
43515.669089,273678336,295698432,-1,-1
43515.669136,35651584,342884352,-1,-1
43515.669182,69206016,342884352,-1,-1
43515.669228,102760448,342884352,-1,-1
43515.669275,136314880,342884352,-1,-1
43515.669321,168820736,342884352,-1,-1
43515.669367,201326592,342884352,-1,-1
43515.669413,235929600,342884352,-1,-1
43515.669460,267386880,342884352,-1,-1
43515.669506,299892736,342884352,-1,-1
43515.669552,13631488,348127232,-1,-1
43515.669599,47185920,348127232,-1,-1
43515.669645,79691776,348127232,-1,-1
43515.669691,113246208,348127232,-1,-1
43515.669738,147849216,348127232,-1,-1
43515.669784,179306496,348127232,-1,-1
43515.669830,211812352,348127232,-1,-1
43515.669876,245366784,348127232,-1,-1
43515.669923,277872640,348127232,-1,-1
43515.669969,310378496,348127232,-1,-1
43515.670015,18874368,361758720,-1,-1
43515.670062,51380224,361758720,-1,-1
43515.670108,82837504,361758720,-1,-1
43515.670154,116391936,361758720,-1,-1
43515.670200,148897792,361758720,-1,-1
43515.670247,181403648,361758720,-1,-1
43515.670293,214958080,361758720,-1,-1
43515.670339,247463936,361758720,-1,-1
43515.670386,281018368,361758720,-1,-1
43515.670432,314572800,361758720,-1,-1
43515.670478,6291456,367001600,-1,-1
43515.670525,40894464,367001600,-1,-1
43515.670571,72351744,367001600,-1,-1
43515.670617,105906176,367001600,-1,-1
43515.670663,138412032,367001600,-1,-1
43515.670710,171966464,367001600,-1,-1
43515.670756,204472320,367001600,-1,-1
43515.670802,236978176,367001600,-1,-1
43515.670849,270532608,367001600,-1,-1
43515.670895,303038464,367001600,-1,-1
43515.670941,335544320,367001600,-1,-1
43515.670988,23068672,372244480,-1,-1
43515.671034,56623104,372244480,-1,-1
43515.671080,90177536,372244480,-1,-1
43515.671126,121634816,372244480,-1,-1
43515.671173,155189248,372244480,-1,-1
43515.671219,187695104,372244480,-1,-1
43515.671265,220200960,372244480,-1,-1
