Time,Used,Committed,Max,Threshold
43515.668257,23068672,23068672,-1,-1
43515.668302,23068672,23068672,-1,-1
43515.668349,23068672,23068672,-1,-1
43515.668395,23068672,23068672,-1,-1
43515.668441,23068672,23068672,-1,-1
43515.668488,23068672,23068672,-1,-1
43515.668534,23068672,23068672,-1,-1
43515.668580,23068672,23068672,-1,-1
43515.668626,23068672,23068672,-1,-1
43515.668673,23068672,23068672,-1,-1
43515.668719,20971520,20971520,-1,-1
43515.668765,20971520,20971520,-1,-1
43515.668812,20971520,20971520,-1,-1
43515.668858,20971520,20971520,-1,-1
43515.668904,20971520,20971520,-1,-1
43515.668950,20971520,20971520,-1,-1
43515.668997,20971520,20971520,-1,-1
43515.669043,20971520,20971520,-1,-1
43515.669089,20971520,20971520,-1,-1
43515.669136,2097152,2097152,-1,-1
43515.669182,2097152,2097152,-1,-1
43515.669228,2097152,2097152,-1,-1
43515.669275,2097152,2097152,-1,-1
43515.669321,2097152,2097152,-1,-1
43515.669367,2097152,2097152,-1,-1
43515.669413,2097152,2097152,-1,-1
43515.669460,2097152,2097152,-1,-1
43515.669506,2097152,2097152,-1,-1
43515.669552,2097152,2097152,-1,-1
43515.669599,2097152,2097152,-1,-1
43515.669645,2097152,2097152,-1,-1
43515.669691,2097152,2097152,-1,-1
43515.669738,2097152,2097152,-1,-1
43515.669784,2097152,2097152,-1,-1
43515.669830,2097152,2097152,-1,-1
43515.669876,2097152,2097152,-1,-1
43515.669923,2097152,2097152,-1,-1
43515.669969,2097152,2097152,-1,-1
43515.670015,2097152,2097152,-1,-1
43515.670062,2097152,2097152,-1,-1
43515.670108,2097152,2097152,-1,-1
43515.670154,2097152,2097152,-1,-1
43515.670200,2097152,2097152,-1,-1
43515.670247,2097152,2097152,-1,-1
43515.670293,2097152,2097152,-1,-1
43515.670339,2097152,2097152,-1,-1
43515.670386,2097152,2097152,-1,-1
43515.670432,2097152,2097152,-1,-1
43515.670478,3145728,3145728,-1,-1
43515.670525,3145728,3145728,-1,-1
43515.670571,3145728,3145728,-1,-1
43515.670617,3145728,3145728,-1,-1
43515.670663,3145728,3145728,-1,-1
43515.670710,3145728,3145728,-1,-1
43515.670756,3145728,3145728,-1,-1
43515.670802,3145728,3145728,-1,-1
43515.670849,3145728,3145728,-1,-1
43515.670895,3145728,3145728,-1,-1
43515.670941,3145728,3145728,-1,-1
43515.670988,4194304,4194304,-1,-1
43515.671034,4194304,4194304,-1,-1
43515.671080,4194304,4194304,-1,-1
43515.671126,4194304,4194304,-1,-1
43515.671173,4194304,4194304,-1,-1
43515.671219,4194304,4194304,-1,-1
43515.671265,4194304,4194304,-1,-1
43515.671312,4194304,4194304,-1,-1
43515.671358,4194304,4194304,-1,-1
43515.671404,4194304,4194304,-1,-1
43515.671451,4194304,4194304,-1,-1
43515.671497,4194304,4194304,-1,-1
43515.671543,4194304,4194304,-1,-1
43515.671589,4194304,4194304,-1,-1
43515.671636,4194304,4194304,-1,-1
43515.671682,4194304,4194304,-1,-1
43515.671728,4194304,4194304,-1,-1
43515.671775,4194304,4194304,-1,-1
43515.671821,4194304,4194304,-1,-1
43515.671867,4194304,4194304,-1,-1
43515.671913,4194304,4194304,-1,-1
43515.671960,5242880,5242880,-1,-1
43515.672006,5242880,5242880,-1,-1
43515.672052,5242880,5242880,-1,-1
43515.672099,5242880,5242880,-1,-1
43515.672145,5242880,5242880,-1,-1
43515.672191,5242880,5242880,-1,-1
43515.672238,5242880,5242880,-1,-1
43515.672284,5242880,5242880,-1,-1
43515.672330,5242880,5242880,-1,-1
43515.672376,5242880,5242880,-1,-1
43515.672423,5242880,5242880,-1,-1
43515.672469,5242880,5242880,-1,-1
43515.672515,5242880,5242880,-1,-1
43515.672562,5242880,5242880,-1,-1
43515.672608,5242880,5242880,-1,-1
43515.672654,5242880,5242880,-1,-1
43515.672701,5242880,5242880,-1,-1
43515.672747,5242880,5242880,-1,-1
43515.672793,5242880,5242880,-1,-1
43515.672839,5242880,5242880,-1,-1
43515.672886,5242880,5242880,-1,-1
43515.672932,6291456,6291456,-1,-1
43515.672978,6291456,6291456,-1,-1
43515.673025,6291456,6291456,-1,-1
43515.673071,6291456,6291456,-1,-1
43515.673117,6291456,6291456,-1,-1
43515.673164,6291456,6291456,-1,-1
43515.673210,6291456,6291456,-1,-1
43515.673256,6291456,6291456,-1,-1
43515.673302,6291456,6291456,-1,-1
43515.673349,6291456,6291456,-1,-1
43515.673395,6291456,6291456,-1,-1
43515.673441,7340032,7340032,-1,-1
43515.673488,7340032,7340032,-1,-1
43515.673534,7340032,7340032,-1,-1
43515.673580,7340032,7340032,-1,-1
43515.673626,7340032,7340032,-1,-1
43515.673673,7340032,7340032,-1,-1
43515.673719,7340032,7340032,-1,-1
43515.673765,7340032,7340032,-1,-1
43515.673812,7340032,7340032,-1,-1
43515.673858,7340032,7340032,-1,-1
43515.673904,7340032,7340032,-1,-1
43515.673951,7340032,7340032,-1,-1
43515.673997,7340032,7340032,-1,-1
43515.674043,7340032,7340032,-1,-1
43515.674089,7340032,7340032,-1,-1
43515.674136,7340032,7340032,-1,-1
43515.674182,7340032,7340032,-1,-1
43515.674228,7340032,7340032,-1,-1
43515.674275,7340032,7340032,-1,-1
43515.674321,7340032,7340032,-1,-1
43515.674367,7340032,7340032,-1,-1
43515.674414,8388608,8388608,-1,-1
43515.674460,8388608,8388608,-1,-1
43515.674506,8388608,8388608,-1,-1
43515.674552,8388608,8388608,-1,-1
43515.674599,8388608,8388608,-1,-1
43515.674645,8388608,8388608,-1,-1
43515.674691,8388608,8388608,-1,-1
43515.674738,8388608,8388608,-1,-1
43515.674784,8388608,8388608,-1,-1
43515.674830,8388608,8388608,-1,-1
43515.674877,8388608,8388608,-1,-1
43515.674923,9437184,9437184,-1,-1
43515.674969,9437184,9437184,-1,-1
43515.675015,9437184,9437184,-1,-1
43515.675062,9437184,9437184,-1,-1
43515.675108,9437184,9437184,-1,-1
43515.675154,9437184,9437184,-1,-1
43515.675201,9437184,9437184,-1,-1
43515.675247,9437184,9437184,-1,-1
43515.675293,9437184,9437184,-1,-1
43515.675339,9437184,9437184,-1,-1
43515.675386,9437184,9437184,-1,-1
43515.675432,9437184,9437184,-1,-1
43515.675478,9437184,9437184,-1,-1
43515.675525,9437184,9437184,-1,-1
43515.675571,9437184,9437184,-1,-1
43515.675617,9437184,9437184,-1,-1
43515.675664,9437184,9437184,-1,-1
43515.675710,9437184,9437184,-1,-1
43515.675756,9437184,9437184,-1,-1
43515.675802,9437184,9437184,-1,-1
43515.675849,9437184,9437184,-1,-1
43515.675895,10485760,10485760,-1,-1
43515.675941,10485760,10485760,-1,-1
43515.675988,10485760,10485760,-1,-1
43515.676034,10485760,10485760,-1,-1
43515.676080,10485760,10485760,-1,-1
43515.676127,10485760,10485760,-1,-1
43515.676173,10485760,10485760,-1,-1
43515.676219,10485760,10485760,-1,-1
43515.676265,10485760,10485760,-1,-1
43515.676312,10485760,10485760,-1,-1
43515.676358,10485760,10485760,-1,-1
43515.676404,10485760,10485760,-1,-1
43515.676451,10485760,10485760,-1,-1
43515.676497,10485760,10485760,-1,-1
43515.676543,10485760,10485760,-1,-1
43515.676590,10485760,10485760,-1,-1
43515.676636,10485760,10485760,-1,-1
43515.676682,10485760,10485760,-1,-1
43515.676728,10485760,10485760,-1,-1
43515.676775,10485760,10485760,-1,-1
43515.676821,10485760,10485760,-1,-1
43515.676867,10485760,10485760,-1,-1
43515.676914,10485760,10485760,-1,-1
43515.676960,10485760,10485760,-1,-1
43515.677006,10485760,10485760,-1,-1
43515.677052,10485760,10485760,-1,-1
43515.677099,10485760,10485760,-1,-1
43515.677145,10485760,10485760,-1,-1
43515.677191,10485760,10485760,-1,-1
43515.677238,10485760,10485760,-1,-1
43515.677284,10485760,10485760,-1,-1
43515.677330,10485760,10485760,-1,-1
43515.677377,10485760,10485760,-1,-1
43515.677423,10485760,10485760,-1,-1
43515.677469,10485760,10485760,-1,-1
43515.677515,10485760,10485760,-1,-1
43515.677562,10485760,10485760,-1,-1
43515.677608,10485760,10485760,-1,-1
43515.677654,10485760,10485760,-1,-1
43515.677701,10485760,10485760,-1,-1
43515.677747,10485760,10485760,-1,-1
43515.677793,10485760,10485760,-1,-1
43515.677840,10485760,10485760,-1,-1
43515.677886,10485760,10485760,-1,-1
43515.677932,10485760,10485760,-1,-1
43515.677978,10485760,10485760,-1,-1
43515.678025,10485760,10485760,-1,-1
43515.678071,10485760,10485760,-1,-1
43515.678117,10485760,10485760,-1,-1
43515.678164,10485760,10485760,-1,-1
43515.678210,10485760,10485760,-1,-1
43515.678256,10485760,10485760,-1,-1
43515.678303,10485760,10485760,-1,-1
43515.678349,10485760,10485760,-1,-1
43515.678395,10485760,10485760,-1,-1
43515.678441,10485760,10485760,-1,-1
43515.678488,10485760,10485760,-1,-1
43515.678534,10485760,10485760,-1,-1
43515.678580,10485760,10485760,-1,-1
43515.678627,10485760,10485760,-1,-1
43515.678673,10485760,10485760,-1,-1
43515.678719,10485760,10485760,-1,-1
43515.678766,10485760,10485760,-1,-1
43515.678812,10485760,10485760,-1,-1
43515.678858,10485760,10485760,-1,-1
43515.678904,10485760,10485760,-1,-1
43515.678951,10485760,10485760,-1,-1
43515.678997,10485760,10485760,-1,-1
43515.679043,10485760,10485760,-1,-1
43515.679090,10485760,10485760,-1,-1
43515.679136,10485760,10485760,-1,-1
43515.679182,10485760,10485760,-1,-1
43515.679229,10485760,10485760,-1,-1
43515.679275,10485760,10485760,-1,-1
43515.679321,10485760,10485760,-1,-1
43515.679367,10485760,10485760,-1,-1
43515.679414,10485760,10485760,-1,-1
43515.679460,10485760,10485760,-1,-1
43515.679506,10485760,10485760,-1,-1
43515.679553,10485760,10485760,-1,-1
43515.679599,10485760,10485760,-1,-1
43515.679645,10485760,10485760,-1,-1
43515.679691,10485760,10485760,-1,-1
43515.679738,10485760,10485760,-1,-1
43515.679784,10485760,10485760,-1,-1
43515.679830,10485760,10485760,-1,-1
43515.679877,10485760,10485760,-1,-1
43515.679923,10485760,10485760,-1,-1
43515.679969,10485760,10485760,-1,-1
43515.680016,10485760,10485760,-1,-1
43515.680062,10485760,10485760,-1,-1
43515.680108,10485760,10485760,-1,-1
43515.680154,10485760,10485760,-1,-1
43515.680201,10485760,10485760,-1,-1
43515.680247,10485760,10485760,-1,-1
43515.680293,10485760,10485760,-1,-1
43515.680340,10485760,10485760,-1,-1
43515.680386,10485760,10485760,-1,-1
43515.680432,10485760,10485760,-1,-1
43515.680479,10485760,10485760,-1,-1
43515.680525,10485760,10485760,-1,-1
43515.680571,10485760,10485760,-1,-1
43515.680617,10485760,10485760,-1,-1
43515.680664,10485760,10485760,-1,-1
43515.680710,10485760,10485760,-1,-1
43515.680756,10485760,10485760,-1,-1
43515.680803,10485760,10485760,-1,-1
43515.680849,10485760,10485760,-1,-1
43515.680895,10485760,10485760,-1,-1
43515.680942,10485760,10485760,-1,-1
43515.680988,10485760,10485760,-1,-1
43515.681034,10485760,10485760,-1,-1
43515.681080,9437184,9437184,-1,-1
43515.681127,9437184,9437184,-1,-1
43515.681173,9437184,9437184,-1,-1
43515.681219,9437184,9437184,-1,-1
43515.681266,9437184,9437184,-1,-1
43515.681312,9437184,9437184,-1,-1
43515.681358,9437184,9437184,-1,-1
43515.681404,11534336,11534336,-1,-1
43515.681451,11534336,11534336,-1,-1
43515.681497,11534336,11534336,-1,-1
43515.681543,11534336,11534336,-1,-1
43515.681590,11534336,11534336,-1,-1
43515.681636,11534336,11534336,-1,-1
43515.681682,11534336,11534336,-1,-1
43515.681729,11534336,11534336,-1,-1
43515.681775,11534336,11534336,-1,-1
43515.681821,11534336,11534336,-1,-1
43515.681867,11534336,11534336,-1,-1
43515.681914,11534336,11534336,-1,-1
