Time,CPU Usage
43515.668303,7.2
43515.668349,5.9
43515.668395,1.9
43515.668441,1.5
43515.668488,2.5
43515.668534,3.4
43515.668580,2.4
43515.668627,1.3
43515.668673,25.2
43515.668719,18.8
43515.668765,10.6
43515.668812,10.2
43515.668858,18.4
43515.668904,12.9
43515.668951,11.5
43515.668997,29.7
43515.669043,13.4
43515.669089,8.8
43515.669136,5.9
43515.669182,6.3
43515.669228,6.1
43515.669275,6.6
43515.669321,8.6
43515.669367,5.9
43515.669414,5.4
43515.669460,6.8
43515.669506,5.3
43515.669552,5.1
43515.669599,5.4
43515.669645,4.9
43515.669691,4.8
43515.669738,5.2
43515.669784,5.2
43515.669830,4.8
43515.669876,4.4
43515.669923,4.4
43515.669969,4.4
43515.670015,5.5
43515.670062,4.5
43515.670108,4.8
43515.670154,4.4
43515.670201,4.8
43515.670247,4.4
43515.670293,4.5
43515.670339,4.4
43515.670386,4.4
43515.670432,4.4
43515.670478,4.6
43515.670525,4.4
43515.670571,4.3
43515.670617,4.6
43515.670664,4.6
43515.670710,4.5
43515.670756,4.3
43515.670802,4.4
43515.670849,4.4
43515.670895,6.7
43515.670941,4.5
43515.670988,4.7
43515.671034,4.5
43515.671080,4.7
43515.671126,4.5
43515.671173,4.4
43515.671219,4.4
43515.671265,4.5
43515.671312,5.5
43515.671358,4.5
43515.671404,4.9
43515.671451,4.7
43515.671497,4.8
43515.671543,4.6
43515.671589,4.4
43515.671636,4.5
43515.671682,4.4
43515.671728,4.4
43515.671775,4.7
43515.671821,4.6
43515.671867,4.4
43515.671914,4.5
43515.671960,4.8
43515.672006,4.8
43515.672052,5.2
43515.672099,5.1
43515.672145,5.6
43515.672191,4.7
43515.672238,4.5
43515.672284,4.5
43515.672330,4.8
43515.672377,4.6
43515.672423,4.6
43515.672469,4.6
43515.672515,4.6
43515.672562,4.4
43515.672608,4.5
43515.672654,4.5
43515.672701,4.6
43515.672747,4.4
43515.672793,4.4
43515.672840,4.4
43515.672886,4.4
43515.672932,4.7
43515.672978,4.4
43515.673025,4.4
43515.673071,4.4
43515.673117,4.4
43515.673164,4.5
43515.673210,4.4
43515.673256,4.8
43515.673302,4.5
43515.673349,4.4
43515.673395,4.4
43515.673441,5.2
43515.673488,4.6
43515.673534,4.4
43515.673580,5.6
43515.673627,4.4
43515.673673,4.6
43515.673719,4.4
43515.673765,4.4
43515.673812,4.4
43515.673858,4.8
43515.673904,4.3
43515.673951,4.9
43515.673997,4.5
43515.674043,4.5
43515.674090,4.4
43515.674136,4.5
43515.674182,4.3
43515.674228,4.4
43515.674275,4.4
43515.674321,4.5
43515.674367,4.6
43515.674414,4.6
43515.674460,4.4
43515.674506,4.4
43515.674553,4.4
43515.674599,4.7
43515.674645,4.4
43515.674691,4.4
43515.674738,4.5
43515.674784,4.4
43515.674830,4.4
43515.674877,4.5
43515.674923,5.6
43515.674969,4.4
43515.675015,5.4
43515.675062,4.4
43515.675108,4.4
43515.675154,4.7
43515.675201,4.4
43515.675247,4.4
43515.675293,4.5
43515.675340,4.4
43515.675386,4.8
43515.675432,4.5
43515.675478,4.4
43515.675525,4.4
43515.675571,4.4
43515.675617,4.5
43515.675664,4.4
43515.675710,4.5
43515.675756,4.4
43515.675803,4.6
43515.675849,4.4
43515.675895,5.1
43515.675941,4.4
43515.675988,4.4
43515.676034,4.3
43515.676080,4.4
43515.676127,4.6
43515.676173,4.4
43515.676219,4.4
43515.676266,4.6
43515.676312,4.5
43515.676358,5.1
43515.676404,4.4
43515.676451,4.4
43515.676497,4.4
43515.676543,5.4
43515.676590,4.4
43515.676636,4.3
43515.676682,4.3
43515.676728,4.4
43515.676775,4.3
43515.676821,4.2
43515.676867,5.6
43515.676914,4.4
43515.676960,4.6
43515.677006,4.3
43515.677053,4.5
43515.677099,4.6
43515.677145,4.4
43515.677191,4.4
43515.677238,5.1
43515.677284,4.9
