Time,Used
43515.668257,147397120
43515.668302,151591424
43515.668349,152640000
43515.668395,153688576
43515.668441,154737152
43515.668488,155785728
43515.668534,157882880
43515.668580,159980032
43515.668626,162077184
43515.668673,237574656
43515.668719,62067712
43515.668765,85136384
43515.668812,115545088
43515.668858,150148096
43515.668904,183702528
43515.668950,217256960
43515.668997,250811392
43515.669043,284365824
43515.669089,316871680
43515.669136,68392448
43515.669182,101946880
43515.669228,135501312
43515.669275,169055744
43515.669321,201561600
43515.669367,234067456
43515.669413,268670464
43515.669460,300127744
43515.669506,332633600
43515.669552,46372352
43515.669599,79926784
43515.669645,112432640
43515.669691,145987072
43515.669738,179541504
43515.669784,212047360
43515.669830,244553216
43515.669876,278107648
43515.669923,310613504
43515.669969,343119360
43515.670015,50530256
43515.670062,84084688
43515.670108,115541968
43515.670154,149096400
43515.670200,181602256
43515.670247,214108112
43515.670293,247662544
43515.670339,280168400
43515.670386,313722832
43515.670432,347277264
43515.670478,39614896
43515.670525,74217904
43515.670571,105675184
43515.670617,139229616
43515.670663,171735472
43515.670710,205289904
43515.670756,237795760
43515.670802,269253040
43515.670849,303856048
43515.670895,336361904
43515.670941,368867760
43515.670988,56974056
43515.671034,90528488
43515.671080,123034344
43515.671126,155540200
43515.671173,189094632
43515.671219,221600488
43515.671265,254106344
43515.671312,286612200
43515.671358,319118056
43515.671404,352672488
43515.671451,386226920
43515.671497,69255632
43515.671543,101761488
43515.671589,134267344
43515.671636,167821776
43515.671682,200327632
43515.671728,233882064
43515.671775,266387920
43515.671821,298893776
43515.671867,331399632
43515.671913,363905488
43515.671960,48992296
43515.672006,82546728
43515.672052,115052584
43515.672099,147558440
43515.672145,181112872
43515.672191,213618728
43515.672238,247173160
43515.672284,278630440
43515.672330,311136296
43515.672376,344690728
43515.672423,377196584
43515.672469,61052416
43515.672515,93558272
43515.672562,126064128
43515.672608,159618560
43515.672654,193172992
43515.672701,225678848
43515.672747,258184704
43515.672793,291739136
43515.672839,324244992
43515.672886,355702272
43515.672932,41025248
43515.672978,73531104
43515.673025,106036960
43515.673071,138542816
43515.673117,171048672
43515.673164,203554528
43515.673210,237108960
43515.673256,269614816
43515.673302,303169248
43515.673349,334626528
43515.673395,368180960
43515.673441,52931040
43515.673488,84388320
43515.673534,117942752
43515.673580,151497184
43515.673626,184003040
43515.673673,217557472
43515.673719,250063328
43515.673765,282569184
43515.673812,315075040
43515.673858,347580896
43515.673904,381135328
43515.673951,67343872
43515.673997,100898304
43515.674043,133404160
43515.674089,166958592
43515.674136,198415872
43515.674182,231970304
43515.674228,264476160
43515.674275,296982016
43515.674321,330536448
43515.674367,363042304
43515.674414,49456984
43515.674460,81962840
43515.674506,114468696
43515.674552,146974552
43515.674599,179480408
43515.674645,213034840
43515.674691,245540696
43515.674738,279095128
43515.674784,311600984
43515.674830,344106840
43515.674877,377661272
43515.674923,62461144
43515.674969,96015576
43515.675015,128521432
43515.675062,162075864
43515.675108,194581720
43515.675154,227087576
43515.675201,260642008
43515.675247,293147864
43515.675293,325653720
43515.675339,358159576
43515.675386,46372352
43515.675432,79926784
43515.675478,112432640
43515.675525,144938496
43515.675571,178492928
43515.675617,209950208
43515.675664,244553216
43515.675710,276010496
43515.675756,309564928
43515.675802,341022208
43515.675849,374576640
43515.675895,63993328
43515.675941,95450608
43515.675988,129005040
43515.676034,161510896
43515.676080,195065328
43515.676127,227571184
43515.676173,260077040
43515.676219,293631472
43515.676265,326137328
43515.676312,358643184
43515.676358,47388696
43515.676404,80943128
43515.676451,113448984
43515.676497,145954840
43515.676543,179509272
43515.676590,212015128
43515.676636,245569560
43515.676682,278075416
43515.676728,310581272
43515.676775,343087128
43515.676821,376641560
43515.676867,66313072
43515.676914,99867504
43515.676960,132373360
43515.677006,164879216
43515.677052,197385072
43515.677099,229890928
43515.677145,262396784
43515.677191,295951216
43515.677238,329505648
43515.677284,362011504
43515.677330,50160912
43515.677377,82666768
43515.677423,116221200
43515.677469,148727056
43515.677515,182281488
