Time,Used,Committed,Max
43515.668257,96775088,106004480,-1
43515.668302,98120296,107315200,-1
43515.668349,98706864,107839488,-1
43515.668395,99332248,108494848,-1
43515.668441,99761504,108888064,-1
43515.668488,100208008,109477888,-1
43515.668534,101059688,110198784,-1
43515.668580,101557160,110788608,-1
43515.668626,101861960,111050752,-1
43515.668673,115655568,125796352,-1
43515.668719,117341816,127827968,-1
43515.668765,117956776,128417792,-1
43515.668812,118893264,129204224,-1
43515.668858,120089544,130514944,-1
43515.668904,120750256,131104768,-1
43515.668950,120280664,131432448,-1
43515.668997,121063904,132022272,-1
43515.669043,121579056,132481024,-1
43515.669089,121942392,132677632,-1
43515.669136,122107992,132808704,-1
43515.669182,122236112,132874240,-1
43515.669228,122313280,132939776,-1
43515.669275,122510824,133070848,-1
43515.669321,122780312,133267456,-1
43515.669367,122929584,133398528,-1
43515.669413,123042248,133398528,-1
43515.669460,123253328,133595136,-1
43515.669506,123330352,133660672,-1
43515.669552,123398632,133791744,-1
43515.669599,123418136,133791744,-1
43515.669645,123572008,134184960,-1
43515.669691,123648784,134184960,-1
43515.669738,123713040,134316032,-1
43515.669784,123813888,134316032,-1
43515.669830,123854944,134447104,-1
43515.669876,123889720,134447104,-1
43515.669923,123905640,134447104,-1
43515.669969,123924712,134447104,-1
43515.670015,124001944,134512640,-1
43515.670062,124046888,134578176,-1
43515.670108,124072840,134643712,-1
43515.670154,124080008,134643712,-1
43515.670200,124116568,134643712,-1
43515.670247,124143608,134643712,-1
43515.670293,124154128,134643712,-1
43515.670339,124161392,134643712,-1
43515.670386,124322856,134774784,-1
43515.670432,124328568,134774784,-1
43515.670478,124352280,134774784,-1
43515.670525,124366688,134905856,-1
43515.670571,124373832,134905856,-1
43515.670617,124396744,134905856,-1
43515.670663,124399048,134905856,-1
43515.670710,124413576,134905856,-1
43515.670756,124455640,134905856,-1
43515.670802,124484816,134971392,-1
43515.670849,124518280,134971392,-1
43515.670895,124612768,135036928,-1
43515.670941,124624168,135036928,-1
43515.670988,124668976,135102464,-1
43515.671034,124671536,135102464,-1
43515.671080,124708320,135168000,-1
43515.671126,124802808,135233536,-1
43515.671173,124831720,135233536,-1
43515.671219,124851736,135299072,-1
43515.671265,124853016,135299072,-1
43515.671312,124920464,135364608,-1
43515.671358,124927024,135364608,-1
43515.671404,125001816,135364608,-1
43515.671451,125013208,135364608,-1
43515.671497,125036888,135430144,-1
43515.671543,125040344,135430144,-1
43515.671589,125040984,135430144,-1
43515.671636,125046104,135430144,-1
43515.671682,125046104,135430144,-1
43515.671728,125050288,135430144,-1
43515.671775,125070896,135495680,-1
43515.671821,125080368,135495680,-1
43515.671867,125123376,135495680,-1
43515.671913,125137152,135495680,-1
43515.671960,125208976,135561216,-1
43515.672006,125225744,135561216,-1
43515.672052,125265296,135626752,-1
43515.672099,125309328,135626752,-1
43515.672145,125345808,135692288,-1
43515.672191,125357968,135692288,-1
43515.672238,125367720,135757824,-1
43515.672284,125378944,135757824,-1
43515.672330,125448688,135757824,-1
43515.672376,125471744,136151040,-1
43515.672423,125486128,136151040,-1
43515.672469,125489272,136151040,-1
43515.672515,125540216,136151040,-1
43515.672562,125543528,136151040,-1
43515.672608,125625720,136282112,-1
43515.672654,125660128,136282112,-1
43515.672701,125705976,136282112,-1
43515.672747,125706872,136282112,-1
43515.672793,125716992,136282112,-1
43515.672839,125718400,136282112,-1
43515.672886,125719960,136347648,-1
43515.672932,125723672,136347648,-1
43515.672978,125723672,136347648,-1
43515.673025,125723672,136347648,-1
43515.673071,125725208,136347648,-1
43515.673117,125726744,136347648,-1
43515.673164,125730904,136347648,-1
43515.673210,125734072,136347648,-1
43515.673256,125756600,136347648,-1
43515.673302,125756600,136347648,-1
43515.673349,125758904,136347648,-1
43515.673395,125771536,136347648,-1
43515.673441,125793168,136413184,-1
43515.673488,125799952,136413184,-1
43515.673534,125800848,136413184,-1
43515.673580,125848336,136413184,-1
43515.673626,125848336,136413184,-1
43515.673673,125856144,136478720,-1
43515.673719,125857400,136478720,-1
43515.673765,125857400,136478720,-1
43515.673812,125860344,136478720,-1
43515.673858,125898712,136478720,-1
43515.673904,125898712,136478720,-1
43515.673951,125912664,136478720,-1
43515.673997,125940584,136544256,-1
43515.674043,125940584,136544256,-1
43515.674089,125957712,136544256,-1
43515.674136,125989624,136544256,-1
43515.674182,125997680,136544256,-1
43515.674228,125997680,136544256,-1
43515.674275,125997680,136544256,-1
43515.674321,126007024,136544256,-1
43515.674367,126026224,136544256,-1
43515.674414,126028376,136544256,-1
43515.674460,126033152,136544256,-1
43515.674506,126037176,136544256,-1
43515.674552,126042096,136544256,-1
43515.674599,126058224,136609792,-1
43515.674645,126058224,136609792,-1
43515.674691,126060784,136609792,-1
43515.674738,126061808,136609792,-1
43515.674784,126061808,136609792,-1
43515.674830,126061808,136609792,-1
43515.674877,126067952,136609792,-1
43515.674923,126091504,136675328,-1
43515.674969,126094320,136675328,-1
43515.675015,126139944,136740864,-1
43515.675062,126139944,136740864,-1
43515.675108,126139944,136740864,-1
43515.675154,126158120,136740864,-1
43515.675201,126158120,136740864,-1
43515.675247,126170920,136740864,-1
43515.675293,126173096,136740864,-1
43515.675339,126177064,136740864,-1
43515.675386,126179496,136740864,-1
43515.675432,126180264,136740864,-1
43515.675478,126180264,136740864,-1
43515.675525,126187816,136740864,-1
43515.675571,126187816,136740864,-1
43515.675617,126248208,136806400,-1
43515.675664,126249488,136806400,-1
43515.675710,126263992,136806400,-1
43515.675756,126266296,136806400,-1
43515.675802,126279728,136871936,-1
43515.675849,126303664,136871936,-1
43515.675895,126343384,136871936,-1
43515.675941,126344920,136871936,-1
43515.675988,126348376,136871936,-1
43515.676034,126350168,136871936,-1
43515.676080,126351064,136871936,-1
43515.676127,126363224,136871936,-1
43515.676173,126363224,136871936,-1
43515.676219,126378584,136937472,-1
43515.676265,126386264,136937472,-1
43515.676312,126389848,136937472,-1
43515.676358,126427736,136937472,-1
43515.676404,126429144,136937472,-1
43515.676451,126429144,136937472,-1
43515.676497,126429144,136937472,-1
43515.676543,126466392,137003008,-1
43515.676590,126466392,137003008,-1
43515.676636,126468312,137003008,-1
43515.676682,126468312,137003008,-1
43515.676728,126472152,137003008,-1
43515.676775,126472152,137003008,-1
43515.676821,126472152,137003008,-1
43515.676867,126495832,137003008,-1
43515.676914,126495832,137003008,-1
43515.676960,126514136,137068544,-1
43515.677006,126514136,137068544,-1
43515.677052,126517208,137068544,-1
43515.677099,126523352,137068544,-1
43515.677145,126523352,137068544,-1
43515.677191,126524632,137068544,-1
43515.677238,126561368,137068544,-1
43515.677284,126631000,137199616,-1
43515.677330,126631000,137199616,-1
43515.677377,126631000,137199616,-1
43515.677423,126631000,137199616,-1
43515.677469,126631000,137199616,-1
43515.677515,126631000,137199616,-1
