Time,Used,Committed,Max,Threshold
43514.599854,118489088,216006656,-1,-1
43514.599897,123731968,216006656,-1,-1
43514.599944,124780544,216006656,-1,-1
43514.599990,125829120,216006656,-1,-1
43514.600036,125829120,216006656,-1,-1
43514.600083,126877696,216006656,-1,-1
43514.600129,127926272,216006656,-1,-1
43514.600175,128974848,216006656,-1,-1
43514.600221,130023424,216006656,-1,-1
43514.600268,193986560,216006656,-1,-1
43514.600314,24117248,270532608,-1,-1
43514.600360,46137344,270532608,-1,-1
43514.600407,69206016,270532608,-1,-1
43514.600453,99614720,270532608,-1,-1
43514.600499,134217728,270532608,-1,-1
43514.600546,168820736,270532608,-1,-1
43514.600592,202375168,270532608,-1,-1
43514.600638,235929600,270532608,-1,-1
43514.600684,18874368,289406976,-1,-1
43514.600731,54525952,289406976,-1,-1
43514.600777,88080384,289406976,-1,-1
43514.600823,120586240,289406976,-1,-1
43514.600870,154140672,289406976,-1,-1
43514.600916,187695104,289406976,-1,-1
43514.600962,221249536,289406976,-1,-1
43514.601009,254803968,289406976,-1,-1
43514.601055,17825792,289406976,-1,-1
43514.601101,51380224,289406976,-1,-1
43514.601147,84934656,289406976,-1,-1
43514.601194,117440512,289406976,-1,-1
43514.601240,150994944,289406976,-1,-1
43514.601286,183500800,289406976,-1,-1
43514.601333,217055232,289406976,-1,-1
43514.601379,250609664,289406976,-1,-1
43514.601425,12582912,289406976,-1,-1
43514.601471,46137344,289406976,-1,-1
43514.601518,79691776,289406976,-1,-1
43514.601564,113246208,289406976,-1,-1
43514.601610,145752064,289406976,-1,-1
43514.601657,179306496,289406976,-1,-1
43514.601703,211812352,289406976,-1,-1
43514.601749,245366784,289406976,-1,-1
43514.601796,7340032,288358400,-1,-1
43514.601842,41943040,288358400,-1,-1
43514.601888,74448896,288358400,-1,-1
43514.601934,108003328,288358400,-1,-1
43514.601981,140509184,288358400,-1,-1
43514.602027,174063616,288358400,-1,-1
43514.602073,207618048,288358400,-1,-1
43514.602120,240123904,288358400,-1,-1
43514.602166,272629760,288358400,-1,-1
43514.602212,35651584,288358400,-1,-1
43514.602259,69206016,288358400,-1,-1
43514.602305,102760448,288358400,-1,-1
43514.602351,135266304,288358400,-1,-1
43514.602397,168820736,288358400,-1,-1
43514.602444,201326592,288358400,-1,-1
43514.602490,234881024,288358400,-1,-1
43514.602536,268435456,288358400,-1,-1
43514.602583,30408704,287309824,-1,-1
43514.602629,63963136,287309824,-1,-1
43514.602675,96468992,287309824,-1,-1
43514.602722,130023424,287309824,-1,-1
43514.602768,163577856,287309824,-1,-1
43514.602814,196083712,287309824,-1,-1
43514.602860,228589568,287309824,-1,-1
43514.602907,262144000,287309824,-1,-1
43514.602953,25165824,287309824,-1,-1
43514.602999,57671680,287309824,-1,-1
43514.603046,91226112,287309824,-1,-1
43514.603092,123731968,287309824,-1,-1
43514.603138,157286400,287309824,-1,-1
43514.603185,190840832,287309824,-1,-1
43514.603231,223346688,287309824,-1,-1
43514.603277,256901120,287309824,-1,-1
43514.603323,20971520,286261248,-1,-1
43514.603370,53477376,286261248,-1,-1
43514.603416,85983232,286261248,-1,-1
43514.603462,119537664,286261248,-1,-1
43514.603509,153092096,286261248,-1,-1
43514.603555,185597952,286261248,-1,-1
43514.603601,219152384,286261248,-1,-1
43514.603647,252706816,286261248,-1,-1
43514.603694,16777216,286261248,-1,-1
43514.603740,49283072,286261248,-1,-1
43514.603786,82837504,286261248,-1,-1
43514.603833,115343360,286261248,-1,-1
43514.603879,148897792,286261248,-1,-1
43514.603925,181403648,286261248,-1,-1
43514.603972,214958080,286261248,-1,-1
43514.604018,246415360,286261248,-1,-1
43514.604064,10485760,285212672,-1,-1
43514.604110,44040192,285212672,-1,-1
43514.604157,76546048,285212672,-1,-1
43514.604203,111149056,285212672,-1,-1
43514.604249,143654912,285212672,-1,-1
43514.604296,176160768,285212672,-1,-1
43514.604342,209715200,285212672,-1,-1
43514.604388,242221056,285212672,-1,-1
43514.604435,6291456,285212672,-1,-1
43514.604481,39845888,285212672,-1,-1
43514.604527,73400320,285212672,-1,-1
43514.604573,105906176,285212672,-1,-1
43514.604620,139460608,285212672,-1,-1
43514.604666,171966464,285212672,-1,-1
43514.604712,205520896,285212672,-1,-1
43514.604759,238026752,285212672,-1,-1
43514.604805,4194304,284164096,-1,-1
43514.604851,37748736,284164096,-1,-1
43514.604897,71303168,284164096,-1,-1
43514.604944,103809024,284164096,-1,-1
43514.604990,137363456,284164096,-1,-1
43514.605036,169869312,284164096,-1,-1
43514.605083,204472320,284164096,-1,-1
43514.605129,236978176,284164096,-1,-1
43514.605175,3145728,284164096,-1,-1
43514.605222,35651584,284164096,-1,-1
43514.605268,69206016,284164096,-1,-1
43514.605314,102760448,284164096,-1,-1
43514.605360,134217728,284164096,-1,-1
43514.605407,167772160,284164096,-1,-1
43514.605453,201326592,284164096,-1,-1
43514.605499,232783872,284164096,-1,-1
43514.605546,266338304,284164096,-1,-1
43514.605592,32505856,284164096,-1,-1
43514.605638,65011712,284164096,-1,-1
43514.605685,98566144,284164096,-1,-1
43514.605731,131072000,284164096,-1,-1
43514.605777,164626432,284164096,-1,-1
43514.605823,197132288,284164096,-1,-1
43514.605870,230686720,284164096,-1,-1
43514.605916,263192576,284164096,-1,-1
43514.605962,30408704,283115520,-1,-1
43514.606009,61865984,283115520,-1,-1
43514.606055,95420416,283115520,-1,-1
43514.606101,127926272,283115520,-1,-1
43514.606148,161480704,283115520,-1,-1
43514.606194,193986560,283115520,-1,-1
43514.606240,227540992,283115520,-1,-1
43514.606286,260046848,283115520,-1,-1
43514.606333,26214400,283115520,-1,-1
43514.606379,58720256,283115520,-1,-1
43514.606425,92274688,283115520,-1,-1
43514.606472,124780544,283115520,-1,-1
43514.606518,158334976,283115520,-1,-1
43514.606564,190840832,283115520,-1,-1
43514.606610,224395264,283115520,-1,-1
43514.606657,256901120,283115520,-1,-1
43514.606703,24117248,283115520,-1,-1
43514.606749,56623104,283115520,-1,-1
43514.606796,90177536,283115520,-1,-1
43514.606842,122683392,283115520,-1,-1
43514.606888,156237824,283115520,-1,-1
43514.606935,188743680,283115520,-1,-1
43514.606981,221249536,283115520,-1,-1
43514.607027,253755392,283115520,-1,-1
43514.607073,20971520,283115520,-1,-1
43514.607120,53477376,283115520,-1,-1
43514.607166,87031808,283115520,-1,-1
43514.607212,119537664,283115520,-1,-1
43514.607259,153092096,283115520,-1,-1
43514.607305,186646528,283115520,-1,-1
43514.607351,219152384,283115520,-1,-1
43514.607398,252706816,283115520,-1,-1
43514.607444,18874368,283115520,-1,-1
43514.607490,52428800,283115520,-1,-1
43514.607536,84934656,283115520,-1,-1
43514.607583,117440512,283115520,-1,-1
43514.607629,150994944,283115520,-1,-1
43514.607675,183500800,283115520,-1,-1
43514.607722,217055232,283115520,-1,-1
43514.607768,250609664,283115520,-1,-1
43514.607814,15728640,283115520,-1,-1
43514.607861,49283072,283115520,-1,-1
43514.607907,81788928,283115520,-1,-1
43514.607953,115343360,283115520,-1,-1
43514.607999,147849216,283115520,-1,-1
43514.608046,180355072,283115520,-1,-1
43514.608092,213909504,283115520,-1,-1
43514.608138,247463936,283115520,-1,-1
43514.608185,13631488,283115520,-1,-1
43514.608231,46137344,283115520,-1,-1
43514.608277,79691776,283115520,-1,-1
43514.608324,112197632,283115520,-1,-1
43514.608370,145752064,283115520,-1,-1
43514.608416,178257920,283115520,-1,-1
43514.608462,211812352,283115520,-1,-1
43514.608509,244318208,283115520,-1,-1
43514.608555,11534336,283115520,-1,-1
43514.608601,44040192,283115520,-1,-1
43514.608648,77594624,283115520,-1,-1
43514.608694,109051904,283115520,-1,-1
43514.608740,142606336,283115520,-1,-1
43514.608787,175112192,283115520,-1,-1
43514.608833,208666624,283115520,-1,-1
43514.608879,241172480,283115520,-1,-1
43514.608925,9437184,283115520,-1,-1
43514.608972,41943040,283115520,-1,-1
43514.609018,74448896,283115520,-1,-1
43514.609064,108003328,283115520,-1,-1
43514.609111,140509184,283115520,-1,-1
43514.609157,174063616,283115520,-1,-1
43514.609203,206569472,283115520,-1,-1
43514.609249,240123904,283115520,-1,-1
43514.609296,6291456,283115520,-1,-1
43514.609342,39845888,283115520,-1,-1
43514.609388,73400320,283115520,-1,-1
43514.609435,104857600,283115520,-1,-1
43514.609481,138412032,283115520,-1,-1
43514.609527,171966464,283115520,-1,-1
43514.609574,204472320,283115520,-1,-1
43514.609620,238026752,283115520,-1,-1
43514.609666,4194304,283115520,-1,-1
43514.609712,36700160,283115520,-1,-1
43514.609759,70254592,283115520,-1,-1
43514.609805,103809024,283115520,-1,-1
43514.609851,136314880,283115520,-1,-1
43514.609898,168820736,283115520,-1,-1
43514.609944,201326592,283115520,-1,-1
43514.609990,235929600,283115520,-1,-1
43514.610037,267386880,283115520,-1,-1
43514.610083,34603008,283115520,-1,-1
43514.610129,68157440,283115520,-1,-1
43514.610175,100663296,283115520,-1,-1
43514.610222,133169152,283115520,-1,-1
43514.610268,166723584,283115520,-1,-1
43514.610314,199229440,283115520,-1,-1
43514.610361,232783872,283115520,-1,-1
43514.610407,265289728,283115520,-1,-1
43514.610453,32505856,283115520,-1,-1
43514.610500,65011712,283115520,-1,-1
43514.610546,97517568,283115520,-1,-1
43514.610592,131072000,283115520,-1,-1
43514.610638,164626432,283115520,-1,-1
43514.610685,197132288,283115520,-1,-1
43514.610731,229638144,283115520,-1,-1
43514.610777,262144000,283115520,-1,-1
43514.610824,28311552,283115520,-1,-1
43514.610870,62914560,283115520,-1,-1
43514.610916,95420416,283115520,-1,-1
43514.610962,127926272,283115520,-1,-1
43514.611009,160432128,283115520,-1,-1
43514.611055,193986560,283115520,-1,-1
43514.611101,227540992,283115520,-1,-1
43514.611148,258998272,283115520,-1,-1
43514.611194,27262976,283115520,-1,-1
43514.611240,59768832,283115520,-1,-1
43514.611287,93323264,283115520,-1,-1
43514.611333,126877696,283115520,-1,-1
43514.611379,159383552,283115520,-1,-1
43514.611425,191889408,283115520,-1,-1
43514.611472,225443840,283115520,-1,-1
43514.611518,258998272,283115520,-1,-1
43514.611564,25165824,283115520,-1,-1
43514.611611,57671680,283115520,-1,-1
43514.611657,91226112,283115520,-1,-1
43514.611703,123731968,283115520,-1,-1
43514.611750,157286400,283115520,-1,-1
43514.611796,189792256,283115520,-1,-1
43514.611842,222298112,283115520,-1,-1
43514.611888,255852544,283115520,-1,-1
43514.611935,22020096,283115520,-1,-1
43514.611981,54525952,283115520,-1,-1
43514.612027,89128960,283115520,-1,-1
43514.612074,120586240,283115520,-1,-1
43514.612120,155189248,283115520,-1,-1
43514.612166,186646528,283115520,-1,-1
43514.612212,220200960,283115520,-1,-1
43514.612259,253755392,283115520,-1,-1
43514.612305,18874368,283115520,-1,-1
43514.612351,52428800,283115520,-1,-1
43514.612398,85983232,283115520,-1,-1
43514.612444,119537664,283115520,-1,-1
43514.612490,150994944,283115520,-1,-1
43514.612537,185597952,283115520,-1,-1
43514.612583,218103808,283115520,-1,-1
43514.612629,251658240,283115520,-1,-1
43514.612675,15728640,283115520,-1,-1
43514.612722,25165824,284164096,-1,-1
43514.612768,121634816,284164096,-1,-1
43514.612814,142606336,284164096,-1,-1
43514.612861,164626432,284164096,-1,-1
43514.612907,186646528,284164096,-1,-1
43514.612953,208666624,284164096,-1,-1
43514.613000,229638144,284164096,-1,-1
43514.613046,251658240,284164096,-1,-1
43514.613092,5242880,282066944,-1,-1
43514.613138,27262976,282066944,-1,-1
43514.613185,48234496,282066944,-1,-1
43514.613231,70254592,282066944,-1,-1
43514.613277,92274688,282066944,-1,-1
43514.613324,113246208,282066944,-1,-1
