Time,Used,Committed,Max,Threshold
43514.599854,11660192,142606336,4294967296,0
43514.599897,11660192,142606336,4294967296,0
43514.599944,11660192,142606336,4294967296,0
43514.599990,11660192,142606336,4294967296,0
43514.600036,11660192,142606336,4294967296,0
43514.600083,11660192,142606336,4294967296,0
43514.600129,11660192,142606336,4294967296,0
43514.600175,11660192,142606336,4294967296,0
43514.600221,11660192,142606336,4294967296,0
43514.600268,11660192,142606336,4294967296,0
43514.600314,21443072,169869312,4294967296,0
43514.600360,21443072,169869312,4294967296,0
43514.600407,21443072,169869312,4294967296,0
43514.600453,21443072,169869312,4294967296,0
43514.600499,21443072,169869312,4294967296,0
43514.600546,21443072,169869312,4294967296,0
43514.600592,21443072,169869312,4294967296,0
43514.600638,21443072,169869312,4294967296,0
43514.600684,29826048,169869312,4294967296,0
43514.600731,29826048,169869312,4294967296,0
43514.600777,29826048,169869312,4294967296,0
43514.600823,29826048,169869312,4294967296,0
43514.600870,29826048,169869312,4294967296,0
43514.600916,29826048,169869312,4294967296,0
43514.600962,29826048,169869312,4294967296,0
43514.601009,29826048,169869312,4294967296,0
43514.601055,29590784,169869312,4294967296,0
43514.601101,29590784,169869312,4294967296,0
43514.601147,29590784,169869312,4294967296,0
43514.601194,29590784,169869312,4294967296,0
43514.601240,29590784,169869312,4294967296,0
43514.601286,29590784,169869312,4294967296,0
43514.601333,29590784,169869312,4294967296,0
43514.601379,29590784,169869312,4294967296,0
43514.601425,29686272,169869312,4294967296,0
43514.601471,29686272,169869312,4294967296,0
43514.601518,29686272,169869312,4294967296,0
43514.601564,29686272,169869312,4294967296,0
43514.601610,29686272,169869312,4294967296,0
43514.601657,29686272,169869312,4294967296,0
43514.601703,29686272,169869312,4294967296,0
43514.601749,29686272,169869312,4294967296,0
43514.601796,29142304,169869312,4294967296,0
43514.601842,29142304,169869312,4294967296,0
43514.601888,29142304,169869312,4294967296,0
43514.601934,29142304,169869312,4294967296,0
43514.601981,29142304,169869312,4294967296,0
43514.602027,29142304,169869312,4294967296,0
43514.602073,29142304,169869312,4294967296,0
43514.602120,29142304,169869312,4294967296,0
43514.602166,29142304,169869312,4294967296,0
43514.602212,29606208,169869312,4294967296,0
43514.602259,29606208,169869312,4294967296,0
43514.602305,29606208,169869312,4294967296,0
43514.602351,29606208,169869312,4294967296,0
43514.602397,29606208,169869312,4294967296,0
43514.602444,29606208,169869312,4294967296,0
43514.602490,29606208,169869312,4294967296,0
43514.602536,29606208,169869312,4294967296,0
43514.602583,29027104,169869312,4294967296,0
43514.602629,29027104,169869312,4294967296,0
43514.602675,29027104,169869312,4294967296,0
43514.602722,29027104,169869312,4294967296,0
43514.602768,29027104,169869312,4294967296,0
43514.602814,29027104,169869312,4294967296,0
43514.602860,29027104,169869312,4294967296,0
43514.602907,29027104,169869312,4294967296,0
43514.602953,29523672,169869312,4294967296,0
43514.602999,29523672,169869312,4294967296,0
43514.603046,29523672,169869312,4294967296,0
43514.603092,29523672,169869312,4294967296,0
43514.603138,29523672,169869312,4294967296,0
43514.603185,29523672,169869312,4294967296,0
43514.603231,29523672,169869312,4294967296,0
43514.603277,29523672,169869312,4294967296,0
43514.603323,28950792,169869312,4294967296,0
43514.603370,28950792,169869312,4294967296,0
43514.603416,28950792,169869312,4294967296,0
43514.603462,28950792,169869312,4294967296,0
43514.603509,28950792,169869312,4294967296,0
