Time,Used,Committed,Max,Threshold
43514.599854,25165824,25165824,-1,-1
43514.599897,25165824,25165824,-1,-1
43514.599944,25165824,25165824,-1,-1
43514.599990,25165824,25165824,-1,-1
43514.600036,25165824,25165824,-1,-1
43514.600083,25165824,25165824,-1,-1
43514.600129,25165824,25165824,-1,-1
43514.600175,25165824,25165824,-1,-1
43514.600221,25165824,25165824,-1,-1
43514.600268,25165824,25165824,-1,-1
43514.600314,20971520,20971520,-1,-1
43514.600360,20971520,20971520,-1,-1
43514.600407,20971520,20971520,-1,-1
43514.600453,20971520,20971520,-1,-1
43514.600499,20971520,20971520,-1,-1
43514.600546,20971520,20971520,-1,-1
43514.600592,20971520,20971520,-1,-1
43514.600638,20971520,20971520,-1,-1
43514.600684,2097152,2097152,-1,-1
43514.600731,2097152,2097152,-1,-1
43514.600777,2097152,2097152,-1,-1
43514.600823,2097152,2097152,-1,-1
43514.600870,2097152,2097152,-1,-1
43514.600916,2097152,2097152,-1,-1
43514.600962,2097152,2097152,-1,-1
43514.601009,2097152,2097152,-1,-1
43514.601055,2097152,2097152,-1,-1
43514.601101,2097152,2097152,-1,-1
43514.601147,2097152,2097152,-1,-1
43514.601194,2097152,2097152,-1,-1
43514.601240,2097152,2097152,-1,-1
43514.601286,2097152,2097152,-1,-1
43514.601333,2097152,2097152,-1,-1
43514.601379,2097152,2097152,-1,-1
43514.601425,2097152,2097152,-1,-1
43514.601471,2097152,2097152,-1,-1
43514.601518,2097152,2097152,-1,-1
43514.601564,2097152,2097152,-1,-1
43514.601610,2097152,2097152,-1,-1
43514.601657,2097152,2097152,-1,-1
43514.601703,2097152,2097152,-1,-1
43514.601749,2097152,2097152,-1,-1
43514.601796,3145728,3145728,-1,-1
43514.601842,3145728,3145728,-1,-1
43514.601888,3145728,3145728,-1,-1
43514.601934,3145728,3145728,-1,-1
43514.601981,3145728,3145728,-1,-1
43514.602027,3145728,3145728,-1,-1
43514.602073,3145728,3145728,-1,-1
43514.602120,3145728,3145728,-1,-1
43514.602166,3145728,3145728,-1,-1
43514.602212,3145728,3145728,-1,-1
43514.602259,3145728,3145728,-1,-1
43514.602305,3145728,3145728,-1,-1
43514.602351,3145728,3145728,-1,-1
43514.602397,3145728,3145728,-1,-1
43514.602444,3145728,3145728,-1,-1
43514.602490,3145728,3145728,-1,-1
43514.602536,3145728,3145728,-1,-1
43514.602583,4194304,4194304,-1,-1
43514.602629,4194304,4194304,-1,-1
43514.602675,4194304,4194304,-1,-1
43514.602722,4194304,4194304,-1,-1
43514.602768,4194304,4194304,-1,-1
43514.602814,4194304,4194304,-1,-1
43514.602860,4194304,4194304,-1,-1
43514.602907,4194304,4194304,-1,-1
43514.602953,4194304,4194304,-1,-1
43514.602999,4194304,4194304,-1,-1
43514.603046,4194304,4194304,-1,-1
43514.603092,4194304,4194304,-1,-1
43514.603138,4194304,4194304,-1,-1
43514.603185,4194304,4194304,-1,-1
43514.603231,4194304,4194304,-1,-1
43514.603277,4194304,4194304,-1,-1
43514.603323,5242880,5242880,-1,-1
43514.603370,5242880,5242880,-1,-1
43514.603416,5242880,5242880,-1,-1
43514.603462,5242880,5242880,-1,-1
43514.603509,5242880,5242880,-1,-1
43514.603555,5242880,5242880,-1,-1
43514.603601,5242880,5242880,-1,-1
43514.603647,5242880,5242880,-1,-1
43514.603694,5242880,5242880,-1,-1
43514.603740,5242880,5242880,-1,-1
43514.603786,5242880,5242880,-1,-1
43514.603833,5242880,5242880,-1,-1
