Time,Used,Committed,Max
43514.599854,98713184,107798528,-1
43514.599897,100415856,109240320,-1
43514.599944,100993920,109895680,-1
43514.599990,101577392,110616576,-1
43514.600036,101817744,110813184,-1
43514.600083,101891176,110878720,-1
43514.600129,102146288,111075328,-1
43514.600175,102597952,111403008,-1
43514.600221,102697648,111534080,-1
43514.600268,116370664,126279680,-1
43514.600314,119802720,129949696,-1
43514.600360,120348272,130539520,-1
43514.600407,120795376,130932736,-1
43514.600453,121593424,131850240,-1
43514.600499,122744544,132833280,-1
43514.600546,123361904,133685248,-1
43514.600592,123727992,133947392,-1
43514.600638,124514744,134733824,-1
43514.600684,125077952,135258112,-1
43514.600731,125231656,135454720,-1
43514.600777,125380064,135585792,-1
43514.600823,125505976,135651328,-1
43514.600870,125592456,135716864,-1
43514.600916,122738720,135847936,-1
43514.600962,122784968,135847936,-1
43514.601009,122909824,135847936,-1
43514.601055,123003832,135847936,-1
43514.601101,123179768,135847936,-1
43514.601147,123275144,135847936,-1
43514.601194,123329288,135847936,-1
43514.601240,123377288,135847936,-1
43514.601286,123440392,135847936,-1
43514.601333,123504928,135847936,-1
43514.601379,123622688,135913472,-1
43514.601425,123798912,135913472,-1
43514.601471,123829040,135979008,-1
43514.601518,123864624,135979008,-1
43514.601564,123872816,135979008,-1
43514.601610,123893920,135979008,-1
43514.601657,123916720,135979008,-1
43514.601703,123930760,135979008,-1
43514.601749,123988704,135979008,-1
43514.601796,124145064,135979008,-1
43514.601842,124146344,135979008,-1
43514.601888,124173128,135979008,-1
43514.601934,124175432,135979008,-1
43514.601981,124180272,135979008,-1
43514.602027,124192800,136044544,-1
43514.602073,124205264,136044544,-1
43514.602120,124237352,136044544,-1
43514.602166,124264640,136306688,-1
43514.602212,124286488,136306688,-1
43514.602259,124304488,136306688,-1
43514.602305,124394384,136372224,-1
43514.602351,124421824,136372224,-1
43514.602397,124439288,136372224,-1
43514.602444,124467512,136372224,-1
43514.602490,124498384,136437760,-1
43514.602536,124612784,136437760,-1
43514.602583,124624560,136437760,-1
43514.602629,124661136,136437760,-1
43514.602675,124722696,136503296,-1
43514.602722,124746120,136503296,-1
43514.602768,124795176,136503296,-1
43514.602814,124835576,136568832,-1
43514.602860,124835576,136568832,-1
43514.602907,124841336,136568832,-1
43514.602953,124846376,136568832,-1
43514.602999,124848168,136568832,-1
43514.603046,124848936,136568832,-1
43514.603092,124852392,136568832,-1
43514.603138,124855080,136568832,-1
43514.603185,124857448,136568832,-1
43514.603231,124868040,136568832,-1
43514.603277,124917960,136568832,-1
43514.603323,124992144,136568832,-1
43514.603370,125014928,136568832,-1
43514.603416,125040912,136568832,-1
43514.603462,125084560,136634368,-1
43514.603509,125098128,136634368,-1
43514.603555,125116048,136634368,-1
43514.603601,125120784,136634368,-1
43514.603647,125137848,136634368,-1
43514.603694,125213192,136699904,-1
43514.603740,125231728,136699904,-1
43514.603786,125259312,136699904,-1
43514.603833,125263960,136699904,-1
43514.603879,125278912,136699904,-1
43514.603925,125303216,136699904,-1
43514.603972,125331048,136699904,-1
43514.604018,125393424,136765440,-1
43514.604064,125436072,136765440,-1
43514.604110,125438600,136765440,-1
43514.604157,125440904,136765440,-1
43514.604203,125452680,136765440,-1
43514.604249,125453448,136765440,-1
43514.604296,125458080,136765440,-1
43514.604342,125463456,136765440,-1
43514.604388,125469600,136765440,-1
43514.604435,125519776,136830976,-1
43514.604481,125555112,136830976,-1
43514.604527,125559304,136830976,-1
43514.604573,125564744,136830976,-1
43514.604620,125568328,136830976,-1
43514.604666,125580488,136830976,-1
43514.604712,125604808,136896512,-1
43514.604759,125619744,136896512,-1
43514.604805,125638568,136896512,-1
43514.604851,125900992,137224192,-1
