Time,Used,Committed,Max,Threshold
43514.619829,10342960,142606336,4294967296,0
43514.619874,10342960,142606336,4294967296,0
43514.619920,10342960,142606336,4294967296,0
43514.619967,10342960,142606336,4294967296,0
43514.620013,10342960,142606336,4294967296,0
43514.620059,10342960,142606336,4294967296,0
43514.620105,10342960,142606336,4294967296,0
43514.620152,10342960,142606336,4294967296,0
43514.620198,10342960,142606336,4294967296,0
43514.620244,10342960,142606336,4294967296,0
43514.620291,10342960,142606336,4294967296,0
43514.620337,10342960,142606336,4294967296,0
43514.620383,10342960,142606336,4294967296,0
43514.620430,19550720,169869312,4294967296,0
43514.620476,19550720,169869312,4294967296,0
43514.620522,19550720,169869312,4294967296,0
43514.620568,19550720,169869312,4294967296,0
43514.620615,19550720,169869312,4294967296,0
43514.620661,19550720,169869312,4294967296,0
43514.620707,19550720,169869312,4294967296,0
43514.620754,28129792,169869312,4294967296,0
43514.620800,28129792,169869312,4294967296,0
43514.620846,28129792,169869312,4294967296,0
43514.620893,28129792,169869312,4294967296,0
43514.620939,28129792,169869312,4294967296,0
43514.620985,28129792,169869312,4294967296,0
43514.621031,28129792,169869312,4294967296,0
43514.621078,28129792,169869312,4294967296,0
43514.621124,28127328,169869312,4294967296,0
43514.621170,28127328,169869312,4294967296,0
43514.621217,28127328,169869312,4294967296,0
43514.621263,28127328,169869312,4294967296,0
43514.621309,28127328,169869312,4294967296,0
43514.621355,28127328,169869312,4294967296,0
43514.621402,28127328,169869312,4294967296,0
43514.621448,28127328,169869312,4294967296,0
43514.621494,27646760,169869312,4294967296,0
43514.621541,27646760,169869312,4294967296,0
43514.621587,27646760,169869312,4294967296,0
43514.621633,27646760,169869312,4294967296,0
43514.621680,27646760,169869312,4294967296,0
43514.621726,27646760,169869312,4294967296,0
43514.621772,27646760,169869312,4294967296,0
43514.621818,27646760,169869312,4294967296,0
43514.621865,27599680,169869312,4294967296,0
43514.621911,27599680,169869312,4294967296,0
43514.621957,27599680,169869312,4294967296,0
43514.622004,27599680,169869312,4294967296,0
43514.622050,27599680,169869312,4294967296,0
43514.622096,27599680,169869312,4294967296,0
43514.622143,27599680,169869312,4294967296,0
43514.622189,27599680,169869312,4294967296,0
43514.622235,27599680,169869312,4294967296,0
43514.622281,27564288,169869312,4294967296,0
43514.622328,27564288,169869312,4294967296,0
43514.622374,27564288,169869312,4294967296,0
43514.622420,27564288,169869312,4294967296,0
43514.622467,27564288,169869312,4294967296,0
43514.622513,27564288,169869312,4294967296,0
43514.622559,27564288,169869312,4294967296,0
43514.622606,27564288,169869312,4294967296,0
43514.622652,27583520,169869312,4294967296,0
43514.622698,27583520,169869312,4294967296,0
43514.622744,27583520,169869312,4294967296,0
43514.622791,27583520,169869312,4294967296,0
43514.622837,27583520,169869312,4294967296,0
43514.622883,27583520,169869312,4294967296,0
43514.622930,27583520,169869312,4294967296,0
43514.622976,27583520,169869312,4294967296,0
43514.623022,27618744,169869312,4294967296,0
43514.623068,27618744,169869312,4294967296,0
43514.623115,27618744,169869312,4294967296,0
43514.623161,27618744,169869312,4294967296,0
43514.623207,27618744,169869312,4294967296,0
43514.623254,27618744,169869312,4294967296,0
43514.623300,27618744,169869312,4294967296,0
43514.623346,27618744,169869312,4294967296,0
43514.623393,27636352,169869312,4294967296,0
43514.623439,27636352,169869312,4294967296,0
43514.623485,27636352,169869312,4294967296,0
43514.623531,27636352,169869312,4294967296,0
43514.623578,27636352,169869312,4294967296,0
43514.623624,27636352,169869312,4294967296,0
43514.623670,27636352,169869312,4294967296,0
43514.623717,27636352,169869312,4294967296,0
43514.623763,27610512,169869312,4294967296,0
43514.623809,27610512,169869312,4294967296,0
43514.623856,27610512,169869312,4294967296,0
43514.623902,27610512,169869312,4294967296,0
43514.623948,27610512,169869312,4294967296,0
43514.623994,27610512,169869312,4294967296,0
43514.624041,27610512,169869312,4294967296,0
43514.624087,27610512,169869312,4294967296,0
43514.624133,27652784,169869312,4294967296,0
43514.624180,27652784,169869312,4294967296,0
43514.624226,27652784,169869312,4294967296,0
43514.624272,27652784,169869312,4294967296,0
43514.624319,27652784,169869312,4294967296,0
43514.624365,27652784,169869312,4294967296,0
43514.624411,27652784,169869312,4294967296,0
43514.624457,27652784,169869312,4294967296,0
43514.624504,27652784,169869312,4294967296,0
43514.624550,27641600,169869312,4294967296,0
43514.624596,27641600,169869312,4294967296,0
43514.624643,27641600,169869312,4294967296,0
43514.624689,27641600,169869312,4294967296,0
43514.624735,27641600,169869312,4294967296,0
43514.624781,27641600,169869312,4294967296,0
43514.624828,27641600,169869312,4294967296,0
43514.624874,27641600,169869312,4294967296,0
43514.624920,27666368,169869312,4294967296,0
43514.624967,27666368,169869312,4294967296,0
43514.625013,27666368,169869312,4294967296,0
43514.625059,27666368,169869312,4294967296,0
43514.625106,27666368,169869312,4294967296,0
43514.625152,27666368,169869312,4294967296,0
43514.625198,27666368,169869312,4294967296,0
43514.625244,27666368,169869312,4294967296,0
43514.625291,27690440,169869312,4294967296,0
43514.625337,27690440,169869312,4294967296,0
43514.625383,27690440,169869312,4294967296,0
43514.625430,27690440,169869312,4294967296,0
43514.625476,27690440,169869312,4294967296,0
43514.625522,27690440,169869312,4294967296,0
43514.625569,27690440,169869312,4294967296,0
43514.625615,27690440,169869312,4294967296,0
43514.625661,27689952,169869312,4294967296,0
43514.625707,27689952,169869312,4294967296,0
43514.625754,27689952,169869312,4294967296,0
43514.625800,27689952,169869312,4294967296,0
43514.625846,27689952,169869312,4294967296,0
43514.625893,27689952,169869312,4294967296,0
43514.625939,27689952,169869312,4294967296,0
43514.625985,27689952,169869312,4294967296,0
43514.626032,27731480,169869312,4294967296,0
43514.626078,27731480,169869312,4294967296,0
43514.626124,27731480,169869312,4294967296,0
43514.626170,27731480,169869312,4294967296,0
43514.626217,27731480,169869312,4294967296,0
43514.626263,27731480,169869312,4294967296,0
43514.626309,27731480,169869312,4294967296,0
43514.626356,27731480,169869312,4294967296,0
43514.626402,27731480,169869312,4294967296,0
43514.626448,27705648,169869312,4294967296,0
43514.626494,27705648,169869312,4294967296,0
43514.626541,27705648,169869312,4294967296,0
43514.626587,27705648,169869312,4294967296,0
43514.626633,27705648,169869312,4294967296,0
43514.626680,27705648,169869312,4294967296,0
43514.626726,27705648,169869312,4294967296,0
43514.626772,27705648,169869312,4294967296,0
43514.626819,27765488,169869312,4294967296,0
43514.626865,27765488,169869312,4294967296,0
43514.626911,27765488,169869312,4294967296,0
43514.626957,27765488,169869312,4294967296,0
43514.627004,27765488,169869312,4294967296,0
43514.627050,27765488,169869312,4294967296,0
43514.627096,27765488,169869312,4294967296,0
43514.627143,27765488,169869312,4294967296,0
43514.627189,27776336,169869312,4294967296,0
43514.627235,27776336,169869312,4294967296,0
43514.627282,27776336,169869312,4294967296,0
43514.627328,27776336,169869312,4294967296,0
43514.627374,27776336,169869312,4294967296,0
43514.627420,27776336,169869312,4294967296,0
43514.627467,27776336,169869312,4294967296,0
43514.627513,27776336,169869312,4294967296,0
43514.627559,27773472,169869312,4294967296,0
43514.627606,27773472,169869312,4294967296,0
43514.627652,27773472,169869312,4294967296,0
43514.627698,27773472,169869312,4294967296,0
43514.627745,27773472,169869312,4294967296,0
43514.627791,27773472,169869312,4294967296,0
43514.627837,27773472,169869312,4294967296,0
43514.627883,27773472,169869312,4294967296,0
43514.627930,27794944,169869312,4294967296,0
43514.627976,27794944,169869312,4294967296,0
43514.628022,27794944,169869312,4294967296,0
43514.628069,27794944,169869312,4294967296,0
43514.628115,27794944,169869312,4294967296,0
43514.628161,27794944,169869312,4294967296,0
43514.628207,27794944,169869312,4294967296,0
43514.628254,27794944,169869312,4294967296,0
43514.628300,27794944,169869312,4294967296,0
43514.628346,27790432,169869312,4294967296,0
43514.628393,27790432,169869312,4294967296,0
43514.628439,27790432,169869312,4294967296,0
43514.628485,27790432,169869312,4294967296,0
43514.628532,27790432,169869312,4294967296,0
43514.628578,27790432,169869312,4294967296,0
43514.628624,27790432,169869312,4294967296,0
43514.628670,27790432,169869312,4294967296,0
43514.628717,27820640,169869312,4294967296,0
43514.628763,27820640,169869312,4294967296,0
43514.628809,27820640,169869312,4294967296,0
43514.628856,27820640,169869312,4294967296,0
43514.628902,27820640,169869312,4294967296,0
43514.628948,27820640,169869312,4294967296,0
43514.628995,27820640,169869312,4294967296,0
43514.629041,27820640,169869312,4294967296,0
43514.629087,27840992,169869312,4294967296,0
43514.629133,27840992,169869312,4294967296,0
43514.629180,27840992,169869312,4294967296,0
43514.629226,27840992,169869312,4294967296,0
43514.629272,27840992,169869312,4294967296,0
43514.629319,27840992,169869312,4294967296,0
43514.629365,27840992,169869312,4294967296,0
43514.629411,27840992,169869312,4294967296,0
43514.629458,27861872,169869312,4294967296,0
43514.629504,27861872,169869312,4294967296,0
43514.629550,27861872,169869312,4294967296,0
43514.629596,27861872,169869312,4294967296,0
43514.629643,27861872,169869312,4294967296,0
43514.629689,27861872,169869312,4294967296,0
43514.629735,27861872,169869312,4294967296,0
43514.629782,27861872,169869312,4294967296,0
43514.629828,27882112,169869312,4294967296,0
43514.629874,27882112,169869312,4294967296,0
43514.629920,27882112,169869312,4294967296,0
43514.629967,27882112,169869312,4294967296,0
43514.630013,27882112,169869312,4294967296,0
43514.630059,27882112,169869312,4294967296,0
43514.630106,27882112,169869312,4294967296,0
43514.630152,27882112,169869312,4294967296,0
43514.630198,27882112,169869312,4294967296,0
43514.630245,27891664,169869312,4294967296,0
43514.630291,27891664,169869312,4294967296,0
43514.630337,27891664,169869312,4294967296,0
43514.630383,27891664,169869312,4294967296,0
43514.630430,27891664,169869312,4294967296,0
43514.630476,27891664,169869312,4294967296,0
43514.630522,27891664,169869312,4294967296,0
43514.630569,27891664,169869312,4294967296,0
43514.630615,27888512,169869312,4294967296,0
43514.630661,27888512,169869312,4294967296,0
43514.630708,27888512,169869312,4294967296,0
43514.630754,27888512,169869312,4294967296,0
43514.630800,27888512,169869312,4294967296,0
43514.630846,27888512,169869312,4294967296,0
43514.630893,27888512,169869312,4294967296,0
43514.630939,27888512,169869312,4294967296,0
43514.630985,27906184,169869312,4294967296,0
43514.631032,27906184,169869312,4294967296,0
43514.631078,27906184,169869312,4294967296,0
43514.631124,27906184,169869312,4294967296,0
43514.631170,27906184,169869312,4294967296,0
43514.631217,27906184,169869312,4294967296,0
43514.631263,27906184,169869312,4294967296,0
43514.631309,27906184,169869312,4294967296,0
43514.631356,27916128,169869312,4294967296,0
43514.631402,27916128,169869312,4294967296,0
43514.631448,27916128,169869312,4294967296,0
43514.631495,27916128,169869312,4294967296,0
43514.631541,27916128,169869312,4294967296,0
43514.631587,27916128,169869312,4294967296,0
43514.631633,27916128,169869312,4294967296,0
43514.631680,27916128,169869312,4294967296,0
43514.631726,27930136,169869312,4294967296,0
43514.631772,27930136,169869312,4294967296,0
43514.631819,27930136,169869312,4294967296,0
43514.631865,27930136,169869312,4294967296,0
43514.631911,27930136,169869312,4294967296,0
43514.631958,27930136,169869312,4294967296,0
43514.632004,27930136,169869312,4294967296,0
43514.632050,27930136,169869312,4294967296,0
43514.632096,27930136,169869312,4294967296,0
43514.632143,27961984,169869312,4294967296,0
43514.632189,27961984,169869312,4294967296,0
43514.632235,27961984,169869312,4294967296,0
43514.632282,27961984,169869312,4294967296,0
43514.632328,27961984,169869312,4294967296,0
43514.632374,27961984,169869312,4294967296,0
43514.632421,27961984,169869312,4294967296,0
43514.632467,27961984,169869312,4294967296,0
43514.632513,27980048,169869312,4294967296,0
43514.632559,27980048,169869312,4294967296,0
