Time,Used,Committed,Max,Threshold
43514.619829,73039352,80113664,-1,0
43514.619874,73451560,80506880,-1,0
43514.619920,73536536,80769024,-1,0
43514.619967,73877480,81031168,-1,0
43514.620013,74026832,81293312,-1,0
43514.620059,74120856,81293312,-1,0
43514.620105,74159424,81293312,-1,0
43514.620152,74342912,81555456,-1,0
43514.620198,74373136,81555456,-1,0
43514.620244,74462384,81817600,-1,0
43514.620291,74552944,81817600,-1,0
43514.620337,74598032,81817600,-1,0
43514.620383,83907600,92041216,-1,0
43514.620430,84328160,92565504,-1,0
43514.620476,84495008,92827648,-1,0
43514.620522,84683096,92827648,-1,0
43514.620568,84751208,93089792,-1,0
43514.620615,84784016,93089792,-1,0
43514.620661,84804000,93089792,-1,0
43514.620707,84816992,93089792,-1,0
43514.620754,84838992,93089792,-1,0
43514.620800,84848280,93089792,-1,0
43514.620846,84886064,93089792,-1,0
43514.620893,84898016,93089792,-1,0
43514.620939,84905664,93089792,-1,0
43514.620985,84907040,93089792,-1,0
43514.621031,84924448,93351936,-1,0
43514.621078,84933376,93351936,-1,0
43514.621124,84958848,93351936,-1,0
43514.621170,84966128,93351936,-1,0
43514.621217,84973704,93351936,-1,0
43514.621263,84979816,93351936,-1,0
43514.621309,84980656,93351936,-1,0
43514.621355,84988760,93351936,-1,0
43514.621402,84995872,93351936,-1,0
43514.621448,84996744,93351936,-1,0
43514.621494,84999712,93351936,-1,0
43514.621541,84999712,93351936,-1,0
43514.621587,85003280,93351936,-1,0
43514.621633,85003728,93351936,-1,0
43514.621680,85008816,93351936,-1,0
43514.621726,85016664,93351936,-1,0
43514.621772,85017096,93351936,-1,0
43514.621818,85018344,93351936,-1,0
43514.621865,85053712,93351936,-1,0
43514.621911,85053712,93351936,-1,0
43514.621957,85055760,93351936,-1,0
43514.622004,85055760,93351936,-1,0
43514.622050,85056856,93351936,-1,0
43514.622096,85057016,93351936,-1,0
43514.622143,85057448,93351936,-1,0
43514.622189,85059712,93351936,-1,0
43514.622235,85065248,93351936,-1,0
43514.622281,85075744,93351936,-1,0
43514.622328,85085808,93351936,-1,0
43514.622374,85090160,93351936,-1,0
43514.622420,85091960,93351936,-1,0
43514.622467,85098656,93351936,-1,0
43514.622513,85101312,93351936,-1,0
43514.622559,85108616,93351936,-1,0
43514.622606,85137200,93351936,-1,0
43514.622652,85142664,93351936,-1,0
43514.622698,85144944,93351936,-1,0
43514.622744,85148032,93351936,-1,0
43514.622791,85148536,93351936,-1,0
43514.622837,85148536,93351936,-1,0
43514.622883,85149400,93351936,-1,0
43514.622930,85149400,93351936,-1,0
43514.622976,85149400,93351936,-1,0
43514.623022,85150264,93351936,-1,0
43514.623068,85150264,93351936,-1,0
43514.623115,85150264,93351936,-1,0
43514.623161,85150264,93351936,-1,0
43514.623207,85150672,93351936,-1,0
43514.623254,85150672,93351936,-1,0
43514.623300,85152832,93351936,-1,0
43514.623346,85153264,93351936,-1,0
43514.623393,85156160,93351936,-1,0
43514.623439,85158112,93351936,-1,0
43514.623485,85158112,93351936,-1,0
43514.623531,85158112,93351936,-1,0
43514.623578,85158112,93351936,-1,0
43514.623624,85158112,93351936,-1,0
43514.623670,85158112,93351936,-1,0
43514.623717,85159720,93351936,-1,0
43514.623763,85167200,93351936,-1,0
