Time,Used,Committed,Max
43514.619829,97090408,106049536,-1
43514.619874,98772648,107753472,-1
43514.619920,99207488,108343296,-1
43514.619967,100067736,109129728,-1
43514.620013,100617912,109785088,-1
43514.620059,101062664,110178304,-1
43514.620105,101285448,110309376,-1
43514.620152,101649552,110768128,-1
43514.620198,101795656,110833664,-1
43514.620244,102193720,111423488,-1
43514.620291,102478152,111620096,-1
43514.620337,102715464,111816704,-1
43514.620383,116600880,126758912,-1
43514.620430,118821192,129118208,-1
43514.620476,120083744,130428928,-1
43514.620522,121473864,131608576,-1
43514.620568,122316872,132591616,-1
43514.620615,121834392,132853760,-1
43514.620661,122158144,133115904,-1
43514.620707,122906448,133705728,-1
43514.620754,123303360,133967872,-1
43514.620800,123534456,134164480,-1
43514.620846,123768200,134230016,-1
43514.620893,123912968,134361088,-1
43514.620939,123973352,134426624,-1
43514.620985,124095008,134557696,-1
43514.621031,124339936,134950912,-1
43514.621078,124439872,134950912,-1
43514.621124,124589984,135016448,-1
43514.621170,124748944,135147520,-1
43514.621217,124817064,135278592,-1
43514.621263,124890504,135344128,-1
43514.621309,124927184,135409664,-1
43514.621355,124965624,135409664,-1
43514.621402,125015232,135409664,-1
43514.621448,125071272,135475200,-1
43514.621494,125201088,135606272,-1
43514.621541,125273024,135671808,-1
43514.621587,125307440,135671808,-1
43514.621633,125310192,135671808,-1
43514.621680,125339216,135671808,-1
43514.621726,125381880,135671808,-1
43514.621772,125398056,135671808,-1
43514.621818,125426696,135737344,-1
43514.621865,125571376,135868416,-1
43514.621911,125572656,135868416,-1
43514.621957,125586272,135868416,-1
43514.622004,125590192,135868416,-1
43514.622050,125601400,135868416,-1
43514.622096,125639960,135868416,-1
43514.622143,125644488,135868416,-1
43514.622189,125650720,135868416,-1
43514.622235,125672256,135999488,-1
43514.622281,125709504,135999488,-1
43514.622328,125753872,135999488,-1
43514.622374,125787536,135999488,-1
43514.622420,125798936,136065024,-1
43514.622467,125823680,136065024,-1
43514.622513,125841184,136065024,-1
43514.622559,125866920,136065024,-1
43514.622606,126050128,136196096,-1
43514.622652,126089640,136327168,-1
43514.622698,126102248,136327168,-1
43514.622744,126121008,136327168,-1
43514.622791,126131608,136327168,-1
43514.622837,126143000,136327168,-1
43514.622883,126149496,136327168,-1
43514.622930,126150776,136327168,-1
43514.622976,126151544,136327168,-1
43514.623022,126159320,136327168,-1
43514.623068,126159320,136327168,-1
43514.623115,126160088,136327168,-1
43514.623161,126163672,136327168,-1
43514.623207,126177648,136327168,-1
43514.623254,126178928,136327168,-1
43514.623300,126190688,136327168,-1
43514.623346,126218640,136392704,-1
43514.623393,126233696,136392704,-1
43514.623439,126249344,136392704,-1
43514.623485,126249344,136392704,-1
