Time,CPU Usage
43514.619874,6.7
43514.619920,2.4
43514.619967,2.3
43514.620013,4.7
43514.620059,1.8
43514.620106,1.2
43514.620152,2.1
43514.620198,2.2
43514.620245,4.1
43514.620291,1.3
43514.620337,2.0
43514.620383,24.4
43514.620430,21.6
43514.620476,13.1
43514.620522,20.5
43514.620568,16.8
43514.620615,12.1
43514.620661,11.8
43514.620707,17.0
43514.620754,10.8
43514.620800,8.6
43514.620846,7.8
43514.620893,6.4
43514.620939,5.2
43514.620985,6.8
43514.621031,8.3
43514.621078,6.2
43514.621124,5.7
43514.621170,6.7
43514.621217,5.5
43514.621263,6.8
43514.621309,5.1
43514.621356,4.7
43514.621402,5.0
43514.621448,5.1
43514.621494,5.0
43514.621541,5.4
43514.621587,4.7
43514.621633,4.6
43514.621680,4.7
43514.621726,4.8
43514.621772,4.8
43514.621819,4.6
43514.621865,5.0
43514.621911,4.7
43514.621957,4.8
43514.622004,4.6
43514.622050,4.6
43514.622096,4.9
43514.622143,4.6
43514.622189,4.6
43514.622235,4.6
43514.622282,4.8
43514.622328,4.7
43514.622374,4.9
43514.622420,4.7
43514.622467,4.7
43514.622513,4.6
43514.622559,4.8
43514.622606,7.6
43514.622652,4.9
43514.622698,4.6
43514.622744,4.6
43514.622791,4.7
43514.622837,4.9
43514.622883,4.6
43514.622930,4.6
43514.622976,4.6
43514.623022,4.8
43514.623069,4.6
43514.623115,4.6
43514.623161,4.7
43514.623207,4.7
43514.623254,4.6
43514.623300,4.6
43514.623346,4.6
43514.623393,4.6
43514.623439,4.7
43514.623485,4.5
43514.623532,4.6
43514.623578,4.6
43514.623624,4.6
43514.623670,4.6
43514.623717,4.6
43514.623763,4.6
43514.623809,4.6
43514.623856,4.7
43514.623902,4.6
43514.623948,4.6
43514.623994,4.6
43514.624041,5.1
43514.624087,4.2
43514.624133,4.5
43514.624180,4.4
43514.624226,4.6
43514.624272,4.6
43514.624319,4.6
43514.624365,4.7
43514.624411,5.1
43514.624457,4.8
43514.624504,4.6
43514.624550,4.6
43514.624596,4.5
43514.624643,4.6
43514.624689,4.6
43514.624735,5.1
43514.624782,4.8
43514.624828,4.7
43514.624874,4.5
43514.624920,4.6
43514.624967,4.6
43514.625013,4.6
43514.625059,4.6
43514.625106,5.1
43514.625152,4.6
43514.625198,4.6
43514.625245,4.6
43514.625291,4.7
43514.625337,4.6
43514.625383,4.6
43514.625430,4.6
43514.625476,4.5
43514.625522,4.6
43514.625569,4.5
43514.625615,4.6
43514.625661,4.7
43514.625708,4.6
43514.625754,4.6
43514.625800,4.5
43514.625846,4.6
43514.625893,4.6
43514.625939,4.5
43514.625985,4.6
43514.626032,4.7
43514.626078,4.7
43514.626124,4.5
43514.626171,4.6
43514.626217,4.4
43514.626263,4.6
43514.626309,4.6
43514.626356,4.6
43514.626402,4.6
43514.626448,4.6
43514.626495,5.2
43514.626541,4.6
43514.626587,5.6
43514.626633,4.6
43514.626680,4.5
43514.626726,4.6
43514.626772,4.6
43514.626819,4.6
43514.626865,4.4
43514.626911,4.5
43514.626958,4.5
43514.627004,4.5
43514.627050,4.5
43514.627096,4.6
43514.627143,4.6
43514.627189,4.9
43514.627235,4.6
43514.627282,4.6
43514.627328,4.6
43514.627374,4.6
43514.627421,4.6
43514.627467,4.6
43514.627513,4.5
43514.627559,4.6
43514.627606,4.6
43514.627652,4.5
43514.627698,4.1
43514.627745,4.4
43514.627791,4.6
43514.627837,4.5
43514.627884,4.5
43514.627930,4.7
43514.627976,4.5
43514.628022,4.6
43514.628069,5.4
43514.628115,4.8
43514.628161,4.7
43514.628208,5.3
43514.628254,4.6
43514.628300,4.5
43514.628346,4.6
43514.628393,4.5
43514.628439,4.4
43514.628485,4.5
43514.628532,5.8
43514.628578,5.4
43514.628624,4.6
43514.628671,4.5
43514.628717,4.6
43514.628763,4.7
43514.628809,4.6
43514.628856,4.6
43514.628902,4.5
43514.628948,4.5
43514.628995,4.6
43514.629041,4.5
43514.629087,4.6
43514.629134,4.5
43514.629180,4.4
43514.629226,4.4
