Time,CPU Usage
43522.465803,8.9
43522.465849,3.1
43522.465895,2.6
43522.465941,2.5
43522.465988,2.1
43522.466034,20.3
43522.466080,19.6
43522.466127,13.8
43522.466173,38.1
43522.466219,32.7
43522.466265,22.7
43522.466312,17.6
43522.466358,19.2
43522.466404,9.4
43522.466450,6.9
43522.466497,8.3
43522.466543,6.5
43522.466589,6.3
43522.466636,7.9
43522.466682,8.8
43522.466728,7.6
43522.466775,7.1
43522.466821,12.9
43522.466867,7.5
43522.466913,5.8
43522.466960,7.1
43522.467006,6.2
43522.467052,5.6
43522.467099,5.8
43522.467145,6.4
43522.467191,5.7
43522.467237,7.4
43522.467284,5.8
43522.467330,6.2
43522.467376,6.2
43522.467423,5.7
43522.467469,5.6
43522.467515,6.6
43522.467562,5.6
43522.467608,6.4
43522.467654,5.4
43522.467700,5.6
43522.467747,6.1
43522.467793,5.6
43522.467839,5.6
43522.467886,6.1
43522.467932,5.6
43522.467978,6.2
43522.468025,5.5
43522.468071,5.6
43522.468117,6.1
43522.468163,5.4
43522.468210,5.6
43522.468256,6.1
43522.468302,5.4
43522.468349,6.1
43522.468395,7.6
43522.468441,5.5
43522.468488,6.1
43522.468534,5.6
43522.468580,5.6
43522.468626,6.3
43522.468673,5.5
43522.468719,6.2
43522.468765,5.4
43522.468812,7.8
43522.468858,6.1
43522.468904,5.4
43522.468950,5.5
43522.468997,6.1
43522.469043,6.0
43522.469089,6.6
43522.469136,5.4
43522.469182,5.5
43522.469228,6.2
43522.469275,5.5
43522.469321,5.4
43522.469367,6.4
43522.469413,5.5
43522.469460,6.2
43522.469506,5.6
43522.469552,5.7
43522.469599,6.9
43522.469645,5.4
43522.469691,5.4
43522.469738,6.6
43522.469784,5.9
43522.469830,6.4
43522.469876,5.8
43522.469923,5.7
43522.469969,6.7
43522.470015,6.1
43522.470062,5.4
43522.470108,6.1
43522.470154,5.8
43522.470201,6.3
43522.470247,5.8
43522.470293,5.6
43522.470339,6.6
43522.470386,6.1
43522.470432,5.7
43522.470478,6.2
43522.470525,5.6
43522.470571,6.4
43522.470617,5.7
43522.470663,5.6
43522.470710,6.4
43522.470756,5.9
43522.470803,6.2
43522.470849,5.9
43522.470895,5.8
43522.470941,6.6
43522.470988,5.9
43522.471034,5.7
43522.471080,5.9
43522.471126,5.4
43522.471173,6.0
43522.471219,5.3
43522.471265,5.4
43522.471312,5.9
43522.471358,5.4
43522.471404,5.4
43522.471451,6.0
43522.471497,5.4
43522.471543,6.1
43522.471589,5.2
43522.471636,5.3
43522.471682,6.0
43522.471728,5.3
43522.471775,5.4
43522.471821,6.0
43522.471867,5.3
43522.471914,6.0
43522.471960,5.4
43522.472006,5.4
43522.472052,5.9
43522.472099,5.2
43522.472145,5.3
43522.472191,6.0
43522.472238,5.5
43522.472284,6.0
43522.472330,5.4
43522.472376,5.7
43522.472423,6.2
43522.472469,5.6
43522.472515,5.3
43522.472562,6.0
43522.472608,5.4
43522.472654,6.2
43522.472701,5.3
43522.472747,5.4
43522.472793,6.2
43522.472839,5.4
43522.472886,5.3
43522.472932,7.4
43522.472978,5.6
43522.473025,6.1
43522.473071,5.9
43522.473117,5.4
43522.473164,6.2
43522.473210,5.4
43522.473256,5.3
43522.473302,6.1
43522.473349,5.6
43522.473395,6.1
43522.473441,5.4
43522.473488,5.2
43522.473534,6.1
43522.473580,5.4
43522.473627,5.3
43522.473673,5.9
43522.473719,5.3
43522.473765,5.9
43522.473812,5.6
43522.473858,5.3
43522.473904,6.0
43522.473951,5.4
43522.473997,5.3
43522.474043,6.0
43522.474089,5.3
43522.474136,6.8
43522.474182,5.2
43522.474228,5.4
43522.474275,5.9
43522.474321,5.3
43522.474367,5.3
43522.474414,5.9
43522.474460,5.4
43522.474506,5.8
43522.474552,5.3
43522.474599,5.2
43522.474645,5.9
