Time,Used
43522.465758,75376128
43522.465802,109979136
43522.465849,141436416
43522.465895,173942272
43522.465941,205399552
43522.465987,237905408
43522.466034,124659200
43522.466080,181282304
43522.466126,242099712
43522.466173,111346496
43522.466219,181601088
43522.466265,46118712
43522.466311,54507320
43522.466358,59309880
43522.466404,64001232
43522.466450,68464720
43522.466497,29396016
43522.466543,32687008
43522.466589,35845728
43522.466636,47257832
43522.466682,49495736
43522.466728,53718888
43522.466774,65123160
43522.466821,67369432
43522.466867,29513688
43522.466913,30694168
43522.466960,32819160
43522.467006,47372512
43522.467052,49606312
43522.467099,51720824
43522.467145,66280920
43522.467191,67470456
43522.467237,30664872
43522.467284,33010408
43522.467330,35133328
43522.467376,49683352
43522.467423,50884696
43522.467469,52988600
43522.467515,67543944
43522.467561,68729928
43522.467608,32973056
43522.467654,34170648
43522.467700,36266096
43522.467747,50832472
43522.467793,52026872
43522.467839,54131104
43522.467886,68690272
43522.467932,69879488
43522.467978,34122136
43522.468024,35315864
43522.468071,37420032
43522.468117,51983416
43522.468163,53168632
43522.468210,55277632
43522.468256,69839400
43522.468302,71030488
43522.468349,35271280
43522.468395,37514976
43522.468441,39615728
43522.468487,53129472
43522.468534,55366784
43522.468580,57482176
43522.468626,70988400
43522.468673,73224272
43522.468719,36419496
43522.468765,38653608
43522.468812,40758824
43522.468858,55330504
43522.468904,56524232
43522.468950,58632136
43522.468997,73185248
43522.469043,74371520
43522.469089,37570128
43522.469136,40853616
43522.469182,44016144
43522.469228,56475920
43522.469275,58717216
43522.469321,61876240
43522.469367,74336712
43522.469413,76567016
43522.469460,39766024
43522.469506,42011520
43522.469552,45162176
43522.469599,57627288
43522.469645,59862400
43522.469691,63026456
43522.469737,75484688
43522.469784,28454288
43522.469830,40916608
43522.469876,44206648
43522.469923,47371464
43522.469969,59825584
43522.470015,62064816
43522.470062,65220632
43522.470108,77683592
43522.470154,30650392
43522.470200,43114216
43522.470247,45350408
43522.470293,48513192
43522.470339,60974536
43522.470386,63219192
43522.470432,67416320
43522.470478,28649464
43522.470525,31801376
43522.470571,45311456
43522.470617,47545248
43522.470663,50716384
43522.470710,63170832
43522.470756,65411456
43522.470802,29653208
43522.470849,30849624
43522.470895,34005240
43522.470941,46461296
43522.470988,48698928
43522.471034,51861040
43522.471080,64320696
43522.471126,66555128
43522.471173,28703240
43522.471219,31988488
43522.471265,35150024
43522.471312,47610912
43522.471358,49845984
43522.471404,53001728
43522.471450,65470256
43522.471497,67711424
43522.471543,30903672
43522.471589,33150776
43522.471636,36305592
43522.471682,48759448
43522.471728,50996280
43522.471775,54153392
43522.471821,66618224
43522.471867,69907592
43522.471913,32048024
43522.471960,34288480
43522.472006,37443440
43522.472052,49910648
43522.472099,53193656
43522.472145,56356856
43522.472191,68819032
43522.472238,71054264
43522.472284,33195976
43522.472330,36487696
43522.472376,39645448
43522.472423,52105000
43522.472469,54335456
43522.472515,57503208
43522.472562,69963184
43522.472608,72199696
43522.472654,35392264
43522.472701,37628456
43522.472747,40780520
43522.472793,53253032
43522.472839,55486824
43522.472886,58650280
43522.472932,71112016
43522.472978,73347888
43522.473025,36542208
43522.473071,39826016
43522.473117,44033672
43522.473163,54402024
43522.473210,57686952
43522.473256,61897192
43522.473302,72262648
43522.473349,75547736
43522.473395,37691112
43522.473441,42036776
43522.473488,46237408
43522.473534,55550696
43522.473580,59886600
43522.473626,64092208
43522.473673,74458280
43522.473719,77749160
43522.473765,38839664
43522.473812,43169400
43522.473858,47387440
43522.473904,57748536
43522.473951,61027264
43522.473997,65237424
43522.474043,75606680
43522.474089,29625432
43522.474136,41039288
43522.474182,44318472
43522.474228,48530752
43522.474275,58895960
43522.474321,62180888
43522.474367,66386872
43522.474413,75706080
43522.474460,30767904
43522.474506,41138112
43522.474552,44421440
43522.474599,49670336
43522.474645,60045192
43522.474691,63334896
43522.474738,67541320
43522.474784,77903752
43522.474830,32971080
43522.474876,43336224
43522.474923,46623016
43522.474969,50828424
43522.475015,61193704
43522.475062,65525448
43522.475108,69732088
43522.475154,29912336
43522.475201,34114864
43522.475247,44483000
43522.475293,48823128
43522.475339,51982776
43522.475386,63390112
43522.475432,66668232
43522.475478,69836320
43522.475525,31060880
43522.475571,35266728
43522.475617,46681192
43522.475664,49970392
43522.475710,54176360
43522.475756,64541968
43522.475802,67829136
43522.475849,29970624
43522.475895,33253792
43522.475941,37466944
43522.475988,47829592
43522.476034,51115320
43522.476080,55320872
43522.476126,65691424
43522.476173,68984320
43522.476219,31123256
43522.476265,34409184
43522.476312,38613984
43522.476358,48981792
43522.476404,52258392
43522.476451,56464032
43522.476497,66840192
43522.476543,71170176
43522.476589,32273080
43522.476636,35559608
43522.476682,39770744
43522.476728,50130296
43522.476775,53415864
43522.476821,57628344
43522.476867,67989312
43522.476914,72323936
43522.476960,33419536
43522.477006,37751920
43522.477052,43005944
43522.477099,52327656
43522.477145,55617528
43522.477191,60879864
43522.477238,70185296
43522.477284,73466456
43522.477330,34567784
43522.477376,39954616
43522.477423,45213560
43522.477469,53478160
43522.477515,57810688
43522.477562,63072784
43522.477608,71334968
43522.477654,75674256
43522.477701,36767784
43522.477747,41107240
43522.477793,46356768
43522.477839,54623800
43522.477886,58961912
43522.477932,64211496
43522.477978,72482376
43522.478025,76814760
43522.478071,37947240
43522.478117,42294136
43522.478164,47534016
43522.478210,55809208
43522.478256,60141432
43522.478302,65398928
43522.478349,73666656
43522.478395,77999520
43522.478441,34901720
43522.478488,64261848
43522.478534,44484560
43522.478580,73844688
43522.478627,54982296
43522.478673,36114264
43522.478719,65474392
43522.478765,46605152
43522.478812,75965280
43522.478858,58161048
43522.478904,39303000
