Time,CPU Usage
43522.542796,7.5
43522.542842,6.0
43522.542888,3.3
43522.542935,3.4
43522.542981,2.6
43522.543027,2.8
43522.543073,2.7
43522.543120,3.0
43522.543166,3.2
43522.543212,2.6
43522.543259,8.1
43522.543305,22.5
43522.543351,16.7
43522.543398,12.0
43522.543444,11.4
43522.543490,11.0
43522.543536,9.1
43522.543583,10.1
43522.543629,38.6
43522.543675,22.1
43522.543722,19.6
43522.543768,12.1
43522.543814,9.3
43522.543860,9.9
43522.543907,7.8
43522.543953,7.4
43522.543999,8.2
43522.544046,8.0
43522.544092,7.5
43522.544138,6.1
43522.544185,7.3
43522.544231,7.0
43522.544277,11.9
43522.544323,6.1
43522.544370,7.6
43522.544416,11.8
43522.544462,6.8
43522.544509,5.9
43522.544555,6.7
43522.544601,6.6
43522.544648,6.4
43522.544694,6.1
43522.544740,6.6
43522.544786,6.4
43522.544833,6.8
43522.544879,5.8
43522.544925,6.7
43522.544972,6.9
43522.545018,6.4
43522.545064,5.9
43522.545111,6.6
43522.545157,6.4
43522.545203,8.9
43522.545249,5.7
43522.545296,6.6
43522.545342,6.4
43522.545388,6.6
43522.545436,6.5
43522.545481,5.9
43522.545527,6.4
43522.545573,6.6
43522.545620,6.5
43522.545666,6.6
43522.545712,6.4
43522.545759,6.4
43522.545805,6.4
43522.545851,5.9
43522.545898,6.3
43522.545944,6.4
43522.545990,6.7
43522.546036,5.8
43522.546083,6.4
43522.546129,6.4
43522.546175,6.4
43522.546222,5.8
43522.546268,6.4
43522.546314,6.4
43522.546361,6.4
43522.546407,6.1
43522.546453,7.3
43522.546499,6.4
43522.546546,6.8
43522.546592,5.7
43522.546638,6.4
43522.546685,6.4
43522.546731,6.3
43522.546777,5.8
43522.546823,6.3
43522.546870,6.3
43522.546916,6.3
43522.546962,5.8
43522.547009,6.5
43522.547055,7.0
43522.547101,6.4
43522.547148,5.9
43522.547194,6.3
43522.547240,6.4
43522.547286,6.6
43522.547333,5.7
43522.547379,6.4
43522.547425,6.3
43522.547472,6.4
43522.547518,5.7
43522.547564,6.3
43522.547611,6.4
43522.547657,6.4
43522.547703,5.8
43522.547749,6.4
43522.547796,6.3
43522.547842,6.4
43522.547888,5.8
43522.547935,6.3
43522.547981,6.4
43522.548027,6.3
43522.548074,5.8
43522.548120,6.3
43522.548166,6.5
43522.548212,6.5
43522.548259,5.6
43522.548305,6.5
43522.548351,6.4
43522.548398,6.4
43522.548444,5.7
43522.548490,6.3
43522.548537,6.4
43522.548583,6.4
43522.548629,5.6
43522.548675,6.4
43522.548722,6.4
43522.548768,6.4
43522.548814,5.7
43522.548861,6.3
43522.548907,6.4
43522.548953,6.4
43522.548999,5.7
43522.549046,6.4
43522.549092,6.8
43522.549138,6.4
43522.549185,6.2
43522.549231,6.3
43522.549277,6.3
43522.549324,6.4
43522.549370,5.7
43522.549416,6.3
43522.549462,6.4
43522.549509,6.4
43522.549555,5.9
43522.549601,6.4
43522.549648,6.3
43522.549694,6.5
43522.549740,5.8
43522.549787,6.3
43522.549833,6.3
43522.549879,6.5
43522.549925,5.8
43522.549972,6.3
43522.550018,6.4
43522.550064,6.3
43522.550111,5.7
43522.550157,6.3
43522.550203,6.5
43522.550250,6.6
43522.550296,5.6
43522.550342,6.4
43522.550388,6.3
43522.550435,6.5
43522.550481,5.9
43522.550527,6.4
43522.550574,7.2
43522.550620,6.6
43522.550666,6.1
43522.550712,6.5
43522.550759,6.4
43522.550805,6.3
43522.550851,5.7
43522.550898,6.6
43522.550944,6.4
43522.550990,6.4
43522.551037,5.7
43522.551083,6.3
43522.551129,6.3
43522.551175,6.4
43522.551223,7.0
43522.551268,5.7
43522.551314,6.5
43522.551361,6.5
43522.551408,6.3
43522.551453,5.5
43522.551500,6.4
43522.551546,6.3
43522.551592,6.3
43522.551638,5.6
43522.551685,6.3
43522.551731,6.4
43522.551777,6.2
43522.551824,5.7
43522.551870,6.2
43522.551916,6.3
43522.551963,6.3
43522.552009,5.7
43522.552055,6.3
43522.552101,6.3
43522.552148,6.3
43522.552194,5.6
43522.552240,6.3
43522.552287,6.3
43522.552333,6.4
43522.552379,5.7
43522.552425,6.3
43522.552472,6.4
43522.552518,6.4
43522.552564,5.7
43522.552611,6.3
43522.552657,6.4
43522.552703,6.3
43522.552750,5.6
43522.552796,6.3
43522.552842,6.3
43522.552888,6.4
43522.552935,5.6
43522.552981,6.3
43522.553027,6.7
43522.553074,6.3
43522.553120,5.6
43522.553166,6.4
43522.553213,6.4
43522.553259,6.4
43522.553305,5.6
43522.553351,6.4
43522.553398,6.6
43522.553444,6.3
43522.553490,5.6
43522.553537,6.3
43522.553583,6.3
43522.553629,6.3
43522.553676,5.9
43522.553722,6.4
43522.553768,6.3
43522.553814,6.6
43522.553861,5.7
43522.553907,6.3
43522.553953,6.3
43522.554000,6.4
43522.554046,5.6
43522.554092,6.3
43522.554138,6.6
43522.554185,6.3
43522.554231,5.7
43522.554277,6.4
43522.554324,6.4
43522.554370,6.3
43522.554416,5.6
43522.554463,6.4
43522.554509,6.3
43522.554555,6.4
43522.554601,5.6
43522.554648,6.4
43522.554694,6.4
43522.554740,6.3
43522.554787,5.6
43522.554833,6.4
43522.554879,6.4
43522.554926,6.4
43522.554972,5.6
43522.555018,6.3
43522.555064,6.3
43522.555111,6.4
43522.555157,5.7
43522.555203,6.6
43522.555250,6.3
43522.555296,6.3
43522.555342,5.8
43522.555389,6.3
43522.555435,6.3
43522.555481,6.3
43522.555527,5.6
43522.555574,6.4
43522.555620,6.4
43522.555666,6.3
43522.555713,5.6
43522.555759,6.7
43522.555805,6.3
43522.555852,6.3
43522.555898,5.6
43522.555944,4.8
43522.555990,3.8
43522.556037,3.7
43522.556083,3.8
43522.556129,3.8
43522.556176,3.8
43522.556222,3.8
43522.556268,3.7
43522.556314,3.8
43522.556361,3.8
43522.556407,3.7
43522.556453,3.7
43522.556500,3.7
43522.556546,9.5
43522.556592,3.8
43522.556639,4.4
43522.556685,3.8
43522.556731,3.7
43522.556777,3.8
43522.556824,4.0
43522.556870,4.3
43522.556916,3.9
43522.556963,3.8
43522.557009,3.9
43522.557055,3.9
43522.557102,3.7
43522.557148,4.2
43522.557194,3.8
43522.557240,3.7
