Time,CPU Usage
43522.747179,10.8
43522.747225,2.9
43522.747272,3.7
43522.747318,3.2
43522.747364,2.7
43522.747410,2.2
43522.747457,30.7
43522.747503,19.6
43522.747549,12.3
43522.747596,8.7
43522.747642,10.7
43522.747688,16.6
43522.747735,42.5
43522.747781,20.8
43522.747827,23.6
43522.747873,14.8
43522.747920,12.9
43522.747966,10.6
43522.748012,7.7
43522.748059,8.2
43522.748105,8.9
43522.748151,8.7
43522.748197,7.3
43522.748244,7.3
43522.748290,7.9
43522.748336,7.9
43522.748383,9.5
43522.748429,6.7
43522.748475,6.8
43522.748522,7.8
43522.748568,6.6
43522.748614,7.6
43522.748660,6.3
43522.748707,6.8
43522.748753,7.2
43522.748799,6.9
43522.748846,5.9
43522.748892,6.5
43522.748938,6.5
43522.748985,6.7
43522.749031,5.9
43522.749077,6.4
43522.749123,6.4
43522.749170,6.6
43522.749216,5.9
43522.749262,6.4
43522.749309,6.5
43522.749355,6.6
43522.749401,5.9
43522.749447,6.4
43522.749494,6.6
43522.749540,8.9
43522.749586,5.9
43522.749633,6.4
43522.749679,6.5
43522.749725,6.7
43522.749772,5.8
43522.749818,6.4
43522.749864,6.7
43522.749910,6.6
43522.749957,5.9
43522.750003,6.5
43522.750049,6.6
43522.750096,6.4
43522.750142,6.1
43522.750188,6.6
43522.750235,6.4
43522.750281,6.6
43522.750327,6.1
43522.750373,6.9
43522.750420,6.6
43522.750466,6.5
43522.750512,8.3
43522.750559,6.8
43522.750605,7.0
43522.750651,6.5
43522.750698,5.9
43522.750744,6.9
43522.750790,6.7
43522.750836,6.7
43522.750883,6.2
43522.750929,7.6
43522.750975,6.7
43522.751022,6.6
43522.751069,6.4
43522.751114,5.8
43522.751160,6.4
43522.751207,6.6
43522.751254,6.3
43522.751299,6.2
43522.751346,6.5
43522.751392,6.9
43522.751438,7.1
43522.751485,6.3
43522.751531,6.6
43522.751577,6.6
43522.751623,6.6
43522.751670,5.8
43522.751716,6.5
43522.751762,6.6
43522.751809,6.5
43522.751855,5.8
43522.751901,6.4
43522.751948,6.4
43522.751994,6.4
43522.752040,5.8
43522.752086,6.5
43522.752133,6.4
43522.752179,6.5
43522.752225,5.7
43522.752272,6.4
43522.752318,6.4
43522.752364,6.3
43522.752411,5.8
43522.752457,6.4
43522.752503,6.4
43522.752549,6.6
43522.752596,5.8
43522.752642,6.4
43522.752688,6.6
43522.752735,6.6
43522.752781,5.8
43522.752827,6.3
43522.752874,6.5
43522.752920,6.6
43522.752966,5.8
43522.753012,6.4
43522.753059,6.4
43522.753105,6.4
43522.753151,5.8
43522.753198,6.3
43522.753244,6.4
43522.753290,6.4
43522.753336,5.8
43522.753383,6.3
43522.753429,6.4
43522.753475,6.4
43522.753522,6.1
43522.753568,7.4
43522.753614,6.6
43522.753661,6.4
43522.753707,5.8
43522.753753,6.4
43522.753799,6.4
43522.753846,6.4
43522.753892,5.7
43522.753938,6.4
43522.753985,6.6
43522.754031,6.3
43522.754077,5.8
43522.754124,6.6
43522.754170,6.4
43522.754216,6.4
43522.754262,5.8
43522.754309,6.4
43522.754355,6.3
43522.754401,6.4
43522.754448,5.7
43522.754494,6.4
43522.754540,6.5
43522.754587,6.6
43522.754633,5.8
43522.754679,6.4
43522.754725,6.4
43522.754772,6.4
43522.754818,5.8
43522.754864,7.3
43522.754911,6.7
43522.754957,6.5
43522.755003,5.9
43522.755050,6.4
43522.755096,6.4
43522.755142,6.5
43522.755188,5.7
43522.755235,7.2
43522.755281,6.3
43522.755327,6.7
43522.755374,5.8
43522.755420,6.6
43522.755466,6.3
43522.755512,6.4
43522.755559,5.8
43522.755605,6.4
43522.755651,6.3
43522.755698,6.3
43522.755745,6.4
43522.755790,5.7
43522.755837,6.4
43522.755883,6.4
43522.755929,6.4
43522.755975,5.7
43522.756022,6.2
43522.756068,6.4
43522.756114,6.4
43522.756161,5.7
43522.756207,6.3
43522.756253,6.4
43522.756300,6.4
43522.756346,5.7
43522.756392,6.5
43522.756438,7.1
43522.756485,6.8
43522.756531,5.8
43522.756577,6.3
43522.756624,6.4
43522.756670,6.4
43522.756716,5.6
43522.756763,6.4
43522.756809,6.3
43522.756855,6.2
43522.756901,5.7
43522.756948,6.3
43522.756994,6.2
43522.757040,6.3
43522.757087,5.6
43522.757133,6.2
43522.757179,6.2
43522.757225,6.4
43522.757272,5.6
43522.757318,6.3
43522.757364,6.2
43522.757411,6.4
43522.757457,5.7
43522.757503,6.3
43522.757550,6.3
43522.757596,6.3
43522.757642,5.7
43522.757688,6.2
43522.757735,6.4
43522.757781,6.5
43522.757827,5.7
43522.757874,6.3
43522.757920,6.2
43522.757966,6.3
43522.758013,5.9
43522.758059,6.3
43522.758105,6.3
43522.758151,6.6
43522.758198,5.7
43522.758244,6.3
43522.758290,6.3
43522.758337,6.3
43522.758383,5.6
43522.758429,6.3
43522.758476,6.3
43522.758522,6.4
43522.758568,5.6
43522.758614,6.3
43522.758661,6.4
43522.758707,6.2
43522.758753,5.7
43522.758800,6.2
43522.758846,6.3
43522.758892,6.3
43522.758939,5.7
43522.758985,6.4
43522.759031,6.5
43522.759077,6.6
43522.759124,5.8
43522.759170,6.5
43522.759216,6.4
43522.759263,6.4
43522.759309,6.1
43522.759355,6.6
43522.759401,7.1
43522.759448,6.5
43522.759494,5.6
43522.759540,6.7
43522.759587,6.3
43522.759633,6.8
43522.759679,6.1
43522.759726,6.6
43522.759772,6.6
43522.759818,7.1
43522.759864,5.9
43522.759911,6.3
43522.759957,6.3
43522.760003,5.8
43522.760050,3.8
43522.760096,3.8
43522.760142,3.6
43522.760189,3.8
43522.760235,3.9
43522.760281,3.8
43522.760327,4.0
