Time,Used
43522.747133,64853696
43522.747179,82679488
43522.747225,96310976
43522.747271,31973888
43522.747318,46653952
43522.747364,59236864
43522.747410,72868352
43522.747457,88095440
43522.747503,43102736
43522.747549,76657168
43522.747596,110211600
43522.747642,59604400
43522.747688,103644592
43522.747734,80484400
43522.747781,66035032
43522.747827,50354168
43522.747873,32561736
43522.747920,36922360
43522.747966,68238720
43522.748012,50513176
43522.748059,33709752
43522.748105,35965480
43522.748151,68338576
43522.748197,51585240
43522.748244,33782024
43522.748290,37083864
43522.748336,69457240
43522.748383,51657968
43522.748429,34902856
43522.748475,36100952
43522.748521,70576080
43522.748568,52771096
43522.748614,35043232
43522.748660,36232608
43522.748707,70717304
43522.748753,52916360
43522.748799,36163144
43522.748846,37347464
43522.748892,70788888
43522.748938,54040072
43522.748984,36233488
43522.749031,37419824
43522.749077,71905664
43522.749123,54103368
43522.749170,37347504
43522.749216,38533840
43522.749262,73023856
43522.749309,55219560
43522.749355,37415392
43522.749401,39649464
43522.749447,73089392
43522.749494,55285800
43522.749540,38530120
43522.749586,40762512
43522.749633,74205368
43522.749679,56400864
43522.749725,39645576
43522.749772,41888696
43522.749818,75321504
43522.749864,57517160
43522.749910,39712200
43522.749957,42992664
43522.750003,75386528
43522.750049,58631408
43522.750096,40827920
43522.750142,44113216
43522.750188,76501984
43522.750234,58698600
43522.750281,41942960
43522.750327,44181968
43522.750373,77617352
43522.750420,59812784
43522.750466,43057976
43522.750512,45294872
43522.750559,78731600
43522.750605,60930320
43522.750651,43126408
43522.750697,46408552
43522.750744,28612752
43522.750790,62044368
43522.750836,44240696
43522.750883,47520152
43522.750929,29717920
43522.750975,63160656
43522.751022,45358064
43522.751068,47589616
43522.751114,29799784
43522.751160,63228344
43522.751207,46473304
43522.751253,29718728
43522.751299,30906344
43522.751346,64341736
43522.751392,46539656
43522.751438,29786360
43522.751485,32020600
43522.751531,65461168
43522.751577,47655696
43522.751623,30904192
43522.751670,33142320
43522.751716,66573728
43522.751762,48769608
43522.751809,30966400
43522.751855,34252224
43522.751901,66640752
43522.751948,49885976
43522.751994,32082152
43522.752040,34318872
43522.752086,67755360
43522.752133,49952056
43522.752179,33196904
43522.752225,35428120
43522.752272,68868832
43522.752318,51068296
43522.752364,33265328
43522.752410,37601304
43522.752457,68937032
43522.752503,52182424
43522.752549,34381088
43522.752596,37668496
43522.752642,70052072
43522.752688,52250448
43522.752735,35496024
43522.752781,38782888
43522.752827,71170256
43522.752873,53366552
43522.752920,35563320
43522.752966,39897016
43522.753012,71235752
43522.753059,54481680
43522.753105,36679952
43522.753151,39958736
43522.753198,72355096
43522.753244,54548096
43522.753290,36744264
43522.753336,41079192
43522.753383,73466520
43522.753429,55662784
43522.753475,37858288
43522.753522,42190184
43522.753568,73532704
43522.753614,56778104
43522.753660,38974128
43522.753707,42258720
43522.753753,74647784
43522.753799,56846072
43522.753846,40089000
43522.753892,43377288
43522.753938,75763976
43522.753985,57961408
43522.754031,40158272
43522.754077,44499592
43522.754123,75830232
43522.754170,59074480
43522.754216,41270816
43522.754262,44556112
43522.754309,76944648
43522.754355,59141424
43522.754401,42386280
43522.754448,45674568
43522.754494,78059336
43522.754540,60256056
43522.754586,42452280
43522.754633,45737400
43522.754679,78126432
43522.754725,60323320
43522.754772,43568320
43522.754818,46863840
43522.754864,79244040
43522.754911,61440352
43522.754957,43635432
43522.755003,47975288
43522.755049,30163136
43522.755096,62553480
43522.755142,44749984
43522.755188,48032128
43522.755235,31286424
43522.755281,63668224
43522.755327,45864816
43522.755374,50195368
43522.755420,32396944
43522.755466,63735800
43522.755512,45932200
43522.755559,50259560
43522.755605,33511792
43522.755651,64851152
43522.755698,47048616
43522.755744,30292072
43522.755790,34619432
43522.755837,64916816
43522.755883,48162232
43522.755929,30358072
43522.755975,34695112
43522.756022,66030272
43522.756068,49277072
43522.756114,31474040
43522.756161,35810904
43522.756207,67147280
43522.756253,49344760
43522.756299,32588712
43522.756346,36917920
43522.756392,67212800
43522.756438,50458864
43522.756485,32660672
43522.756531,38039632
43522.756577,68330728
43522.756624,51574840
43522.756670,33770112
43522.756716,38100832
43522.756762,69443024
43522.756809,51639600
43522.756855,34885488
43522.756901,39220768
43522.756948,69510720
43522.756994,52755048
43522.757040,33904320
43522.757087,39281264
43522.757133,69580640
43522.757179,52822264
43522.757225,36067688
43522.757272,40402968
43522.757318,71741768
43522.757364,53940432
43522.757411,36169224
43522.757457,41557304
43522.757503,71841368
43522.757550,55085480
43522.757596,37282552
43522.757642,42663192
43522.757688,72957280
43522.757735,56205936
43522.757781,38397544
43522.757827,42729776
43522.757874,74071416
43522.757920,56267688
43522.757966,39512472
43522.758013,42793272
43522.758059,74138280
43522.758105,57383128
43522.758151,39581552
43522.758198,44965232
43522.758244,75257712
43522.758290,57450456
43522.758337,40695144
43522.758383,46083328
43522.758429,76368520
43522.758475,58570312
43522.758522,41810888
43522.758568,47198264
43522.758614,76436232
43522.758661,58632976
43522.758707,41877776
43522.758753,47254384
43522.758800,77551680
43522.758846,59748664
43522.758892,42993048
43522.758938,48373216
43522.758985,78668336
43522.759031,60864656
43522.759077,43062168
43522.759124,48447736
43522.759170,78734480
43522.759216,61977624
43522.759263,44174960
43522.759309,49556352
43522.759355,32796512
43522.759401,62046328
43522.759448,44241592
43522.759494,49619376
43522.759540,78866416
43522.759587,62112288
43522.759633,45356696
43522.759679,50734648
43522.759726,32930728
43522.759772,63230752
43522.759818,45422568
43522.759864,50808776
43522.759911,32997304
43522.759957,63295392
43522.760003,39198152
43522.760050,68558280
43522.760096,49823088
43522.760142,78134640
43522.760188,60319448
43522.760235,42509384
