Time,CPU Usage
43522.746496,7.4
43522.746542,0.3
43522.746588,0.4
43522.746635,0.6
43522.746681,0.3
43522.746727,0.4
43522.746774,0.3
43522.746820,0.2
43522.746866,0.4
43522.746913,1.0
43522.746959,0.2
43522.747005,0.3
43522.747051,0.2
43522.747098,0.1
43522.747144,0.1
43522.747190,0.1
43522.747237,0.1
43522.747283,0.1
43522.747329,0.1
43522.747376,0.1
43522.747422,0.8
43522.747468,2.1
43522.747514,0.9
43522.747561,1.3
43522.747607,1.5
43522.747653,0.8
43522.747700,1.1
43522.747751,7.7
43522.747792,1.2
43522.747838,3.4
43522.747885,2.8
43522.747932,2.6
43522.747977,0.6
43522.748024,3.1
43522.748070,3.5
43522.748117,2.3
43522.748163,0.5
43522.748209,2.3
43522.748255,2.0
43522.748302,2.1
43522.748348,1.5
43522.748394,2.4
43522.748440,2.4
43522.748487,2.1
43522.748533,0.6
43522.748579,2.0
43522.748626,1.9
43522.748672,2.1
43522.748718,0.4
43522.748764,1.9
43522.748811,1.9
43522.748857,1.9
43522.748903,0.4
43522.748950,1.8
43522.748996,1.9
43522.749042,1.9
43522.749089,0.4
43522.749135,1.9
43522.749181,1.9
43522.749227,1.9
43522.749274,0.4
43522.749320,1.9
43522.749366,1.9
43522.749413,1.9
43522.749459,0.4
43522.749505,1.9
43522.749551,2.2
43522.749598,1.9
43522.749644,0.5
43522.749690,2.1
43522.749737,5.3
43522.749783,1.9
43522.749829,0.4
43522.749876,1.9
43522.749922,1.9
43522.749968,2.1
43522.750014,0.5
43522.750061,1.8
43522.750107,2.0
43522.750153,1.9
43522.750200,0.4
43522.750246,1.8
43522.750292,2.1
43522.750339,1.9
43522.750385,0.5
43522.750431,1.8
43522.750477,1.9
43522.750524,2.1
43522.750570,0.6
43522.750616,2.1
43522.750663,2.3
43522.750709,2.0
43522.750755,0.4
43522.750802,2.0
43522.750848,1.9
43522.750894,2.1
43522.750940,0.5
43522.750987,1.9
43522.751033,2.0
43522.751079,2.1
43522.751126,0.3
43522.751172,2.0
43522.751218,1.9
43522.751264,2.0
43522.751311,0.6
43522.751357,2.0
43522.751403,2.1
43522.751450,2.0
43522.751496,0.4
43522.751542,1.9
43522.751589,2.1
43522.751635,1.9
43522.751681,0.5
43522.751727,2.1
43522.751774,1.9
43522.751820,1.9
43522.751866,0.4
43522.751913,2.0
43522.751959,1.9
43522.752005,2.0
43522.752052,0.4
43522.752098,2.0
43522.752144,1.9
43522.752190,1.9
43522.752237,0.4
43522.752283,2.0
43522.752329,1.9
43522.752376,1.9
43522.752422,0.4
43522.752468,1.9
43522.752515,1.9
43522.752561,1.9
43522.752608,2.0
43522.752653,0.3
43522.752700,1.9
43522.752746,2.0
43522.752793,1.9
43522.752839,0.4
43522.752885,1.9
43522.752931,2.1
43522.752977,2.0
43522.753024,0.4
43522.753070,2.0
43522.753116,1.9
43522.753163,2.0
43522.753209,0.4
43522.753255,1.9
43522.753302,1.9
43522.753348,2.0
43522.753394,0.4
43522.753440,2.0
43522.753487,2.1
43522.753533,1.9
43522.753579,0.4
43522.753626,2.1
43522.753672,1.9
43522.753718,2.0
43522.753765,0.4
