Time,Used
43522.746451,282759168
43522.746496,286232216
43522.746542,287100048
43522.746588,287678120
43522.746635,288256224
43522.746681,288834848
43522.746727,289413424
43522.746774,289992984
43522.746820,290281992
43522.746866,290860072
43522.746912,292037064
43522.746959,292245056
43522.747005,292534160
43522.747051,292823168
43522.747098,293113216
43522.747144,293402256
43522.747190,293691344
43522.747237,293980352
43522.747283,294269360
43522.747329,294269360
43522.747375,294558432
43522.747422,297799296
43522.747468,298088304
43522.747514,299244336
43522.747561,299822352
43522.747607,300689488
43522.747653,301556672
43522.747700,302134760
43522.747746,90604520
43522.747792,91910488
43522.747838,80733104
43522.747885,80152352
43522.747931,80148024
43522.747977,81059088
43522.748024,80950680
43522.748070,80627216
43522.748116,80843784
43522.748162,81618592
43522.748209,81376840
43522.748255,81089512
43522.748301,81402632
43522.748348,82012672
43522.748394,81972000
43522.748440,81766808
43522.748487,81859240
43522.748533,82488592
43522.748579,82405920
43522.748625,82048672
43522.748672,82578824
43522.748718,83249424
43522.748764,82672336
43522.748811,82959536
43522.748857,83053056
43522.748903,83741776
43522.748950,83327472
43522.748996,83420936
43522.749042,83822848
43522.749088,84543064
43522.749135,83763752
43522.749181,84012216
43522.749227,84105648
43522.749274,85278536
43522.749320,84341200
43522.749366,84434760
43522.749413,84631512
43522.749459,85389152
43522.749505,84725040
43522.749551,84921872
43522.749598,85015824
43522.749644,85783104
43522.749690,85199784
43522.749737,85293504
43522.749783,85464384
43522.749829,86247512
43522.749876,85557880
43522.749922,85930112
43522.749968,85809472
43522.750014,86598568
43522.750061,85967608
43522.750107,86061104
43522.750153,86193272
43522.750200,86992120
43522.750246,86286768
43522.750292,86109160
43522.750338,86512576
43522.750385,87315008
43522.750431,86644808
43522.750477,86738240
43522.750524,86857624
43522.750570,87666136
43522.750616,86951056
43522.750663,87071056
43522.750709,87164576
43522.750755,87975544
43522.750801,87284664
43522.750848,87090944
43522.750894,87484672
43522.750940,88299192
43522.750987,87578352
43522.751033,87684512
43522.751079,87778008
43522.751126,88593744
43522.751172,87898568
43522.751218,87992128
43522.751264,88085560
43522.751311,88903800
43522.751357,88179080
43522.751403,88285560
43522.751450,88378992
43522.751496,89198432
43522.751542,88485392
43522.751589,88578952
43522.751635,88673256
43522.751681,89493816
43522.751727,88767840
43522.751774,88861400
43522.751820,88954808
43522.751866,89775360
43522.751913,89592144
43522.751959,89141864
43522.752005,89235416
43522.752051,90545368
43522.752098,89872680
43522.752144,89448184
43522.752190,89541728
43522.752237,90364696
43522.752283,90180624
43522.752329,89728696
43522.752376,89822128
43522.752422,90645104
43522.752468,90461160
43522.752514,90009144
43522.752561,90102664
43522.752607,90196160
43522.752653,90741608
43522.752700,90289608
43522.752746,90384360
43522.752792,90476664
43522.752839,91022160
43522.752885,90570144
43522.752931,90838440
43522.752977,90757144
43522.753024,91580104
43522.753070,90850688
43522.753116,90944200
43522.753163,91037696
43522.753209,91860648
43522.753255,91131176
43522.753302,91224672
43522.753348,91318168
43522.753394,92364032
43522.753440,91411744
43522.753487,91505240
43522.753533,91598736
43522.753579,92421720
43522.753626,91692320
43522.753672,91785752
43522.753718,91879336
43522.753764,92702304
