Time,CPU Usage
43522.452312,5.5
43522.452358,4.3
43522.452404,1.6
43522.452450,1.8
43522.452497,1.2
43522.452543,1.0
43522.452589,1.8
43522.452635,0.9
43522.452682,15.2
43522.452728,20.6
43522.452774,16.1
43522.452821,12.3
43522.452867,10.2
43522.452913,15.5
43522.452959,12.3
43522.453006,18.2
43522.453052,24.1
43522.453098,12.9
43522.453145,12.8
43522.453191,10.4
43522.453237,7.9
43522.453284,7.0
43522.453330,8.3
43522.453376,5.9
43522.453422,5.0
43522.453469,5.1
43522.453515,5.3
43522.453561,5.9
43522.453608,5.3
43522.453654,5.3
43522.453700,5.4
43522.453747,5.4
43522.453793,5.4
43522.453839,5.2
43522.453885,5.6
43522.453932,4.8
43522.453978,6.3
43522.454024,5.2
43522.454071,4.6
43522.454117,4.8
43522.454163,5.4
43522.454209,4.8
43522.454256,5.8
43522.454302,4.6
43522.454348,4.4
43522.454395,4.9
43522.454441,4.4
43522.454487,4.3
43522.454534,5.1
43522.454580,4.4
43522.454626,5.2
43522.454672,4.7
43522.454719,4.6
43522.454765,5.6
43522.454811,6.8
43522.454858,4.8
43522.454904,5.4
43522.454950,4.7
43522.454997,5.5
43522.455043,5.1
43522.455089,4.7
43522.455135,5.3
43522.455182,4.8
43522.455228,4.7
43522.455274,5.4
43522.455321,4.9
43522.455367,5.3
43522.455413,4.7
43522.455459,4.8
43522.455506,5.1
43522.455552,4.8
43522.455598,4.7
43522.455645,5.1
43522.455691,4.4
43522.455737,5.0
43522.455784,4.5
43522.455830,4.7
43522.455876,5.1
43522.455922,4.3
43522.455969,4.1
43522.456015,5.1
43522.456061,4.7
43522.456108,5.7
43522.456154,4.5
43522.456200,4.8
43522.456247,5.0
43522.456293,4.3
43522.456339,4.5
43522.456385,5.0
43522.456432,5.1
43522.456478,5.1
43522.456524,4.6
43522.456571,5.1
43522.456617,5.1
43522.456663,4.6
43522.456710,4.6
43522.456756,5.4
43522.456802,4.7
43522.456848,5.3
43522.456895,4.6
43522.456941,5.0
43522.456987,5.4
43522.457034,4.6
43522.457080,5.3
43522.457126,4.6
43522.457172,5.1
43522.457219,5.4
43522.457265,4.7
43522.457311,4.6
43522.457358,5.3
43522.457404,4.6
43522.457450,5.4
43522.457497,4.5
43522.457543,4.6
43522.457589,5.2
43522.457635,4.5
43522.457682,4.6
43522.457728,5.4
43522.457774,4.7
43522.457821,5.6
43522.457867,4.6
43522.457913,4.6
43522.457960,5.3
43522.458006,4.6
43522.458052,4.6
43522.458098,5.3
43522.458145,4.6
43522.458191,5.3
43522.458237,4.6
43522.458284,4.5
43522.458330,5.3
43522.458376,4.4
43522.458423,4.6
43522.458469,5.3
43522.458515,4.8
43522.458561,5.9
43522.458608,4.5
43522.458654,4.6
43522.458700,5.3
43522.458747,5.0
43522.458793,4.5
43522.458839,5.4
43522.458886,5.5
43522.458932,5.4
43522.458978,4.9
43522.459024,4.6
43522.459071,5.1
43522.459117,4.8
43522.459163,4.5
43522.459210,5.2
43522.459256,4.4
43522.459302,5.0
43522.459348,4.6
43522.459395,4.6
43522.459441,6.8
43522.459487,4.5
43522.459534,4.4
43522.459580,5.3
43522.459626,4.6
43522.459673,5.2
43522.459719,4.6
43522.459765,4.6
43522.459811,5.3
43522.459858,4.6
43522.459904,4.6
43522.459950,5.3
43522.459997,4.6
43522.460043,5.2
43522.460089,4.6
43522.460136,4.6
43522.460182,5.3
43522.460228,4.6
43522.460275,5.3
43522.460321,4.6
43522.460367,4.5
43522.460413,5.3
43522.460460,4.6
43522.460506,4.5
43522.460552,5.3
43522.460599,5.2
43522.460645,6.4
43522.460691,5.1
43522.460737,5.0
43522.460784,5.2
43522.460830,4.6
43522.460876,4.6
43522.460923,5.3
43522.460969,4.8
43522.461015,5.4
43522.461061,4.4
43522.461108,4.7
43522.461154,5.2
43522.461200,4.6
43522.461247,4.6
43522.461293,5.3
43522.461339,4.5
43522.461386,5.3
43522.461432,4.4
43522.461478,4.7
43522.461524,5.3
43522.461571,4.6
43522.461617,4.6
43522.461663,5.3
43522.461710,4.4
43522.461756,5.2
43522.461802,4.5
43522.461849,4.6
43522.461895,5.3
43522.461941,4.5
43522.461987,4.5
43522.462034,5.3
43522.462080,4.7
43522.462126,5.2
43522.462173,4.2
43522.462219,4.9
43522.462265,5.3
43522.462312,4.5
43522.462358,4.6
43522.462404,5.2
43522.462450,4.5
43522.462497,5.4
43522.462543,4.6
43522.462589,4.9
43522.462636,5.4
43522.462682,4.6
43522.462728,4.4
43522.462775,5.3
43522.462821,4.6
43522.462867,5.4
43522.462913,4.8
43522.462960,4.5
43522.463006,5.6
43522.463052,4.9
43522.463099,4.4
43522.463145,5.3
43522.463191,4.9
43522.463237,5.3
43522.463284,4.5
43522.463330,4.5
