Time,Used
43522.477186,154140672
43522.477231,158334976
43522.477277,159383552
43522.477324,160432128
43522.477370,161480704
43522.477416,161480704
43522.477463,162529280
43522.477509,163577856
43522.477555,186646528
43522.477602,53720576
43522.477648,78886400
43522.477694,105100800
43522.477740,141800960
43522.477787,176403968
43522.477833,43305952
43522.477879,48024544
43522.477926,48275624
43522.477972,54902264
43522.478018,52053496
43522.478064,31870984
43522.478111,66473992
43522.478157,59275712
43522.478203,43473704
43522.478250,34220784
43522.478296,68823792
43522.478342,55087584
43522.478389,44739384
43522.478435,33105896
43522.478481,66660328
43522.478527,55262336
43522.478574,44668840
43522.478620,32216328
43522.478666,65770760
43522.478713,56226744
43522.478759,44821432
43522.478805,34232544
43522.478852,67786976
43522.478898,56381328
43522.478944,45788272
43522.478990,34382864
43522.479037,68985872
43522.479083,57349760
43522.479129,44897968
43522.479176,35348216
43522.479222,69951224
43522.479268,57497544
43522.479315,46911304
43522.479361,34459512
43522.479407,69062520
43522.479453,58463944
43522.479500,46006528
43522.479546,36466064
43522.479592,70020496
43522.479639,57566944
43522.479685,48023832
43522.479731,35562888
43522.479777,26025656
43522.479824,59580088
43522.479870,47131312
43522.479916,37582448
43522.479963,71136880
43522.480009,58682800
43522.480055,49139032
43522.480102,36678928
43522.480148,27141384
43522.480194,60695816
43522.480240,48236216
43522.480287,38698008
43522.480333,72252440
43522.480379,59792840
43522.480426,50254392
43522.480472,36765704
43522.480518,27208896
43522.480565,61811904
43522.480611,49365968
43522.480657,39813000
43522.480703,26308352
43522.480750,60911360
43522.480796,51370104
43522.480842,37869736
43522.480889,29371816
43522.480935,62926248
43522.480981,50467152
43522.481028,40929280
43522.481074,28475904
43522.481120,62030336
43522.481166,52487480
43522.481213,40040544
43522.481259,29441520
43522.481305,64044528
43522.481352,51587280
43522.481398,42048136
43522.481444,28541976
43522.481490,63144984
43522.481537,53605856
43522.481583,40098688
43522.481629,30558840
43522.481676,65161848
43522.481722,52701744
43522.481768,42115632
43522.481815,30710480
43522.481861,64264912
43522.481907,54720704
43522.481953,42260096
43522.482000,32722792
43522.482046,66277224
43522.482092,53821384
43522.482139,44282336
43522.482185,31833928
43522.482231,65388360
43522.482278,55836680
43522.482324,43381112
43522.482370,33838552
43522.482416,67392984
43522.482463,54939432
43522.482509,45395144
43522.482555,32941416
43522.482602,66495848
43522.482648,56951808
43522.482694,44499664
43522.482740,33905344
43522.482787,68508352
43522.482833,56055504
43522.482879,46515176
43522.482926,33019664
43522.482972,67622672
43522.483018,57019936
43522.483065,44563696
43522.483111,35023584
43522.483157,69626592
43522.483203,57174096
43522.483250,46577776
43522.483296,34119688
43522.483342,68722696
43522.483389,59182400
43522.483435,46722128
43522.483481,37184512
43522.483528,70738944
43522.483574,58281360
43522.483620,48741064
43522.483666,36291920
43522.483713,26744688
43522.483759,60299120
43522.483805,47840864
43522.483852,38299832
43522.483898,71854264
43522.483944,59401008
43522.483991,49856912
43522.484037,37403536
43522.484083,27859496
43522.484129,61413928
43522.484176,48962664
43522.484222,39415344
43522.484268,26964080
43522.484315,61567088
43522.484361,50972000
43522.484407,38519152
43522.484454,28977256
43522.484500,62531688
43522.484546,51132592
43522.484592,40531600
43522.484639,29128560
43522.484685,63731568
43522.484731,52094912
43522.484778,40684608
43522.484824,30100408
43522.484870,63654840
43522.484916,52258136
43522.484963,41656416
43522.485009,30254432
43522.485055,64857440
43522.485102,53213504
43522.485148,41802312
43522.485194,31215120
43522.485241,65818128
43522.485287,54411920
43522.485333,42771464
43522.485379,31368024
43522.485426,65971032
43522.485472,54329352
43522.485518,42918664
43522.485565,32331000
43522.485611,66934008
43522.485657,55525168
43522.485704,43891480
43522.485750,32492016
43522.485796,67095024
43522.485842,55446200
43522.485889,44046096
43522.485935,33457248
43522.485981,68060256
43522.486028,56659480
43522.486074,46062224
43522.486120,34654728
43522.486167,68209160
43522.486213,57630112
43522.486259,46221856
43522.486305,34583704
43522.486352,69186712
43522.486398,57778712
43522.486444,47191928
43522.486491,35788184
43522.486537,69342616
43522.486583,58744992
43522.486629,47345712
43522.486676,36747520
43522.486722,70301952
43522.486768,58896800
43522.486815,48304128
43522.486861,36899680
43522.486907,70454112
43522.486954,59862344
43522.487000,48460216
43522.487046,37865064
43522.487092,71419496
43522.487139,60014080
43522.487185,49420520
43522.487231,38009664
43522.487278,27422592
43522.487324,60977024
43522.487370,49577008
43522.487417,37931952
43522.487463,72534960
43522.487509,61126624
43522.487555,49486976
