Time,CPU Usage
43493.493393,18.5
43493.493439,4.8
43493.493485,6.8
43493.493531,4.3
43493.493578,4.3
43493.493624,5.2
43493.493671,44.6
43493.493717,71.9
43493.493763,53.3
43493.493809,56.7
43493.493856,58.6
43493.493902,63.8
43493.493948,46.8
43493.493995,39.6
43493.494041,37.6
43493.494087,35.6
43493.494133,33.9
43493.494180,34.5
43493.494226,31.8
43493.494272,31.6
43493.494319,30.1
43493.494365,28.8
43493.494411,28.8
43493.494457,28.7
43493.494504,28.9
43493.494550,27.1
43493.494597,26.5
43493.494643,25.6
43493.494689,23.9
43493.494735,23.9
43493.494782,23.4
43493.494828,24.5
43493.494875,22.7
43493.494920,23.9
43493.494967,23.2
43493.495013,23.5
43493.495059,24.0
43493.495106,23.2
43493.495152,23.5
43493.495198,23.9
43493.495245,23.6
43493.495291,23.0
43493.495337,22.8
43493.495383,22.7
43493.495430,23.1
43493.495476,22.7
43493.495522,23.4
43493.495569,22.9
43493.495615,22.7
43493.495661,24.9
43493.495708,22.9
43493.495754,22.2
43493.495800,23.5
43493.495846,23.9
43493.495893,23.4
43493.495939,23.4
43493.495985,23.4
43493.496032,23.7
43493.496078,23.8
43493.496124,22.8
43493.496170,23.5
43493.496217,23.5
43493.496263,23.8
43493.496310,22.8
43493.496356,23.5
43493.496402,24.1
43493.496448,23.7
43493.496495,23.6
43493.496541,24.1
43493.496587,23.7
43493.496633,22.6
43493.496680,22.4
43493.496726,23.0
43493.496772,23.5
43493.496819,22.6
43493.496865,22.9
43493.496911,23.3
43493.496958,23.1
43493.497004,23.9
43493.497050,22.8
43493.497096,22.8
43493.497143,22.7
43493.497189,27.9
43493.497235,23.2
43493.497282,24.1
43493.497328,23.4
43493.497374,22.3
43493.497421,23.8
43493.497467,22.6
43493.497513,23.2
43493.497559,22.5
43493.497606,24.2
43493.497652,23.7
43493.497698,24.8
43493.497745,21.7
43493.497791,21.4
43493.497837,21.9
43493.497883,21.6
43493.497930,21.9
43493.497976,22.3
43493.498022,22.6
43493.498069,22.9
43493.498115,23.7
43493.498161,25.0
43493.498208,24.2
43493.498254,21.7
43493.498300,22.2
43493.498346,25.0
43493.498393,21.7
43493.498439,22.6
43493.498485,21.6
43493.498532,22.7
43493.498578,23.0
43493.498624,23.8
43493.498671,23.1
43493.498717,23.1
43493.498763,22.9
43493.498809,23.4
43493.498856,21.7
43493.498902,21.4
43493.498948,21.5
43493.498995,21.6
43493.499041,22.3
43493.499087,22.5
43493.499134,22.6
43493.499180,24.3
43493.499226,25.4
43493.499272,21.7
43493.499319,22.0
43493.499365,21.7
43493.499411,22.8
43493.499458,21.9
43493.499504,21.6
43493.499550,21.5
43493.499596,22.0
43493.499643,21.9
43493.499689,21.5
43493.499735,21.7
43493.499782,21.4
43493.499828,21.5
43493.499874,21.4
43493.499921,21.9
43493.499967,21.4
43493.500013,21.5
43493.500059,21.1
43493.500106,21.4
43493.500152,21.4
43493.500198,21.6
43493.500245,21.4
43493.500291,21.4
43493.500337,21.3
43493.500383,21.7
43493.500430,21.4
43493.500476,21.7
43493.500522,21.5
43493.500569,21.7
43493.500615,21.6
43493.500661,21.5
43493.500708,21.7
43493.500754,21.4
43493.500800,21.6
43493.500846,21.6
43493.500893,21.5
43493.500939,21.3
43493.500985,21.5
43493.501032,21.4
43493.501078,21.4
43493.501124,21.5
43493.501171,21.3
43493.501217,21.6
43493.501263,21.6
43493.501309,21.6
43493.501356,21.7
43493.501402,21.4
43493.501448,21.5
43493.501495,21.4
43493.501541,21.3
43493.501587,21.6
43493.501634,21.6
43493.501680,21.3
43493.501726,21.4
43493.501772,21.4
43493.501819,21.3
43493.501865,21.3
43493.501911,21.4
43493.501958,21.4
43493.502004,21.3
43493.502050,21.5
43493.502097,21.6
43493.502143,21.3
43493.502189,21.4
43493.502235,21.6
43493.502282,21.5
43493.502328,21.5
43493.502374,21.5
43493.502421,21.4
43493.502467,21.3
43493.502513,21.8
43493.502560,21.8
43493.502606,21.6
43493.502652,21.9
43493.502698,21.6
43493.502745,22.4
43493.502791,22.0
43493.502837,21.9
43493.502884,26.0
43493.502930,23.6
43493.502976,22.8
43493.503022,21.4
43493.503069,21.5
43493.503115,21.5
43493.503161,21.4
43493.503208,22.2
43493.503254,21.6
43493.503300,21.6
43493.503347,21.5
43493.503393,23.6
43493.503439,23.5
43493.503485,23.9
43493.503532,23.7
43493.503578,25.6
43493.503624,24.1
43493.503671,23.8
43493.503717,23.6
43493.503763,22.6
43493.503810,23.0
43493.503856,23.3
43493.503902,24.1
43493.503948,23.7
43493.503995,23.8
43493.504041,23.6
43493.504087,23.6
43493.504134,23.7
43493.504180,24.7
43493.504226,23.7
43493.504273,23.8
43493.504319,23.6
43493.504365,23.6
43493.504411,23.6
43493.504458,24.2
43493.504504,25.3
43493.504550,23.9
43493.504597,23.7
43493.504643,24.9
43493.504689,25.1
43493.504736,24.7
43493.504782,23.8
43493.504828,24.2
43493.504874,24.0
43493.504921,23.8
43493.504967,23.9
43493.505013,24.2
43493.505060,24.0
43493.505106,24.4
43493.505152,23.9
43493.505198,23.9
43493.505245,23.8
43493.505291,25.1
43493.505337,25.3
43493.505384,28.1
43493.505430,27.2
43493.505476,25.6
43493.505523,27.1
43493.505569,24.9
43493.505615,24.8
43493.505661,24.4
43493.505708,24.8
43493.505754,24.4
43493.505800,26.6
43493.505847,26.0
43493.505893,26.4
43493.505939,26.3
43493.505985,25.6
43493.506032,25.3
43493.506078,24.1
43493.506124,27.4
43493.506171,24.6
43493.506217,26.2
43493.506263,29.8
43493.506310,56.7
43493.506359,27.5
43493.506402,16.0
43493.506448,16.1
43493.506495,16.4
43493.506541,15.6
43493.506587,15.5
43493.506634,14.8
43493.506680,14.7
43493.506726,15.9
43493.506773,16.2
43493.506819,15.6
43493.506865,15.4
43493.506911,16.7
43493.506958,15.8
43493.507004,15.2
43493.507050,15.3
