Time,Used
43493.493348,143322112
43493.493392,162196480
43493.493439,167439360
43493.493485,172682240
43493.493531,176876544
43493.493578,181070848
43493.493624,186313728
43493.493670,197370880
43493.493717,258188288
43493.493763,235119616
43493.493809,206283776
43493.493855,244010816
43493.493902,134980608
43493.493948,217293824
43493.493994,303801344
43493.494041,146514944
43493.494087,232498176
43493.494133,79406080
43493.494180,169583616
43493.494226,261054464
43493.494272,96273112
43493.494318,180897792
43493.494365,264826368
43493.494411,99524096
43493.494457,180861440
43493.494504,256162488
43493.494550,89309472
43493.494596,170211328
43493.494643,248994624
43493.494689,330181472
43493.494735,158757416
43493.494781,240343584
43493.494828,320150720
43493.494874,152601216
43493.494920,232760688
43493.494967,316055648
43493.495013,147793392
43493.495059,227298144
43493.495106,308132128
43493.495152,140232312
43493.495198,220379360
43493.495244,301582392
43493.495291,135127280
43493.495337,217393424
43493.495383,300338912
43493.495430,132429176
43493.495476,216417792
43493.495522,298335632
43493.495568,129409040
43493.495615,213757552
43493.495661,295640288
43493.495707,131248608
43493.495754,214900736
43493.495800,295423648
43493.495846,131026848
43493.495893,210814024
43493.495939,294114216
43493.495985,125873152
43493.496031,207812000
43493.496078,289391104
43493.496124,121170816
43493.496170,204473120
43493.496217,286740736
43493.496263,117810128
43493.496309,202484736
43493.496356,282304272
43493.496402,112305056
43493.496448,193523184
43493.496494,276462592
43493.496541,355926560
43493.496587,189090736
43493.496633,272028520
43493.496680,357420192
43493.496726,191616544
43493.496772,276320432
43493.496819,359617136
43493.496865,194162176
43493.496911,277127888
43493.496957,360447496
43493.497004,194690784
43493.497050,278690336
43493.497096,363032288
43493.497143,196539008
43493.497189,278790976
43493.497235,362088944
43493.497281,195254656
43493.497328,279262224
43493.497374,364293632
43493.497420,197820888
43493.497467,282167488
43493.497513,366533488
43493.497559,198994816
43493.497606,283342128
43493.497652,367686928
43493.497698,200493848
43493.497744,285881936
43493.497791,370612128
43493.497837,204830864
43493.497883,289174592
43493.497930,373520112
43493.497976,208433720
43493.498022,292116416
43493.498069,377859072
43493.498115,211746800
43493.498161,296811056
43493.498207,135555280
43493.498254,220585952
43493.498300,309149416
43493.498346,150342656
43493.498393,239608000
43493.498439,327781568
43493.498485,173529480
43493.498532,264526608
43493.498578,354111776
43493.498624,202660264
43493.498670,293665104
43493.498717,144663008
43493.498763,238083448
43493.498809,331878352
43493.498856,187043136
43493.498902,284316720
43493.498948,381239088
43493.498995,239894016
43493.499041,336132360
43493.499087,196582056
43493.499133,297690208
43493.499180,159839920
43493.499226,257800424
43493.499272,358228304
43493.499319,227028360
43493.499365,329904640
43493.499411,197962064
43493.499457,301162592
43493.499504,175180088
43493.499550,280141232
43493.499596,151357848
43493.499643,261546608
43493.499689,367244232
43493.499735,244073752
43493.499782,350418880
43493.499828,228651008
43493.499874,338163712
43493.499920,218403088
43493.499967,329331296
43493.500013,215514960
43493.500059,326039712
43493.500106,211594752
43493.500152,323105280
43493.500198,212881408
43493.500245,327557392
43493.500291,219347984
43493.500337,333755248
43493.500383,230088520
43493.500430,346988544
43493.500476,244021760
43493.500522,360829440
43493.500569,261986864
43493.500615,380890976
43493.500661,281779616
43493.500708,187518832
43493.500754,308524888
43493.500800,214965464
43493.500846,337739520
43493.500893,245284704
43493.500939,369423760
43493.500985,280376832
43493.501032,194199840
43493.501078,319059680
43493.501124,237019456
43493.501170,364611864
43493.501217,282291376
43493.501263,203083760
43493.501309,332762960
43493.501356,253597832
43493.501402,177113584
43493.501448,310705856
43493.501495,236754776
43493.501541,369262968
43493.501587,299049328
43493.501633,228976128
43493.501680,362833768
43493.501726,293046272
43493.501772,224166832
43493.501819,360564016
43493.501865,295276024
43493.501911,232838144
43493.501958,371628544
43493.502004,307394048
43493.502050,246574032
43493.502096,190715456
43493.502143,332644320
43493.502189,278585344
43493.502235,222553984
43493.502282,363600896
43493.502328,309821952
43493.502374,258160128
43493.502421,206470144
43493.502467,350486528
43493.502513,302982144
43493.502559,255476224
43493.502606,209025536
43493.502652,356189184
43493.502698,312871424
43493.502745,271649792
43493.502791,230440960
43493.502837,379522280
43493.502884,339539456
43493.502930,302291736
43493.502976,265283736
43493.503022,232449152
43493.503069,199601144
43493.503115,354307072
43493.503161,323356568
43493.503208,295739600
43493.503254,268342784
43493.503300,242597976
43493.503346,218119408
43493.503393,371281776
43493.503439,348914608
43493.503485,327846696
43493.503532,306257808
43493.503578,286229792
43493.503624,269855552
43493.503671,253773232
43493.503717,238992712
43493.503763,227853232
43493.503809,215934128
43493.503856,380108064
43493.503902,370037264
43493.503948,362301408
43493.503995,355385072
43493.504041,350009600
43493.504087,345416352
43493.504134,342957456
43493.504180,339407104
43493.504226,340049072
43493.504272,340452264
43493.504319,342152432
43493.504365,345963976
43493.504411,352097456
43493.504458,356923520
43493.504504,363852256
43493.504550,373931328
43493.504597,383754760
43493.504643,231850720
43493.504689,244568576
43493.504735,253821304
43493.504782,266732480
43493.504828,281062400
43493.504874,297412096
43493.504921,315048400
43493.504967,334525608
43493.505013,355881984
43493.505059,376328672
43493.505106,241026048
43493.505152,264728576
43493.505198,290442624
43493.505245,317265088
43493.505291,344156160
43493.505337,372006912
43493.505384,243837216
43493.505430,270401208
43493.505476,301630432
43493.505522,332642176
43493.505569,366783392
43493.505615,253345312
43493.505661,290625824
43493.505708,329988480
43493.505754,370524672
43493.505800,261168928
43493.505847,302620992
43493.505893,343034368
43493.505939,240080224
43493.505985,287595912
43493.506032,335344328
43493.506078,385191680
43493.506124,289791488
43493.506171,341508184
43493.506217,253413504
43493.506263,306664896
43493.506309,298578288
43493.506356,338028064
43493.506402,561374752
43493.506448,463868000
43493.506495,367525888
43493.506541,585629696
43493.506587,479191136
43493.506634,368858016
43493.506680,583816096
43493.506726,470537344
43493.506772,353127096
43493.506819,568085176
43493.506865,448541344
43493.506911,325860240
43493.506958,540818320
43493.507004,417054952
43493.507050,292322528
43493.507097,507280608
43493.507143,380428960
43493.507189,594338464
43493.507235,467514056
43493.507282,338554480
43493.507328,554561136
43493.507374,425609472
43493.507421,295605184
43493.507467,510563264
43493.507513,380519600
43493.507560,595477680
43493.507606,465484000
43493.507652,335487552
43493.507698,550445632
43493.507745,420451008
43493.507791,289350448
43493.507837,504308528
43493.507884,373341080
43493.507930,588299160
43493.507976,458289320
43493.508023,326212552
43493.508069,541170632
43493.508115,410095472
43493.508161,279009440
43493.508208,493967520
43493.508254,361860848
43493.508300,576818928
43493.508347,446810048
43493.508393,316763744
43493.508439,530673248
