Time,Used,Committed,Max
43493.493348,107700648,116776960,-1
43493.493392,109498800,118611968,-1
43493.493439,109737432,118808576,-1
43493.493485,109997624,119070720,-1
43493.493531,110086200,119136256,-1
43493.493578,110289872,119267328,-1
43493.493624,110452952,119463936,-1
43493.493670,125782632,136896512,-1
43493.493717,128434248,141221888,-1
43493.493763,129809176,141746176,-1
43493.493809,130539160,142336000,-1
43493.493855,132914176,144236544,-1
43493.493902,134557768,145809408,-1
43493.493948,135299096,146661376,-1
43493.493994,135556064,146857984,-1
43493.494041,135727232,147316736,-1
43493.494087,135858608,147382272,-1
43493.494133,135874136,147382272,-1
43493.494180,135952728,147513344,-1
43493.494226,135982208,147513344,-1
43493.494272,136006656,147513344,-1
43493.494318,136032136,147513344,-1
43493.494365,136128360,147644416,-1
43493.494411,136210992,147775488,-1
43493.494457,136278992,147775488,-1
43493.494504,136362208,147906560,-1
43493.494550,136401056,147906560,-1
43493.494596,136426256,147906560,-1
43493.494643,133501456,147972096,-1
43493.494689,133554064,147972096,-1
43493.494735,133566992,147972096,-1
43493.494781,133609160,147972096,-1
43493.494828,133645056,147972096,-1
43493.494874,133666472,147972096,-1
43493.494920,133748672,147972096,-1
43493.494967,133808960,147972096,-1
43493.495013,133838912,147972096,-1
43493.495059,133871936,147972096,-1
43493.495106,133886656,147972096,-1
43493.495152,133919256,147972096,-1
43493.495198,134019240,147972096,-1
43493.495244,134058792,147972096,-1
43493.495291,134113824,147972096,-1
43493.495337,134129824,147972096,-1
43493.495383,134183008,147972096,-1
43493.495430,134211064,147972096,-1
43493.495476,134292472,147972096,-1
43493.495522,134361680,147972096,-1
43493.495568,134392808,147972096,-1
43493.495615,134410600,147972096,-1
43493.495661,134414312,147972096,-1
43493.495707,134428776,147972096,-1
43493.495754,134442856,147972096,-1
43493.495800,134459112,147972096,-1
43493.495846,134516456,147972096,-1
43493.495893,134546936,147972096,-1
43493.495939,134629224,147972096,-1
43493.495985,134640104,147972096,-1
43493.496031,134673256,148037632,-1
43493.496078,134729320,148037632,-1
43493.496124,134749800,148037632,-1
43493.496170,134785128,148103168,-1
43493.496217,134851048,148168704,-1
43493.496263,134888592,148168704,-1
43493.496309,134904832,148168704,-1
43493.496356,134941184,148168704,-1
43493.496402,134941184,148168704,-1
43493.496448,134958528,148168704,-1
43493.496494,134996152,148168704,-1
43493.496541,135051832,148168704,-1
43493.496587,135090744,148168704,-1
43493.496633,135103544,148234240,-1
43493.496680,135136296,148234240,-1
43493.496726,135142632,148234240,-1
43493.496772,135146472,148234240,-1
43493.496819,135149352,148234240,-1
43493.496865,135162024,148234240,-1
43493.496911,135173184,148234240,-1
43493.496957,135213248,148299776,-1
43493.497004,135222552,148299776,-1
43493.497050,135256856,148299776,-1
43493.497096,135262104,148299776,-1
43493.497143,135262104,148299776,-1
43493.497189,135382296,148365312,-1
43493.497235,135430224,148365312,-1
43493.497281,135454800,148365312,-1
43493.497328,135458312,148365312,-1
43493.497374,135462280,148365312,-1
43493.497420,135475592,148365312,-1
43493.497467,135479560,148365312,-1
43493.497513,135491720,148365312,-1
43493.497559,135532168,148365312,-1
43493.497606,135561096,148365312,-1
43493.497652,135563144,148365312,-1
43493.497698,135563144,148365312,-1
43493.497744,135573776,148365312,-1
43493.497791,135613408,148365312,-1
43493.497837,135617168,148365312,-1
43493.497883,135635344,148365312,-1
43493.497930,135635344,148365312,-1
43493.497976,135638936,148365312,-1
43493.498022,135646288,148365312,-1
43493.498069,135671376,148430848,-1
43493.498115,135699792,148430848,-1
43493.498161,135730000,148496384,-1
43493.498207,135750736,148496384,-1
43493.498254,135751760,148496384,-1
43493.498300,135791824,148496384,-1
43493.498346,135824976,148496384,-1
43493.498393,135831504,148496384,-1
43493.498439,135832784,148561920,-1
43493.498485,135835600,148561920,-1
43493.498532,135841008,148561920,-1
43493.498578,135841008,148561920,-1
43493.498624,135841008,148561920,-1
43493.498670,135842416,148561920,-1
43493.498717,135842416,148561920,-1
43493.498763,135842416,148561920,-1
43493.498809,135853040,148561920,-1
43493.498856,135857904,148561920,-1
43493.498902,135858672,148561920,-1
43493.498948,135858672,148561920,-1
43493.498995,135859568,148561920,-1
43493.499041,135879920,148561920,-1
43493.499087,135890416,148561920,-1
43493.499133,135902992,148561920,-1
43493.499180,135909904,148561920,-1
43493.499226,135940848,148627456,-1
43493.499272,135956600,148627456,-1
43493.499319,135981176,148627456,-1
43493.499365,135990680,148627456,-1
43493.499411,135998648,148627456,-1
