Time,Used,Committed,Max,Threshold
43493.594924,180355072,208666624,-1,-1
43493.594969,11534336,218103808,-1,-1
43493.595016,16777216,218103808,-1,-1
43493.595062,20971520,218103808,-1,-1
43493.595108,25165824,218103808,-1,-1
43493.595155,29360128,218103808,-1,-1
43493.595201,40894464,219152384,-1,-1
43493.595247,92274688,225443840,-1,-1
43493.595293,99614720,225443840,-1,-1
43493.595340,105906176,225443840,-1,-1
43493.595386,110100480,225443840,-1,-1
43493.595432,116391936,225443840,-1,-1
43493.595479,121634816,225443840,-1,-1
43493.595525,126877696,225443840,-1,-1
43493.595571,132120576,225443840,-1,-1
43493.595618,136314880,225443840,-1,-1
43493.595664,139460608,225443840,-1,-1
43493.595710,56623104,224395264,-1,-1
43493.595756,180355072,224395264,-1,-1
43493.595803,93323264,229638144,-1,-1
43493.595849,210763776,229638144,-1,-1
43493.595895,110100480,228589568,-1,-1
43493.595942,15728640,228589568,-1,-1
43493.595988,136314880,227540992,-1,-1
43493.596034,42991616,227540992,-1,-1
43493.596081,164626432,226492416,-1,-1
43493.596127,75497472,226492416,-1,-1
43493.596173,197132288,226492416,-1,-1
43493.596219,106954752,226492416,-1,-1
43493.596266,17825792,226492416,-1,-1
43493.596312,140509184,226492416,-1,-1
43493.596358,51380224,226492416,-1,-1
43493.596405,175112192,226492416,-1,-1
43493.596451,83886080,226492416,-1,-1
43493.596497,207618048,226492416,-1,-1
43493.596544,117440512,226492416,-1,-1
43493.596590,28311552,226492416,-1,-1
43493.596636,152043520,226492416,-1,-1
43493.596682,61865984,226492416,-1,-1
43493.596729,185597952,227540992,-1,-1
43493.596775,94371840,226492416,-1,-1
43493.596821,4194304,226492416,-1,-1
43493.596868,128974848,226492416,-1,-1
43493.596914,38797312,226492416,-1,-1
43493.596960,162529280,226492416,-1,-1
43493.597007,72351744,226492416,-1,-1
43493.597053,196083712,226492416,-1,-1
43493.597099,105906176,226492416,-1,-1
43493.597145,16777216,226492416,-1,-1
43493.597192,140509184,226492416,-1,-1
43493.597238,50331648,226492416,-1,-1
43493.597284,173015040,226492416,-1,-1
43493.597331,82837504,226492416,-1,-1
43493.597377,206569472,226492416,-1,-1
43493.597423,117440512,226492416,-1,-1
43493.597469,27262976,226492416,-1,-1
43493.597516,150994944,226492416,-1,-1
43493.597562,60817408,226492416,-1,-1
43493.597608,184549376,226492416,-1,-1
43493.597655,94371840,226492416,-1,-1
43493.597701,4194304,226492416,-1,-1
43493.597747,128974848,226492416,-1,-1
43493.597794,38797312,226492416,-1,-1
