Time,Used,Committed,Max,Threshold
43493.594924,25165824,25165824,-1,-1
43493.594969,15728640,15728640,-1,-1
43493.595016,15728640,15728640,-1,-1
43493.595062,15728640,15728640,-1,-1
43493.595108,15728640,15728640,-1,-1
43493.595155,15728640,15728640,-1,-1
43493.595201,14680064,14680064,-1,-1
43493.595247,8388608,8388608,-1,-1
43493.595293,8388608,8388608,-1,-1
43493.595340,8388608,8388608,-1,-1
43493.595386,8388608,8388608,-1,-1
43493.595432,8388608,8388608,-1,-1
43493.595479,8388608,8388608,-1,-1
43493.595525,8388608,8388608,-1,-1
43493.595571,8388608,8388608,-1,-1
43493.595618,8388608,8388608,-1,-1
43493.595664,8388608,8388608,-1,-1
43493.595710,9437184,9437184,-1,-1
43493.595756,9437184,9437184,-1,-1
43493.595803,4194304,4194304,-1,-1
43493.595849,4194304,4194304,-1,-1
43493.595895,5242880,5242880,-1,-1
43493.595942,5242880,5242880,-1,-1
43493.595988,6291456,6291456,-1,-1
43493.596034,6291456,6291456,-1,-1
43493.596081,7340032,7340032,-1,-1
43493.596127,7340032,7340032,-1,-1
43493.596173,7340032,7340032,-1,-1
43493.596219,7340032,7340032,-1,-1
43493.596266,7340032,7340032,-1,-1
43493.596312,7340032,7340032,-1,-1
43493.596358,7340032,7340032,-1,-1
43493.596405,7340032,7340032,-1,-1
43493.596451,7340032,7340032,-1,-1
43493.596497,7340032,7340032,-1,-1
43493.596544,7340032,7340032,-1,-1
43493.596590,7340032,7340032,-1,-1
43493.596636,7340032,7340032,-1,-1
43493.596682,7340032,7340032,-1,-1
43493.596729,6291456,6291456,-1,-1
43493.596775,7340032,7340032,-1,-1
43493.596821,7340032,7340032,-1,-1
43493.596868,7340032,7340032,-1,-1
43493.596914,7340032,7340032,-1,-1
43493.596960,7340032,7340032,-1,-1
43493.597007,7340032,7340032,-1,-1
43493.597053,7340032,7340032,-1,-1
43493.597099,7340032,7340032,-1,-1
43493.597145,7340032,7340032,-1,-1
43493.597192,7340032,7340032,-1,-1
43493.597238,7340032,7340032,-1,-1
43493.597284,7340032,7340032,-1,-1
43493.597331,7340032,7340032,-1,-1
43493.597377,7340032,7340032,-1,-1
43493.597423,7340032,7340032,-1,-1
43493.597469,7340032,7340032,-1,-1
43493.597516,7340032,7340032,-1,-1
43493.597562,7340032,7340032,-1,-1
43493.597608,7340032,7340032,-1,-1
43493.597655,7340032,7340032,-1,-1
43493.597701,7340032,7340032,-1,-1
43493.597747,7340032,7340032,-1,-1
43493.597794,7340032,7340032,-1,-1
43493.597840,7340032,7340032,-1,-1
43493.597886,7340032,7340032,-1,-1
43493.597932,7340032,7340032,-1,-1
43493.597979,7340032,7340032,-1,-1
43493.598025,7340032,7340032,-1,-1
43493.598071,7340032,7340032,-1,-1
43493.598118,7340032,7340032,-1,-1
43493.598164,7340032,7340032,-1,-1
43493.598210,7340032,7340032,-1,-1
43493.598257,7340032,7340032,-1,-1
43493.598303,7340032,7340032,-1,-1
43493.598349,7340032,7340032,-1,-1
43493.598395,7340032,7340032,-1,-1
43493.598442,7340032,7340032,-1,-1
43493.598488,7340032,7340032,-1,-1
43493.598534,7340032,7340032,-1,-1
43493.598581,7340032,7340032,-1,-1
43493.598627,7340032,7340032,-1,-1
43493.598673,7340032,7340032,-1,-1
43493.598719,7340032,7340032,-1,-1
43493.598766,7340032,7340032,-1,-1
43493.598812,7340032,7340032,-1,-1
43493.598858,7340032,7340032,-1,-1
43493.598905,7340032,7340032,-1,-1
43493.598951,7340032,7340032,-1,-1
43493.598997,7340032,7340032,-1,-1
43493.599044,7340032,7340032,-1,-1
43493.599090,7340032,7340032,-1,-1
43493.599136,7340032,7340032,-1,-1
43493.599182,7340032,7340032,-1,-1
43493.599229,7340032,7340032,-1,-1
43493.599275,7340032,7340032,-1,-1
43493.599321,7340032,7340032,-1,-1
43493.599368,7340032,7340032,-1,-1
43493.599414,7340032,7340032,-1,-1
43493.599460,7340032,7340032,-1,-1
43493.599507,7340032,7340032,-1,-1
43493.599553,7340032,7340032,-1,-1
43493.599599,7340032,7340032,-1,-1
43493.599645,7340032,7340032,-1,-1
43493.599692,7340032,7340032,-1,-1
43493.599738,7340032,7340032,-1,-1
43493.599784,7340032,7340032,-1,-1
43493.599831,7340032,7340032,-1,-1
43493.599877,7340032,7340032,-1,-1
43493.599923,6291456,6291456,-1,-1
43493.599970,7340032,7340032,-1,-1
43493.600016,7340032,7340032,-1,-1
43493.600062,6291456,6291456,-1,-1
43493.600108,7340032,7340032,-1,-1
43493.600155,7340032,7340032,-1,-1
43493.600201,6291456,6291456,-1,-1
43493.600247,7340032,7340032,-1,-1
43493.600294,6291456,6291456,-1,-1
43493.600340,6291456,6291456,-1,-1
43493.600386,6291456,6291456,-1,-1
43493.600432,7340032,7340032,-1,-1
43493.600479,6291456,6291456,-1,-1
43493.600525,6291456,6291456,-1,-1
43493.600571,7340032,7340032,-1,-1
43493.600618,7340032,7340032,-1,-1
43493.600664,6291456,6291456,-1,-1
43493.600710,6291456,6291456,-1,-1
43493.600757,6291456,6291456,-1,-1
43493.600803,6291456,6291456,-1,-1
43493.600849,6291456,6291456,-1,-1
43493.600895,7340032,7340032,-1,-1
43493.600942,6291456,6291456,-1,-1
43493.600988,6291456,6291456,-1,-1
43493.601034,6291456,6291456,-1,-1
43493.601081,6291456,6291456,-1,-1
43493.601127,6291456,6291456,-1,-1
43493.601173,6291456,6291456,-1,-1
43493.601220,6291456,6291456,-1,-1
43493.601266,6291456,6291456,-1,-1
43493.601312,7340032,7340032,-1,-1
43493.601358,6291456,6291456,-1,-1
43493.601405,6291456,6291456,-1,-1
43493.601451,6291456,6291456,-1,-1
43493.601497,6291456,6291456,-1,-1
43493.601544,6291456,6291456,-1,-1
43493.601590,6291456,6291456,-1,-1
43493.601636,6291456,6291456,-1,-1
43493.601683,6291456,6291456,-1,-1
43493.601729,6291456,6291456,-1,-1
43493.601775,6291456,6291456,-1,-1
43493.601821,6291456,6291456,-1,-1
43493.601868,6291456,6291456,-1,-1
43493.601914,6291456,6291456,-1,-1
43493.601960,6291456,6291456,-1,-1
43493.602007,6291456,6291456,-1,-1
43493.602053,6291456,6291456,-1,-1
43493.602099,6291456,6291456,-1,-1
43493.602145,6291456,6291456,-1,-1
43493.602192,6291456,6291456,-1,-1
43493.602238,6291456,6291456,-1,-1
43493.602284,6291456,6291456,-1,-1
43493.602331,6291456,6291456,-1,-1
43493.602377,6291456,6291456,-1,-1
43493.602423,6291456,6291456,-1,-1
43493.602470,6291456,6291456,-1,-1
43493.602516,6291456,6291456,-1,-1
43493.602562,6291456,6291456,-1,-1
43493.602608,6291456,6291456,-1,-1
43493.602655,6291456,6291456,-1,-1
43493.602701,6291456,6291456,-1,-1
43493.602747,6291456,6291456,-1,-1
43493.602794,6291456,6291456,-1,-1
43493.602840,6291456,6291456,-1,-1
43493.602886,6291456,6291456,-1,-1
43493.602933,6291456,6291456,-1,-1
43493.602979,6291456,6291456,-1,-1
43493.603025,6291456,6291456,-1,-1
43493.603071,6291456,6291456,-1,-1
43493.603118,6291456,6291456,-1,-1
43493.603164,6291456,6291456,-1,-1
43493.603210,6291456,6291456,-1,-1
43493.603257,6291456,6291456,-1,-1
43493.603303,5242880,5242880,-1,-1
43493.603349,6291456,6291456,-1,-1
43493.603395,5242880,5242880,-1,-1
43493.603442,5242880,5242880,-1,-1
43493.603488,5242880,5242880,-1,-1
43493.603534,5242880,5242880,-1,-1
43493.603581,5242880,5242880,-1,-1
43493.603627,5242880,5242880,-1,-1
43493.603673,5242880,5242880,-1,-1
43493.603720,5242880,5242880,-1,-1
43493.603766,5242880,5242880,-1,-1
43493.603812,5242880,5242880,-1,-1
43493.603858,5242880,5242880,-1,-1
43493.603905,5242880,5242880,-1,-1
43493.603951,5242880,5242880,-1,-1
43493.603997,5242880,5242880,-1,-1
43493.604044,5242880,5242880,-1,-1
43493.604090,5242880,5242880,-1,-1
43493.604136,5242880,5242880,-1,-1
43493.604183,5242880,5242880,-1,-1
43493.604229,6291456,6291456,-1,-1
43493.604275,5242880,5242880,-1,-1
43493.604321,5242880,5242880,-1,-1
43493.604368,5242880,5242880,-1,-1
43493.604414,5242880,5242880,-1,-1
43493.604460,5242880,5242880,-1,-1
43493.604507,5242880,5242880,-1,-1
43493.604553,5242880,5242880,-1,-1
43493.604599,5242880,5242880,-1,-1
43493.604646,5242880,5242880,-1,-1
43493.604692,5242880,5242880,-1,-1
43493.604738,5242880,5242880,-1,-1
43493.604784,5242880,5242880,-1,-1
43493.604831,5242880,5242880,-1,-1
43493.604877,5242880,5242880,-1,-1
43493.604923,5242880,5242880,-1,-1
43493.604970,5242880,5242880,-1,-1
43493.605016,5242880,5242880,-1,-1
43493.605062,5242880,5242880,-1,-1
43493.605108,5242880,5242880,-1,-1
43493.605155,5242880,5242880,-1,-1
43493.605201,5242880,5242880,-1,-1
43493.605247,5242880,5242880,-1,-1
43493.605294,5242880,5242880,-1,-1
43493.605340,5242880,5242880,-1,-1
43493.605386,5242880,5242880,-1,-1
43493.605433,5242880,5242880,-1,-1
43493.605479,5242880,5242880,-1,-1
43493.605525,5242880,5242880,-1,-1
43493.605571,5242880,5242880,-1,-1
43493.605618,5242880,5242880,-1,-1
43493.605664,5242880,5242880,-1,-1
